	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	9.64363	1.06365	-13.42272	2.68673	5.38143	2.96331	-10.95181	1.72723	12.39995	2.90193	-12.50951	3.24448	8.47176	3.56867	-6.25676	1.70955	9.38781	-15.11822	3.44371	-9.34626	13.30151	-14.21638	6.14977	-5.17623	8.22294	-16.27691	5.35772	-12.05906	13.18729	-8.99980	14.92224	-8.94960	10.19585	-11.64716	0.84372	-10.06335	13.47510	-15.02832	9.60151	-5.70694	8.48037	-13.65369	5.08565	-11.19688	12.67347	-15.42253	8.74598	-8.75411	4.28239	-9.27006	8.49309	-11.65898	13.01133	-16.16928	6.37746	-3.99846	7.48981	-11.76362	-1.07267	-9.09930	11.12580	-11.01313	15.10738	-7.28487	9.43363	-13.14833	4.54181	-9.42761	18.77976	-17.73606	5.88169	-3.83145	9.22643	-13.24973	7.89163	-14.36692	10.07384	-6.03154	10.74128	-6.75043	9.07469	-18.21830	6.17988	-12.82320	12.91034	-13.87043	3.36415	-4.59050	7.30894	-8.41346	5.11488	-11.86280	10.93016	-11.74554	6.41140	-6.04938	9.96631	-14.73532	7.44335	-11.43681	6.19190	-11.01849	7.54063	-7.26887	11.52748	-14.78108	8.76011	-11.02279	12.33856	-10.81969	5.23346	-7.88114	10.43549	-14.21944	7.87565	-8.00963	9.58555	-10.55249	10.05591	-5.09585
2	9.48775	1.02480	-12.96490	2.66118	5.01715	3.11128	-10.30976	1.63535	12.40543	2.80113	-12.57446	2.97923	8.01416	3.73081	-5.53100	2.00337	9.34085	-13.86244	2.14936	-8.71613	13.67089	-13.44178	4.56618	-4.22919	7.95600	-15.82349	5.07364	-11.40769	13.26364	-9.44936	15.41033	-9.04953	10.16872	-11.36263	-0.06870	-9.37341	13.37311	-14.48005	7.50122	-4.34805	8.30297	-12.66378	4.17756	-10.24155	12.49110	-15.04003	8.54992	-8.56210	4.21107	-9.48114	7.95018	-10.58130	13.16328	-16.76076	6.83061	-3.29506	7.35104	-11.66038	-0.78965	-8.73432	11.12642	-10.69748	13.73516	-6.16604	9.27407	-13.75626	5.72418	-8.57442	18.58022	-17.41881	4.51484	-2.72912	9.20967	-12.16055	6.40638	-13.37332	10.09498	-6.71224	9.68559	-5.30220	9.06762	-17.69820	6.71601	-12.94521	12.96629	-13.61679	2.84129	-3.84168	7.23586	-7.59637	3.45345	-10.91695	10.76005	-11.66028	5.19767	-5.05545	9.82199	-14.86710	7.37579	-10.61986	6.67465	-12.18511	10.43460	-7.53106	11.18793	-14.80022	9.26018	-10.48504	12.31748	-11.44111	5.27334	-7.08982	9.57183	-12.81114	7.79450	-8.05763	9.44990	-10.56419	9.64331	-4.70373
3	9.26266	1.07358	-12.37090	2.58745	4.34410	3.14635	-9.46127	1.55524	12.30832	2.70917	-12.50209	2.74148	7.30534	4.03382	-4.64383	2.32731	9.17540	-12.62165	0.88854	-8.03615	13.92136	-12.60226	2.80107	-3.06786	7.63944	-15.15514	4.32399	-10.39834	13.22393	-9.76688	15.02343	-8.66648	10.14393	-11.28669	-0.67642	-8.55527	13.15377	-13.87535	5.36604	-2.69504	8.06543	-11.60032	3.05996	-9.20582	12.19666	-14.44653	7.87768	-8.09772	4.05464	-9.54115	6.91728	-9.16158	13.21247	-17.12381	7.10964	-2.56506	7.14628	-11.71837	-0.31352	-8.37404	11.04905	-10.21826	11.76054	-4.67546	8.94981	-14.07099	6.49225	-7.59610	18.29319	-16.83499	3.16708	-1.71732	9.12672	-11.06399	4.62165	-12.06060	9.97734	-7.47587	8.51375	-3.54232	8.90888	-16.66278	6.41470	-12.77187	12.91476	-13.25877	2.32209	-3.07909	7.02537	-6.95708	1.73912	-9.65353	10.56873	-11.58123	4.20774	-4.12662	9.60088	-14.60058	6.77555	-9.58632	7.09462	-13.05169	12.91705	-7.92447	10.78487	-14.30464	8.99989	-9.75536	12.24405	-11.85829	5.12510	-6.24591	8.62746	-11.23835	7.23028	-7.84149	9.15506	-10.43326	8.77824	-3.96640
4	8.96470	1.19919	-11.64775	2.46189	3.44546	2.99597	-8.51102	1.51358	12.10408	2.63269	-12.27737	2.54967	6.47548	4.30927	-3.73389	2.62273	8.89245	-11.40617	-0.21011	-7.44837	14.02556	-11.73291	1.13625	-1.90828	7.27802	-14.29749	3.23826	-9.17583	13.06365	-9.95002	13.80960	-7.78049	10.09380	-11.38379	-0.95698	-7.65424	12.82573	-13.26011	3.60694	-1.13067	7.77821	-10.52038	1.93368	-8.27505	11.79679	-13.71185	6.89315	-7.44238	3.81543	-9.39473	5.48733	-7.57068	13.14568	-17.23672	7.20552	-1.84821	6.89824	-11.96707	0.30633	-8.00221	10.88495	-9.57964	9.44190	-3.03135	8.47768	-14.00273	6.76558	-6.61461	17.91428	-15.99404	2.04694	-1.02825	8.97385	-10.01228	2.77030	-10.62290	9.71846	-8.19855	7.40397	-1.75437	8.59504	-15.20317	5.33315	-12.30151	12.75856	-12.83023	1.94800	-2.43966	6.68354	-6.51572	0.22713	-8.30158	10.34069	-11.45722	3.54122	-3.41437	9.30723	-13.91058	5.72117	-8.44200	7.42607	-13.49935	14.77495	-8.40745	10.32288	-13.23274	7.95492	-8.89296	12.10548	-11.97189	4.74160	-5.40355	7.63526	-9.57395	6.22020	-7.34135	8.69742	-10.18330	7.63121	-2.95158
5	8.59229	1.37069	-10.77270	2.33562	2.43701	2.67408	-7.63497	1.50262	11.79053	2.57622	-11.85528	2.39714	5.65798	4.39994	-2.99325	2.81424	8.50088	-10.17378	-1.09139	-7.07373	13.95764	-10.84034	-0.15978	-1.01860	6.87413	-13.24988	1.97794	-7.96618	12.78738	-9.95468	11.91192	-6.49990	9.98694	-11.52697	-0.92288	-6.82493	12.39883	-12.60379	2.54159	-0.07811	7.44716	-9.43962	0.98163	-7.65034	11.30384	-12.87277	5.77234	-6.72765	3.49871	-8.97176	3.81743	-6.06659	12.95249	-17.04558	7.12567	-1.25452	6.62407	-12.34956	0.99508	-7.66568	10.63136	-8.75280	7.09280	-1.55358	7.88362	-13.45821	6.55073	-5.83096	17.44141	-14.86412	1.32580	-0.92071	8.74670	-9.02202	1.08282	-9.31198	9.31972	-8.71970	6.50612	-0.26981	8.13706	-13.40194	3.63722	-11.63502	12.49952	-12.31841	1.81701	-2.08853	6.22226	-6.23203	-0.88675	-7.10770	10.05587	-11.20961	3.26835	-3.09584	8.95018	-12.78261	4.36878	-7.39343	7.64505	-13.42702	15.78394	-8.86831	9.80712	-11.56498	6.27706	-8.07194	11.88968	-11.68885	4.13246	-4.69923	6.63002	-7.87174	4.89351	-6.65618	8.08526	-9.82096	6.43558	-1.83741
6	8.14909	1.55360	-9.70160	2.29760	1.46482	2.28389	-7.05985	1.49857	11.37094	2.54109	-11.16862	2.26531	4.97902	4.20407	-2.63966	2.83729	8.01974	-8.85417	-1.73747	-7.02701	13.70033	-9.89395	-0.85373	-0.70237	6.43063	-11.99632	0.72473	-7.04002	12.40975	-9.69871	9.56351	-5.05165	9.79524	-11.50745	-0.62179	-6.30504	11.88435	-11.81350	2.35929	0.07490	7.07514	-8.33346	0.36866	-7.54015	10.73674	-11.92986	4.68091	-6.11907	3.11497	-8.19867	2.12605	-4.96121	12.63001	-16.47222	6.90455	-0.95918	6.33732	-12.72398	1.69152	-7.50322	10.29370	-7.70906	5.05373	-0.59463	7.20176	-12.36432	5.93874	-5.46555	16.87967	-13.38299	1.10743	-1.61832	8.44301	-8.05763	-0.25128	-8.39557	8.79125	-8.86327	5.92274	0.58927	7.56165	-11.33649	1.58820	-10.95546	12.14178	-11.66393	1.99053	-2.21470	5.66063	-6.02420	-1.47525	-6.30806	9.69601	-10.73048	3.43380	-3.37007	8.54513	-11.21175	2.93132	-6.71628	7.73341	-12.78210	15.76670	-9.14946	9.24900	-9.33721	4.27572	-7.55628	11.59222	-10.92259	3.36414	-4.33028	5.64569	-6.17524	3.48351	-6.00415	7.34044	-9.32936	5.43372	-0.86999
