	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.22538	0.06182	-0.18817	0.02005	-0.00954	0.00626	0.21927	0.06621	-0.20663	0.03982	0.00213	0.01018	0.13383	-0.15325	-0.02010	0.20659	-0.17153	-0.00410	0.28969	-0.20066	-0.01481	0.09465	-0.20092	-0.00492	0.17072	-0.20365	0.00229	0.25942	-0.19577	-0.00707	0.23308	-0.24500	0.01344	0.28800	-0.20028	-0.00127	0.29974	-0.27399	0.02195	0.21872	-0.17810	-0.00517	0.28942	-0.23925	0.00508	0.13938	-0.18461	-0.01547	0.23839	-0.16165	-0.00427	0.19673	-0.20352	-0.01393	0.23359	-0.20200	-0.00469	0.13936	-0.18348	-0.00470	0.21901	-0.13515	-0.01412	0.31163	-0.22682	-0.00343	0.23006	-0.17370	-0.00750	0.29218	-0.17974	0.00217	0.25938	-0.19623	-0.01674	0.15373	-0.21503	0.00417
2	0.26003	0.07213	-0.17558	0.02390	-0.02214	0.01075	0.26291	0.07085	-0.21038	0.04187	-0.00180	0.01241	0.16129	-0.13624	-0.03864	0.25606	-0.17792	-0.01097	0.32839	-0.18719	-0.02829	0.12290	-0.19965	-0.01120	0.22751	-0.20636	-0.00489	0.31507	-0.18783	-0.01676	0.27702	-0.24801	0.00920	0.34069	-0.18640	-0.00932	0.35716	-0.29231	0.02624	0.25783	-0.16825	-0.01120	0.32941	-0.23024	0.00050	0.16672	-0.17092	-0.03176	0.27027	-0.14121	-0.00814	0.19114	-0.17809	-0.03307	0.29152	-0.20682	-0.01314	0.16662	-0.17264	-0.01843	0.25860	-0.13925	-0.01228	0.35699	-0.22587	-0.01414	0.26596	-0.15981	-0.02116	0.32441	-0.18105	0.00433	0.29940	-0.19245	-0.03483	0.18452	-0.22218	-0.00579
3	0.29656	0.08050	-0.15013	0.02935	-0.03836	0.01600	0.31158	0.07047	-0.20414	0.04578	-0.00949	0.01563	0.18898	-0.10425	-0.05924	0.30698	-0.17611	-0.02227	0.36758	-0.16211	-0.04542	0.18354	-0.18986	-0.02035	0.29123	-0.19934	-0.01604	0.36348	-0.16462	-0.03000	0.32244	-0.23762	-0.00093	0.39240	-0.15480	-0.02064	0.42818	-0.30449	0.02399	0.29121	-0.14802	-0.01909	0.37318	-0.20952	-0.00646	0.21205	-0.14934	-0.05141	0.29591	-0.10645	-0.01354	0.19148	-0.13721	-0.05696	0.34905	-0.20202	-0.02580	0.20314	-0.14946	-0.03719	0.28463	-0.13282	-0.00949	0.40516	-0.21341	-0.02972	0.30360	-0.13542	-0.03975	0.34804	-0.16871	0.00541	0.34372	-0.17645	-0.05740	0.22854	-0.22092	-0.02299
4	0.33332	0.08942	-0.10983	0.03708	-0.05475	0.02142	0.36152	0.07176	-0.18385	0.05220	-0.01855	0.02070	0.21247	-0.05601	-0.07846	0.35125	-0.15832	-0.03603	0.40632	-0.12408	-0.06371	0.26940	-0.16471	-0.02958	0.35042	-0.17665	-0.02845	0.40633	-0.12501	-0.04474	0.36618	-0.21153	-0.01431	0.44433	-0.10336	-0.03143	0.51335	-0.30761	0.01656	0.32668	-0.11751	-0.02691	0.41188	-0.17267	-0.01253	0.27023	-0.11727	-0.06965	0.31051	-0.05431	-0.01768	0.20123	-0.08012	-0.08005	0.40267	-0.18434	-0.04043	0.23435	-0.10829	-0.05772	0.30264	-0.11491	-0.00493	0.45808	-0.18872	-0.04687	0.34172	-0.09743	-0.05944	0.36843	-0.14001	0.00839	0.38761	-0.14582	-0.08038	0.27900	-0.20777	-0.04415
5	0.36737	0.09747	-0.05325	0.04665	-0.06738	0.02695	0.40522	0.08007	-0.14502	0.06022	-0.02568	0.02771	0.23394	0.00628	-0.09319	0.38513	-0.11851	-0.04850	0.43482	-0.06886	-0.07820	0.36027	-0.11669	-0.03594	0.40492	-0.13782	-0.03939	0.44229	-0.06549	-0.05816	0.39975	-0.16545	-0.02780	0.48861	-0.02710	-0.03752	0.60057	-0.29359	0.00687	0.37116	-0.07623	-0.03171	0.42937	-0.11383	-0.01475	0.32506	-0.06966	-0.08227	0.31109	0.01728	-0.01636	0.21671	-0.00691	-0.09695	0.44695	-0.14981	-0.05299	0.26509	-0.05322	-0.07665	0.31906	-0.08523	0.00324	0.50547	-0.14713	-0.06124	0.37990	-0.04462	-0.07645	0.38389	-0.09102	0.01700	0.43435	-0.10337	-0.09985	0.32229	-0.17824	-0.06453
6	0.40337	0.10417	0.01606	0.05807	-0.07399	0.03295	0.44226	0.09529	-0.08864	0.06987	-0.02813	0.03617	0.26297	0.07580	-0.10248	0.42157	-0.05930	-0.05608	0.46418	-0.00097	-0.08603	0.42993	-0.04028	-0.03788	0.45800	-0.08554	-0.04704	0.47740	0.01232	-0.06836	0.43189	-0.10528	-0.03781	0.52802	0.07236	-0.03635	0.68277	-0.25858	0.00012	0.43436	-0.02643	-0.03119	0.42149	-0.03394	-0.01125	0.36507	-0.00579	-0.08759	0.30995	0.10414	-0.00733	0.23861	0.07718	-0.10539	0.48765	-0.10118	-0.06013	0.30812	0.00762	-0.09178	0.33744	-0.04481	0.01568	0.54687	-0.09077	-0.06972	0.41963	0.02033	-0.08823	0.39422	-0.02259	0.03300	0.48529	-0.05303	-0.11345	0.35766	-0.13492	-0.07991
