	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.09197	0.02976	-0.00581	0.01659	-0.01133	0.00646	-0.10643	0.03315	-0.01270	0.01292	-0.00558	0.00742	-0.08613	-0.01687	-0.01754	-0.10709	-0.01320	0.00098	-0.11042	0.00388	-0.01003	-0.12447	-0.04396	-0.00747	-0.10975	-0.01967	-0.01300	-0.10354	-0.00663	-0.00520	-0.11877	-0.01373	-0.01604	-0.09041	-0.02308	-0.01796	-0.13013	0.00614	0.00669	-0.09777	-0.02195	-0.01512	-0.14181	-0.01161	-0.01215	-0.12641	-0.03444	-0.01776	-0.10357	-0.01026	-0.00199	-0.08062	0.00669	-0.01445	-0.10850	-0.01100	-0.00086	-0.06170	0.00188	-0.00224	-0.03765	-0.00483	-0.00527	-0.13055	-0.00450	-0.01497	-0.09367	0.01159	-0.00299	-0.05775	-0.00805	-0.00999	-0.01889	0.02403	-0.01566	-0.12841	-0.00709	0.00135
2	-0.07019	0.03328	-0.01294	0.01912	-0.01936	0.01023	-0.08829	0.04082	-0.02014	0.01620	-0.01273	0.01314	-0.07766	-0.03494	-0.03020	-0.10042	-0.02575	-0.00127	-0.08863	-0.00053	-0.01809	-0.11617	-0.04475	-0.00800	-0.10713	-0.03696	-0.02569	-0.09229	-0.01347	-0.00864	-0.11413	-0.02636	-0.03252	-0.06204	-0.03412	-0.02879	-0.11051	0.01612	0.00833	-0.08921	-0.02899	-0.02490	-0.10681	-0.01745	-0.02033	-0.10085	-0.04023	-0.02817	-0.08124	-0.01575	-0.00367	-0.05968	-0.00523	-0.02487	-0.09696	-0.01930	-0.00480	-0.04267	-0.00424	-0.00459	-0.00974	-0.01744	-0.01822	-0.10734	-0.01053	-0.02735	-0.05627	0.01061	-0.00798	-0.01347	-0.01759	-0.02346	0.01562	0.02213	-0.02506	-0.10756	-0.01196	-0.00130
3	-0.03677	0.03769	-0.02232	0.02156	-0.03013	0.01436	-0.05825	0.05215	-0.03036	0.02232	-0.02309	0.02045	-0.05763	-0.05375	-0.04551	-0.08287	-0.04245	-0.00654	-0.05556	-0.00742	-0.02993	-0.08948	-0.04295	-0.00829	-0.10251	-0.06161	-0.04357	-0.06742	-0.02090	-0.01382	-0.09899	-0.04346	-0.05442	-0.01946	-0.04701	-0.04255	-0.07799	0.02367	0.00747	-0.06331	-0.03506	-0.03704	-0.05709	-0.02716	-0.03130	-0.06669	-0.04901	-0.04108	-0.04526	-0.02252	-0.00770	-0.03196	-0.02252	-0.03790	-0.07388	-0.02995	-0.01171	-0.01591	-0.01100	-0.00902	0.03151	-0.03027	-0.03420	-0.07234	-0.02021	-0.04411	-0.00471	0.00413	-0.01614	0.04330	-0.02892	-0.04171	0.05900	0.01749	-0.03676	-0.07454	-0.02045	-0.00663
4	0.00681	0.04246	-0.03335	0.02419	-0.04308	0.01856	-0.01668	0.06477	-0.04264	0.02979	-0.03596	0.02835	-0.02462	-0.07053	-0.06175	-0.04910	-0.06074	-0.01482	-0.01083	-0.01659	-0.04547	-0.04685	-0.04135	-0.00932	-0.08893	-0.08925	-0.06449	-0.02938	-0.02906	-0.02084	-0.07269	-0.06343	-0.08050	0.03164	-0.06362	-0.05915	-0.03346	0.02767	0.00382	-0.02381	-0.04086	-0.05070	0.00002	-0.04147	-0.04476	-0.02643	-0.06069	-0.05548	0.00443	-0.03045	-0.01447	0.00157	-0.04161	-0.05256	-0.03685	-0.04184	-0.02101	0.02034	-0.01677	-0.01527	0.08497	-0.04142	-0.05111	-0.02796	-0.03426	-0.06475	0.05672	-0.00695	-0.02661	0.10929	-0.04226	-0.06268	0.11002	0.01123	-0.04994	-0.03324	-0.03227	-0.01469
5	0.05808	0.04590	-0.04371	0.02672	-0.05651	0.02244	0.03441	0.07536	-0.05502	0.03673	-0.04956	0.03554	0.01854	-0.08222	-0.07670	0.00212	-0.07694	-0.02497	0.04637	-0.02570	-0.06269	0.00464	-0.04188	-0.01104	-0.06160	-0.11524	-0.08520	0.02046	-0.03659	-0.02896	-0.03539	-0.08254	-0.10675	0.08667	-0.08137	-0.07635	0.02249	0.02831	-0.00238	0.02325	-0.04593	-0.06419	0.05873	-0.05932	-0.05950	0.02139	-0.07237	-0.06933	0.06574	-0.03786	-0.02308	0.04091	-0.05724	-0.06705	0.01458	-0.05220	-0.03109	0.06301	-0.02039	-0.02214	0.14631	-0.04930	-0.06711	0.02542	-0.04988	-0.08658	0.12063	-0.02033	-0.03767	0.17925	-0.05612	-0.08319	0.16452	0.00530	-0.06345	0.01293	-0.04494	-0.02441
6	0.11186	0.04802	-0.05153	0.02919	-0.06914	0.02609	0.09184	0.08275	-0.06540	0.04183	-0.06216	0.04153	0.06483	-0.08798	-0.08960	0.06578	-0.08797	-0.03515	0.10836	-0.03395	-0.08005	0.05946	-0.04584	-0.01299	-0.01769	-0.13566	-0.10308	0.07588	-0.04257	-0.03746	0.00821	-0.09889	-0.13060	0.14009	-0.09807	-0.09270	0.08746	0.02583	-0.00981	0.06963	-0.05080	-0.07698	0.11619	-0.07730	-0.07427	0.07735	-0.08111	-0.08127	0.13217	-0.04364	-0.03222	0.08359	-0.06564	-0.08033	0.07582	-0.05931	-0.04028	0.10642	-0.02082	-0.02796	0.21282	-0.05205	-0.08109	0.08462	-0.06441	-0.10753	0.18154	-0.03088	-0.04737	0.24842	-0.06799	-0.10067	0.21788	0.00152	-0.07617	0.06193	-0.05481	-0.03368
