	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_14_CR022_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05169	0.02279	0.02225	0.00571	0.00014	0.00247	-0.04872	0.02238	0.03725	0.00790	0.00456	0.00346	-0.04181	0.01784	0.00119	-0.04933	0.03022	0.00101	-0.05565	0.02502	-0.00004	-0.04562	0.04202	0.00081	-0.05191	0.03427	0.00302	-0.06505	0.02296	0.00072	-0.05177	0.04801	0.01157	-0.04914	0.03284	0.00005	-0.09024	0.04164	0.00289	-0.05265	0.01226	-0.00217	-0.06592	0.04993	0.00362	-0.06868	0.01581	-0.00334	-0.05726	0.02423	-0.00041	-0.05807	0.01854	-0.00384	-0.05356	0.03083	0.00252	-0.00983	0.02348	0.00174	-0.00148	0.02625	0.00881	-0.08411	0.02975	0.00486	-0.07012	0.02324	0.00280	-0.03783	0.03262	0.00643	-0.00796	0.02102	0.00013	-0.03955	0.03670	0.00486
2	-0.03889	0.02424	0.02242	0.00612	0.00073	0.00311	-0.03695	0.02151	0.03920	0.00952	0.00622	0.00430	-0.03669	0.01732	0.00261	-0.04320	0.03089	0.00201	-0.04146	0.02484	0.00036	-0.03758	0.04346	0.00124	-0.04798	0.03465	0.00504	-0.05934	0.02407	0.00217	-0.04222	0.05437	0.01680	-0.03382	0.03341	0.00064	-0.07107	0.04852	0.00629	-0.04581	0.01242	-0.00390	-0.04402	0.05040	0.00598	-0.05535	0.01784	-0.00138	-0.04157	0.02109	-0.00077	-0.04174	0.01868	-0.00314	-0.04873	0.03271	0.00410	0.00312	0.02121	0.00173	0.00951	0.02561	0.00872	-0.07281	0.03298	0.00739	-0.05299	0.02449	0.00386	-0.01863	0.03311	0.00613	0.01172	0.02069	-0.00077	-0.02562	0.03832	0.00594
3	-0.02193	0.02493	0.02066	0.00678	0.00094	0.00420	-0.02094	0.02339	0.03968	0.01149	0.00778	0.00560	-0.02798	0.01594	0.00357	-0.03206	0.03115	0.00350	-0.02368	0.02275	0.00074	-0.02078	0.04245	0.00122	-0.04841	0.03427	0.00671	-0.04778	0.02368	0.00364	-0.02960	0.05856	0.02177	-0.01369	0.03086	0.00034	-0.04467	0.05580	0.01113	-0.03054	0.01137	-0.00636	-0.01828	0.04806	0.00802	-0.04054	0.01897	0.00051	-0.02050	0.01543	-0.00178	-0.02332	0.01635	-0.00273	-0.03920	0.03427	0.00627	0.01658	0.01704	0.00136	0.02515	0.02288	0.00714	-0.05578	0.03495	0.00998	-0.02841	0.02288	0.00438	0.00725	0.03074	0.00470	0.03252	0.01771	-0.00241	-0.00881	0.03859	0.00734
4	-0.00214	0.02568	0.01619	0.00794	0.00007	0.00555	-0.00238	0.02749	0.03765	0.01421	0.00857	0.00754	-0.01433	0.01290	0.00320	-0.01398	0.02984	0.00495	-0.00212	0.01816	0.00045	-0.00063	0.03741	0.00041	-0.04896	0.03235	0.00679	-0.03105	0.02089	0.00445	-0.01473	0.05971	0.02529	0.00691	0.02435	-0.00181	-0.01431	0.06227	0.01704	-0.01116	0.00788	-0.00986	0.00651	0.04205	0.00898	-0.02662	0.01800	0.00135	0.00525	0.00677	-0.00406	-0.00476	0.01087	-0.00365	-0.02441	0.03458	0.00843	0.03272	0.01075	0.00036	0.04330	0.01704	0.00363	-0.03564	0.03481	0.01176	0.00164	0.01745	0.00364	0.03564	0.02416	0.00133	0.05347	0.01150	-0.00497	0.00780	0.03712	0.00884
5	0.01870	0.02608	0.00849	0.00942	-0.00225	0.00691	0.01650	0.03114	0.03187	0.01760	0.00783	0.01009	0.00301	0.00754	0.00094	0.00946	0.02546	0.00560	0.02343	0.01029	-0.00088	0.01602	0.02684	-0.00142	-0.04585	0.02819	0.00429	-0.01057	0.01492	0.00420	0.00076	0.05597	0.02568	0.02452	0.01300	-0.00620	0.01755	0.06553	0.02300	0.00642	0.00132	-0.01433	0.02857	0.03182	0.00827	-0.01133	0.01386	0.00058	0.03293	-0.00524	-0.00797	0.01426	0.00200	-0.00647	-0.00501	0.03224	0.00981	0.05053	0.00256	-0.00147	0.05963	0.00728	-0.00221	-0.01326	0.03137	0.01187	0.03268	0.00811	0.00116	0.06168	0.01220	-0.00464	0.07181	0.00216	-0.00850	0.02215	0.03323	0.00987
6	0.03757	0.02574	-0.00213	0.01113	-0.00617	0.00821	0.03436	0.03332	0.02233	0.02132	0.00529	0.01313	0.02034	-0.00002	-0.00323	0.03319	0.01768	0.00483	0.04828	-0.00036	-0.00354	0.02756	0.01045	-0.00429	-0.03542	0.02141	-0.00106	0.00924	0.00593	0.00261	0.01435	0.04792	0.02275	0.03623	-0.00247	-0.01281	0.04860	0.06375	0.02793	0.01588	-0.00819	-0.01975	0.04899	0.01835	0.00574	0.00878	0.00601	-0.00212	0.05729	-0.02006	-0.01353	0.03321	-0.01010	-0.01161	0.01569	0.02671	0.00983	0.06584	-0.00712	-0.00419	0.07329	-0.00569	-0.00983	0.00980	0.02466	0.01002	0.06105	-0.00425	-0.00306	0.08330	-0.00437	-0.01291	0.08495	-0.00954	-0.01288	0.03408	0.02708	0.00993
