	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	5.63814	0.26259	21.53715	2.19359	0.45019	1.94687	0.83560	2.24038	9.34490	0.55576	26.21154	2.28695	0.30295	3.21520	1.21182	1.33371	6.47198	20.05149	-2.45997	0.04282	7.58013	25.51195	1.69593	1.98117	5.56233	20.66941	-2.10990	0.19024	9.50533	25.19015	-2.53731	0.34144	9.50319	26.80008	1.88658	2.86038	7.95807	28.91558	1.18519	1.66973	4.03714	20.33310	3.57057	1.38236	6.98006	23.54814	-1.71686	-0.42682	5.27567	23.00894	2.68305	1.51441	6.64377	27.38227	0.82947	0.41142	7.09045	21.86015	0.59405	0.52750	10.78568	30.17165	-2.38472	3.81574	8.29225	23.71122	-0.56965	2.21172	8.33464	25.14496	-5.18378	-0.83854	5.45973	19.57006	2.23349	-0.14721	6.59973	24.45840	1.31137	0.14348	6.10782	20.95970	0.32296	-3.53172	7.93905	27.42417	1.51664	1.49752	4.29078	20.07786	0.99603	5.36495	4.29018	28.82138	7.72732	2.25375	5.10755	18.95586	-1.82917	-1.71794	5.54438	22.95255	-0.71902	1.30645	4.36800	22.44794	0.08428	1.32964	1.33419	25.01735	1.91124	2.38646
2	5.61362	0.24885	21.31293	2.29808	1.23884	1.83498	0.49566	2.32996	9.24786	0.60950	26.05541	2.29491	1.11539	3.19040	0.95787	1.33096	6.40381	19.88510	-1.56843	-0.45818	7.31244	25.20790	3.37888	1.97882	5.54178	20.72428	-0.90957	-0.02692	9.42381	24.86687	-2.30136	-0.06311	9.35155	26.62798	2.54538	2.45899	8.00799	29.26914	2.86952	1.19597	4.16593	19.88353	4.17462	1.10448	6.72720	23.47723	-0.44832	-0.41950	5.28890	22.56403	3.40824	1.46737	6.46347	27.15776	1.67456	0.21165	7.14467	22.49037	2.55974	0.04249	10.60013	30.04707	-1.26584	3.45880	8.15825	23.23306	-0.77115	1.80760	8.10081	24.98281	-4.55558	-1.13736	5.07633	18.27988	0.58516	-0.72188	6.49079	24.14059	1.28305	-0.28170	6.03019	20.85188	1.31178	-4.28182	7.76261	27.21153	2.04437	1.05358	4.20028	19.83097	1.97263	5.33282	4.17187	28.42388	8.08487	2.25655	4.99097	18.90359	-0.30073	-1.42980	5.41994	23.24515	0.31986	1.35962	4.25337	22.48050	1.85845	0.65278	1.33453	24.63503	2.30066	1.88108
3	5.62659	0.22159	21.14975	2.46462	2.43673	2.07111	0.10938	2.36173	9.16982	0.67531	25.99351	2.31222	2.47560	3.14078	0.54659	1.32033	6.33023	19.81632	-0.16645	-1.03443	7.02541	24.77578	5.03816	1.69041	5.56262	20.85332	0.68596	-0.31707	9.36477	24.68823	-1.45061	-0.58881	9.20322	26.46412	3.64434	1.94137	8.08163	29.72795	5.12365	0.57324	4.30146	19.43447	4.86440	0.66720	6.46459	23.48135	1.40791	-0.54250	5.33466	22.19940	4.38364	1.27437	6.30480	27.09517	3.20559	-0.12772	7.22868	23.24003	5.17463	-0.32299	10.42707	29.97420	0.28032	2.89464	8.03305	22.88364	-0.34551	1.31488	7.88293	25.00703	-3.12997	-1.47880	4.73722	17.25534	-0.23767	-1.34125	6.39796	24.01149	2.03577	-0.83915	5.97464	20.84344	2.79010	-4.78388	7.61928	27.09042	3.17398	0.42163	4.12878	19.55813	3.13930	5.15991	4.05284	28.03165	8.81195	2.11278	4.83820	18.76100	1.40935	-1.15763	5.32016	23.66309	1.99833	1.32439	4.10789	22.48781	3.89864	-0.08788	1.37081	24.37572	3.21206	1.11898
4	5.66414	0.17951	21.03932	2.66135	3.98752	2.48232	-0.21958	2.30924	9.10266	0.74736	26.00934	2.35806	4.29724	3.07657	0.04381	1.30882	6.23416	19.81400	1.63771	-1.54567	6.72949	24.24204	6.66808	1.19963	5.61232	21.02380	2.57445	-0.61608	9.31841	24.63902	-0.08276	-1.17880	9.06570	26.32057	5.14965	1.38364	8.16358	30.26266	7.85756	-0.07880	4.43435	19.00621	5.65767	0.19699	6.18438	23.51128	3.68712	-0.74397	5.40184	21.92833	5.60803	1.02789	6.16053	27.15828	5.26979	-0.54418	7.32122	24.05377	8.29959	-0.39814	10.27531	29.97278	2.22843	2.19310	7.91216	22.65364	0.66174	0.80204	7.67975	25.15882	-1.08371	-1.84020	4.44500	16.51876	-0.23573	-1.90358	6.31936	24.05840	3.49614	-1.42174	5.92733	20.90000	4.66674	-4.87238	7.49991	27.05212	4.83607	-0.28713	4.07443	19.26686	4.45035	4.89795	3.92967	27.64553	9.86815	1.85813	4.64820	18.52990	3.21633	-0.87771	5.24298	24.16859	4.19781	1.18033	3.90745	22.45601	6.16372	-0.72986	1.42227	24.24254	4.62424	0.18930
5	5.71043	0.12268	20.97919	2.86259	5.83409	2.94337	-0.36668	2.17570	9.02930	0.81778	26.08160	2.44638	6.48760	3.02896	-0.42659	1.30034	6.10000	19.85038	3.73284	-1.84542	6.43250	23.66793	8.33828	0.69766	5.67502	21.21441	4.66483	-0.80222	9.26537	24.69323	1.69622	-1.72695	8.94460	26.21780	7.01480	0.90658	8.23304	30.83617	10.95761	-0.58523	4.55418	18.62857	6.60333	-0.13670	5.87582	23.52082	6.23340	-0.92162	5.47490	21.76768	7.09864	0.87528	6.01628	27.28665	7.67381	-0.94267	7.39948	24.87071	11.74659	-0.05984	10.14505	30.06528	4.56082	1.50061	7.78814	22.53101	2.18083	0.37209	7.48391	25.37472	1.40640	-2.15090	4.19274	16.05808	0.52340	-2.28746	6.24528	24.24461	5.53529	-1.89369	5.87358	20.99632	6.85716	-4.44473	7.38506	27.07590	6.93026	-0.91304	4.03155	18.98000	5.88166	4.63039	3.79596	27.27462	11.21604	1.57362	4.42458	18.24676	5.07773	-0.51769	5.17444	24.70512	6.79240	0.96720	3.63198	22.38856	8.62728	-1.09049	1.46603	24.23421	6.51065	-0.72405
6	5.75267	0.05261	20.96675	3.04874	7.89771	3.38730	-0.24411	1.99899	8.92882	0.87801	26.18497	2.57482	8.93615	3.01728	-0.73270	1.28944	5.91973	19.89212	5.98378	-1.84322	6.14077	23.12789	10.11716	0.39124	5.73749	21.41265	6.85599	-0.76586	9.18227	24.81651	3.77218	-2.11431	8.84254	26.17756	9.16875	0.63298	8.27122	31.40397	14.26885	-0.79484	4.65136	18.32837	7.73706	-0.19638	5.53041	23.47368	8.90477	-0.95593	5.53687	21.73446	8.86088	0.95649	5.85710	27.40702	10.20377	-1.23618	7.44589	25.61509	15.27650	0.71304	10.02967	30.26810	7.23071	0.96845	7.65448	22.50478	4.11206	0.12521	7.28484	25.60402	4.18440	-2.31032	3.96653	15.82804	1.90103	-2.39391	6.16098	24.51251	7.97555	-2.14147	5.80293	21.11682	9.26772	-3.51782	7.25245	27.13124	9.32004	-1.31428	3.99217	18.72807	7.41002	4.42838	3.64538	26.93052	12.80283	1.35098	4.17664	17.96610	6.95995	-0.02341	5.09189	25.20509	9.65040	0.78176	3.27334	22.29696	11.23874	-1.04476	1.48378	24.33902	8.80313	-1.41753
