	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	-0.07834	0.03343	-2.00960	1.53539	-1.77699	0.45991	-19.30037	1.07416	-0.34273	0.06109	3.07017	2.29396	-1.70326	0.89729	-18.15211	4.04657	0.02782	-0.17856	-1.42524	-15.88946	-0.14875	2.07881	-1.13491	-31.00168	-0.08800	-2.64471	-1.28796	-19.61046	-0.36036	3.67474	-1.35358	-16.98396	-3.47655	-0.70687	-2.10001	-20.24525	-0.70808	-0.62538	-2.28667	-22.87383	-1.05212	-3.06452	-1.52865	-17.82174	-0.88714	4.04525	-1.78840	-22.44390	-0.32143	-1.13135	-1.66034	-18.81667	-0.77079	3.33266	-2.50126	-22.38204	-1.79044	0.89868	-2.58109	-22.87705	1.24409	1.96498	-1.66703	-18.09681	-2.60227	-3.49356	-1.81796	-20.40542	-0.63411	0.47760	0.30949	-23.99472	-1.22764	-3.78224	-1.79914	-21.21010	-1.32454	5.40782	-2.49976	-31.96535	-1.11474	-1.66285	-2.54549	-15.23123	-1.94860	1.72417	-1.76323	-18.51976	-1.89407	-2.26476	-1.58701	-28.88352	-0.37283	3.01913	-2.19620	-23.66669	-1.59082	-1.93006	-1.91400	-16.83038	-0.22613	8.21068	-0.66485	-11.95655	-1.90538	-4.15436	-1.07700	-15.97586	1.29623	3.53162	-2.89274	-27.62380
2	0.01193	0.00443	-1.77960	1.42505	-1.81091	0.43383	-19.49342	0.99255	-0.34678	0.09009	3.17959	2.19613	-1.74157	0.87465	-17.98847	4.46102	0.02599	-0.15862	-1.47523	-16.34166	-0.06069	2.30839	-1.60965	-32.15412	0.01066	-2.24027	-1.60121	-19.77994	-0.37279	3.89377	-1.45765	-16.70068	-3.35346	-0.86718	-2.03885	-20.81685	-0.58954	-0.31646	-2.49844	-23.16473	-0.86175	-2.72671	-1.50018	-18.81532	-0.77527	4.35546	-2.05157	-22.03456	-0.25185	-0.91644	-1.63457	-19.37795	-0.66658	3.68486	-2.66709	-22.87866	-1.68107	1.01344	-2.62586	-23.39979	1.16203	2.04014	-1.60967	-19.27404	-2.47577	-3.21092	-1.82158	-20.30839	-0.59548	0.56760	0.23092	-23.64243	-1.09088	-3.39736	-1.60840	-20.23537	-1.17932	5.53529	-2.32643	-31.29959	-0.94206	-1.30992	-2.57902	-15.05946	-1.86347	1.88494	-1.76294	-18.79154	-1.78868	-2.15122	-1.58595	-29.42157	-0.34363	2.81195	-1.91827	-23.90276	-1.42354	-1.57194	-2.03176	-16.74009	-0.11021	7.90722	-0.50113	-11.66429	-1.70336	-3.81805	-1.22833	-16.98721	1.32655	3.48190	-2.72697	-28.27143
3	0.15985	0.02676	-1.50230	1.33802	-1.83546	0.44539	-19.53168	0.86596	-0.30586	0.11656	3.33692	2.11822	-1.78582	0.91782	-17.75741	4.83489	0.07489	-0.09393	-1.52967	-16.78189	0.06427	2.51419	-2.03633	-33.11024	0.16758	-1.81382	-1.91023	-19.78166	-0.33951	4.19698	-1.65240	-16.36169	-3.16057	-0.92889	-1.96051	-21.35005	-0.42651	0.03685	-2.69083	-23.59882	-0.62408	-2.32986	-1.41641	-19.66257	-0.62564	4.71869	-2.33348	-21.80491	-0.15288	-0.67748	-1.62759	-19.75675	-0.54108	4.02300	-2.82768	-23.59585	-1.51347	1.18936	-2.65050	-23.86788	1.08678	2.17334	-1.53918	-20.37728	-2.30865	-2.90036	-1.87910	-20.27119	-0.49977	0.72102	0.13869	-23.54291	-0.88845	-2.98952	-1.45810	-19.27983	-1.00048	5.71116	-2.17501	-30.88360	-0.71123	-0.83811	-2.65525	-14.92414	-1.70997	2.15152	-1.85885	-19.27228	-1.62684	-1.95949	-1.55141	-29.78101	-0.28117	2.63565	-1.62542	-24.18198	-1.21695	-1.23723	-2.04470	-16.39701	0.03426	7.68649	-0.24022	-12.00368	-1.47104	-3.44832	-1.34204	-17.76939	1.39774	3.47418	-2.58909	-28.96005
4	0.37110	0.06095	-1.18080	1.27483	-1.80228	0.48254	-19.42114	0.72088	-0.21777	0.14487	3.55125	2.05762	-1.81208	1.02290	-17.41968	5.14245	0.17756	0.00706	-1.53984	-17.13204	0.24224	2.70897	-2.32412	-33.74913	0.38869	-1.36932	-2.11210	-19.62923	-0.25959	4.57402	-1.89630	-15.93518	-2.89664	-0.90094	-1.82737	-21.78923	-0.21361	0.44464	-2.85625	-24.03259	-0.33508	-1.89108	-1.24007	-20.31283	-0.42573	5.12944	-2.59592	-21.67508	-0.01413	-0.42833	-1.58376	-19.93542	-0.39388	4.33294	-2.94354	-24.36523	-1.28410	1.42451	-2.58576	-24.20920	1.03457	2.37880	-1.47858	-21.31033	-2.09705	-2.56781	-1.94617	-20.24320	-0.34049	0.94137	0.08598	-23.62624	-0.61603	-2.56493	-1.35084	-18.36171	-0.78713	5.95353	-2.02058	-30.68912	-0.41746	-0.25599	-2.73244	-14.77035	-1.48504	2.52728	-2.04401	-19.82399	-1.39700	-1.67630	-1.45941	-29.91041	-0.17629	2.53596	-1.33688	-24.41520	-0.95609	-0.90140	-1.89679	-15.82828	0.20463	7.55461	0.13399	-12.89071	-1.20706	-3.04507	-1.35288	-18.27236	1.52086	3.53348	-2.46869	-29.60202
5	0.64561	0.09856	-0.82128	1.23549	-1.65604	0.52881	-19.19103	0.58594	-0.08670	0.17905	3.82914	2.00893	-1.80075	1.14695	-16.95926	5.36841	0.33264	0.13248	-1.45361	-17.33042	0.48187	2.91228	-2.38487	-34.00625	0.67406	-0.90437	-2.10713	-19.36017	-0.13839	4.99655	-2.12099	-15.40954	-2.56621	-0.79295	-1.60225	-22.09739	0.05306	0.91815	-2.97563	-24.34096	0.00470	-1.42824	-0.94931	-20.74175	-0.16332	5.58307	-2.79880	-21.56052	0.17214	-0.18256	-1.43891	-19.92466	-0.22210	4.61586	-2.97614	-25.02202	-0.99594	1.70849	-2.33524	-24.39271	1.01709	2.66843	-1.45346	-21.98257	-1.83957	-2.21854	-1.95727	-20.17998	-0.11501	1.23154	0.10766	-23.78420	-0.27296	-2.12600	-1.26042	-17.51427	-0.54058	6.26728	-1.84485	-30.66246	-0.06259	0.41142	-2.75046	-14.57741	-1.19137	3.00214	-2.28404	-20.30456	-1.09365	-1.30513	-1.28248	-29.79078	-0.02171	2.55129	-1.07570	-24.50542	-0.63374	-0.53739	-1.55463	-15.10382	0.39783	7.52277	0.53523	-14.11677	-0.91188	-2.61252	-1.18077	-18.48058	1.70796	3.68032	-2.33745	-30.11674
6	0.97372	0.13917	-0.43563	1.21742	-1.34569	0.58053	-18.88781	0.48398	0.07600	0.22178	4.16963	1.96650	-1.72764	1.22657	-16.38691	5.51601	0.53179	0.27025	-1.22790	-17.35097	0.78025	3.14075	-2.14401	-33.90259	1.01389	-0.41816	-1.83276	-19.02752	0.01198	5.42150	-2.23306	-14.79457	-2.18124	-0.61727	-1.24099	-22.26336	0.37236	1.45645	-2.99741	-24.45895	0.38757	-0.95771	-0.54608	-20.96049	0.16657	6.07253	-2.88713	-21.39315	0.40767	0.04596	-1.13194	-19.75941	-0.02134	4.88565	-2.89181	-25.44270	-0.66037	2.02104	-1.80832	-24.43796	1.03768	3.04308	-1.46308	-22.33327	-1.54012	-1.85890	-1.83690	-20.04645	0.17196	1.59208	0.21637	-23.89935	0.13549	-1.67265	-1.13497	-16.77350	-0.26447	6.64378	-1.63931	-30.73241	0.33966	1.11878	-2.63621	-14.35832	-0.83920	3.55189	-2.50148	-20.60390	-0.72122	-0.86951	-0.99182	-29.44376	0.18446	2.70141	-0.85442	-24.37220	-0.25593	-0.12835	-1.01477	-14.31651	0.60857	7.60261	0.80578	-15.40686	-0.59013	-2.16103	-0.74558	-18.42474	1.96754	3.92383	-2.14216	-30.44845
