	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	10.96947	1.16969	-8.49982	3.50783	7.48022	2.54791	-5.87718	2.40906	6.54558	4.83167	-1.74890	3.34864	12.74101	3.18460	-7.29534	1.33037	14.68374	-9.27213	7.35131	-6.35737	-8.79702	1.47845	8.24693	-6.64356	10.63181	-11.29436	6.35803	-3.13876	7.94036	-1.71549	11.67284	-7.43129	1.88319	-0.02955	10.14754	-9.53584	3.01480	-1.00142	11.29494	-9.55622	13.83289	-7.81965	6.29427	-7.89762	-2.25843	-1.84918	14.60876	-6.10482	13.27660	-7.84951	4.13611	-5.83219	-3.74971	-0.49346	16.01040	-8.10149	1.86529	-7.09982	11.18499	-6.70070	7.79571	2.47195	7.96922	-9.23757	11.79853	-12.31045	10.00385	-6.55963	2.41389	-6.84993	12.70782	-4.84166	14.91246	-13.68880	6.86091	-6.73624	-8.96321	-4.85230	15.66623	-7.81767	5.39167	-6.23927	11.25763	-3.44729	-0.97440	0.38448	16.03374	-7.00430	1.75772	-8.25053	6.39059	-7.14688	4.84786	-5.80614	10.33014	-6.52331	11.75437	-10.66614	5.61818	-0.52499	2.28798	2.86747	17.48114	-7.86657	17.18708	-7.47767	4.15921	-6.64861	-1.09014	-5.62126	10.86997	-6.41563
2	11.06087	1.19205	-8.46997	3.39098	6.87805	2.69097	-5.87787	2.40314	6.55446	4.71989	-1.28174	3.10066	12.22703	3.08719	-7.63730	1.40286	14.84615	-8.87838	6.12306	-6.26066	-8.43320	-0.05297	8.68455	-7.05579	10.71675	-11.47261	6.60748	-3.53774	7.91697	-1.24487	11.16821	-7.16851	2.18565	-0.28660	9.71232	-9.79031	3.05689	-0.67600	10.73388	-9.73850	13.93885	-8.17312	5.37386	-7.85734	-2.19396	-0.60334	13.60236	-6.14105	13.46137	-7.92690	2.92205	-5.38428	-3.78822	-0.08919	15.12054	-8.15159	1.78383	-7.10277	10.84554	-6.96760	7.79645	1.81087	7.61507	-9.47189	12.03730	-12.13459	9.51365	-6.46086	2.44281	-5.83609	12.41522	-5.30053	15.25576	-13.53502	6.81073	-6.32281	-8.95467	-3.11773	15.37033	-8.64809	5.41145	-6.02869	10.60816	-2.93191	-0.97789	0.54205	15.72239	-7.19368	2.05298	-8.00311	5.37828	-7.25271	5.12305	-5.14047	9.70076	-7.11527	11.90078	-10.08599	5.07273	-0.86833	2.59055	4.45492	16.94281	-9.20597	17.30723	-8.01191	3.56871	-6.89990	-0.61649	-5.42811	9.64826	-6.45668
3	11.03252	1.22977	-8.18181	3.16971	6.33147	2.82577	-6.07612	2.39534	6.48774	4.59316	-0.91644	3.00121	11.72682	2.84113	-8.05704	1.55297	14.93757	-8.36674	4.79042	-6.16584	-8.09750	-1.49153	9.35686	-7.57761	10.67751	-10.97011	6.66202	-4.20381	7.81367	-0.76866	10.81442	-7.06073	2.42550	-0.52001	9.58418	-10.33367	3.03701	-0.54908	10.13408	-9.81744	13.94694	-8.31072	4.55786	-7.92911	-2.15567	0.38796	12.67780	-6.26395	13.56995	-7.90370	1.94165	-5.07982	-3.84555	0.25543	13.88903	-8.06027	1.61228	-6.85401	10.49566	-7.43031	7.67825	1.00926	7.76035	-9.95280	12.19342	-11.61234	8.78832	-6.52012	2.41690	-4.72418	12.00088	-6.03514	15.49908	-13.01650	6.49249	-5.97403	-8.98867	-1.36231	14.73202	-9.44719	5.34041	-5.74013	10.08769	-2.66053	-1.02258	0.47540	15.34003	-7.33762	2.27501	-7.57189	4.53866	-7.48310	5.38318	-4.61382	9.29385	-7.88708	11.98023	-8.98890	4.70387	-1.66800	2.89459	5.62564	16.20884	-10.64620	17.33895	-8.32669	3.33488	-7.46505	-0.22223	-5.24135	8.51371	-6.59845
4	10.87500	1.28779	-7.54072	2.89826	5.84334	2.93080	-6.52213	2.39903	6.33387	4.45787	-0.59792	2.99961	11.29277	2.54353	-8.55709	1.73697	14.96429	-7.67408	3.49346	-6.18263	-7.82177	-2.55869	10.04631	-8.12880	10.50324	-9.70134	6.39170	-5.08818	7.62074	-0.19044	10.64846	-7.18294	2.59763	-0.58353	9.65901	-11.14114	2.95425	-0.51815	9.56552	-9.82829	13.86018	-8.14341	3.86783	-8.17095	-2.13412	1.15334	11.98191	-6.57144	13.59375	-7.64708	1.23215	-5.05746	-3.91089	0.58727	12.52203	-7.92061	1.36299	-6.19506	10.04030	-8.07820	7.42546	0.24506	8.25976	-10.59805	12.25311	-10.69551	7.90183	-6.79736	2.34072	-3.53059	11.55886	-7.05265	15.63812	-12.11590	6.00321	-5.81532	-9.06189	0.28675	13.88201	-10.19553	5.17949	-5.23593	9.75737	-2.78772	-1.11702	0.33306	14.93338	-7.48896	2.40667	-6.89665	3.90794	-7.87129	5.61883	-4.21955	9.17587	-8.80980	11.99849	-7.36494	4.52138	-2.93478	3.19300	6.25093	15.37181	-12.02549	17.27488	-8.23521	3.34391	-8.34048	0.06264	-5.01402	7.56733	-6.88255
5	10.59587	1.37125	-6.48362	2.65952	5.42410	2.96009	-7.26944	2.38482	6.09121	4.32060	-0.24076	2.98213	10.93167	2.27455	-9.11698	1.87046	14.95018	-6.74584	2.40743	-6.47413	-7.62854	-3.00170	10.55637	-8.69420	10.20003	-7.71119	5.80487	-6.17835	7.33846	0.60043	10.63683	-7.56706	2.70120	-0.32939	9.73915	-12.11212	2.82233	-0.44167	9.07244	-9.85041	13.69448	-7.62324	3.35792	-8.66637	-2.12033	1.78615	11.56936	-7.11419	13.53289	-7.06011	0.86858	-5.48420	-3.96839	0.98177	11.22072	-7.84860	1.06730	-5.00112	9.37816	-8.89197	7.03546	-0.28466	8.87770	-11.26824	12.20856	-9.34956	6.91573	-7.32600	2.22126	-2.27214	11.15380	-8.27629	15.68314	-10.82522	5.43842	-5.98264	-9.16545	1.74708	12.93690	-10.87250	4.94249	-4.35904	9.60622	-3.43409	-1.26016	0.30231	14.50842	-7.69479	2.43834	-5.93528	3.50453	-8.45149	5.82166	-3.89959	9.32264	-9.80464	11.96864	-5.28246	4.58081	-4.69705	3.47800	6.27079	14.46493	-13.07520	17.11891	-7.58098	3.48744	-9.53487	0.22295	-4.67786	6.85990	-7.33759
6	10.22744	1.48301	-5.01047	2.53240	5.10362	2.86281	-8.36231	2.31074	5.77563	4.18685	0.24493	2.86162	10.62377	2.06407	-9.71896	1.85262	14.93663	-5.58590	1.72837	-7.21759	-7.51941	-2.64815	10.77886	-9.36361	9.79933	-5.19407	5.05203	-7.48495	6.98427	1.68968	10.71350	-8.21613	2.74450	0.34927	9.60088	-13.10426	2.67517	-0.17602	8.69733	-10.03254	13.48184	-6.75712	3.09323	-9.50025	-2.10227	2.41418	11.41999	-7.91093	13.40182	-6.10439	0.95036	-6.52121	-3.99592	1.50299	10.16669	-7.97076	0.77583	-3.26799	8.50832	-9.87724	6.52934	-0.40044	9.36611	-11.84095	12.06396	-7.56872	5.89140	-8.11828	2.07195	-0.97198	10.81407	-9.57226	15.65970	-9.16433	4.88762	-6.58926	-9.28271	2.98435	11.97589	-11.44678	4.66113	-2.98762	9.55923	-4.64503	-1.43414	0.55536	14.05768	-8.01023	2.37532	-4.67589	3.33149	-9.25973	5.98915	-3.55419	9.62183	-10.76309	11.91446	-2.88116	4.93724	-6.95217	3.74703	5.70469	13.47868	-13.51595	16.89197	-6.28768	3.70324	-11.07773	0.26671	-4.16126	6.39462	-7.98435
