	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.20101	0.03874	-0.15646	0.02580	-0.00818	0.01087	0.17747	0.02959	-0.18460	0.03669	0.00630	0.01101	0.13547	-0.14451	-0.01648	0.18118	-0.10645	-0.01473	0.18658	-0.13907	-0.01590	0.15665	-0.17861	-0.00605	0.20012	-0.15429	-0.00287	0.16056	-0.18320	-0.00447	0.23403	-0.13855	-0.02450	0.18139	-0.20067	0.00628	0.18932	-0.13869	-0.01511	0.21789	-0.22535	0.01693	0.17177	-0.14305	-0.02205	0.15937	-0.16850	0.01616	0.23963	-0.19788	0.01041	0.19200	-0.25018	0.01457	0.20708	-0.20577	0.00095	0.17630	-0.20576	0.02399	0.19337	-0.17500	0.00146	0.17299	-0.18505	0.01026	0.22879	-0.14059	0.00227	0.17411	-0.14313	0.00328	0.27329	-0.17490	-0.00654	0.12080	-0.18099	0.00414	0.15267	-0.12522	-0.00976	0.23634	-0.18724	0.00518
2	0.22639	0.04188	-0.14884	0.03319	-0.01879	0.01616	0.22929	0.03447	-0.18657	0.04389	-0.00246	0.01301	0.15440	-0.13159	-0.03601	0.20522	-0.08893	-0.02072	0.18893	-0.11807	-0.03318	0.19474	-0.18375	-0.02083	0.24099	-0.15604	-0.01005	0.23214	-0.18176	-0.01957	0.26190	-0.12794	-0.04183	0.24172	-0.20248	0.00085	0.21506	-0.13283	-0.02921	0.29081	-0.22417	0.00789	0.20167	-0.12720	-0.03125	0.20746	-0.18096	0.01125	0.27228	-0.20479	0.00584	0.25548	-0.26352	0.00514	0.23149	-0.21220	-0.00959	0.22045	-0.21024	0.02012	0.23137	-0.17594	0.00562	0.22639	-0.18515	-0.00255	0.25301	-0.13112	-0.00459	0.21272	-0.12897	-0.00576	0.29423	-0.15693	-0.01964	0.17830	-0.19570	0.00005	0.17136	-0.11141	-0.02156	0.28607	-0.19322	-0.00538
3	0.24972	0.04374	-0.12736	0.04325	-0.03316	0.02256	0.28071	0.04675	-0.16918	0.05215	-0.01981	0.01517	0.17983	-0.10530	-0.06053	0.20883	-0.05077	-0.03012	0.18944	-0.08310	-0.05680	0.23646	-0.17645	-0.04327	0.27757	-0.14239	-0.02495	0.30908	-0.15406	-0.04242	0.27980	-0.10324	-0.06041	0.30101	-0.18478	-0.01052	0.23631	-0.11163	-0.04796	0.36840	-0.19934	-0.00871	0.23795	-0.09616	-0.03571	0.24533	-0.17004	-0.00489	0.30297	-0.20016	-0.00616	0.31467	-0.25416	-0.01642	0.26234	-0.21058	-0.02896	0.27664	-0.20071	0.00739	0.26985	-0.16546	0.01386	0.28489	-0.16484	-0.02620	0.26941	-0.10707	-0.01669	0.24793	-0.09657	-0.02381	0.30354	-0.12008	-0.03675	0.24071	-0.19799	-0.01148	0.18769	-0.08309	-0.03687	0.33452	-0.18046	-0.02725
4	0.26953	0.04803	-0.08911	0.05491	-0.04740	0.03235	0.32570	0.06534	-0.12564	0.06151	-0.04207	0.01877	0.20431	-0.06187	-0.08493	0.19418	0.01241	-0.04108	0.18596	-0.03242	-0.08262	0.27136	-0.15097	-0.06964	0.30795	-0.10862	-0.04460	0.38794	-0.09355	-0.06679	0.29146	-0.06505	-0.07603	0.34678	-0.13907	-0.02505	0.25354	-0.07148	-0.06878	0.43900	-0.14601	-0.02808	0.27635	-0.04693	-0.02596	0.27343	-0.12625	-0.03031	0.33364	-0.18088	-0.02334	0.35807	-0.21464	-0.04660	0.29790	-0.19546	-0.05354	0.34012	-0.17123	-0.00756	0.30374	-0.13972	0.03121	0.34224	-0.11849	-0.05535	0.27801	-0.06637	-0.03227	0.27746	-0.04133	-0.04874	0.30088	-0.06317	-0.05559	0.30273	-0.18007	-0.02784	0.20067	-0.03736	-0.05229	0.37507	-0.13845	-0.05778
5	0.28294	0.05617	-0.03348	0.06724	-0.05661	0.04816	0.36111	0.08399	-0.05356	0.07108	-0.06375	0.02429	0.22134	-0.00253	-0.10463	0.17680	0.09596	-0.05015	0.17740	0.03210	-0.10565	0.29470	-0.10586	-0.09474	0.33263	-0.05455	-0.06206	0.46529	0.00045	-0.08430	0.29640	-0.01363	-0.08330	0.37516	-0.06275	-0.03825	0.26401	-0.00934	-0.08757	0.48614	-0.06168	-0.04611	0.30234	0.02484	0.00548	0.29882	-0.04709	-0.05943	0.36190	-0.14357	-0.04199	0.38010	-0.14115	-0.07928	0.33807	-0.16547	-0.07688	0.39695	-0.11586	-0.01904	0.32575	-0.09713	0.06274	0.38716	-0.04253	-0.08325	0.27869	-0.00912	-0.04879	0.29754	0.03894	-0.07659	0.28634	0.01112	-0.07285	0.36606	-0.13752	-0.04309	0.21044	0.02551	-0.06377	0.40861	-0.06364	-0.09073
6	0.28562	0.06596	0.03680	0.07793	-0.05644	0.07096	0.38851	0.09853	0.04179	0.08080	-0.07908	0.03225	0.22324	0.06836	-0.11612	0.16830	0.19021	-0.05311	0.16116	0.10630	-0.12116	0.31108	-0.04642	-0.11423	0.34540	0.02010	-0.07005	0.53410	0.12201	-0.08792	0.29401	0.04732	-0.07767	0.39274	0.03807	-0.04556	0.26865	0.07140	-0.10118	0.50598	0.04494	-0.05915	0.31011	0.11576	0.06314	0.33114	0.05967	-0.08557	0.38194	-0.08755	-0.05757	0.39130	-0.04164	-0.10706	0.36447	-0.11527	-0.09248	0.42811	-0.03151	-0.02028	0.33398	-0.04253	0.11210	0.41248	0.05793	-0.10371	0.27276	0.05988	-0.06356	0.30733	0.14144	-0.10308	0.25829	0.09512	-0.08486	0.43846	-0.07088	-0.04996	0.21348	0.10274	-0.06788	0.44111	0.03762	-0.11932
