	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_14_CR023_BAREFOOT_GAIT0004_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.07126	0.04237	-0.00487	0.01649	0.00810	0.00768	-0.03075	0.03821	0.00972	0.02323	-0.00165	0.01281	-0.03851	0.00669	0.01194	0.00494	-0.00570	-0.00877	-0.08878	-0.00743	-0.00298	-0.05466	0.00603	0.00966	-0.02377	0.00710	0.01176	-0.04155	-0.00309	-0.01209	-0.07836	-0.01980	0.00987	-0.08721	-0.00837	-0.00637	-0.05137	-0.00509	0.01725	-0.06504	-0.00953	-0.02075	-0.03780	0.01648	0.00859	-0.00743	-0.00578	-0.01122	-0.08101	0.01604	0.00441	-0.05011	0.03142	0.01637	-0.17286	-0.03734	0.01696	-0.04482	-0.00510	-0.01812	-0.10086	-0.01889	-0.00472	-0.05765	0.00643	0.00624	-0.06510	-0.01571	-0.00139	0.00752	0.03423	0.00786	-0.09628	-0.00975	0.00958	0.04895	0.06701	0.01489	-0.02039	0.00929	0.01596	-0.02195	0.00909	0.00247
2	-0.04909	0.05000	0.00069	0.02053	0.00897	0.01282	0.00175	0.04012	0.01707	0.03025	-0.00986	0.02196	-0.00421	0.01815	0.01425	0.04728	-0.00190	-0.01981	-0.06910	-0.00695	-0.00882	-0.03321	0.01192	0.00858	0.00768	0.02349	0.02145	-0.00023	0.00240	-0.02778	-0.05709	-0.01058	0.01285	-0.05970	-0.01179	-0.02019	-0.03229	-0.00039	0.02369	-0.02919	-0.01417	-0.04252	-0.01232	0.02228	0.00693	0.01638	-0.00533	-0.02650	-0.07054	0.01735	0.00077	-0.02447	0.05034	0.01975	-0.17029	-0.03505	0.02165	-0.02206	-0.00417	-0.03717	-0.08071	-0.01767	-0.00949	-0.01926	0.02206	0.00555	-0.04904	-0.01900	-0.00704	0.04513	0.05024	0.00596	-0.06371	-0.01121	0.00684	0.07457	0.08380	0.02117	0.01256	0.02788	0.02458	0.02575	0.02147	-0.00532
3	-0.01390	0.05715	0.01046	0.02705	0.00770	0.01957	0.04978	0.04276	0.02833	0.04002	-0.02287	0.03347	0.04008	0.03505	0.01449	0.10236	0.00645	-0.03455	-0.03545	-0.00497	-0.01717	0.00358	0.02052	0.00407	0.05189	0.04891	0.03386	0.05876	0.01186	-0.04959	-0.02274	0.00541	0.01431	-0.01367	-0.01635	-0.04279	-0.00213	0.00793	0.02767	0.02183	-0.02039	-0.07171	0.02320	0.03019	0.00194	0.05088	0.00337	-0.04799	-0.04796	0.01878	-0.00690	0.02002	0.07488	0.02001	-0.15208	-0.02791	0.02283	0.01335	-0.00187	-0.06286	-0.04644	-0.01375	-0.01689	0.03916	0.04245	0.00197	-0.02200	-0.01921	-0.01617	0.09363	0.07105	0.00038	-0.01171	-0.00915	0.00003	0.11510	0.10960	0.02943	0.05855	0.05422	0.03437	0.09237	0.03842	-0.02080
4	0.03379	0.06487	0.02494	0.03603	0.00456	0.02765	0.11193	0.04718	0.04367	0.05259	-0.03988	0.04666	0.09427	0.05840	0.01299	0.16838	0.02010	-0.05119	0.01395	0.00063	-0.02659	0.05535	0.03225	-0.00302	0.10973	0.08306	0.04862	0.13087	0.02490	-0.07573	0.02301	0.02849	0.01370	0.04962	-0.02074	-0.07343	0.03900	0.02107	0.02891	0.08100	-0.02767	-0.10608	0.06944	0.03979	-0.00676	0.09635	0.02028	-0.07372	-0.01357	0.02059	-0.01814	0.08318	0.10532	0.01696	-0.12221	-0.01855	0.02106	0.06290	0.00140	-0.09455	0.00451	-0.00614	-0.02684	0.11464	0.06502	-0.00456	0.01559	-0.01470	-0.02783	0.15228	0.09627	-0.00870	0.05538	-0.00041	-0.00908	0.17208	0.14608	0.03809	0.11638	0.08703	0.04470	0.17654	0.06084	-0.04257
5	0.09291	0.07192	0.04528	0.04597	0.00020	0.03627	0.18471	0.05314	0.06312	0.06630	-0.05891	0.05977	0.15858	0.08969	0.01158	0.23966	0.04085	-0.06769	0.07600	0.01279	-0.03564	0.11913	0.04803	-0.01065	0.17947	0.12338	0.06390	0.21065	0.04109	-0.10342	0.07713	0.05803	0.01062	0.12586	-0.02275	-0.10907	0.09194	0.04232	0.02784	0.14078	-0.03342	-0.14160	0.12719	0.05074	-0.01948	0.15305	0.04389	-0.09985	0.03101	0.02400	-0.03133	0.16121	0.14055	0.01090	-0.07537	-0.00371	0.01651	0.12669	0.00760	-0.12903	0.07138	0.00443	-0.03874	0.20404	0.08814	-0.01307	0.06191	-0.00326	-0.04003	0.21892	0.12432	-0.02039	0.13162	0.01970	-0.01790	0.24442	0.18930	0.04332	0.18409	0.12520	0.05511	0.27213	0.08982	-0.06638
6	0.16024	0.07770	0.07152	0.05659	-0.00479	0.04491	0.26199	0.06091	0.08567	0.07968	-0.07831	0.07157	0.23358	0.12980	0.01177	0.30785	0.07035	-0.08281	0.14365	0.03382	-0.04382	0.18839	0.06809	-0.01694	0.25846	0.16777	0.07719	0.29162	0.05882	-0.13081	0.13680	0.09190	0.00511	0.20598	-0.02135	-0.14671	0.15276	0.07302	0.02609	0.19411	-0.03590	-0.17537	0.19175	0.06216	-0.03727	0.21625	0.06940	-0.12391	0.08312	0.03063	-0.04437	0.24674	0.17872	0.00305	-0.01014	0.01691	0.01094	0.20075	0.01672	-0.16436	0.15109	0.01533	-0.05299	0.29905	0.11034	-0.02230	0.11325	0.01569	-0.05104	0.29180	0.15414	-0.03317	0.20904	0.05296	-0.02434	0.33342	0.23329	0.04140	0.25955	0.16828	0.06522	0.36794	0.12545	-0.08779
