	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	14.24103	0.83354	28.61244	1.58060	-3.75382	1.20908	3.68832	1.30385	11.41962	1.15122	29.00471	2.20917	1.52652	2.76597	3.00459	2.12806	15.21259	29.68256	-5.70926	3.22388	10.57253	28.14491	2.59904	0.23275	17.94007	31.21891	-4.90256	4.47532	15.43911	31.62225	-1.53295	0.54934	13.83971	28.42928	-1.75763	3.64452	12.64791	29.82584	2.32596	5.16279	12.00388	27.93221	-3.24679	2.53785	11.09495	25.82670	-3.56798	3.78137	8.71427	24.38898	2.70325	3.07811	13.47714	26.32320	-3.05328	4.84603	11.21626	26.15787	-1.20661	5.59724	13.77132	30.23325	-5.14649	3.97457	14.15464	31.00431	0.02331	1.92215	13.19439	28.94070	-4.09000	1.42063	12.51778	30.12483	-0.45327	3.35696	13.92411	29.46184	-4.21408	4.88843	13.17536	32.34277	6.62555	-0.27323	12.77288	28.32473	-2.22945	3.53190	12.30905	29.85832	1.85230	2.23137	14.04290	29.99883	-1.97858	1.06389	10.90974	27.41507	1.98449	4.48356	14.84867	29.83442	-4.72004	3.83508	12.77976	29.27920	-3.16993	1.94499	13.11155	27.23596	-4.37394	5.64395	11.88023	27.92636	2.53895	4.39936	13.24835	27.13159	-3.56346	4.76901	11.08209	28.97045	5.55462	6.37419
2	14.23648	0.78824	28.96514	1.55879	-2.18213	1.47020	2.87780	1.38815	11.54175	1.06875	29.12279	2.24269	2.66499	2.77934	1.86963	2.26417	15.12835	29.86394	-4.48264	2.36352	10.78489	28.35550	4.04176	-1.08058	17.76911	31.11699	-5.00811	3.28435	15.62974	31.93392	-0.70049	-1.59013	13.76529	28.90254	0.19819	2.81983	12.83089	30.00211	3.72878	4.18756	12.00017	28.33733	-1.43578	1.67770	11.15171	26.21683	-1.64483	2.88160	8.81542	24.67358	4.43980	2.07843	13.39128	26.65905	-1.27515	4.17316	11.23237	26.04775	-0.42761	4.24442	13.84419	30.75232	-3.57227	3.19093	14.15518	31.12350	0.54527	0.94922	13.14712	29.43831	-2.07849	0.82967	12.53453	30.01578	0.04084	2.29932	13.89081	29.82251	-2.37195	4.28635	13.14908	32.41253	6.63091	-1.26416	12.86442	28.47818	-1.55853	2.60386	12.31334	29.98458	3.47345	1.30119	14.13280	30.53600	-0.00465	-0.09552	11.06889	27.19039	2.57006	3.84721	14.78668	30.32251	-2.59181	3.19087	12.77651	29.79548	-1.18102	0.74153	13.06322	27.72813	-2.63087	5.12156	11.93223	27.98885	4.30360	3.38506	13.20790	27.33733	-2.09300	3.96135	11.13050	29.07230	7.17957	5.20618
3	14.25016	0.75123	29.37899	1.57704	-0.23754	1.74848	1.82815	1.45928	11.65653	0.99476	29.26681	2.31306	4.13251	2.78069	0.64193	2.29306	15.07029	30.14919	-2.76691	1.18667	10.99187	28.67475	5.84144	-2.26992	17.56759	31.16915	-4.25297	1.86798	15.82677	32.31496	0.70940	-3.67465	13.69617	29.41243	2.48124	1.76444	13.02944	30.17854	5.27146	2.96337	12.01991	28.86188	0.69767	0.60441	11.23074	26.60964	0.44154	1.70089	8.92225	24.95616	6.26574	1.01452	13.32073	26.99549	0.74140	3.31329	11.23629	25.99322	0.72599	2.70897	13.93772	31.35556	-1.53963	2.17659	14.16641	31.33998	1.80063	-0.05762	13.13772	30.02931	0.25335	0.07676	12.56146	29.98428	1.10333	0.99203	13.86584	30.21844	-0.24690	3.43133	13.10973	32.56014	7.44836	-2.00016	12.97549	28.72415	-0.36845	1.38477	12.32403	30.05272	5.18780	0.30158	14.22832	31.05147	2.11261	-1.36166	11.20852	26.95040	3.36975	2.96545	14.72897	30.86977	-0.13258	2.30285	12.76063	30.33458	1.22870	-0.46127	13.03196	28.26967	-0.44951	4.31556	11.98763	27.98881	6.00599	2.10150	13.17585	27.58971	-0.29648	2.83016	11.20576	29.14001	8.76398	3.76132
4	14.27232	0.72070	29.82683	1.62591	1.98173	1.92711	0.68134	1.48722	11.75035	0.93649	29.42301	2.43094	5.85825	2.72560	-0.51143	2.19160	15.03166	30.51691	-0.66263	-0.16543	11.17202	29.06315	7.88263	-3.12134	17.34089	31.39845	-2.65773	0.40325	16.03175	32.79672	2.63917	-5.35882	13.62342	29.91376	4.97429	0.64750	13.22635	30.31088	6.84922	1.61186	12.05348	29.46420	3.06771	-0.55611	11.32629	26.98855	2.60831	0.41748	9.02010	25.19655	8.11494	0.07592	13.25777	27.31777	2.92633	2.39982	11.21591	25.99295	2.19992	1.15420	14.04848	32.00920	0.81973	1.01697	14.18722	31.65880	3.68965	-0.96675	13.16016	30.66175	2.76963	-0.74083	12.59090	30.01827	2.59967	-0.47117	13.84991	30.60777	2.01007	2.38690	13.05876	32.77954	8.99669	-2.40182	13.10217	29.06388	1.28303	0.05414	12.32705	30.04659	6.93100	-0.62089	14.30895	31.52297	4.32981	-2.46184	11.31622	26.68828	4.34145	1.91239	14.66918	31.42352	2.52963	1.29913	12.72432	30.87985	3.96183	-1.44955	13.01384	28.81838	2.02259	3.33195	12.02779	27.90339	7.63871	0.74861	13.14856	27.86852	1.72343	1.50576	11.28652	29.16425	10.31239	2.23877
5	14.28577	0.69230	30.28410	1.69431	4.41510	1.98034	-0.33937	1.44868	11.80849	0.89795	29.57842	2.59824	7.79004	2.63993	-1.37332	1.98194	14.99369	30.94377	1.76862	-1.42383	11.30735	29.45791	10.04763	-3.45245	17.09074	31.80419	-0.30202	-0.86276	16.23880	33.39131	5.01016	-6.32780	13.53436	30.36427	7.58252	-0.30237	13.40249	30.36329	8.41401	0.35867	12.08496	30.10233	5.62280	-1.59742	11.42822	27.34905	4.83801	-0.71930	9.09508	25.36951	9.96064	-0.51088	13.18967	27.61272	5.22820	1.62235	11.15790	26.03925	3.95514	-0.19393	14.16023	32.67916	3.42244	-0.10852	14.20768	32.06255	6.07944	-1.60072	13.19821	31.29086	5.41135	-1.44504	12.60925	30.09633	4.42496	-1.88683	13.83663	30.95711	4.30951	1.30263	12.99616	33.04915	11.12513	-2.40396	13.23458	29.49643	3.35118	-1.11589	12.30622	29.97340	8.69935	-1.26300	14.35324	31.95110	6.68244	-3.08437	11.37621	26.41127	5.49022	0.87037	14.59401	31.94007	5.32737	0.39409	12.65645	31.41359	6.94061	-2.00055	12.99736	29.33045	4.65097	2.35957	12.03656	27.74031	9.25292	-0.37491	13.11489	28.15592	3.91804	0.22966	11.35133	29.15162	11.87033	0.93287
6	14.27253	0.66212	30.73216	1.77691	7.01857	1.92209	-1.00564	1.35057	11.81905	0.87895	29.72466	2.80099	9.87978	2.57011	-1.74726	1.74022	14.93371	31.40989	4.48692	-2.28600	11.38763	29.79974	12.22979	-3.17776	16.81555	32.35685	2.67386	-1.68934	16.43586	34.08326	7.72441	-6.41743	13.41887	30.72961	10.21557	-0.87550	13.54222	30.32488	9.97082	-0.52213	12.09836	30.74017	8.31686	-2.29616	11.52620	27.68868	7.12005	-1.48427	9.13775	25.47277	11.79065	-0.57402	13.10234	27.86839	7.60065	1.16422	11.05287	26.12370	5.95126	-1.10746	14.24875	33.33860	6.23533	-0.97512	14.21102	32.51032	8.81688	-1.79494	13.23333	31.88815	8.16539	-1.83374	12.60166	30.19975	6.52087	-2.97010	13.81654	31.25126	6.62413	0.37485	12.91994	33.32728	13.61658	-1.98757	13.35943	30.01627	5.79413	-1.84417	12.24940	29.86351	10.51221	-1.44926	14.34662	32.35284	9.20700	-3.03186	11.37340	26.14676	6.84852	0.09136	14.48863	32.39715	8.22683	-0.18824	12.54751	31.91300	10.07375	-1.95808	12.96845	29.77145	7.32365	1.60907	12.00520	27.53374	10.90191	-0.98166	13.06322	28.44089	6.26965	-0.72268	11.38485	29.12188	13.47952	0.13464
