	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	-1.51543	1.15567	-5.72829	2.14771	-0.71748	0.54235	-15.20508	4.57423	3.66567	0.88284	1.40658	1.89590	-2.75494	0.90462	-9.44366	4.58639	-0.63221	0.12290	-1.21721	-18.86432	4.04031	-1.11227	-2.67706	-4.08180	-1.03028	-6.09973	-0.87597	-10.64855	2.83058	0.89384	-2.55420	-11.43161	-1.26921	-6.86398	-0.79029	-9.42140	2.66810	0.02275	-2.71928	-14.27276	-2.20787	-6.08755	-0.25803	-16.33385	-2.98290	-4.42425	-1.12147	-22.25552	4.54025	0.51147	-3.03676	-8.15145	-1.99064	-3.56479	-1.38656	-17.77938	5.45895	3.38867	-2.90142	-9.77946	-2.50004	-5.70300	-0.43792	-13.36003	3.55900	2.14964	-2.26654	-14.67315	-1.25694	-7.59711	-0.55565	-8.31568	2.09613	4.27492	-3.16744	-17.35974	-3.26464	-7.67507	-0.42868	-16.78946	3.67402	0.47995	-0.10333	-14.48020	-4.44835	-6.70200	-0.82646	-21.73036	4.79982	4.60432	-3.05544	-10.49111	-1.14858	-4.08046	-1.77102	-10.14367	2.88249	1.72483	-3.31468	-11.25466	-2.56683	-7.79168	0.36318	-18.20570	1.79352	2.42042	-2.61242	-20.55355	-3.09061	-6.82437	-0.40020	-16.83164	3.04167	0.28122	-3.77680	-12.44913	-2.11301	-6.90489	-0.33848	-14.84936	3.14617	-1.35417	-3.62881	-12.42144
2	-1.47443	1.12346	-5.39324	2.09571	-1.13978	0.56248	-14.84467	4.64094	3.69224	0.87650	1.73711	1.85257	-3.01987	1.01821	-9.68558	4.27838	-0.68663	0.26709	-1.48706	-18.34293	4.06337	-0.49500	-3.09219	-4.57408	-0.99838	-5.67944	-0.93298	-10.53862	2.97172	1.34398	-2.68224	-10.90096	-1.19104	-6.62296	-1.30040	-9.40834	2.75174	0.37708	-3.03961	-14.11549	-2.02618	-5.57717	-0.87938	-16.33535	-2.92797	-4.21820	-1.60446	-22.38465	4.57578	0.84303	-3.48891	-7.58362	-1.98780	-3.46609	-1.64301	-17.75028	5.40445	3.49073	-2.94134	-9.84650	-2.37444	-5.30754	-0.89431	-13.59815	3.64853	2.44719	-2.40331	-14.25396	-1.11588	-6.79489	-1.25421	-8.06136	2.18541	4.30602	-3.33933	-16.18392	-3.11343	-7.39330	-0.79444	-16.93672	3.73352	0.56286	-0.17554	-14.01358	-4.42257	-6.41091	-1.06961	-21.61142	4.89177	5.16438	-3.45638	-9.59619	-1.04867	-3.44470	-2.52427	-9.53821	2.87770	2.10649	-3.43715	-12.20839	-2.50776	-7.34926	-0.22959	-18.42161	1.97689	2.70689	-2.70755	-19.98533	-3.03709	-6.74685	-0.61879	-16.75125	3.04985	0.86526	-4.40111	-12.33324	-2.14467	-6.76117	-0.72438	-14.98725	3.15707	-1.13643	-4.09358	-11.91261
3	-1.40294	1.09325	-5.00682	2.04326	-1.63976	0.62872	-14.28765	4.82542	3.74673	0.87638	2.11518	1.83665	-3.29438	1.11425	-9.83696	4.17243	-0.71762	0.42432	-1.86409	-17.63955	4.12268	0.19121	-3.61785	-4.85691	-0.91896	-5.17511	-1.13760	-10.36982	3.14794	2.00318	-2.91910	-10.38938	-1.08279	-6.33640	-1.84221	-9.36546	2.86573	0.78067	-3.39138	-13.90423	-1.80445	-5.02196	-1.57618	-16.28252	-2.84308	-3.99913	-2.09241	-22.39730	4.63545	1.17040	-3.88986	-6.96194	-1.96063	-3.37895	-1.88213	-17.54011	5.38241	3.66281	-3.01892	-9.92580	-2.22092	-4.87110	-1.45782	-13.83281	3.77891	2.92053	-2.60514	-13.97228	-0.92885	-5.92192	-2.12749	-7.57410	2.30384	4.47408	-3.57970	-15.04127	-2.92174	-7.01999	-1.20057	-17.07297	3.82463	0.81422	-0.28171	-13.63860	-4.35740	-6.01726	-1.44137	-21.51780	4.99793	5.69847	-3.86073	-8.54553	-0.91588	-2.76540	-3.30229	-8.57288	2.88826	2.35690	-3.48845	-13.07735	-2.41902	-6.85580	-0.92222	-18.41249	2.20753	3.04939	-2.79722	-19.40566	-2.93371	-6.61515	-0.87916	-16.67074	3.07911	1.32576	-4.89856	-12.14808	-2.13459	-6.54170	-1.23106	-15.11925	3.20397	-0.95024	-4.47836	-11.23452
4	-1.29013	1.07095	-4.58984	1.99872	-2.14684	0.71143	-13.54302	5.09970	3.84219	0.88190	2.50951	1.85136	-3.52560	1.15803	-9.87432	4.24107	-0.71388	0.58985	-2.28553	-16.75988	4.23373	0.89710	-4.14747	-4.92593	-0.78346	-4.62862	-1.48546	-10.11432	3.35760	2.83334	-3.27929	-9.88532	-0.94103	-6.02669	-2.31975	-9.22969	3.01420	1.19562	-3.70163	-13.59570	-1.53539	-4.45302	-2.22137	-16.12722	-2.72047	-3.78360	-2.49914	-22.24282	4.72821	1.45752	-4.12910	-6.30927	-1.90191	-3.30593	-2.04904	-17.15982	5.40893	3.88233	-3.10030	-9.98224	-2.03800	-4.40816	-2.09041	-13.98197	3.94518	3.49825	-2.88309	-13.78395	-0.68651	-5.01424	-3.06207	-6.85081	2.46496	4.77254	-3.89508	-13.95156	-2.68693	-6.56133	-1.61834	-17.12006	3.95416	1.19605	-0.41975	-13.32569	-4.24932	-5.55029	-1.91140	-21.36390	5.12558	6.18199	-4.17776	-7.39601	-0.73246	-2.06323	-3.97514	-7.33158	2.93079	2.43013	-3.38922	-13.79285	-2.29737	-6.35245	-1.61297	-18.13345	2.48404	3.41330	-2.86784	-18.82486	-2.76847	-6.42613	-1.13529	-16.50193	3.14541	1.64679	-5.14676	-11.86094	-2.07347	-6.27392	-1.78981	-15.16351	3.30891	-0.78130	-4.69545	-10.39093
5	-1.12398	1.06127	-4.16497	1.96754	-2.55873	0.77741	-12.66723	5.40425	3.99120	0.89043	2.90281	1.90339	-3.65345	1.13977	-9.80094	4.40956	-0.66209	0.75854	-2.65595	-15.75842	4.40935	1.58479	-4.52278	-4.82502	-0.58255	-4.07724	-1.91920	-9.76705	3.59980	3.77935	-3.74390	-9.40882	-0.75863	-5.71413	-2.61168	-8.97106	3.20520	1.59884	-3.88028	-13.18652	-1.20962	-3.89066	-2.67150	-15.85089	-2.55272	-3.59679	-2.71911	-21.90576	4.86395	1.70110	-4.11795	-5.68010	-1.80354	-3.24839	-2.08211	-16.64953	5.49895	4.13304	-3.12710	-9.99039	-1.81987	-3.93306	-2.71878	-13.97150	4.14227	4.10557	-3.21354	-13.64585	-0.37873	-4.11698	-3.87665	-5.93502	2.68452	5.18984	-4.25533	-12.93161	-2.40439	-6.03241	-1.99910	-17.00444	4.12511	1.66186	-0.60210	-13.03719	-4.08853	-5.04078	-2.41626	-21.09337	5.28328	6.61106	-4.30402	-6.24941	-0.48257	-1.37051	-4.37963	-5.97383	3.02398	2.33270	-3.08643	-14.30840	-2.13649	-5.88182	-2.15725	-17.58735	2.80279	3.76622	-2.88449	-18.25972	-2.52945	-6.17538	-1.32355	-16.17697	3.26496	1.86022	-5.07445	-11.48296	-1.94949	-5.98990	-2.29147	-15.06228	3.49477	-0.58800	-4.68248	-9.44903
6	-0.89525	1.06661	-3.75682	1.95294	-2.75054	0.81438	-11.75020	5.67055	4.20167	0.89907	3.29124	1.98861	-3.61776	1.09119	-9.64057	4.59395	-0.54950	0.91948	-2.84830	-14.72849	4.65650	2.23820	-4.58429	-4.62315	-0.30912	-3.55770	-2.30105	-9.34559	3.87336	4.76801	-4.23623	-8.99423	-0.52814	-5.41258	-2.59952	-8.60484	3.44800	1.98873	-3.84411	-12.71841	-0.81926	-3.34038	-2.80041	-15.47424	-2.33493	-3.46051	-2.64850	-21.41990	5.05112	1.92942	-3.81661	-5.13484	-1.65947	-3.20601	-1.92388	-16.07173	5.66096	4.40534	-3.02727	-9.94443	-1.55979	-3.47190	-3.21845	-13.75976	4.36602	4.67258	-3.50989	-13.52488	0.00070	-3.27751	-4.35709	-4.91471	2.97524	5.70308	-4.58393	-12.00266	-2.07102	-5.46280	-2.26588	-16.68540	4.33564	2.16663	-0.82631	-12.74136	-3.86318	-4.52731	-2.83950	-20.69833	5.47825	7.00038	-4.15765	-5.22014	-0.15831	-0.71897	-4.35477	-4.68261	3.18117	2.11925	-2.57680	-14.60468	-1.93100	-5.48260	-2.38840	-16.84557	3.15654	4.08245	-2.78967	-17.73540	-2.21059	-5.87084	-1.36486	-15.67832	3.45027	2.03177	-4.67435	-11.06331	-1.75300	-5.72585	-2.59692	-14.80583	3.77931	-0.31976	-4.40378	-8.51937
