	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.25547	0.04505	-0.20320	0.01545	-0.00834	0.00879	0.23243	0.09281	-0.18367	0.04389	-0.00453	0.00728	0.27320	-0.20957	-0.00279	0.18277	-0.14222	-0.00289	0.16756	-0.20271	-0.01389	0.08809	-0.17185	-0.00231	0.23628	-0.17805	-0.01761	0.25966	-0.17805	-0.01463	0.21450	-0.11323	-0.01413	0.34893	-0.21193	-0.01009	0.29750	-0.21166	0.00366	0.21367	-0.20619	-0.00068	0.12307	-0.20779	-0.00274	0.25301	-0.20616	-0.01437	0.31808	-0.27306	0.01063	0.25860	-0.21283	-0.00506	0.11037	-0.19089	-0.01272	0.24490	-0.22608	0.00254	0.36367	-0.21170	-0.00207	0.30972	-0.20275	-0.01821	0.27298	-0.16289	-0.00997	0.25908	-0.21052	-0.01944	0.19603	-0.21903	-0.00727	0.28185	-0.21770	0.00731	0.32001	-0.16010	-0.01263	0.21465	-0.17900	-0.00150	0.30204	-0.13968	-0.00192
2	0.30899	0.04708	-0.20788	0.02170	-0.02061	0.01226	0.28800	0.09455	-0.17952	0.04984	-0.00696	0.00819	0.33762	-0.22927	-0.00959	0.25409	-0.13619	-0.00298	0.21816	-0.21653	-0.03457	0.16425	-0.18460	-0.00814	0.28617	-0.16882	-0.03232	0.29227	-0.17025	-0.03054	0.25421	-0.10415	-0.00945	0.40139	-0.21781	-0.01843	0.35560	-0.21108	0.00164	0.26508	-0.21556	-0.00938	0.18422	-0.21387	-0.00698	0.31474	-0.20937	-0.02691	0.37667	-0.27900	0.00952	0.30446	-0.21334	-0.01495	0.13200	-0.18313	-0.01490	0.30022	-0.24045	-0.00590	0.44106	-0.20780	-0.00264	0.35474	-0.20038	-0.03163	0.34984	-0.16678	-0.01493	0.33817	-0.21466	-0.03897	0.26467	-0.21274	-0.01657	0.34125	-0.22262	-0.00407	0.34449	-0.13673	-0.01687	0.26263	-0.18332	-0.01061	0.33488	-0.11820	-0.00125
3	0.36351	0.04854	-0.20070	0.02903	-0.03743	0.01639	0.33468	0.08608	-0.16319	0.05718	-0.00840	0.00994	0.40718	-0.24188	-0.02110	0.31699	-0.11800	-0.00013	0.27252	-0.21379	-0.06599	0.24867	-0.18940	-0.01393	0.33785	-0.14701	-0.04961	0.32800	-0.15190	-0.05002	0.28016	-0.08535	-0.00058	0.44817	-0.20945	-0.02849	0.38829	-0.19504	-0.00102	0.32030	-0.21641	-0.02347	0.27000	-0.21176	-0.01367	0.37949	-0.20404	-0.04149	0.42690	-0.27234	0.00475	0.35050	-0.20394	-0.02868	0.17410	-0.16657	-0.01572	0.36339	-0.24443	-0.02011	0.49129	-0.18775	-0.00112	0.39640	-0.18565	-0.04531	0.40144	-0.16092	-0.01924	0.41186	-0.20216	-0.06453	0.32267	-0.18918	-0.02494	0.39465	-0.20856	-0.02377	0.34938	-0.10012	-0.01690	0.31535	-0.17983	-0.02396	0.34623	-0.08186	0.00171
4	0.41695	0.04959	-0.17776	0.03755	-0.05478	0.02131	0.36651	0.07351	-0.13217	0.06570	-0.00552	0.01332	0.47568	-0.23896	-0.03346	0.35500	-0.08183	0.00783	0.33224	-0.19149	-0.10004	0.33291	-0.18237	-0.01466	0.38657	-0.10983	-0.06542	0.36154	-0.11886	-0.06907	0.28808	-0.05374	0.01521	0.49409	-0.18704	-0.03729	0.39832	-0.16389	-0.00119	0.37843	-0.20419	-0.04044	0.36742	-0.19729	-0.01831	0.44615	-0.18702	-0.05430	0.45632	-0.24686	-0.00186	0.40193	-0.18449	-0.04418	0.23524	-0.13941	-0.01094	0.43060	-0.23303	-0.03634	0.51468	-0.15194	0.00530	0.42944	-0.15320	-0.05407	0.40975	-0.13911	-0.01960	0.47486	-0.16793	-0.09140	0.36876	-0.14904	-0.02755	0.43885	-0.17050	-0.04807	0.33497	-0.05041	-0.00971	0.36995	-0.16435	-0.03802	0.33673	-0.03009	0.00918
5	0.46651	0.05126	-0.13749	0.04639	-0.06725	0.02656	0.38232	0.07116	-0.08536	0.07338	0.00513	0.01819	0.54024	-0.21698	-0.04076	0.36361	-0.02668	0.02191	0.39022	-0.14548	-0.12567	0.40210	-0.15779	-0.00530	0.42534	-0.05576	-0.07516	0.39543	-0.07481	-0.08340	0.28261	-0.00947	0.03941	0.53043	-0.14549	-0.03977	0.39106	-0.11695	0.00458	0.44122	-0.17670	-0.05603	0.45442	-0.16411	-0.01551	0.51417	-0.15744	-0.06049	0.46243	-0.19905	-0.00672	0.45471	-0.15169	-0.05792	0.30634	-0.10169	0.00510	0.49337	-0.20143	-0.04915	0.51391	-0.10129	0.01978	0.45454	-0.10445	-0.05378	0.38218	-0.10035	-0.01243	0.52740	-0.11343	-0.11312	0.40405	-0.09315	-0.02018	0.47317	-0.10799	-0.07119	0.30902	0.01051	0.00733	0.42444	-0.13570	-0.04773	0.31610	0.03570	0.02356
6	0.50437	0.05740	-0.08015	0.05585	-0.06980	0.03156	0.38356	0.08394	-0.02372	0.07957	0.02588	0.02401	0.59013	-0.17384	-0.03685	0.34006	0.04526	0.04218	0.43111	-0.07329	-0.13399	0.44724	-0.11521	0.01749	0.44316	0.01573	-0.07469	0.41919	-0.02016	-0.08871	0.26542	0.04672	0.07231	0.55202	-0.08563	-0.03186	0.37838	-0.05694	0.01903	0.50898	-0.13440	-0.06590	0.51168	-0.10842	-0.00108	0.57685	-0.11459	-0.05588	0.46104	-0.13423	-0.00565	0.50958	-0.10772	-0.06664	0.36381	-0.04796	0.03473	0.54098	-0.14810	-0.05351	0.49260	-0.03820	0.04459	0.45621	-0.03841	-0.04093	0.34280	-0.04784	0.00535	0.56224	-0.04174	-0.12305	0.42793	-0.02205	-0.00069	0.49618	-0.02640	-0.08723	0.27682	0.08144	0.03574	0.47016	-0.09336	-0.04810	0.29489	0.11277	0.04652
