	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_15_CR024_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.11631	0.02915	-0.00744	0.01519	-0.00324	0.00836	-0.08007	0.03349	-0.04214	0.01398	-0.00282	0.00505	-0.10569	0.00210	-0.00687	-0.06710	-0.05235	-0.00869	-0.12936	-0.01699	-0.00383	-0.12141	-0.06493	0.00442	-0.10949	0.00814	0.00771	-0.04753	0.01869	0.00978	-0.07862	-0.03890	-0.01000	-0.10692	-0.01157	-0.01068	-0.06045	-0.04195	-0.00556	-0.12220	-0.00469	-0.00525	-0.11127	-0.04383	0.00197	-0.14860	-0.01301	0.00088	-0.08390	-0.04845	-0.00562	-0.12962	-0.01436	-0.01346	-0.09634	-0.04338	-0.00384	-0.16154	-0.03079	-0.00921	-0.08683	-0.04557	-0.00345	-0.12471	-0.02055	-0.00279	-0.00544	-0.01319	-0.00024	-0.14053	-0.02623	-0.01691	-0.04939	-0.02072	0.00595	-0.09308	0.01369	0.00739	-0.07300	-0.03819	-0.00170	-0.09281	-0.00111	0.00112	-0.12711	-0.05426	-0.00705
2	-0.10543	0.03428	-0.00852	0.01886	-0.00909	0.01407	-0.06028	0.03928	-0.04401	0.01808	-0.01030	0.00780	-0.09426	0.00075	-0.01712	-0.05549	-0.05808	-0.01720	-0.12402	-0.01372	-0.01157	-0.09933	-0.06654	0.00216	-0.09121	0.01427	0.01021	-0.02406	0.02200	0.01093	-0.06222	-0.04349	-0.01795	-0.09200	-0.01671	-0.02112	-0.03508	-0.04091	-0.01476	-0.11912	-0.01034	-0.01345	-0.09670	-0.04004	-0.00070	-0.13389	-0.00823	0.00083	-0.08016	-0.05719	-0.01559	-0.12765	-0.02285	-0.02437	-0.09758	-0.04073	-0.00770	-0.15618	-0.03662	-0.01945	-0.05733	-0.04615	-0.00917	-0.10714	-0.02362	-0.00731	0.02637	-0.00997	-0.00796	-0.14086	-0.03364	-0.03283	-0.01739	-0.01302	0.00084	-0.07732	0.01818	0.00818	-0.04320	-0.04439	-0.01479	-0.08287	-0.00027	-0.00111	-0.10525	-0.06755	-0.02080
3	-0.08476	0.03870	-0.01051	0.02350	-0.01802	0.02124	-0.02988	0.04464	-0.04441	0.02402	-0.02064	0.01130	-0.07295	-0.00404	-0.03376	-0.04518	-0.06324	-0.02729	-0.10309	-0.01125	-0.02507	-0.06630	-0.06423	-0.00212	-0.06417	0.01950	0.01183	0.00415	0.02554	0.01067	-0.03114	-0.04678	-0.02703	-0.06710	-0.02198	-0.03547	-0.00393	-0.03735	-0.02713	-0.10800	-0.01733	-0.02546	-0.06492	-0.03309	-0.00632	-0.10827	-0.00352	0.00030	-0.06841	-0.06559	-0.03003	-0.11979	-0.03199	-0.03786	-0.07905	-0.03422	-0.01351	-0.14138	-0.04530	-0.03469	-0.01376	-0.04334	-0.01679	-0.07967	-0.02674	-0.01394	0.06224	-0.00820	-0.02175	-0.12596	-0.04223	-0.05285	0.02732	-0.00031	-0.00720	-0.04910	0.02275	0.00726	-0.00290	-0.05296	-0.03079	-0.06650	0.00001	-0.00516	-0.07247	-0.08359	-0.03772
4	-0.05454	0.04294	-0.01380	0.02853	-0.02912	0.02930	0.00941	0.05059	-0.04265	0.03185	-0.03236	0.01540	-0.04035	-0.01267	-0.05526	-0.02871	-0.06589	-0.03754	-0.06822	-0.01088	-0.04289	-0.02738	-0.05728	-0.00697	-0.02881	0.02291	0.01242	0.03647	0.02955	0.00922	0.01468	-0.04747	-0.03594	-0.03494	-0.02754	-0.05294	0.03382	-0.03250	-0.04178	-0.09073	-0.02590	-0.04042	-0.01992	-0.02351	-0.01408	-0.07029	-0.00120	-0.00019	-0.04791	-0.07288	-0.04745	-0.10771	-0.04193	-0.05327	-0.04739	-0.02499	-0.02064	-0.11889	-0.05685	-0.05369	0.04121	-0.03769	-0.02486	-0.03660	-0.02815	-0.02115	0.10316	-0.00448	-0.03966	-0.09379	-0.05155	-0.07380	0.07868	0.01681	-0.01636	-0.01076	0.02639	0.00441	0.04337	-0.06193	-0.04733	-0.04434	-0.00160	-0.01096	-0.03066	-0.10005	-0.05571
5	-0.01494	0.04872	-0.01745	0.03384	-0.04070	0.03749	0.05417	0.05496	-0.03786	0.04030	-0.04365	0.01996	0.00231	-0.02423	-0.07870	0.00118	-0.06613	-0.04729	-0.02020	-0.01256	-0.06182	0.01660	-0.04398	-0.01023	0.01565	0.02547	0.01233	0.07282	0.03648	0.00799	0.07006	-0.04481	-0.04397	0.00504	-0.03105	-0.07145	0.07630	-0.02661	-0.05742	-0.06983	-0.03605	-0.05653	0.03518	-0.01154	-0.02233	-0.01858	-0.00228	-0.00008	-0.02062	-0.07961	-0.06537	-0.09027	-0.05221	-0.06912	-0.00913	-0.01363	-0.02768	-0.08800	-0.06993	-0.07365	0.10457	-0.02759	-0.03176	0.02642	-0.02431	-0.02714	0.13977	0.00283	-0.05772	-0.04631	-0.06002	-0.09279	0.12932	0.03679	-0.02498	0.03384	0.02944	-0.00021	0.09076	-0.06712	-0.06222	-0.01713	-0.00558	-0.01796	0.01604	-0.11295	-0.07281
6	0.03403	0.05857	-0.01932	0.04034	-0.05153	0.04530	0.10290	0.05729	-0.02847	0.04766	-0.05320	0.02478	0.05404	-0.03565	-0.10120	0.05202	-0.06075	-0.05638	0.03962	-0.01547	-0.07906	0.06482	-0.02601	-0.00989	0.07030	0.03022	0.01200	0.11745	0.04989	0.00804	0.13104	-0.03590	-0.05083	0.05145	-0.03034	-0.08977	0.11931	-0.01998	-0.07303	-0.04508	-0.04685	-0.07219	0.09714	0.00175	-0.02931	0.04667	-0.00547	0.00065	0.01118	-0.08599	-0.08165	-0.06646	-0.06207	-0.08491	0.03217	-0.00111	-0.03415	-0.04711	-0.08281	-0.09203	0.17645	-0.00963	-0.03669	0.11220	-0.01014	-0.03104	0.16441	0.01584	-0.07230	0.01199	-0.06539	-0.10886	0.17684	0.05875	-0.03216	0.08054	0.03347	-0.00609	0.14267	-0.06180	-0.07404	0.01684	-0.01052	-0.02538	0.06675	-0.11684	-0.08799
