	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	13.37315	1.03015	31.96783	1.62156	-3.50021	3.66044	-2.18819	2.37967	13.20971	1.49574	32.54987	1.81398	-2.12658	2.08537	-2.49625	1.85909	14.67130	33.54397	1.00962	1.65596	17.75853	37.37643	1.84225	-3.88159	13.43553	32.47365	-8.61833	-2.88001	13.72219	33.50093	0.14508	-5.57571	13.15748	33.01608	3.93086	-5.96490	12.40411	34.66088	0.41290	-2.94772	13.41328	29.88561	-1.35728	-0.29903	12.96407	32.68144	-2.07167	0.29766	14.20636	33.28909	-4.53527	-6.18694	13.05948	32.23459	-4.54044	-2.33681	12.28691	32.61841	2.29811	-3.70496	12.04984	30.56903	-2.72082	-0.36867	12.98969	34.60896	-1.75067	-1.16503	13.92094	34.17779	-3.12784	-2.18619	13.70968	30.70964	-5.35441	-0.47236	14.49961	32.33344	-3.66927	-0.75086	13.96210	32.30568	-5.24680	-2.30862	12.72453	30.79648	-3.12413	0.19023	12.99439	30.54159	-4.07363	-0.64958	12.07636	31.55645	-1.10479	-1.95214	13.69220	31.58335	-7.04906	-1.21314	12.75850	32.91521	1.13076	-2.74384	13.25483	30.29848	-6.10793	1.17693	13.45418	31.60753	-3.63072	-3.61177	11.00837	28.75321	-5.84812	-3.65626	12.90346	31.87193	-3.43296	-3.08957	13.21374	33.48543	-2.92019	-4.84981	11.60360	30.65072	-4.38587	-5.97608	15.30415	32.40425	-6.88007	-2.30514	14.11737	31.31521	-3.62116	-2.51073
2	13.32303	1.00948	31.88265	1.57224	-3.07244	3.27121	-2.83976	2.35728	13.07841	1.50813	32.55501	1.79530	-1.00716	2.07048	-2.91576	1.78326	14.52647	33.14586	0.58884	0.81614	17.69177	37.25901	2.11693	-4.81594	13.32796	32.45098	-7.65390	-3.45926	13.51784	33.58792	1.98352	-6.00296	13.10216	32.48365	3.79286	-6.40679	12.36254	34.78546	2.11039	-3.07483	13.40289	29.58236	-2.02887	-1.27946	12.84196	32.66299	-1.28191	-0.30220	14.14713	33.37407	-3.58568	-6.67765	12.88922	32.24140	-3.45085	-2.68329	12.26038	32.42154	1.85254	-4.32419	11.91425	30.67627	-1.70272	-0.74537	12.93151	34.58493	-0.86701	-1.63927	13.72994	34.29482	-2.26739	-2.81269	13.65240	30.62271	-5.02934	-1.18573	14.33113	32.18923	-2.93396	-1.16985	13.94880	32.26674	-4.65333	-2.91665	12.57985	30.93382	-1.54934	-0.07638	12.95933	30.85891	-2.07735	-1.02801	11.98968	31.48760	0.10418	-2.62982	13.63512	31.54921	-6.49587	-2.19825	12.56072	32.60022	1.84619	-3.28985	13.17163	30.22805	-6.04430	0.67427	13.39448	31.56976	-2.87010	-4.36837	10.97715	28.87373	-4.98515	-4.09244	12.82222	32.09798	-1.92664	-3.58232	13.26219	33.38295	-3.33460	-6.02720	11.39821	30.67295	-3.10310	-5.33579	15.21144	32.41410	-5.56545	-2.85196	13.96810	31.26569	-2.18262	-2.84672
3	13.27557	0.99102	31.88983	1.55243	-2.00350	2.96443	-3.57403	2.26464	12.95039	1.51106	32.63894	1.76434	0.60649	2.05328	-3.60210	1.89216	14.39168	32.85606	0.89374	-0.21745	17.57818	37.17215	3.00182	-5.61541	13.24155	32.58134	-6.03447	-4.20875	13.31991	33.73109	4.17887	-6.32721	13.03451	31.99267	4.14262	-6.55566	12.33318	34.88265	3.98654	-3.40369	13.35779	29.35947	-1.85852	-2.15625	12.74535	32.72129	0.01431	-1.14842	14.10252	33.56186	-2.07361	-7.12953	12.73892	32.39413	-1.76454	-3.21629	12.22355	32.33183	2.25925	-4.88039	11.77506	30.85178	-0.12401	-1.27092	12.88874	34.59512	0.46864	-2.24021	13.53637	34.47221	-0.76023	-3.67064	13.60995	30.65634	-4.01477	-2.11856	14.16547	32.22821	-1.44951	-1.75594	13.93802	32.31529	-3.37384	-3.64298	12.42667	31.11525	0.46074	-0.49452	12.91943	31.15096	0.02997	-1.55934	11.89708	31.47550	1.63443	-3.48808	13.58974	31.65129	-5.19001	-3.34576	12.40720	32.42416	3.05319	-3.96592	13.07618	30.25442	-5.15169	-0.05358	13.33922	31.62961	-1.56174	-5.30011	10.97325	29.08804	-3.58290	-4.72519	12.74004	32.40319	0.05315	-4.20810	13.32660	33.43176	-2.83094	-7.20037	11.19592	30.80301	-1.25862	-6.83645	15.12527	32.52100	-3.73596	-3.57636	13.81859	31.27995	-0.36701	-3.32983
4	13.23033	0.97743	31.97484	1.56416	-0.43320	2.71097	-4.33122	2.11314	12.82245	1.50619	32.77047	1.72467	2.55264	2.02164	-4.27662	1.80977	14.27459	32.69499	1.85479	-1.33924	17.42048	37.10453	4.40035	-6.15921	13.18570	32.83530	-3.97774	-5.08368	13.12038	33.88336	6.56990	-6.47855	12.95888	31.55264	4.91968	-6.36236	12.29890	34.93893	5.95783	-3.88198	13.27520	29.20841	-0.95159	-2.89237	12.67521	32.83546	1.68244	-2.18657	14.07432	33.81760	-0.17120	-7.48715	12.60542	32.65196	0.31953	-3.90078	12.17052	32.34377	3.44626	-5.30467	11.62966	31.06143	1.85377	-1.89704	12.85585	34.62868	2.14222	-2.94790	13.34391	34.68565	1.22421	-4.70244	13.57916	30.79337	-2.46856	-3.18257	14.00760	32.41900	0.59810	-2.47809	13.93181	32.44279	-1.57778	-4.43742	12.26460	31.30763	2.71726	-1.02435	12.86634	31.37012	2.09193	-2.19014	11.78929	31.48952	3.35493	-4.48318	13.55786	31.89265	-3.27894	-4.54144	12.29059	32.35673	4.60817	-4.71695	12.97597	30.37194	-3.60877	-1.00628	13.28267	31.76089	0.12101	-6.29939	10.99042	29.36478	-1.79635	-5.50724	12.65994	32.73649	2.29157	-4.90198	13.40132	33.62357	-1.51054	-8.27799	10.99805	31.01167	0.96808	-7.15216	15.04239	32.68195	-1.61142	-4.40785	13.66432	31.31390	1.62247	-3.88669
5	13.18308	0.97056	32.12033	1.60536	1.50520	2.48456	-4.98945	1.94486	12.68738	1.49615	32.91925	1.68171	4.70207	1.97908	-4.87244	1.65733	14.17676	32.67277	3.38009	-2.36868	17.22238	37.04552	6.20209	-6.33207	13.15990	33.16939	-1.67538	-5.97551	12.90618	33.99252	9.03576	-6.34742	12.87873	31.17387	6.06319	-5.81909	12.24019	34.94952	7.98331	-4.37606	13.15377	29.11628	0.54938	-3.42479	12.62385	32.98211	3.60190	-3.28359	14.05751	34.09992	1.97731	-7.64303	12.47987	32.96949	2.63105	-4.63073	12.09658	32.44355	5.27206	-5.50282	11.47311	31.27778	4.08967	-2.51551	12.82279	34.67718	4.05944	-3.66557	13.15256	34.91134	3.52665	-5.75964	13.55303	31.01807	-0.52822	-4.19774	13.85638	32.71450	3.03013	-3.22713	13.92591	32.63885	0.58638	-5.16011	12.09093	31.48232	5.07790	-1.56667	12.78961	31.48281	4.02808	-2.80677	11.65744	31.50504	5.18704	-5.48277	13.53383	32.26763	-0.89692	-5.58947	12.19302	32.35817	6.39715	-5.41711	12.87736	30.57560	-1.60374	-2.08825	13.21531	31.94292	2.05535	-7.19458	11.01488	29.66814	0.24319	-6.28708	12.57864	33.05311	4.63261	-5.54707	13.47879	33.95046	0.48193	-9.11186	10.80233	31.26986	3.42583	-7.01559	14.95293	32.85041	0.64122	-5.20101	13.49789	31.33446	3.65466	-4.39067
6	13.12749	0.97118	32.30960	1.67359	3.70277	2.28036	-5.39874	1.81556	12.53753	1.48318	33.06520	1.63946	6.97254	1.93582	-5.27138	1.55041	14.09397	32.78490	5.36346	-3.09761	16.98671	36.98457	8.29549	-6.05688	13.15283	33.53304	0.73921	-6.73058	12.66512	34.02016	11.50337	-5.81758	12.79703	30.86939	7.51585	-4.95949	12.13966	34.91919	10.05902	-4.68401	12.99345	29.06626	2.48890	-3.67180	12.57770	33.13918	5.68064	-4.24621	14.04362	34.37996	4.27954	-7.48413	12.35023	33.30878	5.05850	-5.24413	12.00048	32.60690	7.53943	-5.39228	11.30125	31.48726	6.47740	-2.98595	12.77686	34.73745	6.16021	-4.23036	12.95840	35.13203	6.02492	-6.62089	13.52219	31.31773	1.70712	-4.95100	13.70670	33.06932	5.70660	-3.83118	13.91300	32.89448	3.00870	-5.62713	11.90473	31.62480	7.45414	-1.98981	12.68251	31.48297	5.83573	-3.27109	11.49741	31.51430	7.10743	-6.29044	13.50705	32.76041	1.83957	-6.28198	12.09328	32.39474	8.35888	-5.87267	12.78299	30.85690	0.70601	-3.11731	13.12869	32.16799	4.17858	-7.79623	11.02835	29.96827	2.45309	-6.84569	12.49120	33.32969	6.99619	-5.99405	13.55115	34.39864	2.97829	-9.54468	10.60529	31.55474	6.00411	-6.95028	14.84322	32.98668	2.92645	-5.77603	13.31375	31.33128	5.68285	-4.69039
