	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.38172	0.07861	-0.30108	0.03283	0.00933	0.00771	0.35123	0.04578	-0.29079	0.02699	0.00869	0.00931	0.40714	-0.30604	0.00452	0.26597	-0.27259	0.01497	0.31320	-0.31141	0.01390	0.45983	-0.31425	-0.00087	0.51876	-0.32919	0.02193	0.34478	-0.24153	0.00040	0.53376	-0.33496	0.01229	0.36593	-0.30195	0.01547	0.47832	-0.33049	0.01687	0.35039	-0.31732	0.01863	0.37703	-0.27628	0.00154	0.38117	-0.30917	0.00884	0.40613	-0.30115	0.00287	0.26763	-0.29357	0.00759	0.35582	-0.31587	0.01667	0.38637	-0.30320	0.01101	0.33337	-0.27847	0.00152	0.34733	-0.22366	-0.01086	0.32710	-0.24642	0.00926	0.32636	-0.29503	0.01184	0.32408	-0.26325	0.00449	0.31402	-0.29476	0.00993	0.32328	-0.30775	0.02019	0.32791	-0.25080	0.00880	0.33559	-0.30255	0.01458	0.31787	-0.31207	0.01338	0.40398	-0.35365	0.01427	0.39863	-0.30912	-0.01121
2	0.43237	0.08202	-0.31606	0.03924	0.00308	0.01275	0.41691	0.05066	-0.30196	0.03006	0.00588	0.01456	0.43083	-0.30939	-0.00695	0.34475	-0.29915	0.02826	0.40101	-0.33480	0.00956	0.55186	-0.31925	-0.00577	0.55884	-0.34185	0.02490	0.42474	-0.25142	-0.00280	0.57184	-0.35766	0.01448	0.43033	-0.32347	0.01665	0.54564	-0.35637	0.01983	0.38493	-0.33115	0.01700	0.42424	-0.28537	-0.00947	0.43856	-0.32283	0.00407	0.49480	-0.32369	-0.00791	0.30299	-0.30731	-0.00404	0.41880	-0.33196	0.01596	0.42848	-0.31903	0.00163	0.38676	-0.27870	-0.00923	0.39274	-0.21334	-0.02592	0.37875	-0.24589	0.00875	0.37723	-0.31320	0.00416	0.39325	-0.27238	0.00213	0.35045	-0.30968	0.00243	0.39756	-0.32593	0.01821	0.36057	-0.26717	0.00691	0.40557	-0.30987	0.00997	0.36151	-0.33339	0.00927	0.48434	-0.36867	0.00735	0.46393	-0.31344	-0.02682
3	0.48617	0.08436	-0.31931	0.04575	-0.00984	0.01932	0.48583	0.05682	-0.30013	0.03371	-0.00004	0.02047	0.46111	-0.30201	-0.02793	0.42781	-0.31375	0.04169	0.49428	-0.34913	-0.00145	0.63958	-0.30464	-0.00993	0.59342	-0.34181	0.02562	0.50101	-0.24749	-0.00782	0.59937	-0.36803	0.00941	0.50307	-0.33127	0.01183	0.61690	-0.37206	0.02005	0.42836	-0.33264	0.01024	0.46621	-0.27828	-0.02795	0.50410	-0.32274	-0.00532	0.58252	-0.33110	-0.02878	0.35960	-0.30959	-0.02412	0.48601	-0.33275	0.01022	0.47609	-0.32018	-0.01615	0.44575	-0.26551	-0.02430	0.42942	-0.19440	-0.04377	0.42601	-0.23572	0.00712	0.43170	-0.31675	-0.01125	0.46916	-0.27341	-0.00326	0.39799	-0.31446	-0.01527	0.47887	-0.33068	0.01175	0.40079	-0.27743	-0.00049	0.47585	-0.30421	0.00163	0.41939	-0.34547	-0.00135	0.56376	-0.36888	-0.00416	0.53021	-0.30689	-0.04429
4	0.54277	0.08672	-0.30822	0.05176	-0.02660	0.02766	0.55295	0.06364	-0.28143	0.03757	-0.00677	0.02678	0.50518	-0.28282	-0.05607	0.51027	-0.30954	0.05694	0.58148	-0.35087	-0.01773	0.72128	-0.26553	-0.00901	0.62806	-0.32960	0.02794	0.57316	-0.22624	-0.01333	0.62399	-0.36273	-0.00169	0.57790	-0.32079	0.00219	0.69146	-0.37360	0.01997	0.47947	-0.31908	-0.00000	0.50630	-0.25376	-0.04830	0.57874	-0.30784	-0.01684	0.66694	-0.31946	-0.05748	0.43444	-0.29800	-0.04885	0.54883	-0.31298	0.00159	0.52464	-0.30098	-0.03869	0.50133	-0.23489	-0.04065	0.45934	-0.16884	-0.06206	0.46985	-0.21458	0.00552	0.48047	-0.29945	-0.03055	0.54807	-0.26220	-0.00909	0.45543	-0.30500	-0.04138	0.54871	-0.31515	0.00292	0.45029	-0.27710	-0.01188	0.53882	-0.28169	-0.00851	0.49812	-0.34692	-0.01469	0.63537	-0.35420	-0.01751	0.59188	-0.28807	-0.05969
5	0.59288	0.08681	-0.27746	0.05566	-0.04257	0.03736	0.60735	0.06819	-0.23943	0.04175	-0.01113	0.03399	0.55713	-0.24721	-0.08572	0.58132	-0.27681	0.07761	0.64896	-0.33349	-0.03643	0.78304	-0.19234	0.00114	0.65346	-0.29923	0.03482	0.62653	-0.17707	-0.01627	0.64526	-0.33658	-0.01414	0.63292	-0.28083	-0.00957	0.75418	-0.35090	0.02297	0.52459	-0.28179	-0.01138	0.54237	-0.20985	-0.06343	0.64736	-0.27054	-0.02724	0.73143	-0.27914	-0.08709	0.51082	-0.26788	-0.07256	0.59558	-0.26623	-0.00681	0.56844	-0.25874	-0.06036	0.55002	-0.18526	-0.05458	0.48385	-0.13630	-0.07833	0.50722	-0.17977	0.00541	0.51773	-0.25902	-0.04843	0.61831	-0.23238	-0.01144	0.51226	-0.27661	-0.07077	0.60062	-0.27868	-0.00530	0.50262	-0.25972	-0.02347	0.59085	-0.23989	-0.01772	0.58608	-0.33085	-0.02632	0.67860	-0.31635	-0.02930	0.63720	-0.25103	-0.06853
6	0.63417	0.08702	-0.22777	0.05819	-0.05304	0.04787	0.65384	0.06989	-0.17774	0.04804	-0.01016	0.04280	0.60319	-0.19118	-0.11090	0.63407	-0.21133	0.10584	0.70479	-0.30072	-0.05356	0.83123	-0.09057	0.02195	0.67003	-0.25190	0.04977	0.66944	-0.10259	-0.01366	0.66027	-0.28716	-0.02213	0.66768	-0.21265	-0.01933	0.80274	-0.30403	0.03217	0.57333	-0.22696	-0.02020	0.56620	-0.14534	-0.06824	0.70776	-0.21429	-0.03330	0.77810	-0.21184	-0.10948	0.57849	-0.22058	-0.09016	0.63529	-0.19776	-0.01117	0.60835	-0.19788	-0.07551	0.60393	-0.12337	-0.06310	0.50890	-0.09895	-0.09108	0.54105	-0.13390	0.00880	0.54663	-0.19908	-0.05995	0.67466	-0.18329	-0.00670	0.56313	-0.23059	-0.09723	0.64047	-0.22640	-0.00983	0.55366	-0.22274	-0.03100	0.64210	-0.18509	-0.02273	0.66497	-0.29266	-0.03267	0.70312	-0.26184	-0.03559	0.67891	-0.20242	-0.06869
