	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.12547	0.05214	-0.00498	0.02280	0.00396	0.00405	-0.10730	0.02588	-0.00557	0.02602	0.01301	0.01538	-0.19517	-0.02072	0.00082	-0.09655	-0.01899	0.00266	-0.17298	-0.04288	0.00360	-0.10127	0.01055	0.03862	-0.23817	-0.03609	0.00556	-0.06446	0.01243	0.01788	-0.13578	0.02836	0.00173	-0.10369	0.00195	0.00992	-0.13426	0.00660	0.00824	-0.16644	-0.02122	0.01067	-0.08648	0.02144	0.00975	-0.09360	0.03209	0.03144	-0.10256	-0.00782	-0.00292	-0.12943	-0.03596	0.00825	-0.11173	-0.00751	-0.00305	-0.08190	0.01483	0.00677	-0.06869	0.02508	0.02400	-0.06602	-0.00592	0.00049	-0.12708	-0.05640	-0.01169	-0.07561	0.00415	0.00762	-0.11028	-0.00467	0.01857	-0.06794	0.01936	0.00851	-0.12562	-0.03932	-0.00647	-0.07668	0.01341	0.00105	-0.11746	-0.02515	0.00733	-0.15362	-0.01272	0.00011	-0.16541	-0.02078	-0.00013	-0.10799	0.01880	0.02928
2	-0.11907	0.05198	-0.01492	0.02471	-0.00006	0.00617	-0.10391	0.03044	-0.01295	0.03557	0.01378	0.02513	-0.19085	-0.03387	-0.00249	-0.10196	-0.02563	0.00013	-0.17665	-0.05409	0.00184	-0.08533	0.02029	0.05401	-0.22078	-0.04227	0.00256	-0.06183	0.01467	0.02346	-0.11911	0.02194	-0.00393	-0.10169	-0.00952	0.01215	-0.10835	-0.00171	0.00434	-0.16924	-0.03741	0.01224	-0.07887	0.02157	0.01030	-0.07669	0.03373	0.03959	-0.10626	-0.02227	-0.01107	-0.12841	-0.04574	0.00726	-0.10583	-0.02356	-0.01483	-0.07035	0.00321	0.00140	-0.06253	0.02306	0.03026	-0.06355	-0.01475	-0.00549	-0.12899	-0.07805	-0.02746	-0.06842	-0.00806	0.00235	-0.09802	-0.00353	0.02612	-0.06299	0.01527	0.00840	-0.13818	-0.06508	-0.02231	-0.07017	-0.00064	-0.00413	-0.12346	-0.03930	0.00555	-0.15730	-0.02838	-0.00547	-0.16400	-0.03400	-0.00673	-0.09710	0.02194	0.04017
3	-0.10539	0.05130	-0.02770	0.02582	-0.00894	0.00896	-0.09279	0.03792	-0.02039	0.04673	0.00930	0.03640	-0.17813	-0.05043	-0.00958	-0.10442	-0.03280	-0.00988	-0.17407	-0.06707	-0.00398	-0.05409	0.03408	0.06415	-0.18949	-0.04729	-0.00790	-0.04922	0.01625	0.02435	-0.08991	0.00932	-0.01558	-0.09428	-0.02280	0.01028	-0.07845	-0.01610	-0.00821	-0.17036	-0.05228	0.01040	-0.06109	0.01826	0.00838	-0.05303	0.03323	0.04219	-0.09978	-0.03812	-0.02496	-0.12349	-0.05539	0.00222	-0.09352	-0.04365	-0.03494	-0.05453	-0.01221	-0.00948	-0.04950	0.02328	0.03370	-0.05727	-0.02329	-0.01433	-0.12130	-0.10057	-0.05004	-0.05595	-0.02372	-0.00920	-0.08116	-0.00133	0.03023	-0.05246	0.00702	0.00527	-0.14021	-0.09379	-0.04691	-0.06161	-0.01991	-0.01419	-0.12004	-0.05163	-0.00008	-0.15403	-0.04698	-0.01456	-0.15055	-0.04955	-0.01802	-0.07512	0.02691	0.04745
4	-0.08542	0.05194	-0.04225	0.02705	-0.02290	0.01318	-0.07117	0.04743	-0.02708	0.05827	-0.00074	0.04819	-0.16141	-0.06957	-0.02117	-0.10182	-0.04118	-0.03005	-0.16270	-0.08009	-0.01441	-0.00431	0.05009	0.06683	-0.14525	-0.05418	-0.02658	-0.02700	0.01610	0.01969	-0.05317	-0.00889	-0.03383	-0.07735	-0.03645	0.00384	-0.04278	-0.03624	-0.03039	-0.16564	-0.06316	0.00508	-0.03467	0.01326	0.00417	-0.02378	0.03042	0.03922	-0.08008	-0.05292	-0.04568	-0.11503	-0.06408	-0.00731	-0.07355	-0.06630	-0.06286	-0.03392	-0.02870	-0.02525	-0.02636	0.02642	0.03325	-0.04883	-0.03106	-0.02548	-0.10251	-0.12299	-0.07733	-0.03778	-0.03911	-0.02598	-0.05443	0.00223	0.02960	-0.03734	-0.00393	-0.00124	-0.12719	-0.12111	-0.07789	-0.04926	-0.04259	-0.02969	-0.10232	-0.05966	-0.00883	-0.15301	-0.06912	-0.02673	-0.12611	-0.06659	-0.03393	-0.03895	0.03353	0.04980
5	-0.05731	0.05474	-0.05556	0.02866	-0.04077	0.01889	-0.03520	0.05785	-0.03085	0.06849	-0.01524	0.05886	-0.13914	-0.08788	-0.03676	-0.08386	-0.04658	-0.06025	-0.13595	-0.08864	-0.02834	0.06641	0.06629	0.06041	-0.08659	-0.06295	-0.05194	0.00737	0.01572	0.00921	-0.01052	-0.02995	-0.05740	-0.04386	-0.04635	-0.00643	0.00263	-0.05934	-0.06098	-0.14442	-0.06504	-0.00248	0.00003	0.00938	-0.00222	0.01432	0.02643	0.03048	-0.04481	-0.06259	-0.07190	-0.09976	-0.06978	-0.02073	-0.04296	-0.08763	-0.09482	-0.00625	-0.04204	-0.04388	0.00563	0.03256	0.02904	-0.03805	-0.03712	-0.03811	-0.07164	-0.14214	-0.10526	-0.01182	-0.04930	-0.04512	-0.01068	0.00753	0.02424	-0.01820	-0.01548	-0.01093	-0.09977	-0.14289	-0.11059	-0.03126	-0.06568	-0.05006	-0.06736	-0.06037	-0.01842	-0.15221	-0.09068	-0.04025	-0.08777	-0.08132	-0.05286	0.01322	0.04139	0.04676
6	-0.02108	0.06062	-0.06542	0.03159	-0.06062	0.02568	0.01161	0.06800	-0.03026	0.07684	-0.03157	0.06826	-0.10984	-0.10404	-0.05478	-0.04750	-0.04715	-0.09703	-0.09314	-0.08979	-0.04357	0.15013	0.08205	0.04689	-0.01889	-0.07503	-0.08041	0.04610	0.01734	-0.00486	0.03719	-0.05097	-0.08395	0.00492	-0.04873	-0.01788	0.05622	-0.08284	-0.09693	-0.10905	-0.05584	-0.00940	0.04366	0.00877	-0.01032	0.05882	0.02339	0.01865	0.00198	-0.06481	-0.10108	-0.07586	-0.07119	-0.03637	-0.00332	-0.10425	-0.12677	0.02908	-0.04870	-0.06292	0.04024	0.04180	0.02279	-0.02448	-0.04174	-0.05169	-0.03190	-0.15703	-0.13154	0.02270	-0.05063	-0.06354	0.04958	0.01445	0.01609	0.00588	-0.02425	-0.02302	-0.06246	-0.15686	-0.14148	-0.00579	-0.08580	-0.07425	-0.01923	-0.05312	-0.02611	-0.14580	-0.10916	-0.05341	-0.03904	-0.09112	-0.07300	0.07455	0.05053	0.04029
