	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0003_1_INE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_5_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0005_6_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_16_CR025_BAREFOOT_GAIT0006_2_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05704	0.04189	0.03360	0.00636	0.00268	0.00402	-0.03449	0.01797	0.01844	0.00571	0.00411	0.00439	-0.11213	0.04203	0.00446	-0.04685	0.02376	0.00382	-0.07755	0.02964	0.00146	-0.02113	0.02263	0.00858	-0.13835	0.02721	-0.00464	0.00158	0.01104	0.00038	-0.09675	0.03788	0.00408	-0.03812	0.01731	-0.00132	-0.11533	0.02137	-0.00797	-0.05810	0.01149	-0.00284	-0.04676	0.02700	0.00148	-0.04028	0.02044	0.00572	-0.00329	0.04137	0.00487	-0.04685	0.02931	0.00184	-0.06302	0.02384	0.00675	-0.03636	0.03731	0.00416	-0.00994	0.02545	0.01169	-0.00303	0.02659	0.00724	-0.03863	0.01550	0.00542	-0.01629	0.03749	0.00499	-0.02161	0.01740	0.00373	-0.02998	0.03662	0.00470	-0.03428	0.02400	0.00886	-0.03290	0.03215	0.00408	-0.03895	0.00762	-0.00123	-0.04774	0.03859	0.00355	-0.05224	0.03947	0.00594	-0.03912	0.01923	0.00385
2	-0.04643	0.04018	0.03436	0.00729	0.00260	0.00560	-0.02636	0.02297	0.02195	0.00852	0.00853	0.00782	-0.09889	0.04704	0.00923	-0.04828	0.02737	0.00913	-0.07390	0.02882	0.00134	-0.00152	0.03123	0.01967	-0.12426	0.02768	-0.00459	0.00728	0.01274	0.00268	-0.08593	0.03856	0.00195	-0.03161	0.01577	-0.00297	-0.09788	0.01959	-0.01283	-0.05536	0.00859	-0.00432	-0.03685	0.02814	-0.00036	-0.01798	0.02578	0.01034	0.00437	0.04048	0.00323	-0.03610	0.03050	0.00227	-0.05978	0.02787	0.01201	-0.02155	0.03705	0.00383	0.00890	0.03154	0.01886	0.00014	0.02685	0.00953	-0.04277	0.01933	0.00906	-0.00507	0.03746	0.00595	-0.01134	0.02087	0.00951	-0.01760	0.03907	0.00453	-0.03245	0.02873	0.01462	-0.02081	0.03255	0.00279	-0.04023	0.00723	-0.00110	-0.03937	0.04102	0.00436	-0.04272	0.04051	0.00777	-0.01755	0.02837	0.01341
3	-0.03306	0.03724	0.03438	0.00828	0.00341	0.00774	-0.01395	0.03186	0.02765	0.01235	0.01532	0.01249	-0.08017	0.05278	0.01636	-0.04726	0.03308	0.01745	-0.06792	0.02860	0.00242	0.02905	0.04338	0.03548	-0.10427	0.02905	-0.00304	0.01894	0.01562	0.00683	-0.06821	0.03698	-0.00020	-0.02540	0.01452	-0.00358	-0.07890	0.01765	-0.01655	-0.05212	0.00728	-0.00422	-0.02224	0.02695	-0.00219	0.00861	0.03248	0.01756	0.01385	0.03728	0.00111	-0.02548	0.03118	0.00420	-0.05265	0.03398	0.01907	-0.00638	0.03525	0.00408	0.03200	0.03990	0.02921	0.00490	0.02804	0.01307	-0.04283	0.02530	0.01306	0.00605	0.03610	0.00806	0.00060	0.02764	0.01822	-0.00268	0.03962	0.00527	-0.02662	0.03563	0.02185	-0.01055	0.03187	0.00184	-0.03656	0.00905	0.00034	-0.02510	0.04275	0.00621	-0.02873	0.04155	0.01057	0.01286	0.04157	0.02787
4	-0.01911	0.03367	0.03354	0.00995	0.00466	0.01045	0.00342	0.04296	0.03438	0.01660	0.02327	0.01793	-0.06122	0.05935	0.02530	-0.04270	0.04047	0.02766	-0.05852	0.02904	0.00430	0.07036	0.05619	0.05374	-0.07991	0.03064	-0.00112	0.03580	0.01839	0.01190	-0.04892	0.03300	-0.00268	-0.01711	0.01348	-0.00345	-0.05905	0.01501	-0.01973	-0.04623	0.00764	-0.00283	-0.00531	0.02320	-0.00380	0.03656	0.03930	0.02602	0.02643	0.03161	-0.00178	-0.01752	0.03144	0.00733	-0.04042	0.04147	0.02659	0.00784	0.03180	0.00445	0.05925	0.04900	0.04150	0.00961	0.02971	0.01729	-0.03827	0.03169	0.01598	0.01659	0.03362	0.01053	0.01757	0.03668	0.02876	0.01123	0.03862	0.00707	-0.01560	0.04366	0.02883	-0.00295	0.03020	0.00121	-0.02604	0.01215	0.00249	-0.01332	0.04366	0.00810	-0.01160	0.04220	0.01341	0.05135	0.05684	0.04539
5	-0.00450	0.02947	0.03133	0.01264	0.00565	0.01348	0.02588	0.05307	0.03975	0.02019	0.03041	0.02299	-0.04270	0.06585	0.03480	-0.02832	0.04779	0.03775	-0.04227	0.02945	0.00621	0.11787	0.06408	0.06965	-0.05072	0.03109	0.00018	0.05668	0.01897	0.01667	-0.02973	0.02674	-0.00570	-0.00255	0.01191	-0.00289	-0.03619	0.01109	-0.02287	-0.03328	0.00872	-0.00063	0.01288	0.01655	-0.00526	0.06427	0.04374	0.03328	0.04163	0.02244	-0.00584	-0.01137	0.03104	0.01092	-0.02188	0.04809	0.03250	0.02184	0.02636	0.00408	0.08624	0.05603	0.05317	0.01326	0.03127	0.02145	-0.02879	0.03658	0.01673	0.02781	0.02994	0.01210	0.04221	0.04483	0.03869	0.02262	0.03627	0.00972	-0.00086	0.05133	0.03388	0.00196	0.02725	0.00049	-0.00870	0.01468	0.00434	-0.00561	0.04364	0.00938	0.00914	0.04102	0.01516	0.09355	0.07003	0.06213
6	0.01065	0.02602	0.02736	0.01635	0.00541	0.01683	0.04985	0.06000	0.04190	0.02291	0.03497	0.02697	-0.02336	0.07126	0.04354	-0.00438	0.05229	0.04495	-0.01939	0.02925	0.00715	0.16328	0.06412	0.07997	-0.01990	0.02926	-0.00092	0.07473	0.01584	0.01971	-0.01103	0.01822	-0.00985	0.01702	0.00856	-0.00283	-0.01205	0.00542	-0.02757	-0.01567	0.00883	0.00126	0.03253	0.00624	-0.00741	0.08837	0.04398	0.03718	0.05660	0.00969	-0.01154	-0.00552	0.02962	0.01376	0.00047	0.05206	0.03523	0.03638	0.01887	0.00211	0.10730	0.05978	0.06268	0.01594	0.03254	0.02491	-0.01482	0.03917	0.01493	0.04056	0.02475	0.01173	0.07306	0.04895	0.04562	0.03233	0.03293	0.01253	0.01454	0.05745	0.03598	0.00493	0.02264	-0.00124	0.01195	0.01495	0.00482	-0.00011	0.04203	0.00902	0.03186	0.03773	0.01486	0.13214	0.07875	0.07508
