	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	0.80432	0.63010	3.21206	2.62012	-7.57747	0.67764	-18.94545	4.18018	-3.82331	1.10547	-1.58284	1.75649	-5.86735	0.72589	-18.11136	3.61566	1.07499	5.01644	-9.07523	-16.50464	-2.92149	0.04039	-5.40283	-20.96304	0.19429	1.91937	-8.42943	-17.92609	-1.39104	2.75869	-4.48508	-17.32163	1.72511	2.63514	-8.37788	-16.53235	-4.51089	-4.37039	-6.23513	-13.74794	0.46496	2.40879	-6.94421	-18.94313	-2.75302	-1.24031	-5.85952	-17.22784	0.14092	-1.60811	-6.89955	-22.10388	-3.11976	-3.86892	-6.01203	-15.52852	0.25709	5.57779	-7.71463	-14.13774	-2.57309	-0.68570	-5.53449	-17.96492	1.73953	7.06125	-7.07555	-22.77678	-4.17023	-1.72539	-6.01028	-12.87823	0.31741	2.47254	-7.18698	-21.17145	-4.63493	-2.68645	-5.80532	-16.51220	1.79985	3.08399	-6.96765	-14.66837	-5.23920	-1.23120	-5.64015	-23.00620	1.07582	5.34044	-7.98062	-18.53157	-4.83397	-1.92362	-5.06433	-22.66751	0.39298	6.54035	-7.32537	-29.04782	-4.65120	-1.23340	-5.57589	-13.27978	1.26557	-1.33651	-6.89499	-13.49644	-4.53495	-2.45441	-7.56784	-18.80556	0.66818	4.08472	-7.53387	-17.43199	-3.68683	-0.70268	-6.37357	-23.89771	0.14378	1.77261	-7.67864	-21.96405	-4.50576	-2.83638	-6.57645	-19.75798
2	1.01559	0.62583	3.64559	2.56048	-7.54806	0.68596	-18.80721	3.94388	-3.62182	1.08416	-1.10801	1.79965	-6.02576	0.76044	-17.48063	3.45258	1.18745	5.21055	-8.99695	-16.51419	-2.89396	0.41769	-5.61249	-20.51109	0.37467	2.38139	-8.41542	-17.91654	-1.19427	3.25052	-4.59484	-16.60732	1.92855	3.03967	-8.36509	-16.43132	-4.39485	-3.97424	-6.60757	-12.85095	0.65122	2.84196	-7.14851	-19.06229	-2.64912	-0.62130	-6.35032	-16.30507	0.36309	-1.00480	-6.82582	-22.48041	-2.81040	-3.49237	-5.78822	-14.95644	0.41955	6.10525	-7.69014	-14.21919	-2.36066	0.21202	-5.94597	-17.61177	1.94484	7.36907	-7.11269	-22.36424	-3.89763	-1.20376	-6.20123	-12.82753	0.56516	2.81739	-6.92284	-21.38296	-4.42211	-2.13686	-5.89969	-15.67898	2.01349	3.59618	-6.96602	-14.34950	-5.02274	-0.84382	-5.81335	-21.59044	1.31151	5.85542	-8.07234	-18.12131	-4.55535	-1.33342	-5.19767	-22.52214	0.58246	6.75741	-7.22440	-27.60951	-4.39898	-1.08736	-5.40435	-13.31201	1.51588	-0.87918	-6.77959	-13.79566	-4.31830	-2.10978	-7.74427	-17.89506	0.89381	4.66570	-7.62835	-17.01291	-3.52110	-0.14641	-6.51310	-22.74219	0.46652	2.28219	-7.52472	-22.04083	-4.26598	-2.44301	-6.68761	-19.31790
3	1.26576	0.62969	4.15544	2.47972	-7.55454	0.70668	-18.61268	3.72685	-3.37664	1.05845	-0.64240	1.82548	-6.13556	0.80717	-16.82878	3.32270	1.35592	5.50940	-8.94454	-16.50476	-2.79150	0.82399	-5.84744	-19.94513	0.58322	2.86240	-8.38992	-17.89331	-0.99085	3.68309	-4.65858	-15.90489	2.19449	3.48935	-8.36083	-16.19157	-4.21070	-3.51092	-6.86490	-11.99568	0.87057	3.30866	-7.37608	-18.96478	-2.47258	-0.11311	-6.60776	-15.25859	0.61506	-0.29043	-6.81571	-22.76492	-2.47675	-3.04011	-5.54746	-14.36575	0.60339	6.68211	-7.73903	-14.40963	-2.13364	1.06408	-6.44233	-17.10505	2.17047	7.65438	-7.16796	-21.83748	-3.59398	-0.70957	-6.34293	-12.76710	0.84436	3.21434	-6.69345	-21.51630	-4.17939	-1.59222	-5.98976	-14.86812	2.25944	4.17971	-7.01738	-13.93646	-4.74045	-0.46687	-5.89960	-20.33269	1.57135	6.43022	-8.21126	-17.66100	-4.23662	-0.70914	-5.34628	-22.27660	0.81006	7.08804	-7.16958	-26.17487	-4.14495	-0.93277	-5.17709	-13.36156	1.83004	-0.21737	-6.67191	-14.12164	-4.03482	-1.78930	-7.78457	-16.95511	1.18225	5.37673	-7.77265	-16.57971	-3.30512	0.34610	-6.64639	-21.55153	0.83005	2.88861	-7.43321	-22.02105	-3.96157	-2.04678	-6.74272	-18.91504
4	1.55234	0.64290	4.72838	2.38371	-7.56503	0.73114	-18.34239	3.54789	-3.09040	1.02939	-0.19191	1.83020	-6.15386	0.86536	-16.18250	3.23142	1.57418	5.92032	-8.89516	-16.43393	-2.61747	1.26457	-6.06853	-19.28903	0.81995	3.33587	-8.28649	-17.82735	-0.77451	4.05740	-4.63902	-15.22766	2.52849	3.99199	-8.33143	-15.79997	-3.96660	-2.97461	-6.98760	-11.20014	1.12654	3.81373	-7.56768	-18.65273	-2.21666	0.31264	-6.60557	-14.15919	0.89743	0.49380	-6.81454	-22.91436	-2.12835	-2.51656	-5.25612	-13.77643	0.79851	7.26002	-7.83098	-14.62764	-1.89047	1.82870	-6.95726	-16.42198	2.41734	7.91842	-7.19632	-21.22222	-3.27560	-0.26367	-6.36798	-12.69313	1.15853	3.68001	-6.50254	-21.51808	-3.90292	-1.06622	-6.03050	-14.11545	2.53376	4.82159	-7.10189	-13.41418	-4.39781	-0.10001	-5.86866	-19.29927	1.85106	7.03836	-8.35674	-17.15050	-3.88277	-0.07918	-5.47167	-21.92531	1.07702	7.53547	-7.14409	-24.80025	-3.88422	-0.77309	-4.85645	-13.42282	2.19639	0.62921	-6.57522	-14.43307	-3.68859	-1.48264	-7.62921	-16.04201	1.52977	6.19051	-7.93617	-16.12465	-3.03098	0.76902	-6.73279	-20.42564	1.22375	3.56807	-7.37126	-21.87459	-3.60871	-1.66314	-6.68265	-18.55700
5	1.87824	0.66488	5.34989	2.27924	-7.52974	0.74600	-18.00561	3.41881	-2.76478	0.99969	0.23708	1.81513	-6.01328	0.93695	-15.58092	3.17759	1.83603	6.43361	-8.79603	-16.27875	-2.37511	1.72884	-6.19154	-18.59988	1.09333	3.79140	-8.03006	-17.71208	-0.53568	4.38553	-4.49932	-14.61096	2.93713	4.55540	-8.21016	-15.29526	-3.67494	-2.38771	-6.93966	-10.49121	1.43122	4.35573	-7.64226	-18.17437	-1.87988	0.69301	-6.29977	-13.09781	1.22210	1.31503	-6.74697	-22.91949	-1.77176	-1.93345	-4.86052	-13.21962	1.00218	7.80560	-7.92820	-14.81681	-1.62528	2.46791	-7.36670	-15.59997	2.69240	8.16469	-7.14870	-20.56894	-2.95311	0.10631	-6.17865	-12.61912	1.51354	4.22783	-6.34136	-21.36943	-3.58774	-0.56743	-5.94147	-13.46224	2.83784	5.50366	-7.17258	-12.80434	-4.00507	0.25605	-5.67777	-18.52958	2.14945	7.64750	-8.45114	-16.60602	-3.49513	0.52190	-5.50185	-21.49500	1.39641	8.09769	-7.12046	-23.55838	-3.60418	-0.59957	-4.41929	-13.48901	2.60467	1.62749	-6.48653	-14.70018	-3.28479	-1.17039	-7.20331	-15.21409	1.93796	7.07971	-8.06083	-15.65940	-2.69092	1.12741	-6.69687	-19.45008	1.64109	4.29308	-7.28103	-21.61506	-3.22328	-1.30928	-6.40923	-18.25425
6	2.24971	0.69352	6.00695	2.17425	-7.38977	0.74519	-17.63173	3.34004	-2.40075	0.97234	0.63681	1.78254	-5.63604	1.01066	-15.05945	3.15657	2.13417	7.02405	-8.57597	-16.03623	-2.06687	2.19414	-6.10526	-17.94146	1.41676	4.23943	-7.56182	-17.55735	-0.26657	4.68194	-4.20420	-14.08475	3.42465	5.18362	-7.91173	-14.74844	-3.34710	-1.79558	-6.66967	-9.89513	1.80048	4.93291	-7.51765	-17.60237	-1.46684	1.05643	-5.62683	-12.15725	1.60497	2.15297	-6.53552	-22.80410	-1.41091	-1.30525	-4.30969	-12.72287	1.21935	8.30365	-7.98635	-14.94823	-1.32977	2.94782	-7.50298	-14.71656	3.00520	8.40189	-6.98334	-19.93019	-2.62981	0.37958	-5.68573	-12.56078	1.91934	4.86620	-6.18742	-21.08672	-3.22771	-0.10354	-5.61494	-12.93763	3.17657	6.20433	-7.15861	-12.15651	-3.57530	0.58889	-5.27343	-18.02691	2.46652	8.22481	-8.42782	-16.05450	-3.07266	1.06392	-5.34912	-21.03157	1.79105	8.76855	-7.05666	-22.51691	-3.28974	-0.39425	-3.86156	-13.55106	3.04576	2.73424	-6.38953	-14.90530	-2.82970	-0.82952	-6.44650	-14.51598	2.41257	8.02327	-8.07240	-15.21051	-2.27992	1.42902	-6.43567	-18.68009	2.07857	5.03737	-7.09197	-21.28691	-2.81766	-0.99830	-5.81892	-18.01032
