	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_21_CR026_BAREFOOT_GAIT0005_3_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	4.82986	5.28745	-9.04660	3.01174	12.49974	2.27220	-3.91310	1.70759	8.11006	2.74527	-10.70807	2.96767	6.19164	1.97942	-7.71541	1.23512	7.03274	-7.98161	14.04640	-6.76188	5.67669	-10.00161	3.45068	-6.82489	4.30692	-5.71914	10.16066	-3.61928	5.37125	-9.12683	5.03003	-6.52630	6.04206	-11.35195	14.52996	-2.88584	9.94846	-7.10079	6.90273	-8.51775	6.48688	-13.90626	13.28738	-0.09274	12.44786	-16.53221	6.89401	-5.62107	10.26281	-11.23675	6.39516	-3.28390	13.74316	-13.38883	6.88567	-8.79499	6.42869	-4.19275	13.26955	-5.65987	8.96315	-9.89721	3.00945	-6.63773	2.05834	-13.66603	13.87248	-2.10790	7.75385	-9.04263	8.70359	-6.67324	3.53349	-11.86195	13.91471	-3.04212	8.08253	-9.95179	6.98787	-6.99071	11.24743	-8.29474	10.30556	-4.51870	4.34976	-10.64386	6.31719	-9.28369	3.06740	-7.20610	14.06654	-6.08975	5.86596	-8.39221	2.98777	-9.02567	-9.79258	-7.35943	13.75251	-3.42151	8.07963	-6.01686	5.09454	-6.85776	11.46092	-7.94822	11.70047	-4.38428	8.43912	-11.50524	8.72793	-9.24071	1.77556	-5.86525	14.08192	-4.92025	5.22997	-15.04445	8.10364	-8.23339	3.70731	-10.06226	11.61306	-3.99545	9.58947	-13.26846	7.58784	-8.78778
2	4.86862	5.19005	-8.51146	2.97096	11.27046	2.45419	-3.21664	1.75367	8.18728	2.72198	-10.15236	3.16182	5.72834	2.29510	-7.43236	1.30666	7.03245	-7.39984	12.87403	-6.28313	5.65868	-9.19143	2.56210	-6.31920	4.31530	-5.38682	9.15113	-2.95052	5.71919	-8.56710	4.32929	-6.25289	6.04484	-11.53579	13.84864	-2.08733	9.84001	-5.81101	6.08204	-8.10526	6.57961	-13.27508	11.62116	0.62414	12.49168	-16.43235	7.37939	-5.56198	9.84880	-10.71267	4.98348	-2.51052	13.78362	-12.34119	5.74782	-8.46659	6.65275	-4.32288	12.24299	-4.74812	9.03636	-10.37621	2.83341	-5.79795	2.31165	-12.87359	12.33642	-1.38702	7.90430	-8.98069	7.99628	-6.35094	3.85537	-11.43320	12.45704	-2.48716	8.07818	-9.51006	6.64948	-6.45882	11.12740	-7.69394	9.27291	-3.82979	4.51486	-9.97373	6.69644	-9.18070	3.17567	-6.61006	13.05715	-5.47608	5.70698	-7.92362	2.11429	-8.53974	-9.62177	-6.38387	13.36176	-2.63190	8.36825	-4.73393	3.34744	-6.95405	11.37939	-6.74132	9.61787	-3.95782	8.64009	-10.89162	8.64796	-9.27076	1.78740	-5.45660	13.36173	-4.36111	5.26631	-14.57645	8.79995	-8.35585	3.67186	-9.33477	9.60018	-2.94662	9.61346	-12.82369	7.01081	-8.43831
3	4.81059	5.09345	-7.95657	2.89211	10.12697	2.54657	-2.60736	1.76128	8.17788	2.67916	-9.34455	3.26462	5.07261	2.52223	-7.19768	1.39886	6.92273	-6.70285	11.56760	-5.81211	5.57294	-8.28055	1.71794	-5.88101	4.23994	-5.00662	8.37577	-2.58158	6.02677	-7.88779	3.61288	-6.12535	5.98334	-11.53278	13.07751	-1.34293	9.60739	-4.42956	5.03413	-7.58190	6.55070	-12.39093	10.01431	1.20304	12.45189	-15.73177	7.37219	-5.54711	9.31875	-10.27871	4.05866	-2.04256	13.64278	-11.03154	4.56135	-8.22267	6.79856	-4.51309	11.07126	-3.80924	9.06741	-10.63046	2.61235	-5.04438	2.55330	-11.95353	10.88520	-0.87860	7.99484	-8.53014	7.00340	-6.14662	4.08265	-10.85596	10.89232	-1.89577	7.95658	-8.88581	6.09414	-5.89440	10.93799	-7.16020	8.42940	-3.22059	4.59423	-9.00690	6.58055	-9.04797	3.19993	-6.04082	12.10373	-4.87619	5.48322	-7.40262	1.34856	-8.13234	-9.56990	-5.36636	12.92941	-1.85491	8.60501	-3.46363	1.84651	-7.27138	11.12265	-5.78209	7.78493	-3.53178	8.72402	-9.79664	8.09608	-9.29469	1.69522	-5.11250	12.67958	-3.80387	5.26058	-13.70764	9.11647	-8.52444	3.51246	-8.69546	7.90791	-2.05599	9.50260	-12.03863	6.01992	-8.05326
4	4.64974	4.99988	-7.34628	2.77664	9.22752	2.54833	-2.27067	1.72116	8.07180	2.62183	-8.28172	3.24421	4.29961	2.54544	-7.09837	1.49288	6.69030	-5.84279	10.29208	-5.50813	5.39534	-7.23761	1.03369	-5.65672	4.08115	-4.47553	7.91287	-2.68364	6.27523	-7.12117	3.02837	-6.23338	5.84146	-11.25709	12.30636	-0.81828	9.26234	-3.02515	3.94003	-7.08161	6.38737	-11.25415	8.73595	1.35862	12.30319	-14.39876	6.85482	-5.62557	8.68429	-9.86758	3.69257	-2.00951	13.32313	-9.48699	3.44383	-8.15712	6.85559	-4.69965	9.91108	-2.98666	9.04579	-10.54361	2.40768	-4.53312	2.77317	-10.90784	9.75045	-0.81671	8.02098	-7.67867	5.88701	-6.20403	4.19346	-10.13000	9.39393	-1.39910	7.71931	-8.03127	5.34866	-5.41100	10.67637	-6.63270	7.91258	-2.87514	4.58218	-7.79183	5.98765	-8.91279	3.13814	-5.45557	11.33780	-4.46559	5.19658	-6.81328	0.77811	-7.89614	-9.63401	-4.34939	12.61597	-1.32119	8.77717	-2.29526	0.74444	-7.84602	10.69500	-5.09196	6.43783	-3.29946	8.66349	-8.18788	7.06730	-9.34946	1.49235	-4.77148	12.17205	-3.45467	5.18864	-12.43715	8.95031	-8.72959	3.22173	-8.11218	6.71382	-1.50989	9.25178	-10.89542	4.72269	-7.74066
5	4.38368	4.91211	-6.61722	2.63919	8.69665	2.47662	-2.39844	1.65156	7.86779	2.55760	-6.96774	3.08960	3.48377	2.32435	-7.22175	1.55520	6.33173	-4.75385	9.20276	-5.54751	5.11209	-6.02259	0.59463	-5.80391	3.84807	-3.69015	7.80535	-3.39988	6.45008	-6.29508	2.67198	-6.63697	5.60395	-10.62636	11.63677	-0.71177	8.83012	-1.63175	2.95626	-6.76141	6.08016	-9.83635	8.00568	0.80429	12.02979	-12.45547	5.87721	-5.86270	7.95991	-9.38952	3.89516	-2.51968	12.84428	-7.74032	2.48035	-8.34892	6.81260	-4.79771	8.91670	-2.44902	8.96191	-10.00588	2.27798	-4.45060	2.95851	-9.72332	9.13426	-1.42568	7.98946	-6.45447	4.80919	-6.64113	4.16721	-9.23648	8.14510	-1.18342	7.37980	-6.89563	4.45330	-5.13955	10.34095	-6.01962	7.81577	-2.98962	4.48003	-6.36363	4.96417	-8.80952	2.99382	-4.77858	10.86183	-4.42928	4.85194	-6.12718	0.43734	-7.90822	-9.80906	-3.32471	12.53086	-1.25257	8.87644	-1.31776	0.12517	-8.65549	10.11013	-4.62267	5.74786	-3.46608	8.44478	-6.08746	5.62936	-9.48734	1.17379	-4.33307	11.93326	-3.51616	5.03092	-10.77478	8.24337	-8.97217	2.79981	-7.50875	6.12173	-1.49174	8.86740	-9.37633	3.25247	-7.62661
6	4.01775	4.83402	-5.70147	2.50934	8.61324	2.36151	-3.14200	1.60695	7.57798	2.49510	-5.42427	2.82067	2.69605	1.90215	-7.63149	1.55069	5.85907	-3.38275	8.44639	-6.09362	4.72765	-4.60401	0.44422	-6.44421	3.56256	-2.57822	8.05355	-4.79873	6.54843	-5.40940	2.53602	-7.32687	5.26388	-9.57490	11.17501	-1.21569	8.34990	-0.26225	2.20059	-6.76425	5.63015	-8.10738	7.95417	-0.65589	11.63446	-9.97976	4.55245	-6.31992	7.16614	-8.75003	4.62409	-3.64464	12.24222	-5.84284	1.72740	-8.83926	6.66048	-4.71524	8.23551	-2.37420	8.81439	-8.93449	2.26784	-4.96825	3.09805	-8.38193	9.14661	-2.83432	7.91827	-4.93596	3.91438	-7.51534	3.98808	-8.14979	7.31984	-1.44947	6.96559	-5.46173	3.49505	-5.20663	9.93570	-5.22183	8.18327	-3.73482	4.29988	-4.75866	3.59715	-8.77087	2.77873	-3.93741	10.74370	-4.91322	4.46059	-5.30985	0.30435	-8.21184	-10.08905	-2.25251	12.72160	-1.79317	8.90315	-0.58668	-0.03340	-9.61369	9.39379	-4.28033	5.79468	-4.18921	8.07560	-3.59503	3.94165	-9.76973	0.74117	-3.69267	12.02075	-4.14930	4.78059	-8.75397	7.01320	-9.26449	2.25979	-6.79564	6.16619	-2.14166	8.37099	-7.50523	1.78375	-7.82553
