	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	14.86346	1.07142	32.66609	1.43947	-4.77749	1.59531	1.07491	0.89548	14.48556	1.00035	32.81770	1.40758	-4.69155	0.82086	-2.15080	0.99262	15.89816	31.81136	-6.50449	0.43469	15.19231	32.10835	-4.98105	-1.35861	13.65853	30.60704	-6.13694	0.25252	13.77867	31.39394	-5.57077	-3.11037	16.95897	35.01060	-6.26195	1.67573	16.20443	34.46906	-5.53166	-1.37091	15.69219	34.57884	-4.55589	1.09470	14.60521	31.47043	-4.39982	2.80150	14.83245	33.32055	-5.50364	-1.05090	13.25214	31.93184	-2.37555	1.26453	14.24281	31.96385	-5.11080	-2.77373	13.93559	33.55276	-3.05336	-3.72214	14.65279	31.05235	-5.84477	1.68877	14.36187	32.20113	-4.89256	-1.82911	13.90147	32.88265	-3.31609	1.65993	15.04679	34.58289	-3.94418	-1.40323	14.85139	32.67859	-6.60538	-0.35451	12.61467	30.87373	-4.92746	-3.08340	15.33052	33.52423	-4.09074	1.12000	15.49536	34.90121	-4.33544	-0.96879	14.69666	33.77907	-2.46078	0.18619	13.63621	31.62725	-3.75609	-2.98757
2	14.91823	1.01472	32.45710	1.41515	-4.35782	1.72991	0.47243	0.86531	14.48417	0.97343	32.90748	1.37248	-3.73227	0.96409	-2.54759	1.03744	15.84563	31.53844	-5.79344	-0.22143	15.13415	32.18642	-3.87179	-1.69160	13.76366	30.43392	-6.00718	-0.33239	13.78852	31.59630	-4.28095	-3.55129	16.92308	34.71860	-5.52887	1.13427	16.19833	34.53580	-4.65035	-1.86402	15.63843	34.34161	-4.81744	0.44650	14.67576	31.31707	-3.86801	2.22562	14.88757	33.40042	-4.86202	-1.37935	13.42413	31.63508	-1.82353	0.50500	14.23852	32.20783	-3.69582	-3.02481	13.87184	33.39080	-2.35235	-4.26161	14.68653	30.90881	-5.39996	1.06047	14.46303	32.38850	-4.33891	-2.36333	13.93614	32.64684	-2.86281	0.89545	14.99405	34.70418	-2.62232	-1.74981	15.02025	32.62184	-6.34790	-0.89445	12.73978	30.86770	-4.74335	-3.56785	15.39701	33.22878	-4.22763	0.57041	15.43472	34.92167	-3.39195	-1.24191	14.78998	33.63712	-1.25928	-0.19268	13.57535	31.78269	-2.24520	-3.32797
3	14.96341	0.96088	32.21753	1.39673	-3.66226	1.76161	-0.31340	0.84928	14.46357	0.95562	33.01145	1.36185	-2.40151	1.13729	-3.07125	1.08551	15.77843	31.21218	-4.84764	-0.99934	15.06229	32.26519	-2.47467	-2.19278	13.86485	30.25306	-5.48575	-1.12773	13.78421	31.73913	-2.76754	-4.10238	16.86735	34.33746	-4.60962	0.41649	16.17293	34.62711	-3.33977	-2.50080	15.60011	34.22114	-4.44804	-0.42057	14.71921	31.09079	-3.16463	1.46007	14.92744	33.54705	-3.71635	-1.80847	13.60497	31.25906	-1.26193	-0.46454	14.19858	32.39592	-2.03911	-3.41577	13.79264	33.30661	-1.22359	-4.88196	14.69700	30.80746	-4.44906	0.25280	14.54894	32.68703	-3.20962	-3.01160	13.94578	32.33809	-2.21149	-0.04835	14.91401	34.80365	-0.96945	-2.19917	15.18233	32.55775	-5.71043	-1.62178	12.83309	30.93549	-4.04209	-4.22490	15.47500	32.99241	-3.87141	-0.10933	15.37702	35.00056	-1.99566	-1.65214	14.86254	33.32341	-0.22484	-0.78507	13.48810	31.81817	-0.63882	-3.79377
4	14.98977	0.91457	31.93157	1.39526	-2.76690	1.67648	-1.21395	0.85347	14.41982	0.94843	33.07418	1.37389	-0.84023	1.26392	-3.68054	1.10856	15.69322	30.81322	-3.76772	-1.80916	14.97895	32.28917	-0.95094	-2.84373	13.94904	30.03317	-4.68509	-2.08674	13.76133	31.77745	-1.14901	-4.68427	16.79112	33.86153	-3.59727	-0.41355	16.12685	34.68289	-1.76249	-3.24692	15.56264	34.16970	-3.54771	-1.47071	14.72765	30.79450	-2.31960	0.57616	14.94920	33.69361	-2.24426	-2.34627	13.78589	30.82457	-0.70856	-1.53131	14.12199	32.45640	-0.29953	-3.89835	13.69176	33.26275	0.23734	-5.48639	14.66984	30.70999	-3.13095	-0.66646	14.61038	33.01821	-1.67625	-3.73950	13.91751	31.93805	-1.40888	-1.07462	14.80576	34.83593	0.88865	-2.71613	15.32473	32.45412	-4.79385	-2.49221	12.88628	31.02968	-2.93950	-5.01418	15.55918	32.79699	-3.09942	-0.87437	15.31412	35.07447	-0.29519	-2.19912	14.90664	32.85142	0.62321	-1.51044	13.37136	31.69536	0.94862	-4.31108
5	14.98686	0.88075	31.60319	1.41894	-1.70738	1.51849	-2.10741	0.88212	14.34672	0.95103	33.06040	1.40659	0.85342	1.34750	-4.27418	1.09374	15.58469	30.35072	-2.60082	-2.53448	14.88234	32.22327	0.59992	-3.55644	14.00193	29.76587	-3.67066	-3.08829	13.71136	31.70619	0.52870	-5.16168	16.69082	33.31647	-2.52268	-1.23956	16.05369	34.65854	-0.03224	-3.99814	15.50878	34.13553	-2.22192	-2.59896	14.69483	30.45524	-1.32458	-0.30146	14.94621	33.77909	-0.59637	-2.94268	13.95502	30.37315	-0.12006	-2.53996	14.00659	32.36079	1.43362	-4.36165	13.56182	33.22911	1.95130	-5.95208	14.59183	30.59081	-1.56243	-1.57394	14.63601	33.30553	0.10883	-4.45065	13.83930	31.45941	-0.45421	-2.03825	14.66462	34.77839	2.87233	-3.20028	15.43477	32.29832	-3.66460	-3.39698	12.89515	31.10841	-1.54586	-5.82955	15.63888	32.62507	-1.98328	-1.63357	15.23532	35.09636	1.59397	-2.80710	14.91455	32.26456	1.34410	-2.23609	13.22081	31.41879	2.47343	-4.75570
6	14.94425	0.86320	31.25446	1.46444	-0.48941	1.35328	-2.85801	0.93516	14.23699	0.95982	32.96344	1.45333	2.61936	1.41666	-4.72840	1.05538	15.44708	29.85478	-1.35799	-3.07296	14.76623	32.06375	2.14456	-4.19412	14.00979	29.46841	-2.46103	-3.97287	13.62435	31.56001	2.25781	-5.40614	16.56031	32.75208	-1.36875	-1.93698	15.94342	34.54119	1.78561	-4.62289	15.41749	34.07805	-0.56328	-3.65060	14.61552	30.11395	-0.14884	-1.03182	14.90741	33.76330	1.12251	-3.50003	14.09934	29.95221	0.56840	-3.34629	13.85078	32.12842	3.12033	-4.68102	13.39816	33.18711	3.83840	-6.18066	14.45329	30.44116	0.16679	-2.33425	14.61402	33.49378	2.02484	-5.02363	13.70232	30.94260	0.68012	-2.79779	14.48333	34.63855	4.93460	-3.52631	15.50129	32.10131	-2.35127	-4.19484	12.85839	31.14450	0.04554	-6.52602	15.69915	32.46655	-0.58496	-2.27485	15.12694	35.04595	3.60065	-3.34276	14.88113	31.62791	2.03732	-2.82483	13.03383	31.03121	3.93809	-5.00880
