	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	0.66577	0.79998	-0.01440	2.18125	-5.69978	0.43675	-23.78677	2.45826	1.42481	0.81983	0.34262	1.30838	-2.43859	0.50382	-27.57893	2.35828	-0.03571	1.14370	-5.30825	-23.40743	2.38651	0.01254	-2.24073	-24.19613	1.16844	1.80150	-6.01458	-27.39936	2.74338	1.96167	-2.31019	-27.08558	0.81156	1.27227	-6.39275	-28.93577	0.95103	0.88774	-2.32009	-27.96861	-0.82682	-3.19685	-5.55304	-21.37943	0.04733	-3.35505	-5.02608	-21.98425	1.67511	1.40831	-2.34663	-31.90441	0.67219	-0.28747	-5.93283	-23.93727	0.50376	0.42696	-2.54993	-24.15223	0.71668	-1.30078	-3.43823	-26.22398	0.20682	-0.20529	-5.19671	-22.95581	2.54348	-1.93923	-1.38481	-26.59752	2.15793	-2.64633	-5.47233	-20.71193	1.10821	1.28681	-2.50814	-28.50067	0.71261	0.29780	-5.90722	-23.93378	1.55371	-1.04365	-2.85436	-27.62940	1.16277	2.25452	-6.24285	-22.68900	0.49102	0.23709	-2.71891	-30.52045	1.24632	2.76278	-5.65088	-24.32046	0.99996	1.83134	-2.15249	-28.58926
2	0.84711	0.81676	0.30515	2.13965	-5.68133	0.40604	-23.60230	2.36717	1.60853	0.78570	0.67534	1.34440	-2.81368	0.48523	-27.45967	2.33660	0.19673	1.46126	-5.34251	-22.91107	2.54312	0.31431	-2.67433	-23.87901	1.27183	2.10145	-5.97822	-26.77708	2.89169	2.26161	-2.80841	-26.85027	0.99603	1.49308	-6.35545	-28.74440	1.14449	1.29590	-2.68881	-27.69254	-0.67773	-2.69383	-5.58380	-21.11999	0.24386	-3.09461	-5.06674	-22.30677	1.87109	1.77640	-2.65558	-31.50831	0.85507	-0.20369	-5.82722	-23.68752	0.71433	0.87915	-3.22370	-24.42300	0.98382	-1.05830	-3.50723	-25.85649	0.35770	-0.11397	-5.18163	-22.89630	2.60690	-1.65091	-1.57737	-26.97639	2.44351	-2.03954	-5.53777	-20.56576	1.32711	1.86563	-2.97480	-28.52091	0.87427	0.72624	-5.92857	-24.04811	1.73113	-0.68489	-3.03277	-27.30206	1.34049	2.64905	-6.16014	-22.55304	0.62824	0.34247	-3.01932	-30.80089	1.41644	3.07122	-5.53261	-24.01525	1.25196	2.08740	-2.78813	-28.24645
3	1.07083	0.82577	0.66169	2.07985	-5.67983	0.38650	-23.31052	2.27178	1.84150	0.75394	1.06247	1.36799	-3.27461	0.49619	-27.33652	2.34274	0.48325	1.79995	-5.36838	-22.35863	2.72952	0.65672	-3.17630	-23.62077	1.42613	2.38390	-5.98420	-26.04577	3.09950	2.58583	-3.33643	-26.62496	1.22136	1.73844	-6.26480	-28.34184	1.39121	1.74659	-3.15601	-27.45233	-0.45614	-2.13968	-5.72572	-20.86026	0.48110	-2.74581	-5.12463	-22.49527	2.13292	2.19815	-3.08596	-31.07090	1.06828	-0.04508	-5.71447	-23.36353	0.98248	1.36884	-3.92078	-24.61347	1.29388	-0.67170	-3.69607	-25.53204	0.54381	0.02998	-5.18182	-22.86729	2.72773	-1.28669	-1.97007	-27.33777	2.75237	-1.34813	-5.63910	-20.25641	1.59950	2.46057	-3.52378	-28.38436	1.08067	1.15417	-5.96650	-24.02260	1.93163	-0.28010	-3.34257	-27.01633	1.55241	3.06434	-6.14635	-22.24180	0.81585	0.50933	-3.42239	-31.13168	1.62592	3.38649	-5.36219	-23.56228	1.55233	2.39965	-3.39039	-27.91716
4	1.34044	0.82802	1.05778	2.00886	-5.66792	0.39890	-22.90637	2.18158	2.12075	0.72268	1.49507	1.37319	-3.72740	0.48661	-27.18932	2.37227	0.81765	2.15930	-5.35356	-21.76153	2.93635	1.03582	-3.66833	-23.40068	1.63642	2.65846	-6.00240	-25.23597	3.35983	2.92689	-3.79738	-26.39004	1.49963	2.03254	-6.09947	-27.73339	1.69370	2.22243	-3.62942	-27.22755	-0.16314	-1.55859	-5.93068	-20.58543	0.76473	-2.31611	-5.17573	-22.50286	2.45463	2.66313	-3.55037	-30.58939	1.31553	0.20175	-5.59542	-22.93428	1.30568	1.87357	-4.50745	-24.68088	1.64123	-0.14814	-3.94526	-25.23928	0.77250	0.24439	-5.14618	-22.84196	2.90763	-0.84510	-2.48526	-27.66331	3.08895	-0.58658	-5.72667	-19.77901	1.92296	3.05000	-4.03430	-28.09115	1.33699	1.58698	-5.98906	-23.85270	2.14815	0.15576	-3.70604	-26.75960	1.80218	3.48696	-6.16342	-21.75818	1.05988	0.74705	-3.82689	-31.46166	1.87345	3.72644	-5.16450	-22.98482	1.89820	2.76436	-3.85066	-27.57894
5	1.65976	0.82546	1.49631	1.93185	-5.61398	0.44560	-22.39939	2.10640	2.44239	0.69080	1.96760	1.35676	-4.08644	0.43769	-26.98740	2.41678	1.19321	2.54306	-5.27860	-21.13676	3.15671	1.44754	-4.07769	-23.18317	1.90613	2.94075	-5.99572	-24.38916	3.66372	3.27645	-4.09917	-26.11583	1.84357	2.39910	-5.84787	-26.95085	2.05184	2.71796	-4.02430	-26.98152	0.19933	-0.96498	-6.12725	-20.27974	1.10252	-1.81349	-5.19384	-22.30997	2.82828	3.16215	-3.95809	-30.04930	1.60007	0.53739	-5.46302	-22.38742	1.67919	2.38330	-4.89225	-24.57860	2.01957	0.49374	-4.18475	-24.95824	1.05105	0.54640	-5.03139	-22.78576	3.14777	-0.32346	-3.01996	-27.91348	3.46162	0.23014	-5.74768	-19.15653	2.29314	3.62216	-4.38979	-27.65673	1.64717	2.03259	-5.96094	-23.54721	2.37485	0.61296	-4.04035	-26.51355	2.09505	3.90703	-6.15583	-21.13073	1.36614	1.07232	-4.14747	-31.71030	2.15761	4.10141	-4.95169	-22.31911	2.28504	3.17851	-4.11699	-27.20062
6	2.03078	0.82036	1.97826	1.85280	-5.48475	0.50572	-21.81369	2.05236	2.80005	0.65909	2.47678	1.31921	-4.28910	0.36301	-26.70615	2.46248	1.60141	2.95397	-5.13474	-20.50687	3.38689	1.88627	-4.34883	-22.93296	2.23498	3.24685	-5.92524	-23.55056	3.99919	3.62960	-4.17975	-25.78010	2.26238	2.85426	-5.50374	-26.04976	2.45918	3.23419	-4.27869	-26.68027	0.63071	-0.36164	-6.23059	-19.93094	1.50047	-1.24895	-5.14729	-21.92843	3.24390	3.68425	-4.23081	-29.43586	1.92214	0.95085	-5.30235	-21.73681	2.09331	2.89907	-5.03965	-24.28489	2.42035	1.22738	-4.34269	-24.67241	1.38346	0.94568	-4.80949	-22.66836	3.44647	0.27575	-3.46800	-28.04306	3.87816	1.08717	-5.65406	-18.43618	2.70086	4.17513	-4.50346	-27.11637	2.01050	2.49616	-5.84412	-23.12780	2.60969	1.09234	-4.27694	-26.25637	2.43505	4.32086	-6.06324	-20.40575	1.73623	1.49995	-4.32619	-31.79844	2.47938	4.51562	-4.71741	-21.60907	2.70443	3.64066	-4.18503	-26.76688
