	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	10.62101	2.38632	-17.37957	2.02872	5.93004	1.59801	-7.78256	1.37631	7.84321	2.26811	-21.84921	1.83662	2.17334	1.79775	-1.08945	0.75704	7.40885	-15.85213	7.93071	-7.77935	8.84643	-19.80589	2.29483	-1.37190	8.81397	-18.31540	3.67867	-6.91144	9.75231	-20.22532	-1.30955	-0.90851	11.56012	-20.22696	4.50491	-9.02339	4.63864	-19.09099	2.10587	-1.23410	9.74503	-15.51887	7.35951	-7.23062	14.21620	-17.32540	6.66724	-9.82711	6.86488	-22.52363	-0.27454	-1.36277	10.16444	-16.77516	6.29477	-8.92908	8.50976	-20.32175	4.06374	-1.14091	9.54184	-23.66545	3.23675	0.08449	9.90962	-15.41910	7.42359	-9.75750	11.52684	-22.63093	0.99322	-2.14127	15.16210	-19.31013	5.55498	-7.27930	6.13043	-21.48396	1.74932	-0.00535	11.96606	-20.89432	6.93158	-6.24711	9.59867	-25.12948	2.92844	-0.30491	8.99746	-16.43885	5.84088	-6.25740	4.71470	-23.01657	4.38822	-2.14372	8.88726	-15.09893	3.04357	-6.36585	6.15079	-22.44727	3.73040	-1.45497
2	10.64213	2.38320	-16.90147	2.04001	5.51457	1.79819	-7.80109	1.39063	7.87449	2.25622	-21.62425	1.61588	2.31249	1.47443	-1.50583	0.80195	7.33653	-15.19502	7.72808	-7.85262	8.99573	-19.66617	2.51512	-1.65139	8.87737	-18.04379	3.97158	-6.93985	9.89000	-20.70649	-0.56075	-1.24607	11.56079	-19.27560	3.64103	-9.11708	4.66188	-19.09457	2.65766	-1.64168	9.81639	-15.86539	7.96568	-7.30772	14.35826	-17.07913	5.69072	-9.64171	6.90435	-22.50768	0.22114	-1.63562	10.29616	-15.87081	5.25476	-8.77873	8.49075	-19.97682	3.86936	-1.74628	9.57246	-23.08311	3.43438	-0.58815	10.07191	-14.84189	6.95903	-10.05186	11.44188	-23.18390	1.58169	-2.50041	15.05877	-18.73932	5.03567	-7.26489	5.98438	-21.49604	1.90180	-0.23342	11.85649	-20.54953	6.58169	-6.35590	9.57238	-24.02488	2.32174	-0.52263	9.03767	-16.46594	5.76975	-6.13620	4.81150	-22.70160	4.21961	-2.74276	8.79309	-13.98973	2.06228	-6.36538	6.29411	-21.42543	3.27562	-2.05574
3	10.58569	2.36899	-16.10296	2.09569	4.93966	2.03217	-7.86736	1.38530	7.84671	2.23448	-21.02435	1.56473	2.14639	1.22865	-2.01085	0.87891	7.19338	-14.17495	7.25790	-7.96881	9.08774	-19.20072	2.35839	-1.93947	8.90203	-17.37799	4.03501	-7.06752	9.98355	-20.80949	-0.21305	-1.61939	11.46572	-17.95209	2.70113	-9.28749	4.64355	-18.83206	2.97852	-2.16316	9.81974	-15.93382	8.28754	-7.38647	14.42285	-16.64018	4.65694	-9.43736	6.86427	-22.06539	0.42632	-2.02831	10.34913	-14.81328	4.16827	-8.61538	8.42912	-19.19130	3.31839	-2.40847	9.47373	-22.23423	3.46186	-1.35422	10.09580	-13.90778	6.15916	-10.33747	11.27875	-23.37721	2.00149	-3.02793	14.83609	-17.82112	4.48990	-7.35755	5.80384	-21.00169	1.76680	-0.60472	11.67677	-19.78703	6.00499	-6.53604	9.47765	-22.70013	1.54718	-0.81599	8.99879	-16.06106	5.51567	-6.11053	4.85392	-21.93649	3.61765	-3.42031	8.68229	-12.66325	1.05969	-6.43637	6.41772	-19.91913	2.34673	-2.73735
4	10.44112	2.34130	-14.98359	2.16525	4.27685	2.18594	-8.04127	1.35730	7.75392	2.20390	-20.03838	1.67248	1.65072	1.13397	-2.56524	0.95442	6.98186	-12.81393	6.60603	-8.19447	9.11522	-18.40553	1.82671	-2.21099	8.87356	-16.30952	3.88458	-7.33908	10.02083	-20.46052	-0.29698	-2.02866	11.26288	-16.30482	1.80408	-9.59682	4.58047	-18.22256	2.94112	-2.73548	9.73998	-15.62126	8.23821	-7.47284	14.40154	-15.99840	3.67776	-9.29030	6.74661	-21.18155	0.29344	-2.50675	10.31165	-13.65020	3.22442	-8.54480	8.32148	-17.97639	2.39612	-3.04330	9.24178	-21.07427	3.24661	-2.17088	9.97648	-12.65619	5.09663	-10.61808	11.03340	-23.13099	2.11320	-3.65720	14.47721	-16.52664	3.98687	-7.64067	5.58650	-19.95929	1.30381	-1.11161	11.41355	-18.60040	5.24694	-6.82654	9.30702	-21.19829	0.67863	-1.20867	8.87673	-15.16824	5.07656	-6.23562	4.83098	-20.72619	2.56337	-4.10432	8.53692	-11.16988	0.20326	-6.69475	6.50886	-18.08657	1.09185	-3.43980
5	10.19815	2.29851	-13.55103	2.21253	3.60852	2.18499	-8.39660	1.30959	7.59073	2.16774	-18.70472	1.83650	0.90182	1.15811	-3.16400	0.99621	6.70587	-11.14933	5.88937	-8.61609	9.06825	-17.31638	1.01981	-2.47968	8.77491	-14.85221	3.56882	-7.81168	9.99165	-19.64883	-0.69882	-2.54319	10.94078	-14.39031	1.07105	-10.12515	4.46751	-17.23152	2.53305	-3.33567	9.56132	-14.84409	7.77415	-7.58909	14.28348	-15.12602	2.84307	-9.29657	6.55632	-19.88503	-0.13955	-3.05789	10.17246	-12.40149	2.58373	-8.69238	8.16395	-16.41928	1.24204	-3.63252	8.88262	-19.58745	2.77348	-3.01850	9.71508	-11.14777	3.88633	-10.91236	10.70513	-22.40662	1.84544	-4.32299	13.96587	-14.83336	3.58698	-8.20512	5.32702	-18.40717	0.59302	-1.78699	11.05388	-17.00129	4.37665	-7.27831	9.05310	-19.57747	-0.18171	-1.72456	8.66707	-13.75771	4.46795	-6.57645	4.73074	-19.13682	1.14977	-4.73843	8.33892	-9.55775	-0.35433	-7.25934	6.55174	-16.13539	-0.21654	-4.16352
6	9.85140	2.24017	-11.81701	2.21626	3.01094	2.01859	-9.01051	1.26750	7.35506	2.13036	-17.10467	1.96242	0.08731	1.18810	-3.87319	0.99136	6.37282	-9.22261	5.22336	-9.32226	8.93681	-16.00872	0.14919	-2.83220	8.59136	-13.04043	3.15979	-8.54472	9.89156	-18.42395	-1.17107	-3.31570	10.49419	-12.25604	0.58904	-10.95256	4.30196	-15.87907	1.89283	-4.03080	9.27295	-13.56242	6.92896	-7.78879	14.06033	-13.97456	2.19834	-9.55766	6.30198	-18.25675	-0.72012	-3.72498	9.92520	-11.04494	2.33063	-9.17669	7.95433	-14.66145	0.14759	-4.27968	8.41348	-17.80536	2.13193	-3.94052	9.32120	-9.45679	2.68479	-11.27287	10.29954	-21.22114	1.25196	-5.01764	13.29370	-12.72176	3.31663	-9.12804	5.02103	-16.45149	-0.16862	-2.72403	10.58952	-15.01835	3.48162	-7.95190	8.71030	-17.91613	-0.88936	-2.39983	8.36740	-11.84229	3.73758	-7.19759	4.54331	-17.28889	-0.40381	-5.33293	8.07672	-7.84689	-0.53043	-8.22252	6.53133	-14.23843	-1.26009	-5.00673
