	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.35873	0.03138	-0.22664	0.02783	-0.00329	0.01004	0.39306	0.06200	-0.25016	0.03617	-0.00902	0.00974	0.38425	-0.23668	-0.00985	0.43759	-0.26028	-0.01284	0.38981	-0.24572	0.00427	0.40733	-0.24033	-0.01860	0.34151	-0.20676	-0.01012	0.45868	-0.29931	-0.00499	0.39834	-0.27511	0.01465	0.31126	-0.18882	-0.01159	0.38055	-0.27987	0.00909	0.34836	-0.18684	-0.01522	0.34297	-0.22249	-0.01171	0.29584	-0.20506	-0.01850	0.31895	-0.22245	-0.00809	0.36428	-0.21739	-0.00876	0.50667	-0.30092	-0.00626	0.33958	-0.23677	0.00422	0.34071	-0.24619	-0.00422	0.39093	-0.24987	0.00756	0.37892	-0.25070	0.00046	0.38137	-0.19648	-0.02264
2	0.38540	0.03729	-0.23061	0.03158	-0.01851	0.01458	0.42945	0.06530	-0.24356	0.03993	-0.02394	0.01355	0.40600	-0.23155	-0.02749	0.46400	-0.24967	-0.02694	0.41982	-0.25594	-0.00617	0.44234	-0.22992	-0.03759	0.36531	-0.20751	-0.02820	0.50430	-0.29500	-0.02107	0.44102	-0.28600	0.00418	0.33347	-0.19521	-0.03182	0.41024	-0.27953	0.00442	0.36065	-0.18626	-0.03275	0.37643	-0.20755	-0.02804	0.33475	-0.19990	-0.03571	0.33581	-0.21548	-0.02987	0.39420	-0.21956	-0.02680	0.55806	-0.29363	-0.02210	0.37437	-0.24984	-0.00619	0.38790	-0.25557	-0.01736	0.42334	-0.25871	-0.00003	0.41538	-0.24701	-0.01306	0.40107	-0.17782	-0.04194
3	0.40275	0.04397	-0.22375	0.03625	-0.04131	0.01881	0.44843	0.06623	-0.22247	0.04298	-0.04409	0.01662	0.41262	-0.21439	-0.04962	0.47214	-0.22667	-0.04559	0.44151	-0.25771	-0.02423	0.46073	-0.20768	-0.05981	0.38029	-0.19834	-0.05338	0.52751	-0.27278	-0.04374	0.47598	-0.28511	-0.01722	0.34793	-0.19034	-0.06103	0.42837	-0.26567	-0.00495	0.36461	-0.17754	-0.05491	0.38832	-0.17858	-0.04896	0.36386	-0.17925	-0.05750	0.34353	-0.19437	-0.06170	0.41477	-0.21083	-0.05203	0.58235	-0.26392	-0.04326	0.40092	-0.25219	-0.02403	0.43057	-0.25492	-0.03798	0.44540	-0.25665	-0.01493	0.43623	-0.22628	-0.03531	0.39422	-0.14891	-0.06376
4	0.41249	0.05139	-0.20520	0.04145	-0.06914	0.02266	0.45152	0.06757	-0.18745	0.04605	-0.06679	0.01883	0.41134	-0.18977	-0.07333	0.46449	-0.19305	-0.06722	0.45184	-0.24717	-0.04840	0.46208	-0.17374	-0.08130	0.38632	-0.17774	-0.08317	0.52907	-0.23327	-0.06939	0.50401	-0.27073	-0.04731	0.35782	-0.17273	-0.09630	0.43530	-0.23924	-0.01768	0.36527	-0.16119	-0.07907	0.37912	-0.13636	-0.07188	0.38557	-0.14363	-0.08063	0.33914	-0.15625	-0.09950	0.42845	-0.19088	-0.08122	0.58582	-0.21489	-0.06675	0.42102	-0.24276	-0.04766	0.46446	-0.24229	-0.06371	0.45974	-0.24278	-0.03547	0.43892	-0.18673	-0.06443	0.37039	-0.11132	-0.08492
5	0.41180	0.05715	-0.17175	0.04565	-0.09790	0.02583	0.44094	0.06641	-0.13783	0.04772	-0.08847	0.02034	0.39902	-0.15569	-0.09526	0.43790	-0.14550	-0.08840	0.44709	-0.21995	-0.07542	0.45510	-0.13104	-0.09821	0.38197	-0.14359	-0.11339	0.51531	-0.17858	-0.09356	0.51885	-0.23774	-0.08125	0.36121	-0.13843	-0.13221	0.42324	-0.19533	-0.03232	0.36444	-0.13667	-0.10171	0.36256	-0.08538	-0.09406	0.39879	-0.09413	-0.10085	0.32357	-0.10125	-0.13736	0.43265	-0.15713	-0.10954	0.56509	-0.14280	-0.08847	0.42933	-0.21594	-0.07408	0.48224	-0.21354	-0.08970	0.45988	-0.21109	-0.05883	0.41815	-0.12341	-0.09669	0.35107	-0.06859	-0.10249
6	0.40619	0.05980	-0.12740	0.04821	-0.12337	0.02846	0.43189	0.06339	-0.08006	0.05021	-0.10626	0.02178	0.38324	-0.11788	-0.11305	0.41221	-0.09112	-0.10674	0.43316	-0.17898	-0.10097	0.45212	-0.08491	-0.10830	0.37548	-0.10145	-0.14011	0.50240	-0.11718	-0.11290	0.52138	-0.18731	-0.11247	0.36378	-0.09149	-0.16378	0.40570	-0.14036	-0.04679	0.36716	-0.10810	-0.11980	0.35656	-0.03203	-0.11361	0.40800	-0.03611	-0.11551	0.30495	-0.03547	-0.17023	0.43280	-0.11430	-0.13277	0.54244	-0.05891	-0.10533	0.43128	-0.17571	-0.09918	0.49218	-0.17191	-0.11124	0.44872	-0.16326	-0.08134	0.39395	-0.04317	-0.12734	0.35336	-0.02489	-0.11481
