	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.10762	0.02583	0.01465	0.01528	0.01055	0.01009	-0.08785	0.03427	0.05932	0.01683	0.01117	0.01101	-0.08352	0.02651	0.01898	-0.11481	0.03932	-0.00080	-0.12826	0.00858	-0.00027	-0.06706	0.06051	0.02368	-0.08917	0.02494	0.02237	-0.10583	0.05111	0.00355	-0.09256	0.04109	0.01499	-0.13207	-0.01566	0.00577	-0.12779	0.03936	0.00278	-0.07061	0.01798	0.01826	-0.07355	0.04968	-0.00183	-0.02339	0.09066	0.02826	-0.08644	0.01509	0.00443	-0.11630	0.01757	0.02356	-0.09395	0.06347	0.00440	-0.14151	0.00556	-0.00141	-0.13067	0.04925	0.01838	-0.13570	0.00480	-0.00113	-0.08910	0.07444	0.01188	-0.05231	0.07541	0.02136
2	-0.08474	0.03602	0.01198	0.02175	0.01280	0.01731	-0.05900	0.04140	0.06323	0.02064	0.00922	0.01649	-0.04227	0.03198	0.02611	-0.08938	0.03794	-0.00648	-0.11657	0.00003	-0.00582	-0.03061	0.07492	0.02887	-0.05034	0.03009	0.03244	-0.07396	0.05599	-0.00302	-0.07476	0.04767	0.02173	-0.12021	-0.02458	0.00663	-0.11986	0.03196	-0.00607	-0.03467	0.01807	0.02596	-0.04155	0.04700	-0.00923	0.00220	0.09551	0.02709	-0.06829	0.00543	0.00254	-0.08835	0.02169	0.03507	-0.05408	0.06881	-0.00441	-0.13401	-0.00655	-0.00683	-0.11349	0.05751	0.02521	-0.11793	-0.00406	-0.00981	-0.06230	0.07980	0.01322	-0.00693	0.08282	0.02698
3	-0.04816	0.04763	0.00922	0.02990	0.01327	0.02638	-0.01344	0.04970	0.06590	0.02622	0.00451	0.02368	0.01343	0.03922	0.03292	-0.04682	0.03552	-0.01497	-0.09092	-0.01177	-0.01522	0.02175	0.08906	0.03236	0.00496	0.03826	0.04200	-0.02515	0.05889	-0.01337	-0.04074	0.05276	0.02815	-0.09772	-0.03246	0.00564	-0.09890	0.01996	-0.02035	0.01225	0.02039	0.03354	0.00799	0.04412	-0.01886	0.04147	0.09994	0.02399	-0.03906	-0.00486	-0.00132	-0.04357	0.02795	0.04659	0.00720	0.07078	-0.01870	-0.11263	-0.01992	-0.01533	-0.07733	0.06671	0.03071	-0.08762	-0.01737	-0.02427	-0.01777	0.08390	0.01271	0.05314	0.09012	0.03163
4	0.00033	0.05874	0.00770	0.03958	0.01246	0.03681	0.04469	0.05779	0.06807	0.03365	-0.00223	0.03186	0.07728	0.04881	0.03984	0.00807	0.03232	-0.02582	-0.05021	-0.02445	-0.02715	0.08347	0.10207	0.03391	0.07409	0.05060	0.05100	0.03669	0.06004	-0.02604	0.01132	0.05663	0.03429	-0.06548	-0.03794	0.00327	-0.06715	0.00389	-0.03900	0.06435	0.02618	0.04085	0.06957	0.04228	-0.02972	0.09493	0.10727	0.02105	0.00041	-0.01253	-0.00645	0.01609	0.03720	0.05813	0.08379	0.07036	-0.03650	-0.07797	-0.03283	-0.02586	-0.02358	0.07651	0.03457	-0.04661	-0.03470	-0.04331	0.04361	0.08774	0.01057	0.11755	0.09822	0.03466
5	0.05888	0.06731	0.01063	0.04951	0.01127	0.04731	0.10827	0.06301	0.07142	0.04172	-0.01022	0.03995	0.14491	0.06269	0.04669	0.07080	0.03072	-0.03787	0.00461	-0.03322	-0.03904	0.14416	0.11510	0.03372	0.15299	0.06952	0.05931	0.10423	0.06134	-0.03940	0.07831	0.05966	0.03994	-0.02101	-0.03628	0.00065	-0.02533	-0.01262	-0.05958	0.11723	0.03745	0.04796	0.13139	0.04321	-0.04096	0.15610	0.11710	0.01844	0.04665	-0.01342	-0.01180	0.08772	0.05128	0.06905	0.16877	0.07150	-0.05544	-0.02823	-0.04008	-0.03612	0.04245	0.08708	0.03632	0.00559	-0.05126	-0.06393	0.11630	0.09238	0.00685	0.17378	0.10840	0.03577
6	0.12228	0.07415	0.02062	0.05928	0.01121	0.05716	0.16778	0.06742	0.07855	0.05007	-0.01835	0.04753	0.21202	0.08234	0.05430	0.12947	0.03268	-0.05017	0.06630	-0.03417	-0.04832	0.19661	0.13115	0.03283	0.23478	0.09728	0.06828	0.16805	0.06519	-0.05215	0.15419	0.06436	0.04563	0.03210	-0.02535	-0.00065	0.01712	-0.02587	-0.07995	0.16876	0.05562	0.05573	0.18367	0.04858	-0.05204	0.22108	0.13181	0.01696	0.09405	-0.00477	-0.01635	0.16534	0.07184	0.08029	0.24832	0.07910	-0.07338	0.03118	-0.03806	-0.04389	0.10876	0.09974	0.03651	0.06411	-0.06293	-0.08295	0.18732	0.10043	0.00221	0.21741	0.12265	0.03571
