	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.06010	0.02026	0.01683	0.00948	-0.00571	0.01077	-0.05599	0.02607	0.02072	0.00266	0.00755	0.00216	-0.05813	0.01539	-0.00892	-0.06886	0.01804	0.00574	-0.07432	0.02743	0.00332	-0.04767	0.02052	0.00650	-0.06997	0.01511	-0.00736	-0.06726	0.02248	0.00810	-0.04847	-0.00269	-0.03212	-0.05278	0.01320	-0.00194	-0.08611	0.02492	0.01248	-0.03750	0.01018	-0.00994	-0.04771	0.01727	0.00637	0.00912	0.02362	0.00899	-0.03089	0.02796	0.00597	-0.05108	0.01293	-0.00714	-0.07661	0.02222	0.00908	-0.08190	0.02457	0.00189	-0.06127	0.02010	0.00546	-0.09591	0.02422	-0.00089	-0.06335	0.02090	0.00632	-0.05017	0.01714	0.00643
2	-0.05108	0.02383	0.01401	0.01149	-0.00811	0.01325	-0.03945	0.02752	0.02285	0.00371	0.00899	0.00334	-0.04139	0.01016	-0.01380	-0.05383	0.02006	0.00700	-0.07022	0.02826	0.00413	-0.02909	0.02389	0.00861	-0.04921	0.01003	-0.01191	-0.05047	0.02566	0.00960	-0.04591	-0.00648	-0.03789	-0.04708	0.01189	-0.00243	-0.08128	0.02927	0.01610	-0.02205	0.00262	-0.01590	-0.03173	0.01809	0.00654	0.02223	0.02208	0.00821	-0.01946	0.02792	0.00775	-0.04150	0.00893	-0.01090	-0.05554	0.02705	0.01312	-0.08009	0.02509	0.00263	-0.04660	0.02370	0.00767	-0.09383	0.02171	-0.00278	-0.04821	0.01962	0.00455	-0.02002	0.01910	0.00850
3	-0.03491	0.02800	0.01028	0.01411	-0.01041	0.01614	-0.01160	0.02951	0.02418	0.00594	0.01103	0.00523	-0.01739	0.00332	-0.01882	-0.02752	0.02162	0.00875	-0.05761	0.02853	0.00528	0.00032	0.02635	0.01201	-0.01813	0.00388	-0.01637	-0.02274	0.02759	0.01120	-0.03645	-0.01177	-0.04387	-0.03653	0.01039	-0.00254	-0.06701	0.03350	0.02020	-0.00276	-0.00633	-0.02234	-0.00392	0.01747	0.00665	0.04121	0.01934	0.00773	-0.00196	0.02732	0.01016	-0.02372	0.00426	-0.01445	-0.01724	0.03124	0.01823	-0.06969	0.02510	0.00368	-0.02053	0.02795	0.01116	-0.08484	0.01807	-0.00486	-0.02150	0.01632	0.00244	0.02294	0.02043	0.01189
4	-0.01344	0.03181	0.00508	0.01725	-0.01311	0.01940	0.02427	0.03240	0.02360	0.00876	0.01325	0.00740	0.00925	-0.00529	-0.02437	0.00640	0.02164	0.01054	-0.03668	0.02743	0.00604	0.03587	0.02649	0.01598	0.01954	-0.00375	-0.02100	0.01302	0.02673	0.01233	-0.01929	-0.02029	-0.05114	-0.02264	0.00814	-0.00273	-0.04502	0.03652	0.02402	0.01597	-0.01629	-0.02912	0.03174	0.01416	0.00641	0.06682	0.01503	0.00761	0.02049	0.02567	0.01275	0.00043	-0.00158	-0.01796	0.03339	0.03287	0.02343	-0.05169	0.02390	0.00425	0.01555	0.03198	0.01576	-0.06979	0.01282	-0.00779	0.01622	0.01052	0.00039	0.06873	0.02008	0.01600
5	0.01184	0.03384	-0.00178	0.02031	-0.01613	0.02233	0.06179	0.03398	0.02001	0.01173	0.01499	0.00943	0.03577	-0.01539	-0.03013	0.04382	0.01912	0.01190	-0.00920	0.02403	0.00564	0.06948	0.02350	0.01961	0.05962	-0.01291	-0.02575	0.05067	0.02195	0.01233	0.00530	-0.03146	-0.05807	-0.00471	0.00478	-0.00310	-0.01695	0.03654	0.02623	0.03159	-0.02668	-0.03578	0.06589	0.00772	0.00546	0.09432	0.00800	0.00739	0.04501	0.02247	0.01499	0.02832	-0.00885	-0.02122	0.08900	0.02992	0.02742	-0.02590	0.02062	0.00381	0.05709	0.03430	0.02088	-0.04737	0.00555	-0.01169	0.05988	0.00146	-0.00147	0.10474	0.01763	0.02014
6	0.03792	0.03437	-0.01029	0.02320	-0.01976	0.02483	0.09312	0.03545	0.01345	0.01468	0.01582	0.01121	0.05980	-0.02663	-0.03637	0.07548	0.01390	0.01237	0.01981	0.01818	0.00357	0.09538	0.01767	0.02222	0.09713	-0.02329	-0.03092	0.08279	0.01356	0.01085	0.03386	-0.04570	-0.06479	0.01563	-0.00001	-0.00402	0.00921	0.03320	0.02628	0.04410	-0.03695	-0.04228	0.09010	-0.00107	0.00365	0.12203	-0.00173	0.00701	0.06795	0.01767	0.01652	0.05689	-0.01761	-0.02447	0.13691	0.02223	0.02942	0.00411	0.01521	0.00200	0.09528	0.03397	0.02581	-0.02006	-0.00373	-0.01682	0.09841	-0.01088	-0.00336	0.12558	0.01366	0.02397
