	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	11.64715	1.38499	33.76714	2.28057	1.59024	2.87939	4.16472	1.21482	11.61407	1.33814	33.38382	1.68871	-0.17202	1.79165	4.02647	0.84698	13.58062	35.15673	0.18083	4.27106	11.24195	32.54020	4.11761	5.09131	11.27985	31.46123	1.26886	4.67367	12.32538	31.99764	-1.52303	4.84606	11.35434	33.23570	2.06097	4.81176	10.67403	31.96949	-0.61177	3.98406	9.60086	33.46307	5.65645	6.19087	9.74642	33.11506	1.20898	3.90952	9.65180	32.00926	2.90853	3.52148	9.96097	32.50477	1.15742	2.53646	9.78813	31.05587	0.76201	4.91366	11.21088	30.98438	-1.99776	3.01285	12.85083	32.77385	-4.55912	2.15462	14.81966	35.36675	-1.81054	4.74781	13.65009	39.00791	3.83352	3.85567	10.98209	32.71685	0.11150	3.91950	12.77959	34.25893	-0.24603	3.97264	12.54483	34.46589	-1.92008	5.25475	12.40495	34.21209	2.79120	5.72971	11.31030	32.39613	1.27640	3.46129	11.59556	31.11786	-1.36409	4.03077	11.35339	33.72890	-0.98266	4.61240	11.32101	36.51664	6.24090	4.15299	11.85063	36.98721	0.39239	3.83635	11.55534	34.70367	1.13914	1.86245	12.96244	35.21641	-1.65475	3.13178
2	11.56231	1.40441	33.82400	2.35951	2.71278	2.87790	3.47772	1.25243	11.57330	1.32983	33.14799	1.81122	0.49813	1.71748	3.56729	0.85101	13.69790	35.54922	2.32542	3.68331	10.96696	31.39068	2.86471	4.18505	11.14382	31.15664	1.23826	3.97868	12.25017	31.77805	-1.02227	4.58457	11.16338	33.41256	3.91532	4.17149	10.63192	31.99746	0.69248	3.42525	9.50646	33.40073	6.70206	5.63844	9.80132	33.22414	2.67162	3.63587	9.59272	31.91140	3.68076	2.80558	9.95052	32.29596	2.20516	2.13908	9.77189	31.11576	1.73740	4.27826	11.19168	30.63597	-1.73965	2.46727	12.84079	33.17706	-2.93083	1.58112	14.69344	34.81947	-2.06864	3.95504	13.53097	39.13870	4.93777	2.95236	10.92033	32.45212	0.94693	3.43406	12.67946	34.57790	1.43530	3.00398	12.48413	34.34918	-0.97710	4.96480	12.29134	34.13690	3.13173	4.91368	11.23867	32.01761	1.58009	2.81844	11.55179	31.00003	-1.03675	3.62417	11.35132	33.66700	-0.05584	4.24640	11.29211	36.56486	7.71842	3.57083	11.86526	37.08774	2.15278	3.83693	11.24736	34.57029	2.41128	1.00842	13.10713	35.20860	-0.77463	2.68204
3	11.47628	1.41851	33.97907	2.42214	4.35264	2.91020	2.59437	1.29694	11.55808	1.31751	33.07222	1.98024	1.73578	1.82716	2.91273	0.93373	13.77985	35.86620	4.60580	2.94172	10.69676	30.44208	2.44723	3.24466	10.99429	31.05634	2.00534	3.11401	12.17215	31.70907	0.13141	4.17383	10.99106	33.67137	6.16151	3.32936	10.62498	32.12160	2.37553	2.63130	9.44044	33.37201	8.04911	4.79122	9.89568	33.38350	4.36551	3.14178	9.54171	31.89799	4.97274	1.81969	10.00439	32.21773	3.54297	1.50260	9.75563	31.25428	3.17689	3.46149	11.19874	30.49624	-0.79343	1.76107	12.79584	33.60941	-0.83678	0.80354	14.55039	34.50903	-1.38180	2.91066	13.40771	39.30600	6.51325	1.79603	10.89691	32.36759	2.35773	2.74992	12.58433	35.05754	3.66376	1.78888	12.43511	34.39741	0.63349	4.49983	12.17475	34.25774	4.30850	3.97030	11.18722	31.82101	2.46475	1.96659	11.50029	31.08686	0.10571	3.05908	11.34939	33.75828	1.48432	3.68613	11.30275	36.74205	9.57170	2.79355	11.93974	37.35077	4.34011	3.58932	10.92299	34.55011	4.28677	0.05794	13.30354	35.36454	0.59733	2.00787
4	11.37838	1.42882	34.16889	2.46897	6.33749	2.91682	1.58450	1.34938	11.56088	1.30764	33.10654	2.15890	3.37665	1.94233	2.12269	1.02328	13.80860	36.07909	6.94350	2.13704	10.43818	29.71312	2.81620	2.12410	10.82916	31.11409	3.41500	2.12301	12.09525	31.74719	1.74830	3.62516	10.83366	33.92751	8.56825	2.38337	10.64369	32.25457	4.23289	1.66964	9.38897	33.31636	9.54286	3.68483	10.00906	33.51674	6.12828	2.48216	9.47918	31.90373	6.62523	0.66638	10.10197	32.21252	5.04156	0.86213	9.72267	31.40377	4.92423	2.53751	11.22955	30.52254	0.67614	0.95805	12.71521	33.97885	1.48599	-0.14077	14.39212	34.41479	0.11370	1.66504	13.27631	39.48733	8.46833	0.50451	10.89836	32.39330	4.13530	1.93580	12.48089	35.61560	6.22782	0.42568	12.39426	34.55730	2.71815	3.88883	12.04070	34.51187	6.15395	2.98805	11.15040	31.77110	3.80482	1.11007	11.43572	31.32170	1.87959	2.34342	11.34567	33.96763	3.46746	3.02316	11.32875	36.96262	11.61177	1.87814	12.06567	37.68989	6.69026	3.08149	10.57918	34.57301	6.54087	-0.93265	13.52722	35.62440	2.32340	1.16940
5	11.25297	1.43683	34.33055	2.50637	8.51189	2.88335	0.58778	1.39676	11.56650	1.30568	33.19138	2.31533	5.27962	1.97045	1.27970	1.12978	13.76418	36.18167	9.30371	1.40773	10.19391	29.20459	3.87336	0.97943	10.64314	31.26259	5.27225	1.10149	12.01739	31.83159	3.63832	2.99829	10.67626	34.10043	10.96115	1.49112	10.66758	32.31673	6.13499	0.69876	9.33032	33.19022	11.08535	2.45090	10.11240	33.56227	7.87510	1.78379	9.38151	31.87353	8.49946	-0.45587	10.20987	32.21806	6.64177	0.09457	9.65335	31.50570	6.84375	1.62991	11.27564	30.65736	2.50887	0.17989	12.59770	34.21992	3.85905	-1.13369	14.21743	34.48951	2.24464	0.36436	13.12174	39.65683	10.70695	-0.71802	10.90497	32.45362	6.10711	1.12425	12.35116	36.16426	8.95129	-0.88776	12.35157	34.76725	5.09483	3.22073	11.87266	34.81655	8.45080	2.09288	11.11519	31.81754	5.48975	0.18706	11.35036	31.63190	4.07635	1.54071	11.33095	34.24514	5.74290	2.31784	11.34100	37.13383	13.67846	0.95444	12.22058	38.00282	8.98914	2.38230	10.20528	34.55968	8.96604	-1.83276	13.74696	35.92152	4.29432	0.30484
6	11.08447	1.44387	34.41640	2.54273	10.74968	2.82685	-0.22779	1.41372	11.55639	1.31293	33.27435	2.43102	7.33995	1.90367	0.55922	1.20373	13.63150	36.18804	11.66351	0.88290	9.96344	28.90330	5.48575	0.00958	10.43005	31.42597	7.37086	0.17753	11.93057	31.89692	5.64314	2.39783	10.50041	34.13408	13.22246	0.80405	10.67269	32.26168	8.02796	-0.07954	9.23926	32.97910	12.64291	1.29448	10.17775	33.49269	9.58645	1.20251	9.22932	31.77932	10.48689	-1.31940	10.29274	32.18927	8.33295	-0.50100	9.53139	31.52174	8.82653	0.86923	11.32502	30.84352	4.56373	-0.43108	12.44142	34.30442	6.17655	-2.00114	14.02311	34.67523	4.83271	-0.76480	12.92295	39.79237	13.12741	-1.64532	10.89652	32.48504	8.14788	0.47176	12.17725	36.63316	11.71154	-1.90846	12.29350	34.97353	7.61048	2.62321	11.65757	35.08479	10.95727	1.40124	11.06460	31.90767	7.42914	-0.59998	11.23692	31.94487	6.49628	0.76282	11.29144	34.53981	8.20028	1.69991	11.31270	37.18077	15.66109	0.18924	12.37119	38.20116	11.13019	1.64663	9.78736	34.44467	11.40249	-2.46848	13.93051	36.19670	6.42864	-0.40525
