	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.34570	0.04875	-0.25353	0.03253	0.01060	0.01149	0.35378	0.05398	-0.26897	0.03023	0.00601	0.00810	0.26708	-0.18369	-0.00310	0.41099	-0.27927	0.01057	0.32901	-0.26999	0.01385	0.34912	-0.26792	-0.00803	0.32323	-0.23559	0.00858	0.32831	-0.23882	0.00300	0.30415	-0.20328	0.00666	0.36518	-0.24107	0.00121	0.42774	-0.26942	0.01966	0.34582	-0.23578	0.00188	0.36248	-0.25123	-0.00368	0.36759	-0.28776	0.01240	0.26229	-0.23276	-0.00200	0.35847	-0.31282	0.02307	0.35633	-0.25442	0.02677	0.39456	-0.28782	0.00917	0.33559	-0.27521	0.00000	0.30007	-0.27869	0.01441	0.37382	-0.28189	0.03088	0.36638	-0.27702	0.00810	0.37255	-0.28785	0.01871	0.20968	-0.20462	0.00157	0.40044	-0.25785	0.00478	0.38421	-0.28859	0.00352	0.37934	-0.29279	0.01670	0.41873	-0.29640	-0.00276
2	0.40307	0.05300	-0.24677	0.03784	0.00119	0.01592	0.42840	0.04926	-0.27874	0.03461	-0.00399	0.01131	0.32080	-0.17624	-0.01266	0.49305	-0.30521	0.00543	0.37292	-0.27145	0.00705	0.40108	-0.26777	-0.01896	0.37615	-0.21605	-0.00293	0.38129	-0.23303	-0.00838	0.35326	-0.19048	-0.00012	0.41234	-0.23234	-0.01366	0.48780	-0.26402	0.01122	0.38654	-0.22436	-0.01112	0.40372	-0.23433	-0.02608	0.41333	-0.28807	0.00190	0.32360	-0.22424	-0.01697	0.41547	-0.32720	0.02251	0.46011	-0.26412	0.02559	0.44322	-0.27573	-0.00458	0.38820	-0.26348	-0.01267	0.35093	-0.27463	0.00649	0.44703	-0.28997	0.02562	0.40569	-0.26874	-0.00348	0.41325	-0.29394	0.01414	0.52277	-0.33399	-0.00228	0.44153	-0.23228	-0.00437	0.46261	-0.28840	-0.00776	0.45152	-0.28737	0.00761	0.48093	-0.30409	-0.01796
3	0.45347	0.06184	-0.21690	0.04371	-0.01767	0.01963	0.47362	0.06065	-0.25876	0.03569	-0.02293	0.01375	0.36795	-0.14589	-0.02719	0.43282	-0.25445	-0.00963	0.41011	-0.25337	-0.00966	0.44804	-0.24967	-0.03832	0.42441	-0.17288	-0.02183	0.42231	-0.20844	-0.02740	0.40650	-0.16352	-0.01462	0.44314	-0.20156	-0.03640	0.54340	-0.23674	-0.00726	0.55921	-0.26837	-0.02906	0.43017	-0.19211	-0.05937	0.44923	-0.26777	-0.01606	0.37611	-0.19654	-0.04192	0.47036	-0.31948	0.01023	0.55660	-0.24632	0.01262	0.47603	-0.23808	-0.02721	0.43494	-0.22949	-0.03246	0.39336	-0.24518	-0.01044	0.51688	-0.27091	0.00632	0.58952	-0.31546	-0.02230	0.44421	-0.27870	-0.00123	0.41125	-0.23511	-0.02660	0.46963	-0.18071	-0.01996	0.53110	-0.26979	-0.02531	0.51415	-0.25257	-0.01318	0.53066	-0.29054	-0.03955
4	0.49842	0.07346	-0.16275	0.04942	-0.04290	0.02331	0.46711	0.08608	-0.19625	0.05745	-0.04758	0.01535	0.41687	-0.09243	-0.04452	0.46252	-0.22872	-0.03259	0.44524	-0.21594	-0.03332	0.48677	-0.21172	-0.06592	0.46236	-0.10452	-0.04433	0.44104	-0.16014	-0.05172	0.45765	-0.11784	-0.03533	0.45730	-0.14738	-0.06470	0.59280	-0.18388	-0.03223	0.25394	-0.06432	-0.05500	0.44739	-0.12722	-0.09892	0.47873	-0.22886	-0.03754	0.41810	-0.14835	-0.07542	0.51700	-0.28271	-0.01199	0.64475	-0.19549	-0.00933	0.49041	-0.17529	-0.05535	0.47883	-0.17415	-0.05587	0.42717	-0.18874	-0.03391	0.58471	-0.22165	-0.02192	0.37731	-0.14929	-0.04940	0.46872	-0.24088	-0.02551	0.51188	-0.22202	-0.04899	0.49855	-0.10851	-0.03862	0.58894	-0.23251	-0.04703	0.56352	-0.18486	-0.04233	0.57947	-0.25948	-0.06440
5	0.52950	0.08433	-0.08188	0.05423	-0.06958	0.02732	0.49704	0.08035	-0.13485	0.05520	-0.07365	0.01611	0.46133	-0.01285	-0.06073	0.48805	-0.18277	-0.05935	0.47110	-0.15645	-0.05965	0.50171	-0.14845	-0.09741	0.49233	-0.01669	-0.06537	0.44238	-0.09029	-0.07679	0.49643	-0.04931	-0.05855	0.45862	-0.07086	-0.09477	0.62596	-0.10241	-0.05834	0.37218	-0.05548	-0.07839	0.44734	-0.03922	-0.13859	0.49198	-0.16811	-0.05888	0.44264	-0.07550	-0.11265	0.54014	-0.20757	-0.03998	0.71091	-0.10506	-0.03575	0.48317	-0.08813	-0.08508	0.51398	-0.09566	-0.07730	0.44347	-0.10106	-0.06094	0.63780	-0.13973	-0.05311	0.39442	-0.07879	-0.07495	0.47800	-0.17532	-0.05514	0.61684	-0.19106	-0.07348	0.51696	-0.01430	-0.05562	0.61580	-0.16780	-0.06946	0.58875	-0.08196	-0.07377	0.61274	-0.20263	-0.08799
6	0.55126	0.09155	0.01714	0.05847	-0.09184	0.03246	0.51789	0.07340	-0.05345	0.05176	-0.09739	0.01745	0.50651	0.08384	-0.07159	0.47599	-0.10238	-0.08426	0.48957	-0.08048	-0.08284	0.50026	-0.06579	-0.12848	0.51835	0.07981	-0.08057	0.44731	-0.00934	-0.09724	0.52718	0.03729	-0.07962	0.46944	0.01588	-0.12218	0.64347	-0.00050	-0.07907	0.43664	-0.00246	-0.10269	0.44005	0.06021	-0.17260	0.50017	-0.09502	-0.07590	0.45876	0.01465	-0.14803	0.54562	-0.09896	-0.06666	0.75581	0.01652	-0.05899	0.47417	0.01072	-0.11194	0.54609	-0.00076	-0.09189	0.45579	0.00690	-0.08724	0.67023	-0.03377	-0.07920	0.52050	-0.04512	-0.09657	0.47986	-0.08932	-0.08394	0.62989	-0.09403	-0.09799	0.53240	0.09200	-0.06592	0.62780	-0.08407	-0.08881	0.59812	0.04341	-0.09971	0.64895	-0.13118	-0.10617
