	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.15456	0.02942	-0.10593	0.01674	-0.00854	0.00985	-0.11937	0.03694	-0.04547	0.02409	-0.00067	0.01212	-0.09844	-0.08060	-0.01370	-0.14358	-0.03614	-0.00872	-0.12906	-0.08641	0.01340	-0.11159	-0.04675	-0.00159	-0.14219	-0.11152	-0.01611	-0.11322	-0.05122	-0.00065	-0.12197	-0.09686	-0.01577	-0.13484	-0.05436	-0.00157	-0.17851	-0.13064	-0.02153	-0.09709	-0.03515	-0.00175	-0.14619	-0.10366	-0.00227	-0.14519	-0.06884	-0.01390	-0.16816	-0.11345	0.00087	-0.14148	-0.07521	-0.01292	-0.16115	-0.11342	-0.01585	-0.13406	-0.04566	-0.00257	-0.18692	-0.11109	0.00234	-0.16641	-0.07597	-0.01893	-0.14635	-0.09974	-0.00774	-0.10687	-0.05045	0.00132	-0.14348	-0.09286	-0.00585	-0.01747	0.01123	0.01524	-0.18256	-0.09661	-0.01424	-0.14037	-0.04933	0.01507	-0.20433	-0.14023	-0.01461	-0.09960	-0.01320	0.02230
2	-0.15114	0.03896	-0.11866	0.02245	-0.01739	0.01702	-0.11465	0.03744	-0.05053	0.03138	-0.00896	0.01988	-0.08486	-0.09481	-0.02681	-0.13152	-0.03844	-0.02097	-0.10740	-0.08071	0.02016	-0.10165	-0.04923	-0.00947	-0.13759	-0.12485	-0.02773	-0.10497	-0.05428	-0.00736	-0.11286	-0.10977	-0.03052	-0.12660	-0.05793	-0.00864	-0.16714	-0.15413	-0.03995	-0.08687	-0.03808	-0.00983	-0.13598	-0.10746	-0.00563	-0.14626	-0.08338	-0.03208	-0.17537	-0.12421	0.00004	-0.14677	-0.09436	-0.03203	-0.16176	-0.13305	-0.03339	-0.12463	-0.05474	-0.01244	-0.19870	-0.11861	0.00077	-0.17572	-0.09517	-0.03948	-0.13825	-0.11929	-0.01847	-0.08845	-0.05360	-0.00424	-0.13711	-0.10586	-0.01315	-0.03459	0.01399	0.01795	-0.18297	-0.10652	-0.02408	-0.14574	-0.04858	0.01681	-0.22484	-0.16325	-0.02725	-0.07675	-0.00305	0.02530
3	-0.13322	0.04903	-0.12683	0.02976	-0.02967	0.02594	-0.09262	0.04856	-0.05295	0.04008	-0.02289	0.02930	-0.05351	-0.10328	-0.04445	-0.14311	-0.07611	-0.04315	-0.07222	-0.06891	0.02693	-0.07552	-0.04729	-0.02272	-0.11778	-0.13208	-0.04187	-0.07610	-0.05070	-0.01814	-0.09240	-0.12248	-0.05010	-0.09792	-0.05350	-0.01932	-0.14052	-0.17733	-0.06419	-0.04695	-0.01748	-0.01958	-0.10844	-0.10265	-0.01033	-0.13122	-0.09454	-0.05658	-0.16931	-0.13000	-0.00353	-0.14136	-0.11716	-0.06253	-0.14581	-0.15058	-0.05834	-0.09636	-0.05890	-0.02707	-0.19652	-0.12028	-0.00310	-0.17135	-0.11350	-0.06870	-0.11849	-0.13550	-0.03345	-0.04002	-0.03364	-0.01160	-0.11964	-0.11791	-0.02316	-0.01774	0.00342	0.01300	-0.16869	-0.11083	-0.03583	-0.13035	-0.04063	0.01568	-0.22846	-0.17695	-0.04429	-0.03606	0.01173	0.02318
4	-0.10079	0.05844	-0.12818	0.03792	-0.04472	0.03629	-0.05210	0.05831	-0.05146	0.05157	-0.04234	0.04042	-0.00455	-0.10379	-0.06563	-0.10669	-0.08417	-0.06701	-0.02631	-0.05120	0.03418	-0.03110	-0.03890	-0.04087	-0.08224	-0.12853	-0.05703	-0.02544	-0.03744	-0.03177	-0.05907	-0.13162	-0.07377	-0.04994	-0.03901	-0.03234	-0.09867	-0.19589	-0.09260	-0.01118	-0.03607	-0.04370	-0.06561	-0.08832	-0.01628	-0.10074	-0.10036	-0.08526	-0.14938	-0.13012	-0.01013	-0.12087	-0.14052	-0.10412	-0.11340	-0.16454	-0.08923	-0.04858	-0.05513	-0.04489	-0.17944	-0.11471	-0.00897	-0.15154	-0.12882	-0.10560	-0.08763	-0.14507	-0.05159	-0.00057	-0.04269	-0.03164	-0.09062	-0.12680	-0.03513	0.04168	0.02712	0.00806	-0.14239	-0.10877	-0.04977	-0.09113	-0.02376	0.01156	-0.21097	-0.17699	-0.06536	0.01876	0.03073	0.01724
5	-0.05249	0.06512	-0.11621	0.04577	-0.06070	0.04680	0.00661	0.06778	-0.03563	0.06549	-0.06242	0.05177	0.06229	-0.08959	-0.08773	-0.05340	-0.08553	-0.09134	0.02949	-0.02425	0.04102	0.03410	-0.01986	-0.06171	-0.03541	-0.11160	-0.07163	0.04031	-0.01289	-0.04600	-0.01375	-0.13136	-0.09903	0.01141	-0.01270	-0.04532	-0.04193	-0.20065	-0.12160	0.04972	-0.00521	-0.05844	-0.00820	-0.05968	-0.02292	-0.05469	-0.09569	-0.11390	-0.10841	-0.11618	-0.01878	-0.07977	-0.15549	-0.15125	-0.06210	-0.16483	-0.12179	0.01447	-0.04018	-0.06323	-0.14342	-0.09672	-0.01640	-0.11235	-0.13368	-0.14464	-0.04443	-0.14004	-0.07026	0.06673	-0.02005	-0.04717	-0.04758	-0.12494	-0.04727	0.11284	0.06004	0.00027	-0.10200	-0.09512	-0.06479	-0.02870	0.00274	0.00374	-0.16692	-0.15576	-0.08790	0.08520	0.05537	0.00759
6	0.00698	0.06918	-0.08945	0.05222	-0.07626	0.05667	0.07012	0.07448	-0.01009	0.07798	-0.08154	0.06228	0.14122	-0.05969	-0.10968	0.00668	-0.08380	-0.11463	0.09095	0.01270	0.04730	0.11035	0.01015	-0.08251	0.01693	-0.08292	-0.08540	0.10641	0.02109	-0.05874	0.03888	-0.11923	-0.12379	0.07209	0.02351	-0.05597	0.02542	-0.18713	-0.14855	0.10762	0.03190	-0.07218	0.05614	-0.01837	-0.02959	-0.00412	-0.08071	-0.13977	-0.04919	-0.08633	-0.02772	-0.02416	-0.15630	-0.19753	0.00337	-0.14648	-0.15244	0.08082	-0.01454	-0.07964	-0.09267	-0.06592	-0.02488	-0.06324	-0.12549	-0.18120	0.00867	-0.11709	-0.08741	0.14867	0.02763	-0.05797	0.00561	-0.10863	-0.05828	0.18354	0.09486	-0.01008	-0.05292	-0.07049	-0.08113	0.03971	0.03548	-0.00655	-0.10163	-0.11327	-0.10988	0.14714	0.08505	-0.00328
