	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_23_CR028_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05477	0.01367	0.03134	0.00782	-0.00001	0.00569	-0.06245	0.02436	0.02307	0.00472	0.00848	0.00456	-0.04821	0.01694	-0.00377	-0.08253	0.02745	0.00792	-0.05393	0.02142	-0.00647	-0.07972	0.01822	0.00585	-0.04795	0.03221	-0.00046	-0.05717	0.01776	0.00479	-0.02543	0.03505	0.00113	-0.06717	0.01690	0.00440	-0.05661	0.03238	-0.00761	-0.03560	0.01968	0.00729	-0.03700	0.03801	0.00846	-0.06892	0.03187	0.01945	-0.06786	0.02408	0.00314	-0.09507	0.02702	0.01059	-0.06838	0.02485	-0.00874	-0.06858	0.02496	0.00713	-0.05885	0.02860	0.00221	-0.07686	0.02833	0.01525	-0.07829	0.03310	-0.00421	-0.05688	0.02063	0.00235	-0.06146	0.03728	0.00400	0.00266	0.01936	0.00911	-0.05390	0.03951	0.00507	-0.05953	0.02298	0.00775	-0.05421	0.04397	0.00713	-0.06643	0.02480	0.00835
2	-0.05017	0.01582	0.03051	0.01032	-0.00160	0.00952	-0.05487	0.02370	0.02626	0.00758	0.01191	0.00719	-0.04556	0.01176	-0.00864	-0.06979	0.03233	0.01198	-0.04472	0.01645	-0.01240	-0.07048	0.01933	0.00736	-0.04312	0.03011	-0.00249	-0.05181	0.01705	0.00496	-0.01934	0.03199	-0.00196	-0.06180	0.01663	0.00499	-0.05432	0.02740	-0.01388	-0.02731	0.01960	0.00881	-0.02604	0.04188	0.01296	-0.06026	0.03900	0.02742	-0.06748	0.02683	0.00542	-0.09166	0.03348	0.01750	-0.07134	0.02021	-0.01613	-0.06237	0.02413	0.00812	-0.05694	0.03142	0.00395	-0.07474	0.03355	0.02083	-0.07291	0.03089	-0.00814	-0.04406	0.01949	0.00236	-0.05241	0.04072	0.00535	0.00330	0.03293	0.01732	-0.04490	0.03980	0.00547	-0.05812	0.02388	0.00960	-0.05314	0.04714	0.00962	-0.04422	0.02999	0.01362
3	-0.04074	0.01818	0.02711	0.01390	-0.00397	0.01438	-0.03920	0.02989	0.02735	0.00963	0.01479	0.00929	-0.03614	0.00360	-0.01506	-0.08131	0.02647	0.00900	-0.03145	0.00846	-0.01889	-0.05285	0.01959	0.00886	-0.03392	0.02507	-0.00572	-0.03677	0.01526	0.00482	-0.01108	0.02601	-0.00710	-0.04555	0.01505	0.00540	-0.04912	0.01844	-0.02276	0.00847	0.02633	0.01568	-0.00909	0.04360	0.01803	-0.04526	0.04553	0.03504	-0.05978	0.02977	0.00913	-0.08227	0.04047	0.02558	-0.06852	0.01134	-0.02616	-0.04793	0.02189	0.00877	-0.04962	0.03331	0.00629	-0.06677	0.03820	0.02588	-0.06383	0.02552	-0.01267	-0.00906	0.02611	0.00812	-0.03950	0.04232	0.00689	0.00425	0.02182	0.01245	-0.03154	0.03673	0.00451	-0.04507	0.02381	0.01193	-0.04606	0.04818	0.01186	-0.00949	0.03497	0.02074
4	-0.02727	0.02050	0.02020	0.01865	-0.00790	0.02032	-0.01755	0.03169	0.02435	0.01536	0.01537	0.01344	-0.02066	-0.00830	-0.02362	-0.05828	0.02685	0.01105	-0.01626	-0.00333	-0.02619	-0.02657	0.01799	0.00959	-0.02102	0.01629	-0.01067	-0.01186	0.01097	0.00374	-0.00156	0.01608	-0.01498	-0.02035	0.01085	0.00497	-0.04184	0.00456	-0.03508	0.00198	0.00491	0.00171	0.01265	0.04227	0.02280	-0.02553	0.05033	0.04084	-0.04534	0.03146	0.01351	-0.06489	0.04678	0.03274	-0.06063	-0.00317	-0.04011	-0.02495	0.01754	0.00843	-0.03716	0.03287	0.00818	-0.05205	0.04123	0.02899	-0.05245	0.01652	-0.01864	-0.00219	0.00619	-0.00259	-0.02313	0.04141	0.00792	0.04169	0.02267	0.01742	-0.01465	0.03024	0.00155	-0.01855	0.02188	0.01442	-0.03247	0.04564	0.01266	0.03334	0.03836	0.02851
5	-0.01056	0.02219	0.00859	0.02380	-0.01370	0.02660	0.01409	0.03716	0.02049	0.01844	0.01600	0.01517	0.00012	-0.02480	-0.03426	-0.02782	0.02540	0.01171	0.00053	-0.01885	-0.03330	0.00900	0.01275	0.00849	-0.00780	0.00356	-0.01750	0.01734	0.00259	0.00087	0.00636	0.00127	-0.02553	0.00788	0.00254	0.00291	-0.03323	-0.01448	-0.05015	0.03761	0.00343	0.00432	0.03712	0.03603	0.02610	-0.00278	0.05040	0.04231	-0.02234	0.02971	0.01736	-0.03714	0.04947	0.03571	-0.04715	-0.02379	-0.05705	0.00311	0.00966	0.00618	-0.01980	0.02789	0.00846	-0.03046	0.03968	0.02770	-0.03838	0.00336	-0.02612	0.02628	-0.00282	-0.00499	-0.00311	0.03632	0.00761	0.08275	0.02044	0.02221	0.00325	0.01856	-0.00430	0.01770	0.01566	0.01566	-0.01286	0.03689	0.01053	0.07966	0.03712	0.03486
6	0.00659	0.02396	-0.00769	0.02883	-0.02159	0.03281	0.04239	0.03953	0.01159	0.02064	0.01344	0.01566	0.02344	-0.04549	-0.04699	0.00074	0.01830	0.00810	0.01635	-0.03813	-0.04034	0.04582	0.00257	0.00465	0.00255	-0.01239	-0.02607	0.03984	-0.01042	-0.00432	0.00965	-0.01798	-0.03828	0.02879	-0.01013	-0.00114	-0.02475	-0.03780	-0.06731	0.06219	-0.00454	0.00296	0.06052	0.02510	0.02739	0.01651	0.04493	0.03893	0.00619	0.02322	0.01953	-0.00468	0.04640	0.03237	-0.03073	-0.05001	-0.07636	0.02843	-0.00195	0.00167	-0.00078	0.01729	0.00608	-0.00850	0.03248	0.02127	-0.02270	-0.01382	-0.03522	0.06438	-0.00849	-0.00406	0.01773	0.02649	0.00529	0.11177	0.00692	0.02139	0.01909	0.00230	-0.01311	0.04989	0.00429	0.01454	0.00916	0.02121	0.00472	0.11589	0.03026	0.03833
