	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0003_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0004_4.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.41788	0.11411	-0.15173	0.05768	0.07225	0.02429	0.46115	0.12747	-0.20355	0.03654	0.03840	0.01766	0.18367	0.27404	-0.05433	-0.06307	0.05828	0.03876	0.23037	-0.14460	0.03328	0.46928	-0.20588	0.05457	0.50559	0.44599	-0.20621	-0.17852	0.11633	0.06659	0.44792	0.43654	-0.16168	-0.15190	0.09410	0.04521	0.51599	-0.21557	0.03840	0.46110	-0.14254	0.07078	0.47278	0.61657	-0.19990	-0.25359	0.05712	0.03668	0.55336	0.36970	-0.23321	-0.17208	0.04482	0.00392	0.46747	0.53856	-0.20575	-0.20156	0.08691	0.07332
2	0.42207	0.11973	-0.10951	0.05464	0.10878	0.02443	0.47461	0.13338	-0.15604	0.03399	0.04675	0.02120	0.17437	0.28285	-0.01837	-0.02744	0.08782	0.07589	0.23437	-0.10373	0.03419	0.47832	-0.15393	0.06587	0.51362	0.45662	-0.16279	-0.13698	0.14928	0.10444	0.45083	0.43682	-0.11545	-0.11695	0.13177	0.08185	0.53148	-0.17043	0.05940	0.45149	-0.09056	0.10521	0.48378	0.65151	-0.14853	-0.20973	0.06692	0.05661	0.55619	0.38660	-0.17559	-0.13033	0.03429	0.00994	0.46697	0.56503	-0.15910	-0.15792	0.11933	0.12348
3	0.41692	0.12248	-0.05528	0.05019	0.15227	0.02470	0.48054	0.13688	-0.08279	0.03051	0.05441	0.02899	0.16574	0.28606	0.02462	0.01889	0.12458	0.12229	0.23538	-0.03649	0.03674	0.47766	-0.08033	0.07506	0.50903	0.45856	-0.10898	-0.07945	0.18480	0.14970	0.44179	0.42737	-0.05432	-0.07218	0.17583	0.12689	0.53544	-0.09653	0.08176	0.42831	-0.02845	0.14684	0.48983	0.67652	-0.07939	-0.13652	0.07241	0.07874	0.54773	0.40124	-0.08589	-0.06437	0.01797	0.01819	0.45295	0.58250	-0.09800	-0.09967	0.15731	0.18219
4	0.40911	0.12343	0.00863	0.04072	0.20358	0.02833	0.48763	0.14026	0.01884	0.02512	0.06762	0.04123	0.16063	0.28931	0.06281	0.06622	0.16429	0.17712	0.23777	0.05083	0.04119	0.48189	0.01852	0.09221	0.50052	0.45750	-0.04510	-0.00706	0.22998	0.20315	0.43081	0.41459	0.01957	-0.01525	0.22649	0.18054	0.53447	0.01099	0.10971	0.39953	0.04278	0.19618	0.49615	0.70057	0.02411	-0.03063	0.08522	0.10803	0.54407	0.41853	0.03206	0.02602	0.00518	0.03179	0.43620	0.59289	-0.02479	-0.02154	0.20218	0.25225
5	0.40386	0.12305	0.07769	0.03183	0.26003	0.03488	0.49995	0.14024	0.14010	0.02133	0.08832	0.05434	0.16148	0.29510	0.09767	0.11219	0.20621	0.23898	0.25576	0.15063	0.05197	0.48636	0.13416	0.11500	0.48923	0.45795	0.02344	0.07465	0.27931	0.26343	0.42680	0.40550	0.10073	0.04911	0.28102	0.24012	0.53447	0.14264	0.14542	0.37421	0.11817	0.25014	0.50935	0.72596	0.14665	0.10004	0.10268	0.14777	0.54755	0.44022	0.17034	0.13624	0.00183	0.05358	0.42432	0.60011	0.05612	0.06711	0.25048	0.33062
6	0.40731	0.12209	0.14853	0.03195	0.31917	0.04501	0.52191	0.13988	0.27516	0.02557	0.11957	0.06833	0.16850	0.30687	0.12835	0.15243	0.24639	0.30384	0.28955	0.25223	0.06857	0.49575	0.26359	0.14735	0.48173	0.46420	0.09356	0.16096	0.33314	0.32886	0.43793	0.40872	0.18387	0.11898	0.33645	0.30280	0.54242	0.29285	0.19222	0.36193	0.19469	0.30527	0.52899	0.76065	0.28640	0.24983	0.12974	0.20146	0.56909	0.46695	0.31981	0.26141	0.01316	0.08447	0.42891	0.60702	0.13985	0.16406	0.30037	0.41546
