	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.12039	0.09264	-0.10587	0.03468	-0.05320	0.01386	-0.09719	0.08501	-0.06665	0.05830	-0.03137	0.01972	-0.18911	-0.15322	-0.04816	-0.12899	-0.01957	-0.00234	-0.19069	-0.14352	-0.05604	-0.19489	-0.05595	-0.10403	-0.04929	-0.03661	-0.02823	-0.17521	-0.19495	-0.11496	-0.11537	-0.06757	-0.06838	-0.06239	-0.09568	-0.09272	-0.08792	-0.04335	-0.04457	0.00532	-0.04800	-0.06236	-0.08347	-0.03930	-0.04261	0.04823	0.03050	-0.00845
2	-0.11475	0.08056	-0.09311	0.03678	-0.06852	0.01589	-0.09410	0.07967	-0.06195	0.05967	-0.03965	0.02522	-0.17455	-0.12644	-0.06203	-0.14044	-0.00801	-0.00441	-0.17260	-0.15060	-0.06696	-0.19348	-0.04987	-0.09502	-0.02467	-0.05057	-0.03396	-0.17618	-0.16888	-0.08101	-0.13728	-0.08697	-0.08420	-0.06563	-0.07150	-0.09354	-0.08187	-0.04854	-0.06464	-0.01483	-0.03930	-0.05478	-0.06604	-0.05424	-0.05517	0.03482	0.02002	-0.00846
3	-0.11797	0.07491	-0.04433	0.03169	-0.08675	0.01511	-0.09839	0.07481	-0.06510	0.07118	-0.05090	0.03228	-0.16893	-0.09209	-0.08288	-0.14215	0.00528	-0.00728	-0.17778	-0.17841	-0.07822	-0.19073	-0.04892	-0.09168	-0.00214	-0.06927	-0.04497	-0.17175	-0.17718	-0.03711	-0.00361	-0.10810	-0.09601	-0.08066	-0.06352	-0.10227	-0.09613	-0.05744	-0.08946	-0.03367	-0.03832	-0.04087	-0.04799	-0.07353	-0.07326	0.01499	0.00968	-0.00967
4	-0.11633	0.06757	-0.02874	0.02330	-0.10358	0.01654	-0.10033	0.07896	-0.07540	0.08810	-0.06117	0.03801	-0.16410	-0.06037	-0.10506	-0.12731	0.01134	-0.01025	-0.21650	-0.22625	-0.08512	-0.18355	-0.03054	-0.09519	0.01059	-0.08704	-0.06079	-0.17292	-0.15962	0.00357	-0.03543	-0.13031	-0.10276	-0.07824	-0.06350	-0.10567	-0.12131	-0.06505	-0.10905	-0.04319	-0.04179	-0.02005	-0.03144	-0.09041	-0.08934	-0.00265	-0.00135	-0.01090
5	-0.12397	0.07150	-0.00587	0.02756	-0.11771	0.02093	-0.09206	0.07632	-0.08618	0.09067	-0.06871	0.04178	-0.17408	-0.04127	-0.12610	-0.10091	0.00675	-0.01226	-0.20913	-0.23448	-0.08417	-0.17604	-0.00313	-0.11072	0.00503	-0.10174	-0.07833	-0.18198	-0.17210	0.03320	-0.00230	-0.15085	-0.10601	-0.06614	-0.06699	-0.10914	-0.14811	-0.07208	-0.12022	-0.04091	-0.05078	0.00096	-0.01997	-0.10364	-0.10192	-0.02208	-0.01257	-0.01214
6	-0.12582	0.07309	0.01177	0.03308	-0.12929	0.02589	-0.08662	0.08215	-0.10098	0.09089	-0.07340	0.04428	-0.19154	-0.03180	-0.14262	-0.07327	-0.00893	-0.01253	-0.23010	-0.25355	-0.08253	-0.16672	0.00400	-0.13491	-0.01670	-0.11188	-0.09335	-0.18166	-0.16116	0.05566	0.01986	-0.16886	-0.11184	-0.03466	-0.06001	-0.10809	-0.16077	-0.07713	-0.12308	-0.03370	-0.06106	0.02260	-0.00747	-0.11308	-0.11006	-0.04557	-0.02391	-0.01329
