	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0001_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC002_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0001_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC003_BAREFOOT_GAIT0002_1.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.00577	0.04141	0.12783	0.04547	0.02181	0.01094	-0.06949	0.08540	0.02187	0.03290	-0.03874	0.04874	-0.03456	0.16559	0.00573	-0.05880	0.05188	0.01693	-0.11513	0.04580	-0.05626	-0.14169	-0.11460	0.04409	-0.03989	-0.05068	-0.08373	-0.01602	-0.02075	0.15557	0.16055	0.01867	0.03372	-0.01321	-0.13669	0.01010	0.00367	-0.07593	-0.06430	0.05797	0.04222	0.06916	0.08831	0.03005	0.02087	0.09370	0.03742	0.04277
2	0.01327	0.02991	0.13506	0.05279	0.02078	0.00723	-0.05660	0.07444	0.02713	0.03446	-0.03689	0.04704	-0.01758	0.17380	0.01367	-0.06597	0.05226	0.01847	-0.09005	0.05906	-0.05198	-0.12671	-0.08880	0.04893	-0.03772	-0.04483	-0.08126	-0.00952	0.00349	0.15927	0.18553	0.01639	0.03236	-0.01870	-0.10022	0.01210	0.01076	-0.07619	-0.06165	0.04401	0.04594	0.07189	0.08482	0.01913	0.02237	0.09424	0.04448	0.03925
3	0.01776	0.02525	0.12890	0.04672	0.01371	0.00736	-0.04728	0.06589	0.03386	0.03392	-0.04049	0.04894	-0.00402	0.18486	0.01731	-0.05978	0.05347	0.01992	-0.08679	0.06610	-0.06253	-0.11071	-0.06222	0.05389	-0.03118	-0.04641	-0.08094	-0.00124	0.00457	0.15660	0.14151	0.00794	0.01897	-0.03122	-0.07162	0.01798	0.02177	-0.08013	-0.07078	0.03823	0.05124	0.07636	0.08515	0.00386	0.02047	0.09142	0.05501	0.03747
4	0.01974	0.02335	0.13611	0.05336	0.00141	0.01173	-0.03512	0.05935	0.04300	0.04018	-0.04473	0.05011	0.00322	0.19297	0.01282	-0.03446	0.05594	0.01935	-0.08526	0.10212	-0.07129	-0.09430	-0.02779	0.05782	-0.02473	-0.05012	-0.08158	-0.00211	0.01050	0.15378	0.17428	-0.00714	0.00168	-0.03534	-0.05472	0.01852	0.02829	-0.08070	-0.08246	0.03333	0.05379	0.07562	0.08390	-0.01322	0.01293	0.08604	0.06306	0.03369
5	0.00734	0.02881	0.13689	0.05666	-0.01428	0.01439	-0.02630	0.05788	0.03854	0.03433	-0.05257	0.05269	-0.00689	0.20060	-0.00033	-0.00311	0.05589	0.01520	-0.08615	0.06940	-0.09248	-0.08529	-0.00100	0.05805	-0.02085	-0.05823	-0.08345	-0.01569	-0.01466	0.15526	0.17338	-0.02698	-0.02019	-0.03660	-0.05117	0.01304	0.02354	-0.08258	-0.09584	0.02376	0.05016	0.07114	0.08408	-0.02656	0.00266	0.07924	0.07073	0.02937
6	-0.00548	0.03075	0.13811	0.06061	-0.02840	0.01617	-0.02428	0.05615	0.03372	0.03847	-0.06068	0.05446	-0.02561	0.20567	-0.01887	0.01549	0.04964	0.00700	-0.08656	0.07031	-0.10958	-0.08285	-0.00388	0.05361	-0.01968	-0.06862	-0.08556	-0.02645	-0.02803	0.15879	0.17666	-0.04833	-0.03529	-0.03141	-0.05065	-0.00272	0.00663	-0.08511	-0.10779	0.01214	0.04055	0.06523	0.08420	-0.03318	-0.00633	0.06987	0.07823	0.02490
