	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-4.68880	2.29510	1.50354	1.72986	-1.97220	2.37206	11.27771	1.83123	-1.82284	3.45755	-12.84257	2.89903	-2.82954	-3.10717	-5.30802	-2.77383	-3.10270	0.57472	1.71805	0.92720	1.51039	2.00318	-0.36536	-1.83735	-0.89141	-0.12493	-2.53375	13.85225	9.82821	9.01164	10.05922	8.89909	2.64409	-3.20377	-6.43039	-6.64861	-5.77271	-9.88870	-14.01141	-10.50667	-14.00310	-11.17883	-5.67812	-6.12013	-6.03825	-2.28505	-6.38950	-1.27356	-1.25127	4.41173	-0.45528	-0.22379	1.17059	3.54869	-0.60976	-7.83265	-1.55437	-1.47383	-1.65489	-0.35316	8.43265	10.09280	12.68281	12.17826	11.56102	-3.83213	4.36178	-3.21973	-2.66247	-4.76718	-15.27686	-19.98255	-9.53265	-13.46333	-10.00976	-10.47186	-6.52151	-2.34877	-0.86984	0.24425	0.86869	2.26767	-3.86986	-1.47494	14.90134	12.42297	11.46871	1.21911	-4.15230	-1.57056	-9.20044	-13.09621	-10.65349	-4.09411	-6.78338	-6.21212	-1.16772	-4.58625	-4.28960	-7.08359	3.31528	2.85213	4.82135	3.37633	0.46460	0.10412	2.46325	-6.18530	-4.43075	-4.30049	-0.87610	1.62292	-2.34399	-2.59380	8.77522	9.89533	12.43314	12.23369	13.23822	12.52397	11.06364	4.43894	-0.57473	0.54772	0.28678	0.31035	-1.04607	-6.38485	-16.40231	-14.76970	-17.60240	-12.10433	-10.51563	-12.10907	-12.54404
2	-4.89503	2.28082	1.80097	1.71914	-2.73697	2.26588	10.95823	1.87254	-1.16583	3.50048	-14.22999	2.58270	-3.06603	-3.15604	-5.55976	-3.03648	-3.24259	0.68631	2.25375	1.14074	1.54612	2.35554	-0.74198	-2.69820	-1.80643	-0.59763	-3.85259	13.76359	9.48025	8.70184	9.84666	8.57853	3.69412	-2.68699	-5.79536	-6.18095	-4.98165	-11.99318	-15.12621	-11.99009	-15.47578	-12.78438	-5.66609	-6.58535	-6.03691	-2.50749	-6.53836	-1.56174	-0.79537	4.64465	-0.40347	0.18374	1.41784	3.82376	-0.78126	-8.26030	-2.47819	-2.08681	-2.54969	-1.36293	7.93038	9.73519	12.40741	11.87254	11.24603	-3.61471	4.66631	-2.43748	-1.98740	-4.20678	-16.00523	-19.82360	-10.57474	-14.52922	-11.10006	-10.63267	-6.76390	-2.64744	-0.41867	0.71611	1.32091	0.50198	-4.00451	-2.13799	14.75936	11.91178	11.20086	1.96694	-3.48062	-1.17074	-11.01677	-14.95718	-12.28795	-4.25552	-6.95123	-6.45059	-1.41380	-4.87063	-4.51045	-7.34253	3.66719	3.06770	5.14782	3.65335	0.70140	0.34555	2.76543	-6.79259	-5.12329	-5.30949	-1.39756	0.65759	-3.18550	-3.46907	8.60210	9.48222	11.96372	11.78776	13.07801	12.16657	10.64975	5.17874	0.08191	1.56887	0.62324	1.19656	-0.12772	-5.62284	-17.75783	-15.59934	-18.98825	-13.54885	-12.67673	-13.94082	-14.42358
3	-5.15896	2.26125	2.11249	1.69093	-3.55156	2.10006	10.57669	1.91276	-0.54109	3.52437	-15.44657	2.03562	-3.36625	-3.29578	-5.90934	-3.33370	-3.44712	0.79978	2.71187	1.35035	1.61181	2.75746	-1.30809	-3.62258	-2.79740	-1.26311	-5.21130	13.59164	9.06856	8.35065	9.55097	8.17957	4.88417	-2.20695	-5.13119	-5.77012	-4.28907	-13.77145	-16.10574	-13.69044	-16.73834	-14.50539	-5.73221	-7.08671	-6.10543	-2.80273	-6.75060	-1.91637	-0.22187	4.78361	-0.29722	0.62492	1.64469	4.08083	-1.08159	-8.54166	-3.24030	-2.75593	-3.47953	-2.67522	7.39374	9.39181	12.04279	11.50730	10.87558	-3.51058	4.73763	-1.63558	-1.31184	-3.63613	-16.43987	-18.93747	-11.89657	-15.58632	-12.25830	-10.77799	-7.09767	-3.03394	0.17420	1.12845	1.79275	-1.50661	-4.23107	-2.88063	14.59071	11.33003	10.87752	2.67227	-2.78313	-0.71886	-12.74499	-16.73157	-14.27220	-4.44697	-7.15872	-6.78594	-1.67460	-5.20327	-4.81408	-7.59866	4.01471	3.24050	5.45529	4.04004	0.93557	0.63347	3.10116	-7.21443	-5.69037	-6.04757	-1.94144	-0.53079	-4.24359	-4.31955	8.38420	9.03598	11.40753	11.30788	12.81816	11.72931	10.09989	5.66429	0.60924	2.47177	1.09589	2.09591	0.70183	-4.76139	-18.62143	-16.16183	-18.95838	-15.05173	-14.92183	-15.76832	-15.76926
4	-5.48679	2.23459	2.41255	1.64628	-4.35780	1.92017	10.14528	1.95136	-0.00058	3.54868	-16.31388	1.50067	-3.72097	-3.53852	-6.36492	-3.67056	-3.72062	0.90648	3.06923	1.52274	1.69541	3.13606	-2.02197	-4.55391	-3.74009	-2.03921	-6.43223	13.34038	8.60158	7.94978	9.17506	7.69722	6.08180	-1.80935	-4.52480	-5.46118	-3.79074	-14.88651	-16.86788	-15.43293	-17.58330	-16.05080	-5.88169	-7.59806	-6.25838	-3.18774	-7.02935	-2.35236	0.41266	4.83527	-0.14828	1.06325	1.84413	4.24552	-1.50780	-8.79380	-3.84819	-3.39297	-4.43901	-4.00122	6.83578	9.08140	11.59287	11.09243	10.45040	-3.49420	4.62864	-0.88180	-0.68598	-3.08837	-16.54533	-17.46623	-13.30146	-16.52312	-13.37529	-10.91429	-7.51977	-3.51072	0.89913	1.47780	2.24412	-3.52852	-4.62655	-3.67214	14.39527	10.68818	10.48687	3.27085	-2.14161	-0.26151	-14.04665	-18.19409	-16.37620	-4.67528	-7.41294	-7.23472	-1.96238	-5.59448	-5.21340	-7.86145	4.34475	3.35054	5.66406	4.53660	1.15307	0.94376	3.46724	-7.40197	-6.11789	-6.46697	-2.62138	-1.82993	-5.41097	-5.06714	8.11584	8.57305	10.81508	10.80517	12.45808	11.22051	9.53056	5.92229	1.01505	3.15918	1.62901	2.94673	1.37878	-3.90438	-18.78930	-16.40480	-17.94760	-16.38249	-16.82827	-17.30422	-15.97102
5	-5.87775	2.20018	2.66215	1.59559	-5.07488	1.76659	9.68928	1.98762	0.40198	3.58000	-16.64308	1.41249	-4.11566	-3.88410	-6.91555	-4.04907	-4.06135	0.98457	3.29386	1.60833	1.77094	3.40060	-2.79133	-5.37735	-4.53435	-2.82076	-7.32582	13.03876	8.09910	7.50027	8.75720	7.14493	7.17451	-1.53605	-4.07177	-5.30660	-3.58533	-15.21612	-17.29289	-16.91920	-17.72174	-16.93227	-6.11277	-8.08715	-6.50354	-3.67092	-7.37215	-2.86505	1.01301	4.83040	0.02704	1.42695	2.01151	4.24300	-1.99221	-9.09086	-4.29882	-3.85482	-5.39919	-5.07066	6.27571	8.82087	11.08729	10.64430	9.98224	-3.54491	4.40268	-0.25885	-0.16412	-2.60517	-16.31739	-15.71861	-14.37080	-17.17373	-14.27645	-11.05702	-8.01653	-4.06647	1.69557	1.75643	2.61772	-5.28469	-5.21655	-4.45910	14.17907	10.00757	10.02737	3.72279	-1.63859	0.13164	-14.63996	-19.04419	-18.21816	-4.93995	-7.71427	-7.78841	-2.30969	-6.04893	-5.71008	-8.14419	4.62810	3.38471	5.70850	5.08077	1.34053	1.23889	3.84369	-7.35672	-6.41267	-6.62762	-3.43500	-3.09085	-6.51404	-5.61911	7.79408	8.11356	10.24018	10.29315	12.01368	10.66624	9.09994	6.00162	1.31653	3.43302	2.13208	3.62663	1.85204	-3.04262	-18.13109	-16.29482	-16.59649	-17.10554	-17.82866	-18.24623	-14.81737
6	-6.31831	2.16061	2.82600	1.55457	-5.64456	1.66906	9.23789	2.02333	0.63877	3.61873	-16.33625	1.69214	-4.52815	-4.30959	-7.52418	-4.46594	-4.44676	1.01269	3.35889	1.58679	1.80449	3.51749	-3.51307	-5.96430	-5.16885	-3.51138	-7.83737	12.72654	7.58959	7.01518	8.36497	6.55266	8.04963	-1.41155	-3.83857	-5.29660	-3.72235	-14.86217	-17.24264	-17.78932	-16.96002	-16.70260	-6.41469	-8.52379	-6.83888	-4.24454	-7.77015	-3.41739	1.47327	4.79949	0.20398	1.62438	2.14026	4.05978	-2.45968	-9.43661	-4.58696	-4.03040	-6.30867	-5.74456	5.73707	8.62219	10.56643	10.18239	9.49127	-3.63316	4.12992	0.17215	0.20680	-2.23636	-15.79799	-14.06629	-14.65460	-17.34329	-14.74951	-11.22556	-8.56065	-4.67390	2.46432	1.95816	2.86297	-6.55448	-6.00899	-5.19213	13.95250	9.31637	9.51181	4.01955	-1.33336	0.39487	-14.43997	-18.96871	-19.32952	-5.23222	-8.05429	-8.40291	-2.74366	-6.56219	-6.28703	-8.45799	4.83527	3.35276	5.58374	5.54598	1.48360	1.48557	4.19211	-7.16628	-6.61946	-6.68008	-4.24632	-4.17542	-7.40185	-5.92896	7.42328	7.67839	9.73164	9.78313	11.51401	10.10534	8.89292	5.93709	1.52945	3.20469	2.57430	4.08648	2.08419	-2.14175	-16.72004	-15.87151	-15.37747	-16.82040	-17.52637	-18.38457	-13.11792
