	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.04661	0.06304	-0.05985	0.01942	0.03148	0.01927	0.14373	0.07018	-0.11848	0.03570	0.01330	0.02789	0.14732	-0.04335	-0.03754	-0.05231	0.06509	0.02178	0.19021	0.14450	0.08057	-0.11574	-0.11548	-0.09140	0.01737	0.01788	0.00392	0.09132	0.04700	-0.08652	-0.07216	0.04073	0.03178	0.13839	0.25508	-0.14321	-0.18812	0.03918	0.05591	0.02677	0.06441	-0.00721	-0.07716	-0.05657	-0.03671	0.03911	0.01380	0.00810	0.03883	0.20005	0.10223	-0.06718	-0.10983	-0.11689	-0.02527	-0.02276	0.02014
2	0.03931	0.06246	-0.02372	0.02906	0.05040	0.02465	0.18519	0.06648	-0.10354	0.03873	0.03750	0.03702	0.13215	-0.04754	0.02704	-0.02535	0.09635	0.03708	0.23575	0.20168	0.13324	-0.08310	-0.10916	-0.08889	0.03489	0.04886	0.04153	0.08333	0.04291	-0.05197	-0.03248	0.05899	0.05237	0.16783	0.27474	-0.12788	-0.17904	0.05651	0.09032	0.04171	0.05447	-0.03182	-0.05846	-0.02103	-0.00377	0.05580	0.03192	0.02026	0.07458	0.24471	0.14896	-0.04641	-0.08715	-0.10669	-0.01915	-0.01315	0.06017
3	0.03737	0.06946	0.02411	0.03949	0.07520	0.03014	0.21483	0.06126	-0.05846	0.04526	0.06510	0.05204	0.13928	-0.04792	0.09661	0.01224	0.13263	0.05518	0.25679	0.24288	0.17964	-0.01164	-0.07525	-0.05767	0.05376	0.08222	0.08428	0.08130	0.04975	-0.00282	0.01999	0.08252	0.07915	0.19982	0.28543	-0.08901	-0.13731	0.07834	0.13660	0.05424	0.04191	-0.05696	-0.02954	0.03122	0.04108	0.08021	0.05874	0.03796	0.09719	0.26755	0.18933	0.00199	-0.02827	-0.07052	-0.01381	-0.00589	0.10531
4	0.04751	0.08201	0.07449	0.04809	0.10291	0.03525	0.23632	0.05621	0.00714	0.05268	0.09552	0.06814	0.17578	-0.04061	0.16281	0.05578	0.17103	0.07443	0.25754	0.27316	0.22594	0.08136	-0.02099	-0.00580	0.07519	0.11705	0.13182	0.08886	0.06885	0.05052	0.07420	0.10667	0.10813	0.23090	0.28703	-0.03502	-0.06309	0.10222	0.18737	0.06862	0.03960	-0.06852	0.00484	0.08656	0.08675	0.10817	0.09158	0.06038	0.11151	0.27976	0.22471	0.06820	0.05052	-0.01810	-0.00594	0.00430	0.15215
5	0.07122	0.09471	0.12303	0.05232	0.13150	0.03956	0.24789	0.05465	0.09134	0.06094	0.12737	0.08458	0.22676	-0.02142	0.21589	0.10266	0.20711	0.09420	0.23947	0.29168	0.26620	0.18958	0.05309	0.06677	0.09910	0.15250	0.18185	0.10932	0.09933	0.10016	0.12633	0.13113	0.13790	0.25438	0.28782	0.03635	0.03679	0.12845	0.24048	0.09333	0.05432	-0.06307	0.04261	0.13864	0.13491	0.13914	0.12587	0.08515	0.12112	0.27735	0.24512	0.15000	0.14763	0.05048	0.00177	0.01710	0.19772
6	0.10309	0.10483	0.16358	0.05220	0.15795	0.04262	0.25249	0.05550	0.18342	0.06677	0.15900	0.10112	0.28039	0.00597	0.25152	0.14807	0.23774	0.11371	0.21817	0.30061	0.29978	0.29536	0.13889	0.15118	0.12293	0.18761	0.23343	0.14063	0.13185	0.13673	0.16995	0.15392	0.16535	0.26357	0.29175	0.11626	0.15368	0.15516	0.29395	0.12473	0.08317	-0.04511	0.07937	0.17962	0.17982	0.16962	0.15603	0.10931	0.13387	0.26208	0.25008	0.23770	0.24752	0.12679	0.00710	0.03210	0.23972
