	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.00838	0.03307	-0.03125	0.02338	0.03984	0.03387	-0.06996	0.03865	0.00790	0.02039	0.02495	0.01023	-0.01738	0.04543	-0.07141	-0.01636	0.08858	0.06323	-0.12697	-0.01828	-0.05442	-0.00505	0.02083	0.00042	0.03390	0.03432	0.02754	-0.01605	-0.05585	-0.03837	-0.04952	0.06134	0.04637	-0.05385	-0.12766	0.03635	0.03041	0.01236	0.01467	0.01175	-0.03350	0.00696	-0.00782	-0.02600	-0.00924	-0.00083	0.00611	0.01405	-0.05566	-0.07471	-0.04815	-0.01954	0.01254	-0.01280	0.01820	0.01906	0.03958
2	-0.00077	0.03029	-0.04098	0.02595	0.04557	0.03543	-0.06236	0.03491	-0.00195	0.01979	0.02517	0.01235	0.00729	0.04688	-0.08582	-0.02494	0.10108	0.06647	-0.10474	-0.02088	-0.05350	-0.00991	0.00919	-0.00349	0.02580	0.03487	0.03503	-0.00616	-0.04941	-0.04676	-0.06260	0.06644	0.05027	-0.06143	-0.12014	0.02156	0.01825	0.01564	0.02310	0.01096	-0.02404	0.00906	-0.01447	-0.03411	-0.01813	0.00390	0.01420	0.01666	-0.05117	-0.06296	-0.02402	-0.03238	0.00725	-0.02603	0.00987	0.01236	0.04472
3	0.00256	0.03007	-0.05731	0.03142	0.05458	0.03756	-0.05599	0.03101	-0.02966	0.02368	0.02301	0.01837	0.01660	0.04736	-0.11076	-0.03728	0.11539	0.07210	-0.09201	-0.02769	-0.04888	-0.03806	-0.02043	-0.01945	0.01195	0.03205	0.04125	-0.00544	-0.04852	-0.06404	-0.08471	0.07761	0.05963	-0.05632	-0.10666	0.00107	-0.00869	0.01963	0.03098	0.01066	-0.01638	0.01364	-0.02361	-0.04940	-0.03137	0.01019	0.02591	0.02127	-0.04762	-0.05682	-0.01188	-0.06553	-0.02531	-0.06088	-0.00255	0.00209	0.04867
4	-0.00106	0.03067	-0.07797	0.03877	0.06563	0.04003	-0.04568	0.02624	-0.07024	0.02848	0.01998	0.02467	-0.00136	0.04516	-0.14445	-0.05205	0.13359	0.07823	-0.08013	-0.03262	-0.04020	-0.08218	-0.06274	-0.04572	-0.00219	0.02539	0.04459	-0.01577	-0.05145	-0.08557	-0.11057	0.08952	0.07035	-0.04241	-0.08663	-0.02715	-0.05340	0.02438	0.03789	0.01199	-0.01476	0.01879	-0.03502	-0.07022	-0.04792	0.01853	0.04162	0.02755	-0.03484	-0.04317	-0.00541	-0.10707	-0.07683	-0.10684	-0.01345	-0.00732	0.05052
5	-0.01555	0.03649	-0.10074	0.04469	0.07877	0.04209	-0.03018	0.02161	-0.11678	0.03345	0.02057	0.02869	-0.03624	0.03495	-0.17599	-0.06956	0.15187	0.08618	-0.05993	-0.03361	-0.02639	-0.13103	-0.11426	-0.08052	-0.00745	0.01959	0.04777	-0.03971	-0.06762	-0.10985	-0.13928	0.10339	0.08376	-0.01838	-0.06421	-0.05878	-0.11024	0.03053	0.04635	0.00991	-0.02563	0.01551	-0.04978	-0.09362	-0.06707	0.02882	0.06088	0.03652	-0.01137	-0.02289	-0.00462	-0.14610	-0.13528	-0.15802	-0.01638	-0.01033	0.05451
6	-0.03432	0.04308	-0.11989	0.04725	0.09147	0.04255	-0.00810	0.02007	-0.15479	0.03612	0.02456	0.03052	-0.07129	0.01744	-0.19668	-0.08669	0.16579	0.09475	-0.02674	-0.02545	-0.00532	-0.16599	-0.16314	-0.11418	-0.00509	0.01663	0.05197	-0.06489	-0.09171	-0.13093	-0.16414	0.11583	0.09651	0.01063	-0.03664	-0.08728	-0.16455	0.03727	0.05586	0.00384	-0.03673	0.00310	-0.06550	-0.11121	-0.08410	0.04023	0.07985	0.04731	0.02217	-0.00141	-0.00202	-0.16547	-0.17885	-0.19884	-0.01302	-0.00724	0.06008
