	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.02086	0.02973	-0.00619	0.02969	-0.03432	0.02338	-0.07387	0.02374	0.00697	0.02662	-0.01306	0.02116	-0.03845	-0.03906	-0.00406	-0.06608	-0.07034	-0.04607	-0.08197	-0.07417	-0.06767	0.02735	-0.02329	-0.00080	-0.00476	-0.02704	-0.01668	-0.04394	-0.05042	-0.00849	0.01318	-0.04640	-0.04276	-0.03982	-0.03916	0.02024	0.05828	0.01756	0.01468	0.02407	0.01292	-0.01114	0.00118	0.02930	-0.00834	-0.00471	-0.01424	-0.01569	-0.09596	-0.09609	-0.09615	-0.00518	-0.00823	-0.01259	-0.03119	-0.01541	-0.04161
2	-0.01134	0.02653	-0.00399	0.02885	-0.04150	0.02487	-0.07630	0.02222	0.01006	0.02722	-0.01749	0.02139	-0.02328	-0.03446	-0.00709	-0.06113	-0.08069	-0.05178	-0.07349	-0.08653	-0.06437	0.02520	-0.01961	0.00250	-0.00488	-0.03246	-0.01853	-0.02893	-0.03482	-0.00857	0.01731	-0.05257	-0.05276	-0.05652	-0.03917	0.02871	0.06253	0.01067	0.00585	0.03145	0.01756	-0.00688	0.00942	0.02852	-0.00643	-0.00937	-0.02106	-0.02230	-0.09569	-0.10660	-0.08804	0.00065	-0.00502	-0.01450	-0.03089	-0.01612	-0.05356
3	-0.00418	0.02611	0.00141	0.02873	-0.05070	0.02713	-0.07971	0.02692	0.01517	0.02655	-0.02337	0.02370	-0.01562	-0.02997	-0.00219	-0.05420	-0.09272	-0.05869	-0.07358	-0.09810	-0.06009	0.02964	-0.01196	0.00651	-0.00709	-0.03885	-0.02096	-0.02141	-0.02329	-0.00500	0.02490	-0.06255	-0.06679	-0.06490	-0.03486	0.03237	0.06673	0.00386	-0.00121	0.03980	0.02202	-0.00076	0.01981	0.03106	-0.00455	-0.01435	-0.02941	-0.03036	-0.09654	-0.12123	-0.08838	0.00821	0.00178	-0.01189	-0.03273	-0.02085	-0.06913
4	0.00077	0.02731	0.01082	0.02854	-0.05926	0.02972	-0.07735	0.03000	0.01852	0.02403	-0.02989	0.02533	-0.02126	-0.02445	0.01298	-0.04430	-0.10548	-0.06447	-0.07626	-0.09947	-0.05105	0.03273	-0.00236	0.01092	-0.01144	-0.04458	-0.02261	-0.01753	-0.01230	0.00492	0.03582	-0.07115	-0.07983	-0.06385	-0.02741	0.03035	0.06671	-0.00542	-0.00867	0.04793	0.02451	0.00848	0.03013	0.03686	-0.00067	-0.01897	-0.03707	-0.03786	-0.09242	-0.12389	-0.08442	0.01139	0.00583	-0.00740	-0.03509	-0.02848	-0.08283
5	0.00213	0.03058	0.02444	0.02905	-0.06663	0.03195	-0.06572	0.03061	0.01648	0.02055	-0.03732	0.02620	-0.03165	-0.02140	0.03335	-0.03143	-0.11552	-0.06958	-0.06974	-0.08985	-0.03647	0.02906	0.00589	0.01310	-0.01765	-0.05095	-0.02430	-0.01828	-0.00757	0.02116	0.05190	-0.07888	-0.09189	-0.04789	-0.01657	0.01981	0.06036	-0.01671	-0.01733	0.05480	0.02339	0.01558	0.04181	0.04693	0.00740	-0.02334	-0.04308	-0.04410	-0.07938	-0.11170	-0.07417	0.00527	0.00177	-0.00344	-0.03854	-0.03890	-0.09420
6	0.00349	0.03396	0.03900	0.02940	-0.07161	0.03336	-0.04051	0.02926	0.00705	0.01808	-0.04446	0.02558	-0.03901	-0.02036	0.05214	-0.01695	-0.12148	-0.07314	-0.04384	-0.06572	-0.01141	0.01717	0.00893	0.01084	-0.02400	-0.05716	-0.02511	-0.01665	-0.00637	0.03988	0.06983	-0.08445	-0.10082	-0.02213	0.00404	0.00152	0.04387	-0.02990	-0.02807	0.06064	0.02517	0.02099	0.05324	0.05647	0.01838	-0.02738	-0.04626	-0.04773	-0.04772	-0.08506	-0.05225	-0.01137	-0.01127	-0.00327	-0.04115	-0.05013	-0.10015
