	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.85055	1.52533	44.55262	2.95060	53.76772	1.29707	13.70419	4.08505	-2.40149	1.30149	43.96498	1.56108	55.75111	1.19969	-12.57808	1.13097	3.82022	0.44252	1.63392	49.85002	45.41944	47.24870	53.52734	52.94635	55.33136	20.03639	19.90538	19.54156	-2.76490	-1.79288	44.64556	45.30668	56.65060	55.69215	-10.88328	-10.95577	-1.43193	-0.22368	41.23371	42.62759	50.66939	54.56972	9.20554	11.50282	-4.87152	-3.66588	43.19884	42.91862	54.92462	55.25602	-12.79046	-12.97244	1.11238	0.44146	44.58208	42.38064	54.50354	53.90488	11.52787	12.84696	-1.07897	-2.41300	43.62257	45.26065	56.03884	56.38321	-12.20701	-12.07458	-0.91859	0.85248	40.74081	44.82846	53.83556	53.55674	12.81730	10.94095	-0.88275	-3.43383	-2.14653	41.65150	42.70448	42.46650	54.37301	55.06131	53.98489	-14.67523	-13.97438	-12.63143	0.79316	2.83411	42.86282	48.30456	53.24463	55.35541	10.01962	12.40170	-2.80513	-0.56105	44.97104	46.86842	56.77403	58.12356	-12.18258	-13.01173
2	0.80935	1.64196	44.50788	3.12625	53.96457	1.28758	13.23877	3.63655	-1.98925	1.32987	43.56077	1.67572	56.35541	1.44181	-11.23133	1.18868	4.10238	0.46741	1.66885	50.16405	45.56379	47.48286	53.68341	53.33923	55.58170	18.81670	18.86019	18.34223	-2.58475	-1.32384	44.11755	45.00002	57.42179	56.38657	-9.41653	-9.74309	-1.29241	-0.45754	41.21015	42.48251	51.02107	55.15135	9.15337	11.71174	-4.44318	-3.29431	42.60710	42.51958	55.12413	55.71220	-11.84570	-11.83441	0.82558	0.20166	44.38116	42.38184	54.44607	54.14296	10.98755	12.40471	-0.79900	-2.00543	43.39096	44.98696	57.02625	57.18130	-10.60196	-10.74371	-1.01725	0.88957	40.27000	44.72272	53.43979	53.70259	12.70817	10.64204	-0.23350	-3.01502	-1.62071	41.03831	42.18935	42.17962	54.28592	55.55707	55.01343	-13.52670	-12.60308	-10.95698	0.39194	3.12266	42.59763	48.32998	53.52020	55.58188	10.09146	11.90825	-2.39285	-0.16921	44.26162	46.87740	56.72621	59.47463	-11.10151	-11.17097
3	0.92218	1.76623	44.51952	3.30343	54.53395	1.35261	13.08654	2.98538	-1.42344	1.36478	43.21658	1.82522	57.45607	1.82239	-9.51345	1.26169	4.51032	0.58762	1.87968	50.49266	45.68238	47.80563	54.19698	54.04916	56.33766	17.53333	17.69091	17.20908	-2.16761	-0.72815	43.75035	44.71454	58.87592	57.52827	-7.56409	-8.14078	-1.03765	-0.47750	41.28044	42.37958	51.70554	56.04857	9.49834	12.40867	-3.86118	-2.79857	42.03389	42.20567	55.84956	56.64542	-10.33296	-10.35249	0.72619	0.15021	44.30107	42.52675	54.88961	54.90613	10.88411	12.44651	-0.36295	-1.44959	43.22942	44.84123	58.57116	58.55084	-8.70997	-9.16414	-0.98273	1.08136	39.81514	44.62442	53.32292	54.05759	12.99489	10.78239	0.54029	-2.45841	-0.95104	40.44340	41.69172	41.94453	54.58104	56.45259	56.50115	-11.95902	-10.82098	-9.03631	0.19944	3.50706	42.36166	48.44493	54.28325	56.07613	10.74644	11.75732	-1.81996	0.39932	43.57429	46.95333	57.10563	61.35510	-9.46737	-9.09984
4	1.17812	1.88219	44.62912	3.46508	55.42216	1.46534	13.26789	2.23923	-0.70528	1.39495	42.97800	1.98310	58.93849	2.22117	-7.70048	1.30407	5.01237	0.79678	2.25041	50.84133	45.81554	48.22099	55.02422	55.01836	57.44714	16.35414	16.55156	16.26224	-1.50670	-0.00845	43.57705	44.47345	60.79186	59.02928	-5.65266	-6.39166	-0.69084	-0.27420	41.49003	42.41197	52.71300	57.17204	10.20702	13.45765	-3.12978	-2.16760	41.52180	42.01833	57.04703	57.98063	-8.47194	-8.75710	0.81360	0.28378	44.36058	42.84700	55.80127	56.09732	11.28620	13.00363	0.22230	-0.74225	43.14093	44.83608	60.45036	60.30375	-6.82408	-7.57957	-0.83737	1.42072	39.44930	44.60210	53.54184	54.63828	13.63730	11.34689	1.41815	-1.75347	-0.13183	39.95833	41.29895	41.82137	55.26756	57.71463	58.28540	-10.23553	-8.92913	-7.16655	0.20750	3.97660	42.20026	48.68115	55.39048	56.79982	11.86437	11.97579	-1.08874	1.13025	43.01859	47.09312	57.94662	63.50622	-7.60947	-7.08757
5	1.55534	1.98350	44.86633	3.60353	56.52280	1.59169	13.71960	1.56469	0.14460	1.40931	42.86531	2.11638	60.64127	2.53275	-6.04680	1.32997	5.57670	1.08750	2.75723	51.23666	46.00993	48.72725	56.09047	56.15778	58.72924	15.41598	15.59005	15.59105	-0.63214	0.81636	43.57056	44.28791	62.87570	60.75442	-3.93299	-4.73511	-0.27781	0.13347	41.84608	42.63682	53.94577	58.38573	11.15585	14.65750	-2.25794	-1.40071	41.11697	41.97140	58.60194	59.56509	-6.60221	-7.27919	1.06456	0.58689	44.55856	43.36325	57.09480	57.54120	12.15155	13.96111	0.92961	0.09922	43.10107	44.94635	62.41534	62.21120	-5.16208	-6.16781	-0.61057	1.88957	39.22779	44.71271	54.05461	55.41416	14.48684	12.22006	2.35878	-0.90910	0.81968	39.65461	41.07337	41.84433	56.30206	59.25411	60.19602	-8.63667	-7.21842	-5.54638	0.38407	4.51711	42.16264	49.04792	56.66099	57.67609	13.20299	12.48258	-0.22745	1.99430	42.67852	47.27331	59.21431	65.66384	-5.91266	-5.32126
6	2.02173	2.06852	45.22207	3.71936	57.71106	1.72194	14.35406	1.16545	1.08277	1.40020	42.86687	2.20037	62.42855	2.71729	-4.67156	1.37208	6.15284	1.44868	3.37026	51.66801	46.28538	49.31382	57.28585	57.35469	60.05416	14.78781	14.90893	15.26897	0.38759	1.70847	43.66100	44.14796	64.91445	62.56675	-2.47723	-3.30226	0.17479	0.70252	42.29660	43.04048	55.25570	59.58986	12.22156	15.88276	-1.27235	-0.51518	40.85311	42.04968	60.37074	61.23954	-5.00056	-6.04547	1.43890	1.03428	44.86587	44.06225	58.61954	59.04873	13.33249	15.11874	1.71206	1.03571	43.07534	45.12208	64.31341	64.10701	-3.78712	-4.97430	-0.33980	2.46016	39.15368	44.96870	54.73983	56.30846	15.37942	13.24279	3.30335	0.04061	1.85838	39.55900	41.02502	42.01147	57.60952	60.97006	62.12325	-7.31983	-5.83103	-4.21835	0.68428	5.11212	42.26558	49.52240	57.94244	58.62245	14.58012	13.17108	0.70577	2.94605	42.56675	47.46422	60.81875	67.68067	-4.59438	-3.83666
