	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.20981	0.05436	0.04304	0.04404	-0.03413	0.02439	-0.06569	0.02362	-0.20443	0.10031	-0.00756	0.01168	-0.19923	0.09378	-0.04141	-0.04165	-0.08872	-0.02054	-0.14872	-0.01793	-0.00152	-0.06655	-0.25785	0.00210	-0.14905	-0.01988	-0.00126	-0.08887	-0.26673	-0.00425	-0.21707	-0.28504	0.05656	0.06482	-0.03497	-0.05643	-0.27500	-0.19454	0.05937	0.06454	-0.04016	-0.06311
2	-0.21318	0.05560	0.03505	0.04528	-0.03761	0.02478	-0.03526	0.01626	-0.19860	0.09501	-0.00925	0.01214	-0.19884	0.08840	-0.04022	-0.02034	-0.08907	-0.02270	-0.15066	-0.03261	-0.00728	-0.03286	-0.24796	0.00091	-0.16467	-0.02397	-0.00754	-0.05259	-0.25876	-0.00597	-0.20355	-0.30364	0.05806	0.04992	-0.03389	-0.06639	-0.27297	-0.19795	0.04984	0.05574	-0.03854	-0.06941
3	-0.20886	0.05939	0.02538	0.04865	-0.04558	0.02647	-0.00124	0.01158	-0.19734	0.09419	-0.01104	0.01268	-0.19681	0.08217	-0.04315	0.00906	-0.08894	-0.02528	-0.13849	-0.05510	-0.01700	0.00101	-0.24388	-0.00096	-0.16175	-0.02651	-0.01887	-0.01378	-0.25920	-0.00687	-0.19176	-0.31605	0.05742	0.02988	-0.03654	-0.08345	-0.25393	-0.20321	0.04528	0.04450	-0.04083	-0.07919
4	-0.20149	0.06103	0.00440	0.05580	-0.05491	0.02845	0.03768	0.01178	-0.19317	0.09104	-0.01092	0.01210	-0.18960	0.06682	-0.04720	0.04892	-0.08872	-0.02477	-0.13233	-0.09735	-0.03026	0.03871	-0.23506	-0.00244	-0.15320	-0.03588	-0.03426	0.02542	-0.25572	-0.00555	-0.17983	-0.31934	0.04704	-0.00222	-0.03935	-0.10227	-0.22763	-0.20847	0.02688	0.02551	-0.04260	-0.08846
5	-0.19896	0.06408	-0.02865	0.06958	-0.06560	0.03133	0.07497	0.02102	-0.19168	0.08866	-0.00704	0.01013	-0.18500	0.04579	-0.05470	0.09834	-0.09016	-0.01873	-0.12904	-0.16197	-0.04463	0.06893	-0.23101	-0.00109	-0.14196	-0.05953	-0.05098	0.05762	-0.25388	-0.00130	-0.18106	-0.32274	0.02871	-0.04480	-0.04301	-0.12176	-0.21149	-0.22141	-0.00947	0.00070	-0.04593	-0.09821
6	-0.19589	0.06900	-0.07200	0.08825	-0.07615	0.03436	0.11633	0.04160	-0.18878	0.08459	0.00134	0.00565	-0.18267	0.01925	-0.06464	0.16431	-0.09185	-0.00518	-0.11999	-0.24246	-0.05790	0.09428	-0.22683	0.00436	-0.12521	-0.09991	-0.06612	0.09039	-0.24767	0.00485	-0.18941	-0.32300	0.00477	-0.09568	-0.04667	-0.13949	-0.19721	-0.23372	-0.06309	-0.02687	-0.05070	-0.10756
7	-0.18151	0.07651	-0.11826	0.10888	-0.08711	0.03716	0.17068	0.07267	-0.18397	0.07929	0.01200	0.00224	-0.17758	-0.00926	-0.07626	0.25441	-0.09292	0.01413	-0.09602	-0.32538	-0.07076	0.12407	-0.22117	0.01221	-0.09357	-0.15139	-0.07881	0.13354	-0.23782	0.00966	-0.18809	-0.31103	-0.01823	-0.14726	-0.05141	-0.15652	-0.16754	-0.23671	-0.12418	-0.05214	-0.05855	-0.11747
8	-0.15266	0.08552	-0.16146	0.12820	-0.09989	0.03980	0.24249	0.10927	-0.17697	0.07342	0.02121	0.01267	-0.16326	-0.03762	-0.08875	0.36800	-0.09256	0.03498	-0.06005	-0.39867	-0.08512	0.16859	-0.21236	0.01862	-0.04606	-0.20573	-0.09130	0.19088	-0.22600	0.01003	-0.16517	-0.28374	-0.03645	-0.19408	-0.05875	-0.17532	-0.12282	-0.22749	-0.18465	-0.07303	-0.07079	-0.12923
9	-0.11720	0.09412	-0.19988	0.14318	-0.11476	0.04270	0.32607	0.14602	-0.16800	0.06798	0.02650	0.02487	-0.14165	-0.06651	-0.10165	0.49389	-0.08996	0.05384	-0.02344	-0.45560	-0.10067	0.22810	-0.19978	0.02043	0.01019	-0.25751	-0.10592	0.25622	-0.21427	0.00522	-0.12697	-0.24929	-0.05274	-0.23504	-0.06900	-0.19675	-0.07947	-0.20978	-0.24105	-0.09072	-0.08572	-0.14363
10	-0.08679	0.10094	-0.23408	0.15132	-0.12979	0.04596	0.41083	0.17902	-0.15758	0.06371	0.02790	0.03730	-0.12132	-0.09754	-0.11412	0.61700	-0.08496	0.06935	0.00318	-0.49372	-0.11486	0.29481	-0.18366	0.01731	0.06413	-0.30429	-0.12188	0.32067	-0.20411	-0.00296	-0.09100	-0.21956	-0.07332	-0.27109	-0.08025	-0.21827	-0.05432	-0.18862	-0.29086	-0.10774	-0.09907	-0.16007
11	-0.06832	0.10566	-0.26422	0.15175	-0.14219	0.04933	0.48723	0.20602	-0.14681	0.06132	0.02727	0.04860	-0.10853	-0.12995	-0.12486	0.72494	-0.07831	0.08181	0.01710	-0.51387	-0.12492	0.36026	-0.16555	0.01148	0.10551	-0.34426	-0.13638	0.37649	-0.19658	-0.01147	-0.07165	-0.20145	-0.10198	-0.30241	-0.08931	-0.23571	-0.05165	-0.16755	-0.33120	-0.12585	-0.10724	-0.17691
12	-0.06114	0.10881	-0.28955	0.14567	-0.15019	0.05255	0.54999	0.22633	-0.13755	0.06135	0.02693	0.05789	-0.10343	-0.16007	-0.13295	0.81133	-0.07143	0.09235	0.02205	-0.51922	-0.12951	0.41823	-0.14857	0.00611	0.13069	-0.37555	-0.14666	0.42041	-0.19264	-0.01766	-0.07027	-0.19446	-0.13766	-0.32792	-0.09398	-0.24619	-0.06390	-0.14869	-0.36097	-0.14545	-0.10946	-0.19259
13	-0.05976	0.11116	-0.30906	0.13540	-0.15381	0.05540	0.59889	0.23959	-0.13142	0.06379	0.02858	0.06468	-0.10244	-0.18391	-0.13827	0.87546	-0.06528	0.10198	0.02428	-0.51324	-0.12927	0.46665	-0.13641	0.00381	0.14305	-0.39696	-0.15121	0.45456	-0.19257	-0.02004	-0.07749	-0.19444	-0.17602	-0.34630	-0.09458	-0.24952	-0.07859	-0.13269	-0.38144	-0.16552	-0.10752	-0.20629
14	-0.05778	0.11267	-0.32212	0.12333	-0.15437	0.05780	0.63530	0.24567	-0.12825	0.06797	0.03277	0.06877	-0.10041	-0.19955	-0.14141	0.91861	-0.05893	0.11093	0.02841	-0.49879	-0.12593	0.50619	-0.13105	0.00584	0.14917	-0.40853	-0.15044	0.48112	-0.19479	-0.01845	-0.08102	-0.19582	-0.21226	-0.35667	-0.09341	-0.24780	-0.08636	-0.11844	-0.39482	-0.18425	-0.10369	-0.21792
15	-0.05121	0.11309	-0.32886	0.11115	-0.15344	0.05983	0.66015	0.24462	-0.12579	0.07347	0.03887	0.07006	-0.09304	-0.20775	-0.14324	0.94183	-0.04963	0.11841	0.03564	-0.47837	-0.12104	0.53746	-0.13150	0.01190	0.15549	-0.41126	-0.14610	0.50116	-0.19624	-0.01370	-0.07366	-0.19353	-0.24332	-0.35870	-0.09298	-0.24371	-0.08510	-0.10428	-0.40276	-0.19983	-0.09921	-0.22778
16	-0.03962	0.11313	-0.33007	0.09966	-0.15195	0.06172	0.67447	0.23689	-0.12106	0.08057	0.04554	0.06850	-0.07957	-0.21125	-0.14452	0.94673	-0.03454	0.12303	0.04556	-0.45416	-0.11529	0.56119	-0.13470	0.02052	0.16623	-0.40645	-0.14007	0.51549	-0.19395	-0.00693	-0.05727	-0.18582	-0.26844	-0.35300	-0.09435	-0.23903	-0.07729	-0.08915	-0.40608	-0.21114	-0.09425	-0.23612
17	-0.02502	0.11381	-0.32681	0.08890	-0.15006	0.06360	0.67949	0.22290	-0.11224	0.08988	0.05145	0.06422	-0.06366	-0.21317	-0.14539	0.93491	-0.01245	0.12370	0.05826	-0.42781	-0.10896	0.57926	-0.13748	0.02980	0.18182	-0.39489	-0.13344	0.52431	-0.18680	0.00085	-0.03887	-0.17476	-0.28796	-0.34120	-0.09684	-0.23423	-0.06524	-0.07271	-0.40480	-0.21788	-0.08871	-0.24283
18	-0.00954	0.11539	-0.31980	0.07844	-0.14751	0.06535	0.67579	0.20301	-0.09961	0.10131	0.05578	0.05762	-0.05017	-0.21568	-0.14559	0.90706	0.01529	0.12014	0.07497	-0.40017	-0.10237	0.59336	-0.13806	0.03824	0.19936	-0.37670	-0.12613	0.52696	-0.17606	0.00897	-0.02295	-0.16310	-0.30214	-0.32543	-0.09918	-0.22889	-0.04977	-0.05514	-0.39815	-0.22032	-0.08292	-0.24749
19	0.00632	0.11744	-0.30936	0.06788	-0.14417	0.06663	0.66360	0.17817	-0.08535	0.11359	0.05835	0.04924	-0.04013	-0.21948	-0.14497	0.86405	0.04481	0.11284	0.09731	-0.37118	-0.09583	0.60353	-0.13635	0.04516	0.21558	-0.35215	-0.11775	0.52323	-0.16450	0.01705	-0.00890	-0.15194	-0.31079	-0.30759	-0.10060	-0.22264	-0.03103	-0.03669	-0.38524	-0.21906	-0.07771	-0.24967
20	0.02350	0.11945	-0.29564	0.05724	-0.14022	0.06721	0.64387	0.15026	-0.07236	0.12476	0.05944	0.03967	-0.03058	-0.22415	-0.14388	0.80866	0.07117	0.10279	0.12503	-0.34038	-0.08949	0.60848	-0.13343	0.05059	0.22980	-0.32220	-0.10835	0.51447	-0.15481	0.02494	0.00680	-0.14025	-0.31333	-0.28886	-0.10123	-0.21565	-0.00886	-0.01749	-0.36587	-0.21471	-0.07376	-0.24917
21	0.04321	0.12135	-0.27873	0.04712	-0.13598	0.06715	0.61853	0.12191	-0.06276	0.13295	0.05963	0.02951	-0.01776	-0.22863	-0.14303	0.74579	0.09041	0.09117	0.15589	-0.30745	-0.08313	0.60702	-0.13054	0.05504	0.24493	-0.28809	-0.09843	0.50278	-0.14816	0.03268	0.02715	-0.12585	-0.30904	-0.26961	-0.10153	-0.20854	0.01553	0.00256	-0.34069	-0.20763	-0.07106	-0.24614
