	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.06063	0.07007	0.13267	0.09291	0.11057	0.08540	-0.15421	0.11470	0.01942	0.05373	-0.15291	0.11455	0.11456	0.17790	0.17094	-0.02272	0.07983	-0.02064	-0.01946	0.00803	-0.01350	-0.20622	-0.02305	-0.21868	-0.05857	-0.00872	-0.01190	-0.23370	0.00149	-0.21941	0.10210	0.07969	0.16621	0.21334	0.13680	0.17522	0.09208	0.11404	0.16467	0.20724	0.14566	0.17074
2	0.05726	0.07197	0.13563	0.09069	0.10528	0.08562	-0.12830	0.10429	0.01435	0.05065	-0.15631	0.10677	0.11536	0.17849	0.16958	-0.00856	0.07086	-0.03302	-0.02135	0.01641	-0.01961	-0.17713	-0.02695	-0.21697	-0.06675	-0.00238	-0.01688	-0.19922	-0.00086	-0.21894	0.10126	0.07041	0.16356	0.21908	0.13541	0.16726	0.09067	0.11125	0.16257	0.21166	0.13520	0.16597
3	0.06019	0.07461	0.14227	0.09203	0.10282	0.08833	-0.10343	0.09600	0.00506	0.04617	-0.16711	0.10108	0.12505	0.18598	0.17496	0.00724	0.05589	-0.05041	-0.02081	0.02312	-0.02646	-0.15316	-0.03427	-0.22384	-0.06795	0.00220	-0.02264	-0.16435	-0.00644	-0.22709	0.10491	0.06933	0.16750	0.22999	0.13858	0.16142	0.10061	0.11017	0.16619	0.22091	0.13045	0.16345
4	0.05702	0.07426	0.14507	0.09063	0.09497	0.08824	-0.07427	0.08402	-0.00434	0.03583	-0.17657	0.08982	0.12942	0.18809	0.17359	0.02274	0.03342	-0.07290	-0.02590	0.03144	-0.03452	-0.12256	-0.03785	-0.22577	-0.06736	0.00670	-0.02884	-0.12301	-0.00859	-0.23103	0.09951	0.06427	0.16560	0.23484	0.13469	0.14729	0.09713	0.10208	0.16262	0.22622	0.11751	0.15509
5	0.04899	0.07465	0.14804	0.09161	0.08601	0.08972	-0.05075	0.07431	-0.01492	0.02104	-0.18997	0.07676	0.13310	0.19226	0.17331	0.03486	0.00215	-0.10144	-0.03859	0.03616	-0.04603	-0.09851	-0.03843	-0.23060	-0.07030	0.00836	-0.03745	-0.08861	-0.00848	-0.23788	0.08815	0.05766	0.16578	0.24043	0.13041	0.13134	0.08183	0.09110	0.15922	0.23404	0.10403	0.14644
6	0.04016	0.07534	0.14854	0.09446	0.07457	0.09233	-0.02925	0.06559	-0.02824	0.01862	-0.20410	0.06017	0.13415	0.19563	0.17173	0.04557	-0.04169	-0.13485	-0.05025	0.03576	-0.06141	-0.07688	-0.03605	-0.23382	-0.07553	0.00471	-0.04925	-0.05643	-0.00698	-0.24363	0.07481	0.05231	0.16586	0.24440	0.12460	0.11202	0.06314	0.08247	0.15325	0.24020	0.08812	0.13619
7	0.04119	0.07495	0.14575	0.09919	0.06143	0.09636	-0.00509	0.05870	-0.04577	0.04712	-0.21824	0.04188	0.13737	0.19732	0.16935	0.06025	-0.09782	-0.17049	-0.04785	0.03099	-0.07993	-0.05338	-0.03349	-0.23549	-0.07362	-0.00627	-0.06417	-0.02213	-0.00600	-0.24876	0.07125	0.05925	0.16437	0.24697	0.11841	0.09107	0.05785	0.08404	0.14366	0.24321	0.06972	0.12554
8	0.05583	0.07232	0.14055	0.10437	0.04677	0.10120	0.02487	0.05331	-0.06676	0.08306	-0.23126	0.02439	0.14642	0.19599	0.16557	0.08198	-0.16145	-0.20503	-0.02874	0.02580	-0.10019	-0.02358	-0.03263	-0.23550	-0.05720	-0.02235	-0.08150	0.01620	-0.00621	-0.25326	0.08271	0.08190	0.15958	0.24894	0.11175	0.06899	0.06905	0.09667	0.13329	0.24259	0.04843	0.11435
9	0.07774	0.06780	0.13568	0.10895	0.03076	0.10620	0.05695	0.04835	-0.08945	0.11945	-0.24291	0.01291	0.15851	0.19259	0.15981	0.10706	-0.22657	-0.23614	-0.00222	0.02355	-0.12082	0.01058	-0.03384	-0.23480	-0.02880	-0.03889	-0.10071	0.05322	-0.00793	-0.25779	0.10273	0.11248	0.15299	0.25254	0.10370	0.04656	0.08615	0.11531	0.12688	0.24007	0.02428	0.10248
10	0.09682	0.06234	0.13336	0.11249	0.01378	0.11061	0.08447	0.04299	-0.11237	0.15236	-0.25311	0.01618	0.16649	0.18932	0.15170	0.12844	-0.28771	-0.26207	0.02108	0.02535	-0.14039	0.04254	-0.03715	-0.23444	0.00123	-0.05195	-0.12124	0.08242	-0.01223	-0.26283	0.11895	0.13867	0.14747	0.25869	0.09279	0.02500	0.09778	0.13356	0.12715	0.23750	-0.00124	0.08986
11	0.10687	0.05701	0.13396	0.11476	-0.00337	0.11374	0.10279	0.03719	-0.13579	0.17909	-0.26166	0.02394	0.16645	0.18742	0.14141	0.14085	-0.34216	-0.28154	0.03593	0.02971	-0.15768	0.06654	-0.04396	-0.23509	0.02375	-0.05909	-0.14196	0.10099	-0.02124	-0.26836	0.12215	0.15280	0.14454	0.26630	0.07809	0.00574	0.09987	0.14712	0.13288	0.23595	-0.02589	0.07671
12	0.10763	0.05293	0.13625	0.11571	-0.01985	0.11527	0.11087	0.03124	-0.16069	0.19884	-0.26814	0.02902	0.16004	0.18641	0.12943	0.14274	-0.39000	-0.29388	0.04174	0.03413	-0.17204	0.08031	-0.05605	-0.23669	0.03582	-0.06039	-0.16158	0.10956	-0.03601	-0.27386	0.11231	0.15441	0.14387	0.27313	0.05997	-0.01013	0.09472	0.15437	0.14078	0.23580	-0.04802	0.06342
13	0.10273	0.05040	0.13866	0.11571	-0.03498	0.11522	0.11061	0.02503	-0.18668	0.21223	-0.27194	0.03070	0.15133	0.18504	0.11622	0.13578	-0.43152	-0.29883	0.04147	0.03692	-0.18323	0.08573	-0.07326	-0.23848	0.03902	-0.05822	-0.17899	0.11032	-0.05526	-0.27851	0.09648	0.14723	0.14431	0.27762	0.03973	-0.02213	0.08772	0.15587	0.14816	0.23680	-0.06698	0.05051
14	0.09671	0.04909	0.14003	0.11522	-0.04838	0.11372	0.10428	0.01880	-0.21198	0.22013	-0.27254	0.02959	0.14468	0.18237	0.10200	0.12250	-0.46598	-0.29658	0.03884	0.03758	-0.19126	0.08494	-0.09348	-0.23949	0.03700	-0.05527	-0.19334	0.10541	-0.07649	-0.28156	0.08311	0.13666	0.14467	0.27937	0.01866	-0.03033	0.08277	0.15390	0.15348	0.23803	-0.08284	0.03848
15	0.09265	0.04884	0.13991	0.11455	-0.05984	0.11094	0.09417	0.01310	-0.23429	0.22294	-0.26985	0.02680	0.14324	0.17837	0.08698	0.10561	-0.49152	-0.28784	0.03551	0.03618	-0.19620	0.07989	-0.11421	-0.23905	0.03372	-0.05314	-0.20414	0.09701	-0.09713	-0.28265	0.07738	0.12776	0.14454	0.27858	-0.00240	-0.03511	0.08011	0.15086	0.15635	0.23845	-0.09576	0.02775
16	0.09107	0.04964	0.13839	0.11388	-0.06923	0.10703	0.08257	0.00884	-0.25165	0.22048	-0.26427	0.02375	0.14700	0.17372	0.07140	0.08818	-0.50602	-0.27378	0.03149	0.03292	-0.19802	0.07238	-0.13358	-0.23725	0.03182	-0.05233	-0.21115	0.08717	-0.11535	-0.28179	0.07864	0.12284	0.14429	0.27581	-0.02291	-0.03696	0.07762	0.14808	0.15691	0.23739	-0.10561	0.01861
17	0.09030	0.05128	0.13572	0.11333	-0.07643	0.10221	0.07110	0.00639	-0.26309	0.21268	-0.25661	0.02233	0.15243	0.16931	0.05566	0.07251	-0.50840	-0.25577	0.02652	0.02798	-0.19678	0.06412	-0.15050	-0.23472	0.03122	-0.05287	-0.21428	0.07667	-0.13038	-0.27935	0.08191	0.12105	0.14403	0.27187	-0.04229	-0.03629	0.07334	0.14559	0.15513	0.23459	-0.11223	0.01123
18	0.08825	0.05315	0.13184	0.11301	-0.08125	0.09672	0.06015	0.00438	-0.26863	0.19976	-0.24775	0.02432	0.15518	0.16556	0.04024	0.05952	-0.49894	-0.23523	0.02075	0.02136	-0.19272	0.05611	-0.16454	-0.23223	0.02994	-0.05473	-0.21334	0.06481	-0.14241	-0.27578	0.08233	0.12030	0.14285	0.26727	-0.05967	-0.03344	0.06644	0.14282	0.15041	0.23018	-0.11552	0.00571
19	0.08412	0.05472	0.12645	0.11295	-0.08360	0.09081	0.04918	0.00119	-0.26918	0.18224	-0.23840	0.02981	0.15359	0.16199	0.02567	0.04874	-0.47916	-0.21349	0.01483	0.01299	-0.18621	0.04827	-0.17609	-0.23029	0.02649	-0.05789	-0.20830	0.05052	-0.15229	-0.27143	0.07791	0.11891	0.13935	0.26209	-0.07415	-0.02872	0.05758	0.13951	0.14215	0.22450	-0.11555	0.00208
20	0.07841	0.05592	0.11926	0.11311	-0.08351	0.08473	0.03748	0.00343	-0.26627	0.16093	-0.22910	0.03740	0.14867	0.15758	0.01230	0.03918	-0.45154	-0.19175	0.00932	0.00295	-0.17767	0.03974	-0.18603	-0.22900	0.02103	-0.06248	-0.19947	0.03353	-0.16122	-0.26656	0.06942	0.11643	0.13244	0.25601	-0.08496	-0.02256	0.04803	0.13594	0.13037	0.21797	-0.11251	0.00027
21	0.07209	0.05697	0.11005	0.11353	-0.08115	0.07865	0.02501	0.00901	-0.26156	0.13704	-0.22018	0.04573	0.14236	0.15150	0.00039	0.03051	-0.41915	-0.17096	0.00443	-0.00873	-0.16750	0.02991	-0.19520	-0.22825	0.01510	-0.06892	-0.18748	0.01461	-0.17034	-0.26134	0.05833	0.11352	0.12158	0.24850	-0.09166	-0.01540	0.03829	0.13261	0.11566	0.21075	-0.10666	0.00022
22	0.06596	0.05808	0.09880	0.11429	-0.07678	0.07277	0.01228	0.01491	-0.25653	0.11210	-0.21186	0.05386	0.13594	0.14340	-0.00987	0.02272	-0.38524	-0.15184	0.00031	-0.02225	-0.15592	0.01891	-0.20417	-0.22778	0.01017	-0.07760	-0.17312	-0.00479	-0.18020	-0.25597	0.04541	0.11116	0.10703	0.23923	-0.09425	-0.00759	0.02886	0.12985	0.09898	0.20281	-0.09855	0.00186
