	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.33822	0.10347	-0.07958	0.05582	0.06716	0.02199	0.19241	0.07070	-0.03874	0.03666	0.03992	0.01593	0.21149	-0.02201	0.04085	0.28101	-0.03652	0.05952	0.16489	-0.07393	0.03274	0.48218	0.29601	-0.16004	-0.03564	0.08655	0.03871	0.16476	-0.01563	0.04233	0.18990	-0.03658	0.04940	0.11701	-0.00038	0.02007	0.40368	0.37652	-0.13786	-0.07083	0.09587	0.07294	0.30387	-0.08177	0.06363
2	0.35568	0.11406	-0.03716	0.06323	0.10479	0.01999	0.21238	0.07861	0.01570	0.04550	0.05940	0.02083	0.23464	0.03856	0.04639	0.30703	0.01632	0.10089	0.17960	-0.03411	0.04980	0.50739	0.29940	-0.12226	0.00473	0.11786	0.08623	0.17994	0.05632	0.06475	0.18678	0.01939	0.07704	0.13097	0.05091	0.04257	0.43267	0.40085	-0.10735	-0.03377	0.12533	0.12139	0.33674	-0.03317	0.09350
3	0.37403	0.12632	0.02554	0.07191	0.14924	0.02169	0.23153	0.08778	0.09854	0.06149	0.07807	0.02843	0.25379	0.12935	0.04719	0.33164	0.09616	0.15000	0.19124	0.03027	0.06907	0.53944	0.30739	-0.05924	0.06044	0.15527	0.14481	0.19795	0.15990	0.08632	0.18283	0.09526	0.11132	0.14277	0.13885	0.06533	0.45793	0.42496	-0.06161	0.02223	0.15639	0.17765	0.37187	0.03431	0.12244
4	0.39585	0.13787	0.10361	0.07818	0.19867	0.03029	0.25677	0.09468	0.20252	0.07913	0.09780	0.03916	0.27444	0.24546	0.04621	0.35616	0.19551	0.20301	0.20688	0.11443	0.08949	0.57756	0.32333	0.02710	0.13109	0.19601	0.21349	0.22816	0.28534	0.10883	0.18444	0.17462	0.14693	0.16392	0.24642	0.08992	0.48136	0.45223	0.00207	0.09131	0.19344	0.23914	0.41045	0.12094	0.15453
5	0.41973	0.15131	0.19277	0.08441	0.25056	0.04352	0.27813	0.10686	0.32402	0.10019	0.12003	0.05075	0.29029	0.38152	0.04664	0.38012	0.30803	0.25745	0.22109	0.21506	0.11167	0.62004	0.34978	0.13063	0.21181	0.23970	0.28922	0.25424	0.43063	0.13386	0.18150	0.25972	0.18190	0.17226	0.37417	0.11974	0.50477	0.48218	0.07875	0.16765	0.23208	0.30303	0.45276	0.21871	0.18825
6	0.44083	0.16620	0.28578	0.08975	0.30232	0.05896	0.28834	0.12090	0.45183	0.11986	0.14554	0.06255	0.29475	0.52731	0.05123	0.39770	0.42355	0.31094	0.22535	0.32468	0.13465	0.65699	0.38071	0.24414	0.29844	0.28430	0.36706	0.26453	0.58321	0.16228	0.17014	0.34006	0.21331	0.16938	0.49903	0.15480	0.52936	0.51010	0.16450	0.24398	0.27278	0.36554	0.48770	0.32491	0.22474
