	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.10240	0.08678	-0.11975	0.04561	-0.04746	0.02789	-0.07981	0.09536	-0.07025	0.07530	-0.02233	0.03292	-0.23461	-0.18603	-0.04985	-0.16147	-0.13109	-0.05976	-0.02910	0.00045	0.00784	-0.12230	-0.17068	-0.15108	-0.12900	-0.05950	-0.05171	-0.02618	-0.02787	-0.00233	0.06270	-0.03093	0.00899	-0.10791	-0.10409	-0.06538	-0.14042	-0.08226	-0.15607	-0.12031	-0.06126	-0.06152	-0.00126	-0.03371	-0.00195
2	-0.09382	0.09743	-0.13359	0.05405	-0.05464	0.03159	-0.07115	0.09785	-0.08086	0.07146	-0.03108	0.03604	-0.22427	-0.19229	-0.06187	-0.15934	-0.14843	-0.06850	-0.02386	-0.01468	0.00287	-0.10819	-0.16883	-0.16807	-0.14994	-0.06691	-0.06308	-0.00620	-0.03933	-0.01243	0.08969	-0.02681	0.00964	-0.11219	-0.10979	-0.07740	-0.14842	-0.06781	-0.17266	-0.13566	-0.06814	-0.07084	0.01080	-0.04821	-0.00658
3	-0.08040	0.10944	-0.14775	0.06546	-0.06351	0.03715	-0.04622	0.10192	-0.09033	0.06849	-0.04493	0.04141	-0.19970	-0.19631	-0.07948	-0.15092	-0.16638	-0.08114	0.00420	-0.02544	-0.00593	-0.09347	-0.16288	-0.18962	-0.17303	-0.07992	-0.07660	0.02935	-0.04959	-0.02869	0.12490	-0.01726	0.01209	-0.10092	-0.11897	-0.09809	-0.15014	-0.04992	-0.18827	-0.15194	-0.07384	-0.08163	0.03596	-0.06134	-0.01246
4	-0.05894	0.12233	-0.15933	0.08010	-0.07235	0.04456	-0.00081	0.10762	-0.09618	0.06671	-0.06087	0.04694	-0.15994	-0.19897	-0.10155	-0.12590	-0.17848	-0.09401	0.05341	-0.03265	-0.01782	-0.07055	-0.15123	-0.21087	-0.19553	-0.09528	-0.09062	0.08270	-0.05582	-0.04783	0.16879	0.00034	0.01806	-0.06381	-0.12474	-0.11866	-0.15145	-0.02333	-0.20647	-0.16499	-0.08140	-0.09084	0.08359	-0.06873	-0.01848
5	-0.03002	0.13199	-0.16486	0.09741	-0.07905	0.05359	0.06185	0.11390	-0.09573	0.06733	-0.07657	0.05353	-0.10493	-0.19712	-0.12441	-0.08861	-0.18214	-0.10605	0.12560	-0.02935	-0.02923	-0.04150	-0.12999	-0.22908	-0.21231	-0.11060	-0.10225	0.14986	-0.05351	-0.06588	0.21259	0.02851	0.02910	-0.00861	-0.12796	-0.13984	-0.14392	0.01133	-0.22256	-0.17158	-0.08725	-0.09724	0.14730	-0.07074	-0.02351
6	0.00464	0.13861	-0.16160	0.11621	-0.08302	0.06290	0.13435	0.12052	-0.08597	0.07066	-0.08974	0.06049	-0.04100	-0.18866	-0.14471	-0.04188	-0.17384	-0.11619	0.21011	-0.01297	-0.03748	-0.00843	-0.09966	-0.23953	-0.21809	-0.12279	-0.11005	0.22090	-0.03962	-0.07988	0.25516	0.06754	0.04340	0.05710	-0.12438	-0.15949	-0.12906	0.05172	-0.23600	-0.16968	-0.09192	-0.10058	0.22465	-0.06422	-0.02713
