	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.03843	0.02631	0.09586	0.05226	0.01266	0.01912	-0.02741	0.08053	0.02273	0.02342	-0.01871	0.05713	-0.14751	0.00141	-0.10114	-0.00149	0.10477	0.01403	0.03791	0.05252	0.04267	0.03546	0.05316	0.12512	0.13911	0.02572	0.02844	0.01202	0.02326	0.00451	0.04323	-0.00709	-0.02070	-0.07254	-0.00192	-0.05102	0.02418	0.07605	0.10352	0.10973	0.00224	0.02625	0.03306	0.03836	0.01144
2	0.04108	0.02802	0.09580	0.05395	0.00193	0.01648	-0.02400	0.07551	0.02574	0.01922	-0.02038	0.05117	-0.13567	0.00995	-0.09596	-0.00071	0.10704	0.00106	0.03642	0.05227	0.03599	0.04047	0.05539	0.12449	0.13989	0.01393	0.01545	0.01431	0.02173	-0.00202	0.05054	-0.01098	-0.02653	-0.06818	0.00679	-0.04492	0.02114	0.07963	0.10689	0.10744	-0.00647	0.01417	0.03313	0.03798	0.00502
3	0.04358	0.02947	0.09395	0.05631	-0.01171	0.01280	-0.01631	0.07086	0.02641	0.01574	-0.02314	0.04593	-0.11729	0.01803	-0.08977	0.00266	0.10890	-0.01491	0.04360	0.04956	0.03038	0.04261	0.05679	0.12357	0.13886	-0.00297	-0.00059	0.02103	0.01861	-0.00906	0.05886	-0.01779	-0.03259	-0.06391	0.01068	-0.04524	0.01733	0.08320	0.10649	0.10364	-0.01867	-0.00051	0.03503	0.03517	-0.00201
4	0.04621	0.03099	0.08868	0.05870	-0.02748	0.00826	-0.00280	0.06621	0.02369	0.01258	-0.02697	0.04108	-0.09404	0.02347	-0.08498	0.01078	0.10572	-0.03308	0.05560	0.04188	0.02281	0.04094	0.05732	0.11748	0.13540	-0.02602	-0.01839	0.03362	0.01319	-0.01620	0.06980	-0.02790	-0.03608	-0.05185	0.01088	-0.04808	0.01167	0.08677	0.10564	0.09571	-0.03417	-0.01717	0.04265	0.02903	-0.00838
5	0.04774	0.03270	0.07893	0.06120	-0.04413	0.00926	0.01506	0.06194	0.01546	0.01154	-0.03269	0.03779	-0.06744	0.02354	-0.08222	0.02161	0.09778	-0.05139	0.07425	0.02821	0.01518	0.03496	0.05696	0.10639	0.12757	-0.05316	-0.03625	0.04967	0.00267	-0.02410	0.07768	-0.04257	-0.03751	-0.03403	0.00406	-0.05700	0.00566	0.08956	0.10050	0.08390	-0.05290	-0.03358	0.05286	0.01884	-0.01530
6	0.04799	0.03547	0.06469	0.06321	-0.05999	0.01739	0.03454	0.05809	0.00076	0.01242	-0.04034	0.03617	-0.04116	0.01659	-0.08226	0.03351	0.08385	-0.06852	0.09568	0.00750	0.00681	0.02532	0.05467	0.08971	0.11480	-0.08185	-0.05175	0.06549	-0.01406	-0.03300	0.08472	-0.06068	-0.03619	-0.01195	-0.00909	-0.07028	-0.00072	0.09044	0.09196	0.06852	-0.07358	-0.04807	0.06466	0.00287	-0.02298
