	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	29.12863	0.48218	47.90560	1.89603	18.22559	1.72665	3.09023	0.76840	15.93080	0.74073	47.20126	0.45027	25.33744	1.87713	3.82486	0.30433	28.95398	28.35918	29.48433	29.36034	29.48529	47.42803	44.93066	49.99203	48.67556	48.50175	15.94002	17.32697	20.37516	19.35037	18.13542	3.25978	3.04505	4.25101	2.72848	2.16680	16.27197	14.77051	16.72464	16.00490	15.33901	16.47379	47.10415	47.57003	46.88260	47.62007	46.50436	47.52636	23.11564	26.54826	22.99408	25.32906	26.83123	27.20634	3.39993	3.49190	3.93930	3.97892	3.98270	4.15640
2	28.84071	0.40901	46.72291	1.87815	15.86559	1.90428	2.29354	0.73061	16.12253	0.77005	46.55165	0.46712	24.48446	1.90504	4.96778	0.35973	28.68230	28.20288	28.99659	29.09801	29.22376	46.10962	43.85439	48.86915	47.33130	47.45007	13.29227	15.09122	18.51496	16.31604	16.11346	2.06388	2.45401	3.46174	1.95390	1.53418	16.49026	14.98351	16.90379	16.11859	15.44059	16.79844	46.51566	46.94638	46.17228	46.90486	45.83313	46.93759	22.26403	25.63416	22.10181	24.43508	26.03616	26.43553	4.61060	4.59353	4.92935	5.02431	5.07916	5.56971
3	28.58786	0.35105	45.73341	1.75716	14.57158	1.99252	1.79401	0.69731	16.38041	0.80547	45.95643	0.47273	23.83858	1.89188	6.24291	0.49739	28.44772	28.10651	28.53359	28.85384	28.99765	45.06032	43.10699	47.74419	46.12717	46.62838	11.98532	13.94226	17.47117	14.31829	15.14084	1.24891	2.16313	2.83951	1.50147	1.21703	16.78199	15.26408	17.12867	16.27690	15.62064	17.21020	46.04037	46.35466	45.50806	46.20835	45.24506	46.38210	21.68402	24.88707	21.44218	23.77160	25.48760	25.75904	5.85296	5.86158	6.04049	6.10880	6.43147	7.16213
4	28.39481	0.33646	44.95892	1.55164	14.26608	1.95951	1.64607	0.65240	16.71368	0.84975	45.45816	0.48462	23.37644	1.84809	7.34671	0.66830	28.25549	28.06533	28.15479	28.65971	28.83875	44.29515	42.68022	46.62711	45.14742	46.04469	11.90619	13.79144	17.12036	13.41440	15.09802	0.91424	2.17577	2.46589	1.44560	1.22885	17.15734	15.61312	17.41222	16.49810	15.89159	17.70970	45.69817	45.83067	44.94469	45.59312	44.76293	45.91935	21.30699	24.30806	21.00929	23.32652	25.12263	25.18518	6.77768	7.03535	7.02687	6.98501	7.70378	8.55159
5	28.26285	0.36081	44.34678	1.31336	14.71080	1.81038	1.79610	0.60607	17.13445	0.90486	45.09494	0.52404	23.00266	1.77822	7.99079	0.83560	28.08743	28.05675	27.89061	28.52824	28.75121	43.71633	42.47473	45.51621	44.40437	45.62223	12.69820	14.38872	17.25571	13.49731	15.71405	0.97963	2.41021	2.36279	1.75178	1.47608	17.64588	16.02905	17.76793	16.80225	16.26691	18.29466	45.54144	45.40613	44.52522	45.11766	44.38564	45.59359	20.99299	23.84646	20.72397	23.02442	24.78074	24.64737	7.11454	7.82644	7.63701	7.42737	8.55903	9.38034
6	28.17003	0.40061	43.81016	1.11412	15.58262	1.56980	2.13622	0.58063	17.64177	0.96179	44.85909	0.58133	22.56891	1.68534	8.06952	0.97249	27.90957	28.04655	27.73545	28.44698	28.71161	43.18587	42.35117	44.41981	43.84370	45.25026	13.90161	15.41176	17.63404	14.30514	16.66052	1.28771	2.77227	2.47422	2.29916	1.84774	18.21292	16.51041	18.20669	17.20763	16.75665	18.95630	45.47630	45.09718	44.26638	44.81539	44.08822	45.41105	20.56460	23.39385	20.44217	22.73602	24.25363	24.02319	6.86494	8.07468	7.75562	7.36547	8.84280	9.51362
