	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-1.00260	0.62836	-6.37383	1.68872	-4.33986	0.95288	-4.99958	1.10770	-7.90660	1.65504	-1.94750	0.50795	-1.70866	-1.56114	-4.92086	-8.80982	-4.93203	-6.16104	-4.16798	-7.15745	-1.91922	-0.90504	-0.42760	-6.23726	-6.56711	-4.92781	-4.03377	-4.66976	-7.64748	-2.06192	-5.14400	-7.03912	-2.15127	-1.86098	-1.42286	-7.55559	-7.98443	-5.19897	-4.27075	-3.82735	-7.00856	-1.77032	-1.01349	-0.98539	-8.62818	-7.39303	-4.49130	-3.95105	-0.59499	-1.00723	-9.07057	-7.77756	-2.85465	-3.82910	-3.53685	-3.49650	-5.90483	-6.57702	-1.45402	-1.41507	0.24279	-1.86525	-3.65345	-3.40408	-5.40382	-4.31069	-6.42362	-9.51530	-1.59382	-4.91310	-7.92955	-1.64145	-0.16071	-5.37305	-4.50466	-1.50945	-1.18912	-6.22150	-5.56751	-4.87239	-2.41724	-4.59263	-6.51970	-6.33165	-9.81515	-2.85364	-2.26084	-0.58300	-0.24076	-7.31810	-4.36086	-3.76755	-2.52950	-7.06946	-10.32887	-2.61996	-2.14557	-0.82856	-6.79954	-5.71268	-4.38603	-4.69017	-5.39899	-4.68488	-11.27631	-7.49785	-1.14854	-1.74209	-0.74303	-0.54446	-6.58666	-3.90848	-5.63036	-3.97410	-5.54924	-6.66318	-2.63279
2	-1.02349	0.64399	-6.40778	1.61177	-4.29716	0.90859	-4.91477	1.17351	-7.72513	1.65757	-1.86612	0.41058	-1.69181	-1.54138	-5.11555	-8.93827	-4.72152	-6.22791	-4.00514	-6.79051	-1.95327	-0.61492	-0.51841	-6.12603	-6.72786	-4.73491	-4.08325	-4.52304	-7.51876	-1.87178	-4.96884	-6.91811	-2.11129	-1.60393	-1.48158	-7.57370	-7.72350	-4.87352	-4.39948	-3.70294	-6.64064	-1.75043	-1.08312	-1.08699	-8.69732	-7.35732	-4.55536	-3.75386	-0.52186	-1.00258	-8.79906	-7.73633	-2.90658	-3.71295	-3.33197	-3.38877	-5.53255	-6.41775	-1.57331	-1.41986	0.10135	-2.07454	-4.36596	-3.77018	-5.01127	-4.32300	-6.47704	-9.41386	-1.68664	-4.74608	-7.60638	-1.49342	-0.42979	-5.54854	-4.60973	-1.61667	-1.35400	-6.20499	-5.47609	-5.00229	-2.67536	-4.54226	-6.52766	-6.26710	-9.92591	-2.52151	-1.96099	-0.48269	-0.02329	-7.34102	-4.09902	-3.53737	-2.38862	-7.02859	-10.10253	-2.51210	-2.28084	-0.87198	-6.96764	-5.53556	-4.71807	-4.58197	-5.26194	-4.55689	-10.89572	-7.19501	-1.19777	-1.65348	-0.69184	-0.62251	-6.67176	-3.78763	-5.35531	-4.06808	-5.74560	-6.92704	-2.41981
3	-0.97715	0.70571	-6.41504	1.59494	-4.21127	0.91899	-4.76855	1.23672	-7.44411	1.65160	-1.80285	0.35171	-1.61199	-1.47108	-5.27183	-9.05101	-4.46867	-6.25767	-3.77445	-6.33770	-1.98811	-0.24664	-0.56163	-5.96611	-6.87619	-4.39441	-4.08853	-4.33114	-7.28387	-1.71325	-4.70445	-6.67568	-2.05605	-1.20075	-1.49303	-7.49981	-7.48245	-4.36913	-4.53685	-3.50471	-6.17737	-1.78734	-1.09765	-1.17522	-8.80134	-7.38394	-4.52045	-3.16073	-0.43456	-0.96916	-8.62700	-7.67668	-2.94710	-3.66448	-3.07616	-3.24715	-5.12635	-6.16483	-1.65849	-1.41646	0.05812	-2.16116	-5.01486	-4.06664	-4.54470	-4.24258	-6.43604	-9.17083	-1.79265	-4.52351	-7.18992	-1.39603	-0.67203	-5.82016	-4.68552	-1.69054	-1.48322	-6.17728	-5.42925	-5.13010	-2.92291	-4.48603	-6.44878	-6.18154	-9.88977	-2.22910	-1.64418	-0.25452	0.39633	-7.18788	-3.58227	-3.30312	-2.21613	-6.92914	-9.76954	-2.44692	-2.35809	-0.89370	-7.10353	-5.33719	-5.11766	-4.58183	-5.01968	-4.37311	-10.34862	-6.78398	-1.25094	-1.60848	-0.55630	-0.64336	-6.69811	-3.66229	-5.08060	-4.20339	-5.90533	-7.11759	-2.25185
4	-0.82987	0.82157	-6.35636	1.65517	-4.12704	0.95731	-4.54297	1.29885	-7.05477	1.63353	-1.73913	0.34709	-1.43519	-1.33172	-5.32987	-9.12746	-4.15892	-6.18431	-3.45823	-5.80358	-1.99387	0.20618	-0.50655	-5.73684	-6.94756	-3.89040	-3.99261	-4.08482	-6.94596	-1.58551	-4.33491	-6.30666	-1.96381	-0.66080	-1.42127	-7.31386	-7.25539	-3.70040	-4.59079	-3.21520	-5.62051	-1.85545	-1.01574	-1.22294	-8.90685	-7.45944	-4.31847		-0.29869	-0.85866	-8.51211	-7.56056	-2.92431	-3.64118	-2.75280	-3.05049	-4.68899	-5.80548	-1.64626	-1.38894	0.16632	-2.07246	-5.46746	-4.19700	-4.01210	-4.03302	-6.26926	-8.77485	-1.86699	-4.22703	-6.67537	-1.32100	-0.82630	-6.10505	-4.65828	-1.70189	-1.52622	-6.11806	-5.38065	-5.21970	-3.10654	-4.41672	-6.25314	-6.05684	-9.66343	-1.99586	-1.32126	0.13675	1.03714	-6.82260	-2.80243	-3.01132	-1.94642	-6.75954	-9.33159	-2.41578	-2.34990	-0.86310	-7.19125	-5.09093	-5.45528	-4.63883	-4.64517	-4.11519	-9.62235	-6.25916	-1.27341	-1.58895	-0.30496	-0.57722	-6.63603	-3.52220	-4.75239	-4.30549	-6.01912	-7.21196	-2.13075
5	-0.55348	0.97951	-6.19581	1.78849	-3.86561	1.05501	-4.22211	1.36397	-6.55956	1.60365	-1.64159	0.38729	-1.13162	-1.10982	-5.23501	-9.14633	-3.78036	-5.95244	-3.04177	-5.19922	-1.93040	0.73879	-0.30502	-5.42528	-6.87602	-3.24670	-3.74495	-3.77440	-6.51987	-1.46620	-3.84858	-5.81639	-1.79901	-0.01293	-1.23055	-7.00910	-7.02105	-2.91522	-4.47211	-2.81792	-4.97927	-1.90528	-0.80020	-1.20073	-8.96546	-7.55962	-3.88992		-0.07482	-0.61721	-8.39032	-7.34649	-2.77822	-3.57621	-2.34888	-2.77739	-4.22207	-5.34343	-1.47602	-1.30647	0.46899	-1.77349	-5.61316	-4.09131	-3.42604	-3.66823	-5.95310	-8.23492	-1.84579	-3.83972	-6.07337	-1.20723	-0.83602	-6.31928	-4.44185	-1.61918	-1.43085	-6.00599	-5.27342	-5.22125	-3.16139	-4.32280	-5.91270	-5.87292	-9.22050	-1.83335	-0.99707	0.71025	1.88447	-6.23670	-1.79323	-2.61815	-1.54898	-6.50757	-8.79988	-2.39235	-2.23189	-0.74379	-7.21875	-4.76884	-5.59756	-4.67361	-4.12276	-3.76696	-8.73042	-5.63090	-1.21718	-1.55460	0.08841	-0.39594	-6.46120	-3.35550	-4.31319	-4.28575	-6.07501	-7.19067	-2.05131
6	-0.13333	1.15475	-5.90809	1.97267	-3.52732	1.18535	-3.79780	1.43690	-5.97272	1.56614	-1.47051	0.45729	-0.68253	-0.79998	-4.94735	-9.08823	-3.33472	-5.54224	-2.51776	-4.54111	-1.75551	1.33277	0.07564	-5.02976	-6.61042	-2.51679	-3.32168	-3.39292	-6.02902	-1.31095	-3.24468	-5.22071	-1.52388	0.69813	-0.89555	-6.58913	-6.75037	-2.08547	-4.12567	-2.30310	-4.27083	-1.86966	-0.42816	-1.08170	-8.92236	-7.65196	-3.21893	-5.06346	0.27433	-0.19856	-8.18811	-6.99933	-2.45639	-3.38695	-1.86194	-2.41212	-3.72360	-4.79888	-1.12108	-1.12927	0.98558	-1.26162	-5.39119	-3.73104	-2.81037	-3.14667	-5.48111	-7.58023	-1.66362	-3.35399	-5.40615	-0.97926	-0.66482	-6.38739	-3.98507	-1.41345	-1.15421	-5.82160	-5.05030	-5.07946	-3.02341	-4.18907	-5.40897	-5.61166	-8.55953	-1.73975	-0.66887	1.45962	2.88419	-5.45284	-0.62342	-2.10472	-1.04079	-6.16412	-8.19468	-2.33541	-1.98791	-0.49951	-7.17924	-4.34853	-5.44734	-4.58890	-3.45992	-3.32110	-7.71587	-4.92648	-1.03731	-1.45172	0.63663	-0.07882	-6.15828	-3.14897	-3.72892	-4.06572	-6.05843	-7.03937	-2.00084
