	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.56425	0.13531	-0.28384	0.03970	0.17675	0.04068	0.40922	0.07223	-0.16294	0.04119	0.11513	0.03927	0.70236	-0.31678	0.23305	0.37333	-0.15180	0.12827	0.43080	-0.18358	0.07528	0.48154	-0.20514	0.17533	0.59074	-0.31121	0.16092	0.34786	-0.13454	0.12383	0.50113	-0.20411	0.07179	0.39486	-0.24249	0.11778	0.69497	-0.32969	0.17301	0.42891	-0.17112	0.14664	0.40626	-0.25968	0.16427	0.30095	-0.09029	0.08475	0.59629	-0.24321	0.21149
2	0.60492	0.15142	-0.26458	0.04749	0.26079	0.04694	0.42513	0.09355	-0.14109	0.04516	0.19247	0.05730	0.73517	-0.29132	0.32733	0.38622	-0.13680	0.20619	0.44254	-0.16034	0.12528	0.53852	-0.19307	0.26973	0.67953	-0.32003	0.26651	0.34924	-0.11169	0.21830	0.54732	-0.18932	0.12968	0.42412	-0.22823	0.19448	0.73373	-0.30940	0.25447	0.41773	-0.13190	0.24559	0.40370	-0.22407	0.22842	0.29438	-0.06448	0.15250	0.65326	-0.21443	0.29351
3	0.62795	0.16665	-0.22536	0.05842	0.35481	0.05223	0.42582	0.11452	-0.10604	0.04697	0.28515	0.07522	0.74468	-0.24714	0.42536	0.39062	-0.11516	0.29755	0.44206	-0.12519	0.18831	0.57803	-0.16042	0.37132	0.75542	-0.31120	0.39017	0.33566	-0.07762	0.33527	0.57213	-0.15579	0.20432	0.43705	-0.18679	0.29195	0.74867	-0.26634	0.34289	0.38831	-0.07787	0.36100	0.39461	-0.17141	0.30162	0.27393	-0.03020	0.23828	0.68728	-0.16928	0.37687
4	0.64524	0.18841	-0.17070	0.07151	0.46712	0.06600	0.41603	0.13754	-0.05521	0.04947	0.39860	0.09600	0.75536	-0.19209	0.54246	0.39718	-0.08790	0.40678	0.44027	-0.07925	0.26942	0.60799	-0.10274	0.49526	0.82173	-0.28506	0.53668	0.31017	-0.02927	0.47588	0.58177	-0.10161	0.29849	0.43101	-0.11880	0.40477	0.75948	-0.21076	0.45391	0.33197	-0.00237	0.49996	0.38184	-0.10318	0.38346	0.24289	0.01663	0.34443	0.72199	-0.11433	0.48142
5	0.64694	0.20853	-0.09968	0.08542	0.58283	0.08475	0.39346	0.15839	0.00847	0.05328	0.52347	0.11532	0.74899	-0.12495	0.65813	0.39668	-0.05322	0.52140	0.43097	-0.02275	0.36375	0.61742	-0.02271	0.62724	0.87032	-0.23957	0.69374	0.27333	0.03089	0.62846	0.57036	-0.02732	0.40935	0.40989	-0.02584	0.52288	0.75496	-0.14061	0.57205	0.26068	0.08207	0.64982	0.36171	-0.01929	0.46359	0.20481	0.07234	0.46425	0.73577	-0.04785	0.58661
6	0.64152	0.22422	-0.01987	0.09851	0.69455	0.10952	0.36138	0.17699	0.08000	0.06064	0.65470	0.13218	0.73969	-0.05545	0.76936	0.39354	-0.01434	0.63666	0.41713	0.04010	0.46854	0.60595	0.07419	0.76663	0.90255	-0.17842	0.85092	0.22906	0.09865	0.78355	0.54373	0.05890	0.53244	0.38474	0.08058	0.62790	0.74150	-0.06174	0.69342	0.17702	0.16842	0.80265	0.34387	0.07121	0.53496	0.16324	0.13408	0.59243	0.73680	0.02460	0.69076
