	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.08108	0.15260	0.06875	0.08979	0.01632	0.02058	-0.01042	0.03018	0.03170	0.02616	0.01875	0.02088	-0.05171	0.11199	-0.01230	0.00897	0.03145	0.02592	-0.02156	0.03369	0.01073	0.01358	0.06042	0.04899	-0.06366	0.16025	-0.00419	-0.06307	-0.01028	-0.01504	0.01745	0.06642	0.02345	0.10109	0.13115	0.03801	-0.28358	-0.03578	0.02412	-0.03427	0.02454	0.03315	-0.23699	-0.05159	0.01738	0.00600	0.01566	0.00407	0.04839	0.09645	0.03489
2	-0.08514	0.15772	0.07192	0.09827	0.02943	0.02660	0.02048	0.03797	0.02939	0.03503	0.02910	0.02868	-0.06262	0.11187	-0.00888	0.02847	0.02103	0.03630	0.00255	0.03149	0.02070	0.05825	0.07684	0.07324	-0.07587	0.17634	0.00863	-0.04493	-0.02310	-0.01527	0.05508	0.07176	0.03289	0.09098	0.13376	0.05924	-0.29511	-0.03707	0.03994	-0.00410	0.01482	0.04889	-0.24011	-0.06430	0.02360	0.04802	0.01291	0.00697	0.07190	0.11094	0.05403
3	-0.07399	0.15980	0.07381	0.10382	0.04497	0.03484	0.06231	0.04734	0.02593	0.04386	0.03887	0.03585	-0.06334	0.10787	-0.00380	0.05769	0.01018	0.04580	0.03656	0.02973	0.03230	0.11273	0.09045	0.09552	-0.08231	0.18394	0.02112	-0.01477	-0.03702	-0.01460	0.10579	0.07484	0.04130	0.09558	0.13352	0.08815	-0.27545	-0.03095	0.05844	0.03517	0.00365	0.06352	-0.22910	-0.07860	0.03118	0.10299	0.00965	0.00821	0.11067	0.12708	0.07471
4	-0.05874	0.16816	0.07351	0.11265	0.06288	0.04615	0.12251	0.05901	0.02653	0.05364	0.04921	0.04360	-0.05814	0.10740	0.00068	0.10043	0.00415	0.05624	0.09009	0.03526	0.04595	0.19191	0.10857	0.11912	-0.08556	0.18831	0.03118	0.03228	-0.04951	-0.01378	0.17472	0.08117	0.04991	0.11644	0.13194	0.12236	-0.26360	-0.03444	0.08182	0.09282	-0.00350	0.07831	-0.21307	-0.09678	0.04093	0.17532	0.00956	0.00869	0.15150	0.14461	0.10027
5	-0.02943	0.17571	0.07667	0.12015	0.08251	0.05905	0.19487	0.07079	0.03209	0.06215	0.05990	0.05003	-0.04057	0.10969	0.00541	0.15356	0.00519	0.06721	0.15716	0.04702	0.06164	0.28245	0.12589	0.14059	-0.07747	0.18956	0.03964	0.09214	-0.05803	-0.01120	0.25619	0.09321	0.05985	0.15457	0.13607	0.15948	-0.22899	-0.03046	0.10825	0.16428	-0.00377	0.09075	-0.18633	-0.11119	0.05295	0.25829	0.01513	0.01045	0.20219	0.16638	0.12931
6	0.00821	0.18338	0.08794	0.12735	0.10281	0.07296	0.27707	0.08205	0.04736	0.06961	0.07225	0.05509	-0.01280	0.12002	0.00932	0.21617	0.01876	0.08050	0.23567	0.06853	0.07970	0.38452	0.14737	0.16119	-0.05982	0.19436	0.04527	0.16227	-0.05806	-0.00606	0.34482	0.11680	0.07259	0.20293	0.15346	0.19573	-0.18522	-0.02067	0.13719	0.24917	0.00750	0.10185	-0.15272	-0.11483	0.06743	0.34690	0.03060	0.01596	0.25689	0.19531	0.16194
