	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.02943	0.11331	0.00646	0.05721	0.01766	0.08207	0.06037	0.02213	0.00319	0.00950	0.00843	0.00962	0.12155	0.06976	0.08948	0.05954	0.00430	0.01078	0.08276	0.02311	0.02499	0.07346	-0.00191	0.01163	0.17174	0.08715	0.13848	0.02125	0.00171	-0.00288	0.08044	-0.00313	0.01024	0.05046	-0.04426	0.00148	-0.09679	-0.00893	-0.05489	0.06278	0.00375	0.00734	-0.10845	-0.03176	-0.07302	0.04235	-0.00546	-0.00309	0.03809	-0.03323	0.00442
2	0.03168	0.11824	0.00748	0.06296	0.01989	0.08824	0.06786	0.02486	-0.00103	0.00987	0.00494	0.01075	0.13635	0.08299	0.10353	0.06486	0.00364	0.00722	0.08784	0.01811	0.02094	0.08532	-0.00867	0.01164	0.17956	0.09157	0.14674	0.02341	-0.00200	-0.00899	0.09368	-0.00709	0.00843	0.04484	-0.04385	-0.00211	-0.09973	-0.01170	-0.05645	0.07063	-0.00018	0.00384	-0.10836	-0.03096	-0.07647	0.04926	-0.01100	-0.00848	0.03743	-0.04316	0.00409
3	0.03841	0.11799	0.00617	0.06757	0.02223	0.09111	0.07356	0.02695	-0.00610	0.01007	0.00107	0.01210	0.14905	0.09140	0.11406	0.07036	0.00247	0.00380	0.08953	0.01092	0.01538	0.09438	-0.01594	0.01161	0.18554	0.09200	0.14962	0.02491	-0.00717	-0.01603	0.10462	-0.01102	0.00681	0.04449	-0.04596	-0.00394	-0.08745	-0.01569	-0.05256	0.07552	-0.00484	-0.00005	-0.10242	-0.03035	-0.07916	0.05558	-0.01711	-0.01402	0.04127	-0.05441	0.00534
4	0.04808	0.12281	0.00620	0.07535	0.02723	0.09791	0.07964	0.02954	-0.01254	0.01119	-0.00164	0.01445	0.16786	0.10330	0.13090	0.07811	0.00048	0.00227	0.09345	0.00297	0.01186	0.10610	-0.02549	0.01303	0.20164	0.09936	0.16005	0.02640	-0.01435	-0.02329	0.11404	-0.01622	0.00623	0.04982	-0.05000	-0.00274	-0.08118	-0.01922	-0.05178	0.07770	-0.01034	-0.00241	-0.09603	-0.03110	-0.08272	0.06170	-0.02486	-0.01918	0.04635	-0.06512	0.00962
5	0.06047	0.12481	0.00355	0.08218	0.03422	0.10243	0.08323	0.03168	-0.02099	0.01263	-0.00349	0.01706	0.18407	0.11073	0.14639	0.08456	-0.00347	0.00241	0.09471	-0.00759	0.00879	0.11514	-0.03697	0.01473	0.21782	0.10318	0.16908	0.02641	-0.02379	-0.03028	0.11926	-0.02345	0.00696	0.06041	-0.05691	0.00292	-0.06687	-0.02482	-0.04649	0.07653	-0.01705	-0.00354	-0.08650	-0.03381	-0.08371	0.06600	-0.03463	-0.02352	0.05390	-0.07706	0.01715
6	0.07359	0.12642	-0.00106	0.08896	0.04448	0.10635	0.08547	0.03375	-0.03167	0.01462	-0.00353	0.02006	0.19863	0.11528	0.16306	0.09089	-0.00944	0.00573	0.09500	-0.02036	0.00763	0.12325	-0.05088	0.01743	0.23486	0.10605	0.18099	0.02586	-0.03568	-0.03618	0.12151	-0.03341	0.00966	0.07404	-0.06612	0.01381	-0.05219	-0.03208	-0.03833	0.07288	-0.02512	-0.00254	-0.07580	-0.03961	-0.08123	0.06889	-0.04684	-0.02641	0.06199	-0.08985	0.02858
