	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	3.28436	1.43827	19.82039	2.29039	16.89564	4.92489	-3.75762	3.06410	11.50630	2.51058	33.86035	3.13932	10.66187	6.70166	-1.04145	4.34810	1.75905	19.24212	14.37187	-5.77557	5.74927	21.61245	18.65166	-2.48272	13.22147	15.88986	34.68464	39.46809	5.36825	5.99739	-7.41579	3.94686	15.94587	40.80862	7.51355	-4.95581	4.88064	19.90178	15.55725	-4.78792	14.56813	35.06015	-2.61136	2.25803	12.91387	33.75174	20.29878	4.42873	10.52266	34.59892	4.98687	1.29731	11.95938	34.73033	9.43336	3.21667	2.21953	19.27855	13.24115	-8.96170	8.95134	32.75160	21.86260	3.38179	11.08701	33.18144	6.87648	-0.11120	3.06065	20.57765	17.70755	-3.49331	2.78486	23.07088	29.87351	-1.08215	3.92995	20.15498	16.95818	-2.69211	2.96315	19.78790	14.30910	-6.74477	9.55701	30.96769	10.64488	-4.61996	2.14110	22.07425	21.25878	-2.96162	11.18044	33.87798	10.10701	-1.04748	1.17262	19.38704	15.56517	-2.51337	3.45321	18.99061	10.48575	-6.39629	10.27284	33.83538	14.90873	-0.32281	5.29831	13.76642	14.76768	2.80010	8.91537	29.34943	10.00803	-8.47899	8.35518	31.02440	20.46906	-0.66030	9.25404	29.81477	14.06444	-6.53874
2	3.22912	1.46490	19.03265	2.39644	16.10038	5.02731	-2.97417	3.09057	11.64536	2.54322	33.90841	3.12049	10.73110	6.75551	-1.15193	4.26113	1.60323	18.49562	13.69985	-5.29755	5.60496	21.11740	18.24176	-1.39396	13.64207	15.96736	34.62482	39.35793	4.36069	5.28813	-6.93823	2.89322	16.15950	40.63348	6.59989	-5.93091	4.99652	18.90562	14.72387	-3.82559	14.70933	35.10065	-1.90565	2.14470	13.10942	34.19184	18.78376	3.76210	10.70031	34.88519	5.63110	0.99106	11.96187	35.21582	10.09478	3.00868	2.14147	18.28105	12.14038	-8.16846	9.01814	32.74148	23.07956	4.24333	11.17730	33.13875	7.23686	0.26778	2.88418	19.77820	16.79110	-2.68445	2.53887	22.34525	29.07089	-0.55389	3.58725	19.57684	16.27072	-1.75539	3.01982	18.96805	13.41977	-6.18273	9.71089	30.96113	10.86340	-4.30325	2.14776	21.42934	20.76732	-2.01069	11.21477	33.91026	10.62338	-1.07673	1.33981	18.64346	15.00406	-1.33462	3.31182	18.09088	9.35361	-5.83066	10.44795	33.56231	15.03187	-0.47467	5.57376	12.76012	13.72128	3.34794	8.98054	29.01914	9.82739	-8.82941	8.32171	31.23881	20.79239	-0.97500	9.55918	30.04451	14.65893	-6.06163
3	3.21615	1.51466	18.23359	2.47093	15.54403	5.17105	-1.89227	2.99839	11.78890	2.57921	33.93763	3.14649	11.06994	6.82403	-1.22938	4.16123	1.48526	17.76665	13.29288	-4.47327	5.53303	20.60098	18.11502	0.02976	14.08716	16.05178	34.59368	39.24552	3.64501	4.93332	-6.53222	1.69866	16.37934	40.54516	6.10940	-6.89031	5.18782	17.83194	13.85478	-2.67734	14.82281	35.15631	-0.87716	1.87748	13.31112	34.68480	17.77375	3.10561	10.87505	35.11412	6.55403	0.56686	11.98877	35.60432	10.94167	2.56919	2.12409	17.23372	11.27384	-6.86444	9.14517	32.66918	24.05902	5.10726	11.27959	33.15966	8.02829	0.67332	2.73681	18.95665	16.12859	-1.58106	2.33154	21.59640	28.66337	0.31268	3.27209	18.92581	15.90895	-0.46201	3.11383	18.11284	12.72001	-5.20068	9.85890	30.88982	11.31146	-3.58587	2.16846	20.72871	20.50096	-0.74851	11.23648	33.85300	11.37484	-1.03078	1.59184	17.95642	14.67709	0.10691	3.18170	17.22610	8.63679	-4.84499	10.59674	33.28407	15.43991	-0.43834	5.86738	11.86692	12.75611	3.69576	9.06090	28.68022	9.82985	-8.93374	8.26976	31.41365	21.49607	-1.12964	9.86986	30.17093	15.42967	-5.49823
4	3.24526	1.58734	17.43447	2.51384	15.19443	5.33935	-0.58536	2.81730	11.93220	2.61687	33.94871	3.22893	11.65719	6.83625	-1.25696	4.06997	1.41271	17.07034	13.14276	-3.32443	5.53114	20.05228	18.17336	1.66441	14.54189	16.13967	34.63121	39.15414	3.32185	4.96489	-6.19509	0.39014	16.59641	40.59193	6.15432	-7.75239	5.46102	16.68988	12.87189	-1.44620	14.90294	35.23705	0.43774	1.53270	13.51548	35.21663	17.26787	2.50762	11.04066	35.29700	7.69172	0.08277	12.04590	35.88020	11.93931	1.90079	2.16668	16.15457	10.60702	-5.15880	9.33890	32.46151	24.73734	5.92409	11.39465	33.25349	9.18103	1.07904	2.63160	18.12715	15.68903	-0.24117	2.15827	20.81297	28.58072	1.44876	2.99526	18.23016	15.86207	1.09332	3.24415	17.23148	12.17264	-3.87686	9.99291	30.77242	11.98575	-2.57135	2.20602	19.97736	20.39019	0.74734	11.24165	33.71881	12.32284	-0.90597	1.90881	17.36110	14.59278	1.68216	3.06008	16.41688	8.34908	-3.48397	10.70348	33.04442	16.13830	-0.17746	6.16737	11.08941	11.90160	3.87108	9.14457	28.35899	10.05745	-8.75138	8.21373	31.44134	22.36657	-1.10224	10.17021	30.17155	16.29087	-4.81572
5	3.31547	1.68050	16.64239	2.53184	14.99051	5.51571	0.83866	2.59802	12.06849	2.65469	33.94817	3.37092	12.45870	6.73742	-1.21513	4.01207	1.39118	16.41449	13.21578	-1.92258	5.60179	19.45977	18.27958	3.35034	14.98734	16.22589	34.77118	39.10057	3.45808	5.38076	-5.89840	-0.95807	16.79951	40.79451	6.75311	-8.41798	5.81919	15.51248	11.73779	-0.21665	14.94563	35.36624	2.01621	1.21352	13.71999	35.75549	17.20636	2.00115	11.18972	35.46333	8.98026	-0.37373	12.13190	36.05174	13.07858	1.06131	2.26227	15.05829	10.07522	-3.24008	9.59707	32.08973	25.11054	6.65735	11.51869	33.41589	10.58830	1.45147	2.58135	17.30161	15.41868	1.24604	2.01782	19.97600	28.69271	2.74479	2.77499	17.51776	16.05850	2.76580	3.40494	16.32778	11.71235	-2.35068	10.10452	30.63775	12.86832	-1.40622	2.26261	19.17917	20.34723	2.36510	11.22358	33.53067	13.43573	-0.69392	2.26581	16.88042	14.73130	3.25282	2.94408	15.67525	8.45631	-1.85028	10.75785	32.87600	17.08125	0.29831	6.45963	10.40569	11.16071	3.91931	9.21442	28.07996	10.53453	-8.26976	8.16894	31.23939	23.22173	-0.88755	10.44230	30.05010	17.16670	-4.00440
6	3.42532	1.78889	15.86142	2.53465	14.85791	5.68458	2.26359	2.39666	12.19165	2.69239	33.94398	3.56811	13.41688	6.50819	-1.08972	3.99692	1.42296	15.79977	13.45527	-0.37826	5.75265	18.81817	18.30117	4.92869	15.40467	16.30511	35.03431	39.09114	4.05769	6.13294	-5.59572	-2.23657	16.97855	41.13093	7.80405	-8.80269	6.25781	14.35605	10.47988	0.96049	14.95621	35.56936	3.80896	0.99641	13.92411	36.25278	17.47967	1.60209	11.31730	35.64842	10.35700	-0.71884	12.23872	36.14729	14.35214	0.14583	2.39982	13.95586	9.59877	-1.32604	9.90982	31.57508	25.22191	7.29672	11.64730	33.62199	12.10641	1.74474	2.59611	16.48879	15.24823	2.77403	1.91482	19.06582	28.83533	4.08873	2.63453	16.81092	16.38446	4.39899	3.58707	15.40576	11.26931	-0.78336	10.18761	30.51829	13.91018	-0.22963	2.33929	18.33805	20.28303	3.98120	11.17535	33.31734	14.67811	-0.39054	2.63687	16.51491	15.04536	4.71128	2.83119	15.00039	8.87692	-0.08152	10.75992	32.78580	18.17081	0.94613	6.73076	9.78257	10.51720	3.88888	9.25140	27.85728	11.24377	-7.51287	8.14710	30.78122	23.93185	-0.51250	10.67157	29.82843	17.99773	-3.07830
