	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0005_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0008_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0011_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0012_1.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	1.49093	1.19829	-0.01096	2.22909	-0.31987	0.76879	-0.79554	1.09748	0.09143	4.16609	0.42456	1.70299	1.83600	-1.13130	-0.54964	0.90977	-2.02063	-1.00355	-0.42642	-1.65521	-6.41062	-1.65450	-0.66943	-0.93313	-0.11434	-0.98532	1.33319	1.39900	1.31821	0.78171	-1.45765	4.11854	-2.48838	-2.27704	2.09650	2.91169	-1.05541	-4.90324	-1.48875	-1.11834	2.20221	-1.52577	0.82591	-2.24455	0.15823	0.21109	6.26088	3.14873	-1.03946	1.70472	-0.75427	0.34753	-0.71668	-0.10695	-0.75513	-0.98007	-0.21451	1.24480	-2.83620	0.86834	1.36098	0.17857	-0.48221	-1.46693	1.79305	1.29090	2.18742	-0.90665	-1.04191	1.12549	2.14738	0.04877	2.73326	4.40420	-0.77520	4.00846	3.18085	-1.72855	-0.93374	4.33660	1.09579	1.79321	1.62273	0.25583	1.47042	1.18129	1.02629	-2.32696	-8.62212	2.35787	-0.86853	-1.89385	1.01489
2	1.60815	1.19688	0.39351	2.26807	-0.34561	0.75824	-0.76605	1.12283	0.24548	4.20275	0.38535	1.78758	2.01279	-0.78248	-0.45907	1.07628	-1.60589	-1.00715	-0.52964	-1.58075	-5.98437	-1.89671	-1.24066	-1.17376	-0.26145	-0.53317	0.80360	1.49551	1.62484	0.90203	-1.35572	4.01640	-2.29553	-2.30000	2.14032	2.39523	-1.18508	-4.82569	-1.62475	-1.24389	1.93699	-1.06587	0.95347	-1.80012	0.09234	0.66157	6.58127	4.07205	-0.95063	1.69049	-0.60848	0.51630	-0.27569	-0.10551	-0.68780	-0.58315	-0.64757	1.29860	-2.42393	0.61692	1.28515	0.24264	-0.41207	-1.47535	2.38278	0.82937	2.40945	-0.46122	-1.12299	1.22748	2.54589	-0.04821	2.97849	4.95789	-0.59145	3.96047	3.70138	-1.73608	-0.83667	4.66549	0.87623	1.99903	2.12789	0.32323	1.44879	1.32811	0.98062	-2.21337	-8.72944	2.86713	-0.89610	-1.63612	1.01325
3	1.74648	1.19867	0.81780	2.26507	-0.32549	0.73449	-0.70540	1.17014	0.44799	4.23511	0.36183	1.94828	2.20772	-0.39356	-0.32550	1.31776	-1.12589	-0.93159	-0.64543	-1.48464	-5.55186	-2.11627	-1.77647	-1.31546	-0.39020	-0.15225	0.43665	1.61800	2.00668	0.92946	-1.18501	4.00095	-2.01108	-2.31483	2.15679	2.02382	-1.27198	-4.61688	-1.85072	-1.32785	1.81169	-0.68943	1.07309	-1.30244	0.07666	1.12321	6.91696	4.87822	-0.82030	1.63960	-0.34265	0.69533	0.18202	-0.05072	-0.57927	-0.16894	-1.00520	1.38262	-1.93003	0.39487	1.22008	0.34092	-0.30506	-1.44256	3.03562	0.33709	2.64653	0.02179	-1.14790	1.38614	3.02007	-0.20221	3.23864	5.43390	-0.33167	3.92946	4.11950	-1.58980	-0.69703	4.95507	0.74418	2.20782	2.62971	0.38056	1.46597	1.57423	0.91565	-2.08604	-8.72495	3.43749	-0.89049	-1.22899	0.84233
4	1.91831	1.20594	1.27170	2.22686	-0.25796	0.69539	-0.60420	1.23274	0.70490	4.25765	0.35536	2.09433	2.43056	0.04003	-0.15525	1.64284	-0.57461	-0.77287	-0.75892	-1.34940	-5.14001	-2.29941	-2.22481	-1.33627	-0.47276	0.15309	0.27782	1.78085	2.47132	0.87215	-0.93271	4.11106	-1.62376	-2.30975	2.15504	1.80587	-1.30092	-4.27227	-2.13935	-1.36235	1.84903	-0.44954	1.19809	-0.75080	0.11220	1.56770	7.31108	5.37166	-0.64106	1.57683	0.04794	0.89277	0.65682	0.05685	-0.41537	0.27345	-1.23690	1.51396	-1.35590	0.22376	1.18668	0.50364	-0.17978	-1.35682	3.69495	-0.07885	2.90884	0.55338	-1.11627	1.60526	3.56848	-0.38450	3.53487	5.87047	-0.01670	3.94181	4.46194	-1.29920	-0.50431	5.16140	0.82464	2.40377	3.11062	0.41643	1.53741	1.92723	0.84881	-1.93833	-8.55369	3.89259	-0.84609	-0.66927	0.49811
5	2.13608	1.22075	1.76565	2.16265	-0.14154	0.64264	-0.45248	1.30200	1.01269	4.26226	0.39086	2.15636	2.69237	0.52093	0.04492	2.05470	0.05055	-0.53695	-0.84956	-1.15684	-4.77401	-2.43034	-2.52244	-1.21454	-0.47932	0.41209	0.36249	1.99544	3.01573	0.76300	-0.58806	4.35281	-1.11092	-2.27226	2.14784	1.73637	-1.25266	-3.80670	-2.41765	-1.33986	2.05097	-0.35954	1.34763	-0.14113	0.19428	1.97014	7.77298	5.46566	-0.40713	1.52569	0.56087	1.11978	1.15300	0.21296	-0.18511	0.75785	-1.29832	1.71018	-0.70450	0.13115	1.20747	0.75886	-0.05539	-1.20632	4.29770	-0.28462	3.20886	1.14502	-1.02750	1.88977	4.17869	-0.53235	3.88620	6.30919	0.33266	4.02502	4.77204	-0.88150	-0.25092	5.25076	1.22937	2.57044	3.55022	0.42219	1.67838	2.37776	0.82275	-1.76401	-8.16643	4.05605	-0.75857	0.00057	0.07139
6	2.40927	1.24513	2.30696	2.08216	0.02333	0.58389	-0.24250	1.36979	1.35805	4.24235	0.51208	2.11636	3.00396	1.04953	0.26844	2.54918	0.74563	-0.24746	-0.89491	-0.89172	-4.47165	-2.49458	-2.59851	-0.93081	-0.38401	0.67431	0.70814	2.26524	3.62591	0.64797	-0.15121	4.70039	-0.46474	-2.19038	2.15347	1.79312	-1.10730	-3.25949	-2.56543	-1.25371	2.39273	-0.37936	1.54191	0.52804	0.31828	2.31126	8.27192	5.20816	-0.11766	1.49848	1.18456	1.38897	1.67702	0.41014	0.11674	1.29853	-1.16531	1.98397	0.01750	0.14407	1.30257	1.12543	0.05679	-0.98210	4.79153	-0.15385	3.56002	1.80608	-0.88322	2.24357	4.82554	-0.55668	4.30175	6.78372	0.69408	4.20326	5.09983	-0.36244	0.06378	5.22072	1.99874	2.69372	3.92630	0.39868	1.90070	2.89929	0.89709	-1.55740	-7.53677	3.82372	-0.62637	0.70479	-0.28297
