	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.48895	0.09910	-0.25206	0.06082	0.10613	0.04372	0.27983	0.17390	-0.17747	0.09375	0.05997	0.03829	0.59996	-0.32367	0.12897	0.08917	0.26426	-0.08696	-0.13533	0.06220	0.05340	0.14175	-0.10818	0.06133	0.43779	-0.22629	0.12036	0.53882	-0.27526	0.13410	0.50693	-0.27821	0.00755	0.37924	-0.18301	0.04110	0.39703	-0.27865	0.11534
2	0.48617	0.09117	-0.24775	0.05081	0.16428	0.04569	0.32137	0.19010	-0.18205	0.10381	0.05809	0.06513	0.56399	-0.31297	0.18290	0.10203	0.30794	-0.08307	-0.14551	0.04374	0.04917	0.18481	-0.09777	0.04442	0.45088	-0.21963	0.17878	0.55638	-0.26090	0.19848	0.57464	-0.27298	-0.01237	0.37345	-0.19749	0.09693	0.43744	-0.31090	0.16548
3	0.47553	0.08723	-0.23550	0.03559	0.22792	0.04444	0.36532	0.20158	-0.17443	0.11240	0.04708	0.09734	0.50667	-0.28445	0.23879	0.12186	0.36289	-0.07126	-0.15062	0.01185	0.02943	0.23086	-0.07375	0.01940	0.46575	-0.21003	0.23963	0.56862	-0.23921	0.26868	0.63564	-0.24781	-0.03981	0.36110	-0.20829	0.16460	0.47533	-0.32870	0.21452
4	0.45267	0.10256	-0.21309	0.02548	0.30686	0.04702	0.41301	0.21411	-0.15173	0.12334	0.03297	0.13262	0.44434	-0.24943	0.31339	0.15044	0.41614	-0.04744	-0.13696	-0.02214	0.00155	0.27781	-0.03363	-0.00975	0.46828	-0.19216	0.31388	0.57396	-0.21128	0.35686	0.70591	-0.20834	-0.06998	0.32411	-0.19947	0.24330	0.51472	-0.33229	0.26515
5	0.42359	0.12523	-0.18231	0.01254	0.39312	0.04929	0.45668	0.21869	-0.11170	0.13293	0.01482	0.16770	0.37123	-0.20053	0.39389	0.18881	0.47522	-0.01022	-0.10935	-0.06008	-0.03546	0.31849	0.02224	-0.04066	0.47003	-0.17238	0.39277	0.57169	-0.18005	0.45327	0.76230	-0.14644	-0.10096	0.28140	-0.17627	0.33253	0.53861	-0.31474	0.31126
6	0.38812	0.15121	-0.14390	0.00698	0.48757	0.05297	0.49134	0.22082	-0.05708	0.14462	-0.00268	0.20224	0.29502	-0.14250	0.48246	0.22519	0.52843	0.04240	-0.06323	-0.09548	-0.07346	0.34792	0.08914	-0.07174	0.46651	-0.15091	0.47836	0.55929	-0.14740	0.55878	0.80582	-0.06810	-0.12940	0.23165	-0.13480	0.43069	0.54934	-0.28560	0.35669
7	0.34664	0.17721	-0.10033	0.02696	0.58651	0.05663	0.51324	0.22196	0.00610	0.15915	-0.01794	0.23612	0.21631	-0.07639	0.57509	0.25060	0.56863	0.10591	-0.00209	-0.12755	-0.10680	0.36385	0.15932	-0.10364	0.45570	-0.12945	0.56761	0.53769	-0.11705	0.66752	0.83140	0.02121	-0.15458	0.17685	-0.07842	0.53581	0.55172	-0.25386	0.40287
8	0.30059	0.20192	-0.05630	0.05323	0.68628	0.05909	0.52509	0.22116	0.06881	0.17647	-0.02959	0.26943	0.13911	-0.00706	0.66826	0.26659	0.59574	0.16921	0.06427	-0.15597	-0.13042	0.36807	0.22505	-0.13695	0.43648	-0.11040	0.65796	0.51016	-0.09349	0.77378	0.83843	0.11344	-0.17594	0.11660	-0.01425	0.64514	0.55662	-0.22794	0.45134
9	0.25382	0.22362	-0.01830	0.08199	0.78257	0.05969	0.53328	0.21539	0.12286	0.19524	-0.03703	0.30174	0.06814	0.05856	0.75813	0.28228	0.61281	0.22150	0.12440	-0.18169	-0.14163	0.36992	0.27943	-0.17106	0.41321	-0.09790	0.74591	0.47884	-0.07986	0.87177	0.83011	0.20094	-0.19244	0.05507	0.04601	0.75446	0.57128	-0.21199	0.50168
10	0.20897	0.24359	0.00833	0.11055	0.87115	0.05876	0.54336	0.20260	0.16338	0.21340	-0.03973	0.33207	0.00593	0.11369	0.84083	0.30771	0.61869	0.25693	0.17168	-0.20530	-0.13934	0.38013	0.31773	-0.20388	0.39012	-0.09505	0.82797	0.44764	-0.07891	0.95727	0.81467	0.27685	-0.20233	-0.00783	0.09358	0.85852	0.59562	-0.20628	0.55219
11	0.16823	0.26261	0.01970	0.13659	0.94847	0.05721	0.55755	0.18251	0.18892	0.22926	-0.03727	0.35916	-0.04640	0.15246	0.91290	0.34901	0.61333	0.27450	0.20275	-0.22674	-0.12337	0.40180	0.33901	-0.23281	0.36949	-0.10353	0.90100	0.42009	-0.09258	1.02775	0.79781	0.33720	-0.20386	-0.07028	0.12243	0.95224	0.62579	-0.20885	0.60044
12	0.13396	0.27921	0.01358	0.15789	1.01186	0.05595	0.57549	0.15697	0.20037	0.24221	-0.02949	0.38180	-0.08651	0.17002	0.97142	0.40547	0.60209	0.27657	0.21566	-0.24546	-0.09430	0.43180	0.34554	-0.25568	0.35295	-0.12403	0.96245	0.39672	-0.12073	1.08205	0.77854	0.38167	-0.19587	-0.12734	0.12905	1.03151	0.65956	-0.21758	0.64385
