	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.03112	0.03817	-0.01539	0.02664	0.01428	0.01740	-0.09933	0.06505	-0.10123	0.07910	-0.03720	0.07249	-0.00628	0.00178	0.02662	-0.13743	-0.05628	-0.14728	-0.12984	-0.06637	-0.09466	-0.17108	-0.18537	-0.10209	0.00923	0.01264	0.02866	-0.06485	-0.04166	0.01073	-0.12179	-0.05647	0.01433	-0.06256	-0.03431	-0.00889	-0.01007	0.01282	0.06280
2	-0.00670	0.03946	-0.01977	0.02928	0.01338	0.01557	-0.10135	0.06085	-0.11297	0.08092	-0.04783	0.08387	0.01056	-0.00580	0.02632	-0.14402	-0.05490	-0.16924	-0.13667	-0.09216	-0.10700	-0.17484	-0.20042	-0.11907	0.04007	0.01438	0.02715	-0.04702	-0.04900	0.00266	-0.10523	-0.04926	0.00545	-0.03040	-0.03866	-0.00260	-0.02776	-0.00924	0.07365
3	0.02883	0.03927	-0.02434	0.03128	0.00737	0.01527	-0.09357	0.06556	-0.12106	0.08652	-0.06619	0.09605	0.03114	-0.01568	0.02073	-0.14535	-0.04905	-0.18870	-0.13550	-0.12847	-0.12195	-0.17744	-0.21705	-0.14541	0.07851	0.01514	0.01983	-0.01719	-0.05686	-0.00960	-0.07394	-0.03878	-0.01332	0.02285	-0.03994	-0.00146	-0.02207	-0.02528	0.07819
4	0.07377	0.04443	-0.02935	0.03727	-0.00199	0.01787	-0.08044	0.07949	-0.13177	0.09738	-0.09422	0.11327	0.06197	-0.02167	0.01473	-0.15355	-0.04244	-0.21937	-0.14090	-0.17931	-0.15298	-0.17555	-0.23381	-0.17984	0.13303	0.01953	0.01086	0.02612	-0.06533	-0.02294	-0.03729	-0.03246	-0.03849	0.07396	-0.04992	-0.01062	0.00662	-0.03228	0.07954
5	0.12890	0.05130	-0.03116	0.04304	-0.01454	0.02041	-0.05527	0.09899	-0.13530	0.10887	-0.12500	0.12923	0.09995	-0.02449	0.00640	-0.15632	-0.03140	-0.24306	-0.14045	-0.23160	-0.18778	-0.16012	-0.24263	-0.21441	0.19762	0.02626	-0.00143	0.08123	-0.07221	-0.03702	0.01501	-0.02338	-0.06638	0.13680	-0.05419	-0.02610	0.05645	-0.02700	0.07516
6	0.19221	0.06059	-0.02698	0.04887	-0.02719	0.02344	-0.02160	0.11752	-0.13040	0.11797	-0.15432	0.14255	0.14494	-0.02114	-0.00124	-0.15157	-0.01495	-0.25509	-0.13442	-0.27751	-0.22569	-0.12829	-0.23934	-0.24372	0.27405	0.03862	-0.01362	0.14768	-0.07444	-0.04919	0.07786	-0.01154	-0.09206	0.20218	-0.05097	-0.04470	0.10893	-0.01161	0.06737
7	0.26239	0.07220	-0.01308	0.05365	-0.03714	0.02658	0.01627	0.13089	-0.11374	0.12156	-0.17830	0.15091	0.19511	-0.00960	-0.00655	-0.13715	0.00812	-0.24639	-0.11713	-0.30966	-0.26065	-0.08527	-0.22185	-0.26501	0.36021	0.05878	-0.02327	0.22391	-0.06836	-0.05823	0.14670	0.00622	-0.11294	0.27032	-0.03315	-0.06053	0.14895	0.01044	0.05678
8	0.33699	0.08580	0.01248	0.05745	-0.04255	0.02928	0.05067	0.14151	-0.08671	0.11922	-0.19597	0.15444	0.24776	0.01127	-0.00847	-0.12134	0.03262	-0.21759	-0.08926	-0.32732	-0.29010	-0.04388	-0.19230	-0.27868	0.45210	0.08808	-0.02801	0.30767	-0.05134	-0.06392	0.21228	0.03072	-0.12834	0.34041	0.00190	-0.06981	0.17368	0.03486	0.04459
9	0.41349	0.10072	0.04901	0.06095	-0.04357	0.03140	0.07795	0.15437	-0.05316	0.11261	-0.20802	0.15441	0.30006	0.04042	-0.00747	-0.11229	0.05288	-0.17527	-0.05457	-0.33384	-0.31298	-0.01437	-0.15510	-0.28629	0.54498	0.12643	-0.02723	0.39689	-0.02221	-0.06734	0.26829	0.06131	-0.13904	0.41202	0.05138	-0.07225	0.19522	0.05780	0.03207
10	0.48970	0.11628	0.09331	0.06410	-0.04189	0.03329	0.10190	0.17085	-0.01810	0.10418	-0.21576	0.15270	0.35037	0.07482	-0.00522	-0.10938	0.07035	-0.12896	-0.01733	-0.33403	-0.32945	0.00441	-0.11533	-0.28993	0.63501	0.17201	-0.02218	0.48955	0.01861	-0.06986	0.31513	0.09496	-0.14635	0.48388	0.10781	-0.07032	0.22900	0.07618	0.02097
11	0.56268	0.13105	0.14020	0.06589	-0.03960	0.03527	0.13038	0.18866	0.01356	0.09604	-0.22050	0.15108	0.39829	0.11020	-0.00369	-0.10276	0.09158	-0.08736	0.01785	-0.33230	-0.34013	0.02320	-0.07749	-0.29191	0.71780	0.22066	-0.01503	0.58131	0.06818	-0.07217	0.35971	0.12730	-0.15136	0.55333	0.16177	-0.06748	0.28015	0.08750	0.01318
