	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.01559	0.03836	0.00428	0.01569	-0.00274	0.01572	-0.11009	0.06438	-0.02428	0.04448	-0.03133	0.05708	0.02918	0.02230	0.01881	-0.14392	-0.11503	-0.04775	-0.05615	-0.06118	-0.06936	-0.17058	-0.05868	-0.07708	-0.01512	-0.01599	-0.01132	-0.01187	0.00588	-0.01695	-0.11887	-0.00326	-0.00725	-0.06453	0.00495	-0.00149	-0.00203	0.04443	0.05824
2	-0.01523	0.03632	-0.00065	0.01798	-0.00930	0.01656	-0.10798	0.06290	-0.01735	0.04957	-0.02534	0.05936	0.02953	0.01875	0.01319	-0.14715	-0.10964	-0.04366	-0.05267	-0.05505	-0.06592	-0.16450	-0.05156	-0.07059	-0.01683	-0.02478	-0.01988	-0.01422	0.00184	-0.02345	-0.11570	-0.00204	-0.00527	-0.05940	0.00160	-0.00705	-0.00293	0.06317	0.07014
3	-0.01138	0.02980	-0.00642	0.01927	-0.01644	0.01612	-0.09703	0.06440	-0.00836	0.05111	-0.01705	0.05821	0.02778	0.01263	0.00503	-0.14021	-0.09256	-0.03418	-0.04373	-0.04283	-0.05637	-0.15671	-0.04136	-0.06201	-0.01611	-0.03326	-0.02835	-0.01255	-0.00210	-0.02932	-0.10398	-0.00003	-0.00245	-0.04464	-0.00293	-0.01310	0.00830	0.07751	0.07840
4	-0.00517	0.02427	-0.01340	0.02182	-0.02417	0.01725	-0.08599	0.07267	-0.00202	0.05220	-0.01178	0.05784	0.02942	0.00685	-0.00142	-0.14028	-0.08094	-0.02707	-0.04007	-0.03427	-0.05305	-0.14865	-0.03102	-0.05445	-0.01346	-0.04439	-0.03805	-0.00949	-0.00869	-0.03707	-0.09313	0.00079	-0.00152	-0.02716	-0.00737	-0.02013	0.03305	0.08729	0.08437
5	0.00275	0.01876	-0.02166	0.02390	-0.03170	0.01802	-0.06805	0.08283	0.00191	0.04951	-0.00802	0.05548	0.03074	-0.00054	-0.00815	-0.13368	-0.06350	-0.01922	-0.03563	-0.02553	-0.04860	-0.13540	-0.02240	-0.04892	-0.00922	-0.05596	-0.04715	-0.00439	-0.01643	-0.04435	-0.07570	-0.00085	-0.00203	-0.00612	-0.01371	-0.02714	0.06803	0.08764	0.08498
6	0.01088	0.01637	-0.03143	0.02606	-0.03843	0.01897	-0.04679	0.09100	0.00161	0.04524	-0.00758	0.05323	0.03254	-0.00888	-0.01375	-0.12315	-0.04431	-0.01434	-0.03394	-0.02130	-0.04683	-0.11484	-0.01760	-0.04675	-0.00431	-0.06893	-0.05545	0.00118	-0.02628	-0.05096	-0.05517	-0.00662	-0.00527	0.01412	-0.02164	-0.03355	0.10350	0.08055	0.08224
7	0.01850	0.01746	-0.04248	0.02820	-0.04334	0.01976	-0.02383	0.09233	-0.00242	0.04014	-0.00989	0.05104	0.03423	-0.01839	-0.01796	-0.10651	-0.02125	-0.01250	-0.03397	-0.02156	-0.04625	-0.08725	-0.01649	-0.04740	0.00035	-0.08305	-0.06215	0.00676	-0.03760	-0.05534	-0.03251	-0.01698	-0.01126	0.03266	-0.03088	-0.03791	0.12835	0.06784	0.07701
8	0.02546	0.02103	-0.05383	0.03038	-0.04533	0.02035	-0.00428	0.08706	-0.00937	0.03543	-0.01453	0.04909	0.03601	-0.02848	-0.02012	-0.08918	0.00151	-0.01373	-0.03546	-0.02610	-0.04671	-0.05901	-0.01814	-0.05008	0.00404	-0.09761	-0.06644	0.01222	-0.04911	-0.05612	-0.01194	-0.03144	-0.01994	0.04957	-0.04015	-0.03866	0.13722	0.05192	0.07019
9	0.03219	0.02546	-0.06405	0.03248	-0.04361	0.02064	0.00803	0.07968	-0.01841	0.03191	-0.02094	0.04718	0.03855	-0.03796	-0.01971	-0.07755	0.01936	-0.01752	-0.03772	-0.03346	-0.04783	-0.03781	-0.02177	-0.05406	0.00687	-0.11103	-0.06735	0.01840	-0.05903	-0.05215	0.00236	-0.04906	-0.03101	0.06495	-0.04819	-0.03523	0.13377	0.03403	0.06167
10	0.03938	0.02966	-0.07178	0.03424	-0.03808	0.02055	0.01315	0.07468	-0.02916	0.03031	-0.02878	0.04500	0.04265	-0.04565	-0.01677	-0.07404	0.03204	-0.02371	-0.04049	-0.04224	-0.04952	-0.02638	-0.02738	-0.05885	0.00966	-0.12162	-0.06438	0.02620	-0.06581	-0.04298	0.00799	-0.06898	-0.04421	0.07902	-0.05402	-0.02821	0.12611	0.01475	0.05089
11	0.04720	0.03280	-0.07595	0.03536	-0.02937	0.02009	0.01440	0.07244	-0.04152	0.03108	-0.03783	0.04232	0.04872	-0.05075	-0.01185	-0.07481	0.04296	-0.03222	-0.04400	-0.05130	-0.05189	-0.02113	-0.03542	-0.06408	0.01315	-0.12789	-0.05763	0.03573	-0.06808	-0.02888	0.00624	-0.09070	-0.05917	0.09119	-0.05708	-0.01912	0.11874	-0.00526	0.03728
