	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.05361	0.06783	-0.08616	0.02561	-0.00885	0.01985	0.49329	0.09928	-0.20270	0.06147	0.08293	0.02017	-0.05900	-0.05076	-0.04325	0.59017	-0.20814	0.08480	0.09935	-0.12235	-0.00089	0.35723	-0.10747	0.09694	0.47416	-0.17108	0.07719	0.06052	-0.08799	-0.00702	0.05370	-0.07964	0.00007	0.46925	-0.25715	0.06020	0.11347	-0.09005	0.00684	0.49998	-0.23397	0.11829	0.41411	-0.15733	0.08107	0.64814	-0.28379	0.06198
2	0.08376	0.06372	-0.06001	0.02615	-0.01733	0.02194	0.55204	0.11074	-0.17608	0.06635	0.11510	0.02506	-0.02242	-0.02395	-0.05312	0.66762	-0.18061	0.11831	0.09592	-0.09249	-0.00075	0.41259	-0.07091	0.12598	0.52287	-0.14572	0.11309	0.09779	-0.07238	-0.02141	0.09705	-0.06533	-0.01203	0.50971	-0.23142	0.07936	0.15044	-0.04591	0.00068	0.56639	-0.21755	0.16103	0.46092	-0.12595	0.10456	0.72415	-0.26042	0.10335
3	0.13398	0.05652	-0.02310	0.03116	-0.03071	0.02120	0.60933	0.11856	-0.13234	0.06585	0.15246	0.03299	0.05044	0.00006	-0.06169	0.74579	-0.14429	0.15005	0.11064	-0.04621	-0.00715	0.46904	-0.02065	0.16530	0.57305	-0.10685	0.15634	0.15490	-0.04785	-0.04021	0.15327	-0.04154	-0.02718	0.54959	-0.18251	0.09971	0.20065	0.02004	-0.01730	0.63825	-0.18322	0.20883	0.50733	-0.08380	0.13294	0.78228	-0.20505	0.15408
4	0.19441	0.05885	0.03734	0.05642	-0.04687	0.02173	0.66274	0.12048	-0.06037	0.05969	0.20120	0.04395	0.12202	0.05695	-0.07556	0.81126	-0.06785	0.19227	0.14122	0.02567	-0.01765	0.52246	0.04839	0.21809	0.62841	-0.04733	0.21236	0.23382	-0.01386	-0.05885	0.22140	-0.00682	-0.04015	0.59570	-0.10731	0.12662	0.25359	0.12476	-0.04213	0.70698	-0.11900	0.26931	0.55202	-0.02207	0.17460	0.82234	-0.10744	0.21515
5	0.26278	0.06060	0.12271	0.08940	-0.05975	0.02397	0.71098	0.12101	0.03951	0.05208	0.25983	0.05661	0.21010	0.13229	-0.08730	0.86901	0.03411	0.24014	0.18803	0.12196	-0.02569	0.56893	0.13733	0.28225	0.68609	0.03468	0.27972	0.32043	0.03894	-0.07330	0.28083	0.05517	-0.04700	0.64211	-0.00341	0.16141	0.31453	0.26518	-0.06549	0.76737	-0.02649	0.33898	0.59138	0.06083	0.22661	0.85194	0.03952	0.28968
6	0.32153	0.06295	0.24145	0.13122	-0.06572	0.02944	0.74855	0.11839	0.16866	0.05439	0.33050	0.06994	0.29650	0.23997	-0.09747	0.91405	0.16685	0.29837	0.23216	0.25122	-0.02604	0.60499	0.24496	0.35655	0.73788	0.14170	0.35949	0.39718	0.11810	-0.08080	0.32136	0.14579	-0.04437	0.68311	0.12768	0.20847	0.36045	0.45218	-0.07991	0.80667	0.09761	0.41951	0.62760	0.16632	0.29121	0.86558	0.23549	0.37991
