	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.06492	0.05298	-0.04356	0.04057	0.01790	0.03008	-0.03448	0.12900	-0.06321	0.07011	0.03220	0.02101	-0.11878	-0.08267	-0.01476	-0.14157	-0.09628	0.01707	-0.12019	-0.03121	0.05004	-0.15122	-0.12914	0.02430	0.11793	0.00561	0.03511	-0.01638	0.00214	0.04615	-0.05785	-0.08932	0.01701	0.13808	0.00720	0.04901	-0.01141	-0.01675	-0.00893	-0.12721	-0.13495	0.02215	-0.11965	-0.11346	0.00826	0.04227	0.01856	0.06952
2	-0.07591	0.05344	-0.05639	0.04203	0.00216	0.03012	0.00217	0.14039	-0.06325	0.07778	0.03562	0.02017	-0.12855	-0.09091	-0.02619	-0.13198	-0.10106	0.02181	-0.12215	-0.04794	0.03350	-0.11369	-0.13611	0.02734	0.16441	0.00471	0.03680	-0.03556	-0.00551	0.03108	-0.08649	-0.10692	0.00196	0.18062	0.00502	0.04779	-0.00682	-0.03069	-0.02955	-0.10443	-0.15084	0.02248	-0.08254	-0.10531	0.01806	0.10282	0.04087	0.07502
3	-0.08718	0.05735	-0.07021	0.04603	-0.01524	0.02922	0.05560	0.14891	-0.06178	0.08587	0.02907	0.01531	-0.14300	-0.09973	-0.03771	-0.09300	-0.09677	0.01650	-0.12371	-0.06636	0.01287	-0.06451	-0.14626	0.02295	0.22115	0.00092	0.03021	-0.05581	-0.01025	0.01369	-0.11085	-0.12863	-0.01397	0.23292	0.00253	0.03628	-0.00255	-0.04608	-0.05106	-0.06310	-0.16572	0.01523	-0.02845	-0.09224	0.02281	0.18416	0.06505	0.05952
4	-0.09339	0.06398	-0.08121	0.05098	-0.03204	0.02850	0.11170	0.16799	-0.06695	0.09773	0.01068	0.00819	-0.15714	-0.10646	-0.05014	-0.07069	-0.10779	-0.00195	-0.11953	-0.08094	-0.00461	-0.01552	-0.16343	0.01016	0.29062	-0.00575	0.01561	-0.07587	-0.01226	-0.00548	-0.12313	-0.14814	-0.02974	0.29736	0.00116	0.01689	0.00875	-0.05825	-0.07022	-0.02068	-0.18829	0.00063	0.02218	-0.08850	0.01850	0.27859	0.08393	0.01491
5	-0.09323	0.07221	-0.08991	0.05778	-0.04723	0.02790	0.17413	0.18663	-0.07500	0.10676	-0.01782	0.01971	-0.17018	-0.11268	-0.06301	-0.03521	-0.12132	-0.03048	-0.11151	-0.09210	-0.02079	0.03526	-0.18021	-0.00919	0.36599	-0.01744	-0.00677	-0.08925	-0.01070	-0.02424	-0.11980	-0.16746	-0.04093	0.36901	0.00033	-0.00930	0.02458	-0.06659	-0.08719	0.02779	-0.21050	-0.01933	0.07996	-0.08724	0.00519	0.37615	0.09136	-0.05484
6	-0.08175	0.08169	-0.09436	0.06572	-0.05987	0.02872	0.23500	0.20626	-0.08576	0.11257	-0.05041	0.04052	-0.17736	-0.11748	-0.07643	0.00393	-0.14182	-0.06448	-0.09300	-0.09637	-0.03361	0.08046	-0.19090	-0.02994	0.44368	-0.03195	-0.03143	-0.08993	-0.00562	-0.04116	-0.09751	-0.18465	-0.04596	0.44220	0.00150	-0.03601	0.04905	-0.06766	-0.10221	0.07216	-0.23106	-0.04005	0.13368	-0.09395	-0.01505	0.46890	0.08787	-0.13589
