	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.02924	0.04876	0.00728	0.04453	-0.01573	0.04617	-0.06030	0.07300	0.00585	0.01888	-0.01547	0.03502	-0.03584	0.04457	0.01086	-0.08883	0.02437	-0.01431	-0.03749	0.02617	0.00194	-0.11565	-0.00895	-0.06294	0.05470	-0.00718	0.00306	0.00061	0.00285	-0.00408	-0.10153	-0.06771	-0.09756	0.02785	0.01479	0.02417	0.02805	0.03053	0.01023	-0.11495	0.03072	-0.04338	-0.12442	0.00788	-0.04118	-0.06082	-0.02068	0.02633
2	-0.02248	0.05226	0.01496	0.04256	-0.01072	0.04352	-0.04498	0.07832	0.00193	0.02115	-0.02156	0.04093	-0.03163	0.05203	0.01519	-0.08680	0.02437	-0.01918	-0.02915	0.03530	0.00542	-0.10281	-0.01557	-0.07943	0.07566	-0.01221	-0.00309	0.00731	0.01056	0.00335	-0.09950	-0.05645	-0.08813	0.04797	0.01200	0.01922	0.04059	0.03338	0.01057	-0.10244	0.03169	-0.05356	-0.11579	-0.00294	-0.04790	-0.03068	-0.02384	0.03300
3	-0.01563	0.05580	0.02144	0.04187	-0.00703	0.04343	-0.01955	0.08055	-0.00287	0.02212	-0.02889	0.04700	-0.02568	0.05935	0.01832	-0.06930	0.01950	-0.02410	-0.01522	0.04453	0.01029	-0.08033	-0.02090	-0.09803	0.10017	-0.01727	-0.01100	0.01397	0.01723	0.01077	-0.10072	-0.04826	-0.08446	0.07053	0.00663	0.01152	0.04948	0.03434	0.00995	-0.07663	0.03165	-0.06428	-0.09616	-0.01517	-0.05500	0.01487	-0.02452	0.03866
4	-0.00748	0.05696	0.02627	0.03908	-0.00391	0.04269	0.00795	0.08579	-0.00534	0.02420	-0.04028	0.05367	-0.02406	0.06489	0.02030	-0.05840	0.02226	-0.03667	0.00270	0.05024	0.01493	-0.05400	-0.02323	-0.11940	0.12747	-0.02304	-0.02090	0.01980	0.02191	0.01653	-0.09419	-0.03698	-0.07991	0.09529	-0.00124	0.00162	0.05836	0.03128	0.00859	-0.04739	0.03326	-0.07959	-0.07669	-0.02466	-0.06782	0.06939	-0.02073	0.04082
5	-0.00014	0.05956	0.02736	0.03774	-0.00388	0.04336	0.03773	0.08932	-0.00781	0.02624	-0.05460	0.05857	-0.02316	0.06834	0.01978	-0.04085	0.02370	-0.05354	0.02268	0.05194	0.01731	-0.02496	-0.02444	-0.14058	0.15340	-0.02918	-0.03298	0.02507	0.02268	0.01919	-0.09072	-0.03082	-0.08068	0.11848	-0.01269	-0.01184	0.06542	0.02467	0.00502	-0.01305	0.03384	-0.09670	-0.05184	-0.03266	-0.08312	0.12293	-0.01324	0.03656
6	0.00714	0.06295	0.02306	0.03793	-0.00713	0.04432	0.06377	0.09163	-0.01147	0.02926	-0.07280	0.06068	-0.02401	0.06838	0.01624	-0.02239	0.02478	-0.07668	0.04255	0.04735	0.01635	0.00072	-0.02617	-0.16019	0.17446	-0.03779	-0.04756	0.03095	0.01846	0.01819	-0.08648	-0.03152	-0.08513	0.13723	-0.02827	-0.02852	0.07269	0.01260	-0.00130	0.01841	0.03239	-0.11673	-0.02904	-0.03775	-0.10224	0.16700	-0.00747	0.02230
