	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	11.68341	1.67398	39.70892	5.60685	42.81749	5.89116	2.64525	3.29464	8.44187	2.46396	28.68880	2.59681	21.75656	3.56805	-4.55197	6.72794	9.95656	39.04832	45.88240	1.04038	12.67391	40.51247	41.26231	2.78321	6.29158	26.73550	22.94632	-14.45316	11.68364	43.60864	49.39012	4.97649	8.50892	26.83714	21.24417	-7.33440	9.89826	26.76345	19.84359	-2.21524	10.32967	14.62955	36.61592	45.77275	40.34815	47.87363	4.15165	6.58972	7.28988	26.47587	28.07147	2.16695	9.47796	29.48500	34.98088	-2.83393	9.74116	27.46043	17.34796	-4.62949	11.00764	40.35745	40.07060	5.12544	9.64791	32.66022	18.32518	-10.56378	12.81108	37.98388	39.14000	2.02619	13.07478	34.14635	18.34944	-14.10988	10.44595	38.62621	41.33135	2.62630	4.69604	28.66559	25.65924	-4.00170	14.32058	48.51344	52.83568	4.63568	5.25764	29.08801	23.30039	0.24426	12.18863	44.72430	47.34139	4.90046	8.08179	26.92993	25.38839	7.33479	10.67570	31.25864	33.35339	-4.27860	10.37263	29.81434	18.84602	-2.51005
2	12.00260	1.77532	38.29688	5.67608	41.85236	5.94021	4.29581	3.20678	8.61701	2.36262	27.60509	2.57813	22.14424	3.65899	-2.31162	7.05940	10.28575	37.84224	44.44297	1.61125	13.07084	39.08199	40.18233	4.31842	6.39878	26.19848	23.28179	-12.01868	12.10638	42.40754	48.48350	6.79542	8.77220	25.78746	21.57273	-4.74858	10.17743	25.78065	20.25541	0.02868	10.01377	14.97893	34.37725	44.61446	38.76824	47.08651	5.65352	7.74583	7.57566	25.11915	28.46746	5.34673	10.06793	28.84934	34.60959	-1.06332	9.76083	25.97003	17.66249	-2.37732	11.63297	38.63935	38.59144	6.50766	9.73600	31.50455	18.44449	-9.13344	13.49967	36.40647	37.89635	4.98409	13.01561	33.21129	19.12512	-12.97557	10.37533	36.08441	39.63273	4.42741	4.92277	27.91948	26.27113	-1.55154	14.75200	47.64212	52.41248	6.33947	5.60628	27.54371	23.19010	2.69320	12.37911	43.58350	46.99520	6.48104	8.55180	26.28794	26.34368	9.71010	10.86853	30.03389	33.12692	-2.25103	10.26975	28.33328	18.97228	-0.40142
3	12.48641	1.88054	37.00395	5.79014	40.95083	6.12243	6.06540	3.14945	8.90682	2.26261	26.70226	2.57117	22.64050	3.83205	0.04778	7.12822	10.79780	36.86132	43.22665	2.48832	13.53560	37.68245	39.18012	5.94958	6.61700	25.66512	23.90117	-8.99943	12.72007	41.22442	47.70273	8.98128	9.18079	24.86800	22.07799	-1.98233	10.51713	24.91180	20.76447	2.36886	9.92588	15.48238	32.27607	43.63188	37.51077	46.62494	7.48758	9.17305	8.06691	24.08476	28.95690	8.26390	10.74128	28.19554	34.04274	0.90109	9.91280	24.67432	18.04922	-0.02929	12.39692	37.11931	37.32643	7.06556	9.94908	30.44538	18.53927	-7.52808	14.33385	34.89725	36.30611	7.70740	13.04965	32.42990	20.09955	-11.44661	10.51753	33.98131	38.27998	6.49602	5.27692	27.11003	26.74203	1.33629	15.23786	46.73943	51.81243	8.11228	6.04894	26.11244	22.94025	5.09798	12.81811	42.60941	46.89986	8.36467	9.05226	26.42128	27.89305	11.38422	11.32965	28.82897	32.49723	0.05795	10.30354	27.00178	19.08162	2.06008
4	13.08126	1.97108	35.74990	5.95174	39.89458	6.42790	7.91583	3.15624	9.27522	2.17188	26.02078	2.62823	23.17928	4.08066	2.24137	6.97221	11.44860	36.03940	42.05001	3.54965	14.06861	36.35149	38.14940	7.51543	6.91176	25.03370	24.47516	-5.74475	13.44403	40.00022	46.68552	11.37311	9.69354	24.19945	22.80362	0.51180	10.90254	24.17490	21.35978	4.53899	10.05862	16.08459	30.27377	42.73053	36.20137	46.18160	9.46405	10.79666	8.69762	23.44884	29.39968	10.43221	11.43295	27.43303	33.13456	3.00623	10.16920	23.62664	18.40318	2.18805	13.18173	35.59353	35.92963	7.95706	10.25592	29.51706	18.55877	-5.94847	15.22141	33.39402	34.45043	9.99078	13.17953	31.87430	21.22807	-9.66527	10.82036	32.14333	36.79874	8.47877	5.75095	26.22046	26.86238	4.20667	15.74393	45.81360	51.10714	9.96385	6.53231	25.06070	22.99020	7.09963	13.46322	41.71263	46.75767	10.35046	9.45617	27.26076	29.82695	12.51027	12.00711	27.51324	31.28894	2.54390	10.47783	25.81177	19.06427	4.52593
5	13.71436	2.03617	34.49747	6.14198	38.64905	6.80332	9.77082	3.19492	9.67298	2.09538	25.53975	2.76386	23.73828	4.33434	4.11642	6.71127	12.17240	35.24667	40.72177	4.70943	14.65294	35.11851	37.05421	8.95959	7.24936	24.23696	24.74323	-2.62628	14.18473	38.75706	45.37568	13.78388	10.22894	23.87650	23.83200	2.53990	11.31734	23.58868	22.06734	6.37438	10.34213	16.70942	28.37306	41.81035	34.74688	45.57286	11.44766	12.56460	9.36147	23.19724	29.74433	11.77654	12.09939	26.54022	31.90375	5.25348	10.47408	22.79558	18.68450	4.16333	13.91479	34.04208	34.46716	9.20926	10.59919	28.72823	18.49943	-4.56423	16.03779	31.89528	32.55623	11.80358	13.38012	31.54549	22.43536	-7.85657	11.21682	30.44328	35.02583	10.27771	6.31987	25.31741	26.71815	6.72548	16.23396	44.86681	50.38944	11.94357	6.98716	24.64082	23.75096	8.59361	14.23286	40.79972	46.41163	12.31833	9.70704	28.25790	31.62350	13.39862	12.77509	26.07663	29.56322	4.97874	10.77818	24.75243	19.02224	6.75579
6	14.30778	2.07361	33.26677	6.31633	37.30154	7.17942	11.53609	3.25807	10.05388	2.03656	25.18760	2.89098	24.29410	4.50239	5.63550	6.45445	12.89602	34.35301	39.12927	5.90871	15.25169	33.99875	35.92740	10.28852	7.60097	23.29976	24.68766	0.14325	14.85720	37.57971	43.94240	15.92407	10.69920	23.92725	25.15276	4.12295	11.74095	23.18319	22.90404	7.81344	10.67971	17.28720	26.64496	40.83413	33.20993	44.79329	13.23893	14.40307	9.94771	23.18052	29.90532	12.48742	12.71785	25.54309	30.47180	7.57492	10.76677	22.10999	18.91376	5.86564	14.53342	32.54903	33.07453	10.55490	10.90603	28.05944	18.44407	-3.44778	16.65640	30.47340	30.89082	13.26574	13.61232	31.37051	23.66282	-6.22472	11.62843	28.92041	33.12445	11.91012	6.93474	24.54600	26.54178	8.69055	16.67506	43.88183	49.67944	14.06108	7.35920	24.88807	25.17766	9.70667	15.02645	39.81588	45.84629	14.21816	9.85010	28.66555	32.76728	14.28728	13.48396	24.60698	27.52890	7.08484	11.17469	23.83329	19.07795	8.54577
