	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-5.30503	1.37385	-14.85628	4.75870	8.19838	1.56792	7.29717	2.80067	13.93265	4.89407	-1.21221	1.51746	-4.00959	-18.27495	8.90214	-7.21395	-17.87667	7.98748	7.22199	18.82162	-1.85597	-5.20907	-20.10085	11.55989	6.28196	16.76648	-1.20314	3.02023	18.40308	-2.48044	-6.71996	-5.28240	-18.07004	-21.43207	8.34298	9.83366	4.83567	17.79803	-3.58690	-8.10658	-18.71106	7.49079	6.64431	16.68650	-1.54383	-5.67741	-11.39955	5.91675	12.22738	4.34122	1.15974	-4.48938	-6.97589	6.53604	10.13900	7.03768	0.71483	-4.14636	-11.78870	8.26532	9.72358	14.59089	-1.72252	-4.63108	-10.75228	7.99839	7.14196	11.59045	-0.63344	-4.00687	-9.34907	9.12119	9.07665	16.72730	-2.71773	-4.16767	-13.54425	6.42596	3.95613	10.49588	0.53515
2	-5.23579	1.36483	-14.15122	4.60164	7.87877	1.60651	6.93770	2.71901	14.04469	4.78171	-1.55197	1.59427	-4.22070	-17.46926	7.85058	-7.31220	-17.18338	7.37864	6.55233	18.38462	-2.15147	-5.02048	-19.09548	11.19594	5.65230	16.90320	-1.91537	2.83635	18.44741	-2.86489	-6.07093	-5.16201	-16.93047	-20.61399	8.62983	9.75143	4.46476	17.92845	-3.95294	-8.27198	-18.22615	6.86729	6.48738	16.73272	-1.78823	-5.35983	-10.30140	5.52547	11.84277	4.77746	1.00739	-4.61460	-7.00107	6.38966	9.81903	7.22549	0.12712	-3.98076	-11.20630	8.11590	9.09031	14.39660	-1.51485	-4.79949	-10.22350	7.83680	6.84387	11.82467	-0.95972	-4.00770	-8.61053	8.90603	8.74236	17.28879	-3.48618	-4.00872	-12.95309	6.09765	3.98325	10.58220	0.42747
3	-5.29818	1.35438	-13.50587	4.38179	7.27667	1.69020	6.59472	2.65084	14.19561	4.66236	-1.78126	1.57445	-4.54881	-16.66229	6.65492	-7.43993	-16.51143	6.48879	5.84411	17.86395	-2.30272	-4.85735	-17.95044	10.44014	4.98998	17.23009	-2.81698	2.64276	18.55170	-3.10358	-5.60901	-5.17593	-16.00382	-19.74340	8.69088	9.36016	4.20409	18.08165	-3.72622	-8.51122	-17.61834	5.49457	6.31243	16.77072	-1.87169	-5.20549	-9.46937	5.35445	11.43970	5.23460	0.82124	-4.76808	-7.17944	5.94274	9.47709	7.43863	-0.37653	-4.10204	-10.70855	7.56302	8.47285	14.14024	-1.33869	-5.05246	-9.61540	7.25618	6.61694	12.34513	-1.70769	-4.16720	-8.00082	8.65284	8.52912	17.75566	-3.69267	-4.14066	-12.60715	5.42136	4.01282	10.73933	0.52172
4	-5.46270	1.32665	-12.88661	4.13809	6.17408	1.82060	6.31030	2.59139	14.38447	4.55169	-1.86847	1.53970	-4.96689	-15.91580	5.34849	-7.55985	-15.82122	5.27021	5.18799	17.29463	-2.32595	-4.67758	-16.68505	9.14418	4.35598	17.72198	-3.74345	2.46093	18.74302	-3.22824	-5.37040	-5.33090	-15.19568	-18.84460	7.99569	8.49484	4.10952	18.34459	-3.10002	-8.73725	-16.85867	3.65130	6.15880	16.79523	-1.81154	-5.24759	-8.83511	4.63447	11.03388	5.67440	0.60996	-4.90307	-7.29727	4.75775	9.13036	7.63342	-0.65508	-4.49309	-10.22788	6.17872	7.91676	13.90914	-1.28981	-5.36079	-8.94287	6.12729	6.47707	13.12647	-2.81634	-4.45470	-7.48928	8.07106	8.47226	17.94322	-2.90916	-4.45023	-12.52588	4.41493	4.10977	11.04312	0.71643
5	-5.68724	1.27887	-12.26389	3.90769	4.55029	1.83908	6.11643	2.52924	14.61167	4.47862	-1.86580	1.63073	-5.41740	-15.25991	3.95492	-7.63471	-15.10911	3.79630	4.67170	16.75363	-2.35051	-4.48413	-15.34206	7.19507	3.82698	18.32196	-4.45604	2.32108	19.04902	-3.34969	-5.33475	-5.60937	-14.38324	-17.91418	6.30865	7.03834	4.20623	18.75301	-2.28334	-8.87179	-16.00054	1.81708	6.06461	16.81258	-1.71183	-5.47730	-8.31563	2.94955	10.63965	6.06606	0.40161	-5.01201	-7.23457	2.88037	8.79755	7.78821	-0.67073	-5.08643	-9.70029	3.91961	7.44160	13.76264	-1.56865	-5.70171	-8.29731	4.57640	6.43280	13.99516	-3.82415	-4.83036	-6.99757	6.84652	8.54557	17.86207	-1.40214	-4.78691	-12.61227	3.32070	4.33299	11.56406	0.69167
6	-5.92885	1.22184	-11.65503	3.70329	2.70208	1.67400	6.02494	2.45465	14.86784	4.45969	-1.81668	1.70644	-5.82211	-14.68909	2.49937	-7.64435	-14.42300	2.25844	4.34245	16.32399	-2.52919	-4.32017	-14.02317	4.85192	3.47122	18.92635	-4.68725	2.25268	19.46611	-3.50099	-5.44622	-5.97028	-13.53317	-16.94385	4.00578	5.04236	4.45675	19.24459	-1.39454	-8.87616	-15.15285	0.43997	6.05567	16.84086	-1.60523	-5.82329	-7.90899	0.75283	10.27157	6.39731	0.18689	-5.10623	-7.03227	0.87149	8.48937	7.91438	-0.55314	-5.77984	-9.17233	1.43907	7.05307	13.70037	-2.12662	-6.05613	-7.79938	2.93998	6.47734	14.70328	-3.91858	-5.25335	-6.45286	4.89208	8.69268	17.71359	-0.08308	-5.04808	-12.72935	2.43169	4.71159	12.31537	0.22820
