	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_2.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_1.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_3.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_4.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_5.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d	2014_04_08_PC012_BAREFOOT_GAIT0005_6.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.41101	0.16149	-0.14397	0.06069	0.06972	0.01816	0.09453	0.07091	-0.05568	0.02778	0.08071	0.02491	0.34881	-0.15042	0.06942	0.63454	-0.22949	0.10268	0.12580	-0.04939	0.08231	0.30919	-0.16147	0.05336	-0.00602	-0.02107	0.04799	0.44408	-0.11827	0.07422	0.19033	-0.04470	0.06466	0.10089	-0.06517	0.08393	0.53908	-0.15945	0.05395	0.15744	-0.08711	0.10860
2	0.37909	0.15372	-0.09081	0.06406	0.09691	0.02398	0.01421	0.06217	-0.01716	0.02317	0.12084	0.02966	0.34696	-0.12229	0.09583	0.62061	-0.19545	0.14308	0.07289	-0.02667	0.11864	0.26860	-0.09882	0.08580	-0.04857	0.00804	0.09057	0.37358	-0.02960	0.09631	0.18716	-0.02356	0.08576	-0.02959	-0.00549	0.11269	0.47765	-0.07517	0.07467	0.06211	-0.04453	0.16147
3	0.37401	0.14445	-0.04194	0.07698	0.13213	0.03156	-0.01782	0.06746	0.01598	0.02622	0.17246	0.04101	0.36863	-0.09686	0.12749	0.62067	-0.16680	0.19355	0.06018	-0.00808	0.17430	0.25300	-0.03082	0.12596	-0.07656	0.03403	0.14435	0.35575	0.04104	0.12846	0.21510	-0.01212	0.11268	-0.07180	0.04285	0.14141	0.43089	0.01394	0.10463	0.01690	-0.00489	0.22979
4	0.38849	0.13210	-0.00772	0.08892	0.16840	0.03832	-0.00339	0.07218	0.04360	0.03482	0.22442	0.05992	0.40470	-0.07578	0.15639	0.62251	-0.14352	0.24247	0.06565	0.01090	0.24003	0.27163	0.02137	0.16788	-0.09044	0.05228	0.19567	0.37189	0.07562	0.16513	0.25436	-0.00939	0.13807	-0.03391	0.08881	0.16166	0.40587	0.08538	0.14046	0.04514	0.02242	0.30032
5	0.41706	0.12488	0.01261	0.09718	0.20481	0.04448	0.02591	0.07918	0.07311	0.04884	0.27238	0.08367	0.45337	-0.06155	0.18327	0.63957	-0.12700	0.28906	0.07459	0.03619	0.31230	0.30008	0.05995	0.20917	-0.07603	0.06096	0.23562	0.40337	0.07785	0.20301	0.30264	-0.00965	0.16272	0.00444	0.14477	0.17580	0.40336	0.13603	0.18166	0.10065	0.05053	0.36582
6	0.44991	0.12679	0.02046	0.10236	0.23820	0.04878	0.04305	0.06033	0.10971	0.06923	0.30890	0.10762	0.50547	-0.06249	0.20800	0.66975	-0.11676	0.32821	0.07107	0.07151	0.37924	0.31734	0.08631	0.24627	-0.03505	0.05880	0.25712	0.43517	0.06454	0.23637	0.34736	-0.00904	0.18742	0.03080	0.21063	0.18354	0.42439	0.16019	0.22290	0.10538	0.09792	0.41570
7	0.47962	0.13531	0.02358	0.10704	0.26677	0.04961	0.04562	0.03325	0.15051	0.09349	0.32894	0.12956	0.54974	-0.08037	0.23157	0.70326	-0.10810	0.35709	0.07352	0.11165	0.43108	0.32173	0.10800	0.27719	-0.00019	0.05278	0.25876	0.46719	0.06252	0.26157	0.37373	-0.00450	0.21476	0.06637	0.27281	0.18165	0.46209	0.16395	0.25847	0.04276	0.16480	0.44428
8	0.50582	0.14232	0.03030	0.11627	0.29004	0.04600	0.05145	0.07146	0.18477	0.11323	0.33303	0.14860	0.58059	-0.10985	0.25415	0.72711	-0.09553	0.37445	0.09878	0.14840	0.46344	0.32779	0.13440	0.30112	0.01092	0.04746	0.24682	0.51248	0.08929	0.27928	0.38346	0.00265	0.24643	0.12360	0.31161	0.16805	0.50347	0.16083	0.28483	-0.02750	0.23160	0.45382
9	0.52997	0.14093	0.04512	0.13526	0.30813	0.03883	0.07947	0.11400	0.20321	0.12325	0.32633	0.16229	0.59719	-0.14257	0.27436	0.73515	-0.07783	0.38084	0.13609	0.17826	0.47654	0.34945	0.16936	0.31812	0.01752	0.03969	0.23304	0.56599	0.14817	0.29316	0.39313	0.01061	0.28083	0.20849	0.31247	0.14600	0.53888	0.16296	0.30144	-0.04422	0.28240	0.44975
10	0.55172	0.12905	0.06793	0.16430	0.32134	0.03081	0.13007	0.13021	0.20455	0.12894	0.31534	0.16803	0.60544	-0.17253	0.28978	0.73496	-0.05923	0.37850	0.18045	0.19834	0.47339	0.38830	0.21258	0.32968	0.03976	0.02517	0.22843	0.59367	0.23024	0.30596	0.41758	0.02115	0.31377	0.29034	0.28249	0.12223	0.57036	0.17534	0.31035	0.00973	0.31220	0.43732
11	0.57404	0.11322	0.09618	0.19896	0.33046	0.02532	0.18821	0.12498	0.19223	0.13608	0.30565	0.16660	0.61389	-0.19608	0.29821	0.74192	-0.04634	0.37102	0.23359	0.20457	0.45908	0.43184	0.26278	0.33786	0.07625	0.00243	0.23868	0.58619	0.32217	0.31934	0.46124	0.03826	0.34105	0.34408	0.23833	0.10195	0.60913	0.19630	0.31531	0.09891	0.32359	0.42288
12	0.59903	0.10919	0.12614	0.23388	0.33722	0.02441	0.23211	0.10958	0.17026	0.14452	0.30136	0.16252	0.62988	-0.21147	0.29908	0.76537	-0.04429	0.36207	0.28273	0.19707	0.43954	0.45564	0.31538	0.34401	0.11878	-0.02865	0.26434	0.56466	0.41114	0.33691	0.52202	0.06282	0.36109	0.36004	0.19479	0.08699	0.65662	0.22328	0.32017	0.16689	0.31782	0.41457
13	0.62363	0.12312	0.15426	0.26570	0.34378	0.02931	0.25929	0.09372	0.13987	0.15045	0.30467	0.16080	0.66143	-0.21920	0.29359	0.80149	-0.05306	0.35413	0.30904	0.17908	0.41980	0.45511	0.36079	0.34931	0.16474	-0.06846	0.30224	0.53653	0.49246	0.36324	0.58911	0.09213	0.37520	0.36516	0.15862	0.07809	0.69813	0.25245	0.32722	0.19822	0.29024	0.41855
14	0.64327	0.14998	0.17782	0.29262	0.35170	0.04079	0.28641	0.09013	0.10057	0.15190	0.31495	0.16313	0.71278	-0.22073	0.28413	0.83941	-0.06822	0.34797	0.30799	0.15392	0.40354	0.44476	0.38987	0.35484	0.21214	-0.11579	0.34662	0.49209	0.56659	0.40016	0.64418	0.12329	0.38593	0.40495	0.12604	0.07629	0.72640	0.27612	0.33718	0.22056	0.23812	0.43336
15	0.65700	0.18525	0.19458	0.31362	0.36165	0.05748	0.32472	0.11371	0.05468	0.15036	0.32954	0.16730	0.77763	-0.21669	0.27360	0.87583	-0.08702	0.34321	0.29439	0.12532	0.39370	0.43598	0.40144	0.36164	0.25898	-0.16585	0.39091	0.42916	0.63121	0.44612	0.67703	0.15337	0.39556	0.49304	0.09111	0.08212	0.74636	0.28517	0.34976	0.25248	0.16815	0.45145
16	0.66442	0.22445	0.20324	0.32736	0.37365	0.07707	0.36772	0.14821	0.00951	0.14725	0.34650	0.16961	0.84424	-0.20738	0.26495	0.90614	-0.10643	0.33872	0.28906	0.09667	0.39306	0.42860	0.40194	0.37038	0.30229	-0.20980	0.43080	0.35528	0.67847	0.49835	0.69205	0.17679	0.40545	0.58984	0.05796	0.09606	0.76022	0.27607	0.36405	0.28968	0.09322	0.46610
17	0.66376	0.26082	0.20431	0.33177	0.38740	0.09762	0.40127	0.15985	-0.02588	0.14079	0.36600	0.16798	0.89846	-0.19241	0.26103	0.92297	-0.12186	0.33329	0.30561	0.06949	0.40349	0.41798	0.40006	0.38144	0.33142	-0.23519	0.46624	0.28179	0.70006	0.55433	0.69457	0.18833	0.41526	0.64044	0.03669	0.11865	0.76678	0.25169	0.37904	0.32760	0.02551	0.47561
18	0.65428	0.28723	0.20017	0.32494	0.40242	0.11744	0.41940	0.14490	-0.04439	0.12702	0.38905	0.16315	0.92586	-0.16952	0.26442	0.92469	-0.12890	0.32643	0.34430	0.04396	0.42426	0.39935	0.40210	0.39525	0.33218	-0.22918	0.49943	0.22121	0.69170	0.61117	0.69240	0.18575	0.42345	0.63577	0.03380	0.14917	0.76217	0.21992	0.39382	0.36534	-0.02612	0.48332
19	0.63609	0.30171	0.19400	0.30648	0.41811	0.13456	0.42615	0.12955	-0.04254	0.10617	0.41494	0.15754	0.91846	-0.13598	0.27760	0.91703	-0.12544	0.31857	0.38934	0.02139	0.45184	0.37211	0.40973	0.41211	0.30542	-0.18668	0.52973	0.17541	0.65406	0.66432	0.68893	0.17129	0.42851	0.60982	0.05112	0.18350	0.74457	0.19034	0.40757	0.40003	-0.05598	0.49468
20	0.61067	0.30593	0.18827	0.27764	0.43374	0.14677	0.42441	0.12851	-0.02187	0.08679	0.44056	0.15314	0.87701	-0.09018	0.30229	0.90520	-0.11188	0.31076	0.41811	0.00506	0.48152	0.34385	0.41981	0.43185	0.27075	-0.11654	0.55298	0.13882	0.59131	0.70777	0.68155	0.15073	0.42978	0.58533	0.08485	0.21509	0.71757	0.16984	0.41998	0.42345	-0.06087	0.51267
21	0.58143	0.30257	0.18416	0.24141	0.44839	0.15221	0.41047	0.12927	0.01241	0.07939	0.46166	0.15105	0.80960	-0.03358	0.33806	0.89269	-0.09005	0.30429	0.42059	-0.00185	0.50939	0.32139	0.42785	0.45370	0.23885	-0.03587	0.56469	0.10966	0.50963	0.73503	0.67009	0.12968	0.42763	0.55260	0.12860	0.23763	0.68517	0.16142	0.43163	0.42983	-0.04122	0.53492
22	0.55082	0.29767	0.18182	0.20303	0.46102	0.14984	0.38304	0.12523	0.05343	0.08407	0.47461	0.15155	0.73115	0.02795	0.38131	0.88193	-0.06152	0.30041	0.40414	0.00247	0.53339	0.30229	0.43204	0.47662	0.20520	0.03733	0.56223	0.08366	0.41689	0.74058	0.65639	0.11065	0.42347	0.49811	0.17668	0.24803	0.64948	0.16488	0.44373	0.42469	-0.00277	0.55480
23	0.52001	0.29572	0.18134	0.16916	0.47117	0.14017	0.35120	0.11196	0.09459	0.09300	0.47846	0.15389	0.65739	0.08689	0.42639	0.86974	-0.02617	0.30027	0.38183	0.01837	0.55328	0.28231	0.43354	0.50006	0.18536	0.08746	0.54676	0.05534	0.32198	0.72293	0.64331	0.09358	0.41994	0.42197	0.22741	0.24794	0.61201	0.17823	0.45742	0.41564	0.04512	0.56588
24	0.49011	0.29514	0.18355	0.14583	0.47952	0.12557	0.32623	0.08801	0.13180	0.10440	0.47554	0.15670	0.59355	0.14031	0.46736	0.85056	0.01713	0.30510	0.36219	0.04424	0.57005	0.26251	0.43471	0.52464	0.20145	0.10676	0.52282	0.02613	0.23156	0.68616	0.63486	0.07808	0.42042	0.33577	0.28315	0.24271	0.57306	0.19949	0.47343	0.40551	0.09305	0.56659
25	0.45984	0.29250	0.19015	0.13785	0.48762	0.10950	0.30890	0.07303	0.16528	0.12318	0.47056	0.15867	0.53069	0.19117	0.49881	0.82106	0.06911	0.31645	0.34722	0.07672	0.58509	0.24327	0.43833	0.55227	0.23833	0.10246	0.49508	0.00086	0.14954	0.63834	0.63201	0.06485	0.42754	0.25783	0.34651	0.23957	0.53116	0.22789	0.49232	0.39223	0.13545	0.56252
26	0.42636	0.28885	0.20272	0.14591	0.49711	0.09568	0.29273	0.07636	0.19705	0.14987	0.46852	0.16037	0.46261	0.24187	0.51646	0.77991	0.12941	0.33603	0.33440	0.11155	0.59957	0.21937	0.44588	0.58576	0.26823	0.08932	0.46745	-0.02256	0.07932	0.58781	0.63383	0.05616	0.44181	0.19751	0.41572	0.24302	0.48501	0.26367	0.51480	0.37076	0.17160	0.56406
27	0.38911	0.28667	0.22097	0.16384	0.50911	0.08836	0.27279	0.08049	0.22708	0.17683	0.47239	0.16485	0.39605	0.29015	0.51775	0.72834	0.19542	0.36546	0.31943	0.14441	0.61439	0.18287	0.45509	0.62748	0.28043	0.07922	0.44353	-0.04545	0.02285	0.54022	0.63885	0.05556	0.46159	0.15696	0.48116	0.25131	0.43401	0.30677	0.54219	0.33434	0.20354	0.58033
28	0.34914	0.28571	0.24291	0.18302	0.52398	0.09285	0.24503	0.07531	0.25264	0.19499	0.48220	0.17638	0.33895	0.33269	0.50255	0.66785	0.26223	0.40567	0.29873	0.17223	0.63024	0.12844	0.45877	0.67743	0.27668	0.07724	0.42607	-0.06304	-0.01931	0.49677	0.64413	0.06711	0.48450	0.13347	0.52907	0.25730	0.37852	0.35599	0.57697	0.27122	0.23205	0.61518
29	0.30591	0.28558	0.26654	0.19643	0.54168	0.11228	0.20835	0.07093	0.26989	0.19898	0.49651	0.19774	0.29154	0.36849	0.47381	0.59780	0.32352	0.45640	0.27196	0.19332	0.64790	0.05622	0.44752	0.73214	0.26121	0.08342	0.41648	-0.07520	-0.04470	0.45598	0.64439	0.09527	0.50946	0.12300	0.54898	0.25415	0.32069	0.40913	0.62229	0.17725	0.25385	0.66752
30	0.25977	0.28742	0.28985	0.20064	0.56262	0.14335	0.16444	0.08756	0.27720	0.18915	0.51405	0.22852	0.25086	0.39720	0.43698	0.52272	0.37148	0.51621	0.24031	0.20711	0.66838	-0.02951	0.41473	0.78552	0.23543	0.09660	0.41478	-0.08443	-0.04975	0.41866	0.63613	0.14169	0.53824	0.11770	0.54107	0.24007	0.26282	0.46372	0.68011	0.06433	0.26402	0.73299
31	0.21182	0.29024	0.31062	0.19682	0.58795	0.17898	0.11238	0.11898	0.27656	0.17048	0.53481	0.26521	0.21517	0.41731	0.39849	0.44703	0.39965	0.58293	0.20000	0.21374	0.69314	-0.11943	0.36001	0.83065	0.19509	0.11662	0.42041	-0.09253	-0.03261	0.39033	0.61612	0.20266	0.57568	0.10919	0.51610	0.21969	0.20458	0.51673	0.74963	-0.05477	0.25978	0.80601
32	0.16273	0.29041	0.32681	0.19000	0.61913	0.21292	0.04883	0.14845	0.27160	0.15070	0.55941	0.30276	0.18373	0.42706	0.36393	0.36819	0.40592	0.65418	0.14068	0.21199	0.72368	-0.20254	0.28984	0.86268	0.13130	0.14346	0.43359	-0.09893	0.00527	0.37918	0.58316	0.26910	0.62739	0.09525	0.48903	0.20001	0.14276	0.56367	0.82739	-0.17190	0.24192	0.88035
33	0.11344	0.28665	0.33604	0.18488	0.65664	0.24213	-0.02739	0.17072	0.26479	0.13893	0.58802	0.33599	0.15450	0.42626	0.33691	0.29061	0.38977	0.72744	0.05511	0.19822	0.76000	-0.27200	0.21449	0.88115	0.04407	0.17439	0.45616	-0.10529	0.05945	0.39074	0.53757	0.32842	0.69540	0.07405	0.47169	0.18659	0.07526	0.59786	0.90822	-0.28281	0.21486	0.94935
34	0.06425	0.27839	0.33573	0.18190	0.69895	0.26665	-0.11159	0.18467	0.25613	0.14247	0.61990	0.36100	0.12332	0.41668	0.31893	0.22285	0.35171	0.80000	-0.05424	0.16837	0.80003	-0.32490	0.14335	0.89012	-0.05282	0.20348	0.49130	-0.11656	0.12428	0.42326	0.47775	0.36708	0.77518	0.04109	0.46874	0.18144	0.00302	0.61127	0.98622	-0.38039	0.18393	1.00685
35	0.01375	0.26462	0.32363	0.17834	0.74248	0.28749	-0.19640	0.18690	0.24485	0.16178	0.65344	0.37625	0.08596	0.40089	0.30990	0.16447	0.29435	0.86892	-0.17571	0.12101	0.84063	-0.36220	0.08228	0.89601	-0.14828	0.22479	0.54226	-0.13439	0.19399	0.46764	0.40261	0.37338	0.85703	-0.00754	0.47870	0.18276	-0.07393	0.59689	1.05539	-0.45406	0.15491	1.04810
36	-0.04006	0.24699	0.29873	0.17303	0.78278	0.30456	-0.27749	0.17657	0.23099	0.19099	0.68720	0.38270	0.04019	0.38152	0.30888	0.11270	0.22108	0.93136	-0.29357	0.05967	0.87927	-0.38926	0.03359	0.90457	-0.24397	0.23456	0.61031	-0.16056	0.26420	0.51173	0.31364	0.34122	0.93010	-0.07174	0.49652	0.18806	-0.15707	0.55076	1.11006	-0.50069	0.13322	1.07117
37	-0.09797	0.22908	0.26224	0.17098	0.81604	0.31658	-0.35431	0.16010	0.21658	0.22265	0.72119	0.38230	-0.01276	0.36127	0.31476	0.06127	0.13725	0.98490	-0.39598	-0.00671	0.91528	-0.41032	-0.00342	0.91873	-0.34371	0.23131	0.69340	-0.19762	0.33035	0.54591	0.21843	0.27263	0.98585	-0.14569	0.51695	0.19861	-0.24683	0.47537	1.14612	-0.53186	0.12476	1.07747
38	-0.15925	0.21452	0.21841	0.17997	0.84032	0.32239	-0.42583	0.14351	0.20525	0.25145	0.75730	0.37595	-0.07010	0.34283	0.32673	0.00143	0.05010	1.02793	-0.47762	-0.06610	0.95018	-0.42743	-0.02897	0.93832	-0.44614	0.21544	0.78667	-0.24670	0.38802	0.56645	0.12940	0.17729	1.01986	-0.22231	0.53812	0.22117	-0.34212	0.38118	1.16261	-0.55724	0.13352	1.07119
39	-0.22199	0.20611	0.17362	0.20234	0.85618	0.32169	-0.49197	0.13419	0.20001	0.27417	0.79772	0.36337	-0.12995	0.32801	0.34506	-0.06963	-0.03413	1.06017	-0.53970	-0.10703	0.98668	-0.44475	-0.04027	0.96150	-0.55733	0.19101	0.88390	-0.30718	0.43639	0.57564	0.05659	0.06885	1.03238	-0.29212	0.55955	0.26321	-0.43702	0.28289	1.16232	-0.57873	0.15652	1.05709
