	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_1.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0003_2.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_3.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_4.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d	2014_04_08_PC013_BAREFOOT_GAIT0004_5.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.51735	0.06751	-0.27471	0.04595	0.03857	0.01450	0.44243	0.05629	-0.17112	0.02751	0.03485	0.00501	0.52963	0.47778	-0.27092	-0.27813	0.05479	0.01391	0.46746	-0.17714	0.03740	0.47089	-0.26360	0.03954	0.35737	0.42045	-0.13724	-0.14810	0.03194	0.02984	0.56555	-0.29166	0.04577	0.50074	-0.19555	0.03273	0.62030	-0.34306	0.03073	0.49794	-0.20805	0.03346	0.43995	-0.20089	0.04668	0.41059	-0.16061	0.04374
2	0.52305	0.07598	-0.22867	0.06053	0.06014	0.01639	0.42258	0.06908	-0.10814	0.03021	0.05223	0.01011	0.52166	0.51652	-0.21226	-0.26461	0.07919	0.03502	0.44496	-0.11820	0.05305	0.47417	-0.22761	0.05537	0.33498	0.41988	-0.11653	-0.08686	0.03910	0.04812	0.56033	-0.23811	0.06726	0.48443	-0.12279	0.05298	0.64429	-0.30493	0.05042	0.50252	-0.14499	0.05016	0.42137	-0.12450	0.07358	0.34868	-0.05950	0.07001
3	0.49875	0.08624	-0.14407	0.07522	0.08741	0.01940	0.37190	0.08321	-0.00412	0.05016	0.07194	0.01694	0.48298	0.51646	-0.11277	-0.20352	0.11055	0.06232	0.39387	-0.01699	0.07235	0.45248	-0.16353	0.07589	0.27964	0.38877	-0.06342	0.01114	0.04711	0.06911	0.52204	-0.14253	0.09425	0.43630	-0.00653	0.07541	0.63912	-0.22672	0.07466	0.46920	-0.03318	0.06776	0.37943	-0.01536	0.10678	0.26360	0.08428	0.09988
4	0.45291	0.09330	-0.02674	0.08762	0.11983	0.02268	0.30621	0.09379	0.13513	0.07574	0.09354	0.02579	0.42323	0.49046	0.01743	-0.10215	0.14637	0.09724	0.32894	0.12165	0.09380	0.40932	-0.07227	0.10031	0.20436	0.33674	0.02404	0.14138	0.05439	0.09208	0.45927	-0.01255	0.12556	0.37740	0.14334	0.10030	0.60699	-0.11060	0.10357	0.41074	0.11950	0.08603	0.32819	0.11968	0.14591	0.17907	0.26085	0.13465
5	0.40419	0.09167	0.11414	0.09441	0.15786	0.02609	0.24509	0.09383	0.30209	0.09838	0.11891	0.03567	0.36657	0.45073	0.16780	0.03222	0.18828	0.14108	0.27361	0.29218	0.11948	0.35672	0.04231	0.12891	0.13368	0.27571	0.14367	0.29965	0.06412	0.11799	0.39916	0.14101	0.16232	0.32401	0.31859	0.13008	0.55864	0.03583	0.13798	0.33966	0.30502	0.10723	0.29329	0.26568	0.18858	0.12389	0.45345	0.17458
6	0.37408	0.08156	0.26239	0.09593	0.19940	0.02936	0.20535	0.08416	0.48326	0.11649	0.14816	0.04573	0.33450	0.41629	0.32136	0.17681	0.23360	0.19236	0.24084	0.48256	0.14893	0.31280	0.17086	0.16024	0.09131	0.22441	0.28425	0.47435	0.07729	0.14709	0.37006	0.30009	0.20236	0.28894	0.50487	0.16521	0.51534	0.19730	0.17647	0.27548	0.50531	0.13236	0.29546	0.40790	0.23137	0.11112	0.64821	0.21810
