	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	20.04834	0.53964	43.91194	0.61189	13.52100	0.87802	2.38882	0.80596	23.87399	0.72123	48.72634	0.45589	11.20258	1.00881	4.86383	0.66231	19.69131	20.67665	43.10942	43.97940	12.59209	13.39470	3.05397	1.79255	24.72205	48.80880	9.76194	4.84434	20.43620	44.10295	13.47264	1.24003	24.10729	49.28988	11.97390	4.14525	20.65464	19.93271	44.80709	44.22273	14.64892	14.35839	3.39945	2.81741	23.65132	48.19065	11.25549	5.74611	19.60103	19.34583	44.05239	43.10960	13.92666	12.25358	1.70411	2.71419	23.01532	48.61604	11.81897	4.71961
2	20.33076	0.54098	44.03561	0.63562	13.82953	0.93103	1.60198	0.82089	24.03883	0.75472	48.64934	0.44663	11.04093	1.44870	4.40767	0.64558	19.93171	20.95712	43.27969	44.16359	12.79193	13.80912	2.38847	1.05290	24.84928	48.61319	9.07850	4.20630	20.79268	44.18511	13.54135	0.51189	24.39616	49.25487	12.16620	3.72046	20.89243	20.23161	44.99658	44.39084	14.99452	14.69469	2.64547	1.89622	23.80308	48.17977	10.81592	5.26593	19.78974	19.72003	44.07138	43.16212	14.40984	12.56526	0.79300	1.92594	23.10678	48.54953	12.10311	4.43799
3	20.65355	0.53671	44.09793	0.67773	14.34284	1.05319	0.75429	0.78956	24.25377	0.77522	48.58287	0.43760	11.24377	1.85080	3.79101	0.65921	20.24210	21.26257	43.38490	44.29796	13.12605	14.48122	1.57643	0.26106	25.01994	48.39988	8.78740	3.39025	21.16989	44.24448	13.91926	-0.22780	24.71214	49.20114	12.60633	3.14063	21.15737	20.58459	45.10868	44.45905	15.54543	15.14752	1.81577	0.89038	23.99930	48.18636	10.84520	4.60608	20.03943	20.11893	44.10934	43.08115	15.26383	12.91660	-0.04861	1.01277	23.28370	48.54411	12.73616	4.02708
4	21.00295	0.52107	44.05319	0.73553	14.97620	1.26209	-0.03638	0.67838	24.50032	0.78225	48.52183	0.43481	11.78296	2.16547	3.01744	0.71035	20.61079	21.58030	43.36734	44.33252	13.48410	15.31553	0.66167	-0.44319	25.21987	48.18222	8.90392	2.39937	21.54282	44.23127	14.53623	-0.85474	25.03440	49.11658	13.24083	2.42370	21.43954	20.97394	45.08845	44.37797	16.20457	15.64668	1.00810	-0.06015	24.22489	48.21321	11.34384	3.77338	20.34267	20.53062	44.13871	42.83610	16.40697	13.23934	-0.61889	0.05256	23.52212	48.57530	13.64325	3.47330
5	21.36341	0.49067	43.87711	0.80970	15.66581	1.56364	-0.57732	0.51987	24.75505	0.77695	48.46700	0.43435	12.62664	2.35799	2.13712	0.79320	21.02336	21.89738	43.18676	44.23437	13.78711	16.22277	-0.25170	-0.90070	25.43010	47.98697	9.44376	1.29738	21.88690	44.11157	15.32328	-1.22619	25.33835	48.99147	14.01951	1.62247	21.72924	21.37894	44.90518	44.13122	16.89925	16.16181	0.36410	-0.76676	24.46004	48.27233	12.29537	2.82661	20.68749	20.94055	44.13755	42.43309	17.74784	13.51860	-0.45358	-0.80638	23.79173	48.61725	14.74790	2.80200
6	21.71803	0.44465	43.57619	0.89720	16.37840	1.92907	-0.82752	0.55120	24.99126	0.76082	48.42627	0.42646	13.73670	2.41506	1.22848	0.88686	21.46129	22.20095	42.83170	43.99804	14.00625	17.12969	-1.00389	-0.99843	25.62731	47.84849	10.40472	0.18898	22.18011	43.88018	16.22308	-1.24158	25.59733	48.82725	14.90536	0.80166	22.01567	21.77618	44.56316	43.74533	17.59727	16.70676	0.03491	-1.06209	24.68103	48.38170	13.65868	1.85731	21.06063	21.33136	44.09272	41.92221	19.18478	13.80098	-0.13490	-1.38664	24.05938	48.64762	15.97804	2.06596
