	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	1.00126	1.89957	-2.78175	1.79488	19.66078	2.06466	-3.53786	0.65965	6.62678	2.55381	10.26944	0.76534	-4.55102	0.75497	21.18026	3.79890	-4.73830	1.26815	13.22620	1.16975	-0.44525	1.16379	-1.82862	-3.13319	18.55766	21.78000	-4.41614	-4.03716	5.14424	8.59043	9.39790	-3.89255	23.95494	-4.81511	14.13710	12.66577	3.41593	-4.35547	19.58820	-4.05691	6.50981	9.92587	-4.96751	15.56314	-2.92275	12.31519	-0.03393	-1.44896	-4.77500	-3.60186	19.39297	18.91295	-2.75796	-3.01177	4.53532	3.62962	10.61118	-5.40469	22.55510	-5.53392	12.70089	15.46943	0.79061	3.56663	0.52705	-2.30514	22.79767	16.59602	-2.88108	-3.60400	11.05622	6.92181	11.14282	-3.93933	22.64784	-5.68142	13.00696	12.28809
2	1.11034	1.94959	-2.82102	1.72794	18.54217	2.21812	-2.09565	0.77561	7.16361	2.62670	10.74887	0.72506	-5.26194	1.04815	20.53030	3.88010	-3.53156	1.21415	13.26652	1.19893	-0.48828	1.26397	-1.67680	-3.18450	16.85558	20.56033	-2.93920	-2.56161	5.19470	9.06114	9.94486	-5.42392	23.47936	-3.33269	14.28780	12.80221	3.51081	-4.65187	19.21941	-2.87999	7.25810	10.34256	-5.15435	14.84464	-1.90608	12.32401	0.24493	-1.42896	-4.58052	-3.55262	18.03375	17.59283	-1.33302	-1.33012	5.21353	4.22917	11.22519	-6.51078	22.34431	-4.24794	12.78572	15.48489	0.87423	3.79571	0.21845	-2.31931	21.99801	15.53526	-1.20539	-2.42024	11.79440	7.39421	11.48287	-3.95870	21.45289	-4.63952	13.04400	12.13700
3	1.25729	1.98609	-2.72081	1.64184	17.43531	2.28508	-0.58362	0.93213	8.01416	2.67843	11.18037	0.70073	-5.63298	1.53796	19.74737	3.89317	-2.21584	1.14549	13.28209	1.21138	-0.46549	1.39324	-1.53705	-2.97320	15.24851	19.17767	-1.26933	-0.96612	5.60605	9.82337	10.45855	-6.60229	22.89306	-1.78146	14.37108	12.90364	3.62934	-4.66839	18.72219	-1.75452	8.19081	10.70066	-5.07492	14.18902	-0.81710	12.26978	0.57515	-1.34269	-4.19981	-3.45531	16.76465	16.48368	0.09875	0.36812	6.26791	5.23268	11.77562	-7.12446	21.89426	-2.89680	12.86604	15.42525	0.97087	4.04064	0.11335	-2.32525	21.00298	14.64750	0.63299	-1.19524	12.82402	8.15430	11.78667	-3.73024	20.01314	-3.36803	13.14767	11.99120
4	1.44707	2.00398	-2.55210	1.54856	16.48451	2.24641	0.86215	1.14120	9.13364	2.74107	11.54892	0.69183	-5.65448	1.94790	18.88158	3.81571	-0.83959	1.05686	13.28337	1.20914	-0.36051	1.55625	-1.51282	-2.58565	13.95465	17.82940	0.46686	0.53349	6.38784	10.79069	10.92118	-7.32134	22.17150	-0.20281	14.38864	12.98576	3.77013	-4.45911	18.15309	-0.77637	9.22663	10.98808	-4.77619	13.66134	0.30084	12.17157	0.95615	-1.18223	-3.73839	-3.37889	15.73517	15.71899	1.39880	1.89789	7.61625	6.53730	12.24554	-7.19954	21.21445	-1.54710	12.97099	15.33286	1.08989	4.29977	0.19594	-2.38580	19.96710	14.03317	2.52054	-0.00618	14.20731	9.16942	12.04087	-3.32083	18.47902	-1.90928	13.23810	11.89563
5	1.67704	1.99983	-2.34742	1.48671	15.82690	2.09767	1.75964	1.03959	10.15232	2.27399	11.83987	0.69712	-5.33111	2.18337	18.01957	3.60059	0.47699	0.96043	13.30458	1.19361	-0.16982	1.75204	-1.66641	-2.08492	13.15764	16.71630	2.07710	1.64934	7.48004	11.82605	11.31271	-7.51720	21.31883	1.31443	14.35699	13.07623	3.92583	-4.05660	17.58853	-0.10027	10.26073	11.19445	-4.28601	13.36658	1.30148	12.06339	1.37962	-0.94909	-3.27375	-3.32665	15.06713	15.39582	2.37515	2.99187	9.11582	7.97429	12.62108	-6.73282	20.34585	-0.30284	13.14183	15.26450	1.23537	4.56535	0.47532	-2.49892	19.06659	13.79630	2.36787	0.95643	14.05258	10.35673	12.23124	-2.78840	17.04704	-0.40509	13.33150	11.89763
6	1.93898	1.97243	-2.06920	1.51309	15.57607	1.84990	2.15373	1.15592	11.26259	1.98634	12.04292	0.71455	-4.66534	2.22512	17.29647	3.19551	1.51824	0.90414	13.38612	1.17315	0.09772	1.97539	-1.98205	-1.47225	12.98918	16.00565	3.28595	2.06992	8.75539	12.78885	11.61493	-7.16401	20.40341	2.59621	14.30889	13.20788	4.08588	-3.43741	17.12183	0.05998	11.19293	11.31479	-3.58917	13.44609	1.92474	11.98780	1.83218	-0.65247	-2.81712	-3.20397	14.85490	15.56382	2.77248	3.32443	10.59407	9.35546	12.89492	-5.74856	19.38267	0.66795	13.41768	15.27997	1.40836	4.82579	0.99738	-2.56898	18.46690	14.03022	2.17782	1.38552	14.55795	11.59350	12.34704	-2.15963	15.95369	0.88407	13.46551	12.03512
