	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.73631	0.03978	-0.31097	0.03333	0.00705	0.02207	0.72970	0.09190	-0.35312	0.05425	0.01755	0.02001	0.83967	-0.41096	0.04045	0.70866	-0.29335	-0.00897	0.68776	-0.31189	0.00600	0.78190	-0.34941	0.03223	0.76341	-0.38752	0.02736	0.71837	-0.29014	-0.00210	0.62797	-0.30211	-0.00360
2	0.75765	0.04970	-0.28946	0.03938	-0.00292	0.02903	0.77497	0.12527	-0.35332	0.06832	0.01246	0.02355	0.92518	-0.42465	0.03946	0.73221	-0.26391	-0.02464	0.69432	-0.29790	-0.00380	0.81491	-0.33481	0.03005	0.82848	-0.39884	0.02460	0.72581	-0.26967	-0.01417	0.65190	-0.29191	-0.01041
3	0.75874	0.06261	-0.25182	0.04861	-0.01890	0.03693	0.80160	0.14866	-0.33867	0.08132	-0.00111	0.02659	0.97682	-0.42281	0.02938	0.72560	-0.21276	-0.04750	0.69085	-0.26947	-0.02098	0.83095	-0.30625	0.02280	0.87245	-0.39390	0.01282	0.71966	-0.23644	-0.03200	0.66630	-0.26853	-0.02566
4	0.74874	0.07719	-0.19817	0.06138	-0.03686	0.04533	0.81852	0.16068	-0.30814	0.09390	-0.02187	0.02903	1.00256	-0.40584	0.01170	0.69743	-0.14074	-0.07263	0.68987	-0.22659	-0.04324	0.83751	-0.26286	0.01412	0.90374	-0.37123	-0.00711	0.71129	-0.19092	-0.05207	0.67790	-0.22891	-0.04884
5	0.73403	0.09487	-0.12900	0.07674	-0.05056	0.05380	0.83094	0.16277	-0.25978	0.10598	-0.04617	0.03026	1.00971	-0.37185	-0.01073	0.65780	-0.05085	-0.09314	0.69459	-0.16805	-0.06648	0.84028	-0.20424	0.00991	0.92813	-0.32874	-0.03176	0.70400	-0.13190	-0.06844	0.69135	-0.17051	-0.07569
6	0.71632	0.11361	-0.04454	0.09292	-0.05490	0.06303	0.84643	0.15698	-0.19447	0.11684	-0.06862	0.03072	1.01013	-0.32099	-0.03230	0.61200	0.05475	-0.10467	0.71180	-0.09669	-0.08644	0.83737	-0.12939	0.01597	0.95145	-0.26662	-0.05525	0.69960	-0.05898	-0.07600	0.71234	-0.09358	-0.10049
