	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.05891	0.03971	0.02648	0.01832	0.00879	0.02358	-0.23548	0.03085	-0.04108	0.04388	0.00069	0.01763	-0.21529	-0.00272	0.01642	-0.09184	0.03072	0.02813	-0.27619	-0.09325	-0.00859	-0.07007	0.00641	-0.01748	-0.20820	-0.00691	0.01447	-0.01481	0.04232	0.01572	-0.24225	-0.06145	-0.01955
2	-0.02670	0.04636	0.02216	0.01612	0.00788	0.01364	-0.22767	0.02169	-0.04082	0.04585	0.00313	0.01459	-0.22353	-0.00228	0.01646	-0.07170	0.01748	0.01814	-0.25938	-0.09834	-0.00773	-0.02931	0.00889	-0.00760	-0.21180	-0.00552	0.01492	0.02090	0.04010	0.01309	-0.21596	-0.05713	-0.01115
3	0.01369	0.05047	0.01193	0.01848	0.00388	0.00267	-0.20580	0.02431	-0.04540	0.04832	0.00262	0.01105	-0.21267	-0.00723	0.01196	-0.03952	-0.00386	0.00345	-0.23611	-0.10926	-0.01066	0.01972	0.00740	0.00145	-0.19480	-0.00867	0.01148	0.06087	0.03227	0.00674	-0.17961	-0.05643	-0.00229
4	0.05979	0.05429	-0.00415	0.02649	-0.00269	0.01115	-0.17128	0.03215	-0.05770	0.05217	-0.00234	0.01076	-0.18014	-0.01990	0.00169	-0.00015	-0.03251	-0.01400	-0.21152	-0.12983	-0.01839	0.07389	0.00010	0.00829	-0.15670	-0.01883	0.00292	0.10564	0.01996	-0.00238	-0.13677	-0.06224	0.00442
5	0.10755	0.05967	-0.02613	0.03654	-0.01083	0.02294	-0.12505	0.04185	-0.07773	0.05506	-0.01140	0.01548	-0.12856	-0.04238	-0.01450	0.03982	-0.06731	-0.03250	-0.18248	-0.15668	-0.02900	0.13047	-0.01350	0.01320	-0.10113	-0.03771	-0.01068	0.15236	0.00241	-0.01320	-0.08803	-0.07416	0.00858
6	0.15721	0.06925	-0.05203	0.04690	-0.01819	0.03373	-0.06904	0.05281	-0.10395	0.05619	-0.02236	0.02275	-0.06379	-0.07403	-0.03389	0.07792	-0.10544	-0.04919	-0.14531	-0.18668	-0.03964	0.18787	-0.03304	0.01774	-0.03361	-0.06454	-0.02676	0.20583	-0.01760	-0.02312	-0.03346	-0.09055	0.01083
