	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.06607	0.03546	0.03284	0.00856	0.00749	0.00761	-0.20777	0.05038	0.05219	0.01012	0.00483	0.00875	-0.16610	0.05605	0.00800	-0.08109	0.04175	0.01523	-0.28065	0.03842	-0.00736	-0.09156	0.03210	0.00001	-0.19844	0.05198	0.00544	-0.02557	0.02467	0.00722	-0.18589	0.06232	0.01325
2	-0.04299	0.03987	0.03164	0.01414	0.00737	0.01187	-0.20578	0.04106	0.05235	0.00917	0.00382	0.00749	-0.18469	0.05953	0.00741	-0.06095	0.04775	0.01996	-0.26086	0.03891	-0.00713	-0.07073	0.02586	-0.00361	-0.21114	0.05515	0.00543	0.00270	0.02130	0.00575	-0.16642	0.05582	0.00957
3	-0.01345	0.03951	0.02906	0.02021	0.00630	0.01687	-0.18758	0.03909	0.05246	0.01047	0.00343	0.00644	-0.18027	0.06356	0.00801	-0.02805	0.05238	0.02460	-0.23316	0.04047	-0.00605	-0.04358	0.01821	-0.00861	-0.19776	0.05843	0.00671	0.03129	0.01659	0.00290	-0.13912	0.04736	0.00505
4	0.01641	0.03730	0.02431	0.02574	0.00389	0.02204	-0.15564	0.04024	0.05256	0.01422	0.00354	0.00714	-0.14955	0.06774	0.00984	0.00872	0.05402	0.02800	-0.20598	0.04302	-0.00503	-0.01646	0.00886	-0.01521	-0.15908	0.06134	0.00900	0.05695	0.01004	-0.00111	-0.10795	0.03814	0.00035
5	0.03869	0.03439	0.01622	0.03007	-0.00070	0.02645	-0.11413	0.04550	0.05143	0.01906	0.00320	0.00943	-0.09800	0.07050	0.01172	0.03813	0.05089	0.02832	-0.18016	0.04487	-0.00494	0.00458	-0.00275	-0.02345	-0.10229	0.06256	0.01100	0.07335	0.00051	-0.00696	-0.07606	0.02780	-0.00498
6	0.05302	0.03337	0.00445	0.03308	-0.00763	0.02961	-0.06777	0.05806	0.04809	0.02367	0.00131	0.01214	-0.03491	0.07061	0.01231	0.05665	0.04256	0.02482	-0.15462	0.04445	-0.00715	0.01798	-0.01684	-0.03318	-0.03667	0.06080	0.01112	0.08443	-0.01237	-0.01454	-0.04489	0.01649	-0.01106
